Polling Station No,RAAMA SREENIVASAN,B.M.SUMATHY,M.BOOMINATHAN,S.IRUTHYARAJ,M.M.GOPISON,K.JEYA,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
79,194,15,60,0,113,0,382,0,4,386,0
80,214,20,55,0,130,1,420,0,2,422,0
81,280,16,69,0,156,1,522,0,6,528,0
82,273,21,71,0,248,1,614,0,2,616,0
83,167,14,30,1,98,1,311,0,1,312,0
84,215,8,25,2,144,2,396,0,3,399,0
85,201,13,57,1,165,2,439,0,2,441,0
86,167,10,81,0,155,1,414,0,2,416,0
87,35,6,431,2,101,0,575,0,3,578,0
88,3,7,588,2,103,0,703,0,2,705,0
89,155,15,197,1,279,1,648,0,1,649,1
90,109,20,117,3,226,2,477,0,2,479,0
91,128,20,88,2,203,0,441,0,1,442,0
92,207,36,224,1,291,1,760,0,1,761,0
93,231,13,66,0,163,1,474,0,1,475,0
94,50,12,290,0,138,1,491,0,2,493,0
95,137,13,69,3,145,0,367,0,1,368,0
96,142,21,387,1,240,1,792,0,4,796,0
97,136,9,108,1,220,1,475,0,4,479,0
98,188,26,183,0,322,0,719,0,3,722,0
99,115,17,135,3,172,0,442,0,2,444,0
100,104,22,117,2,236,3,484,0,4,488,0
101,205,20,164,1,319,2,711,0,2,713,0
102,219,21,101,0,241,1,583,0,2,585,0
103,180,20,101,0,230,0,531,0,4,535,0
104,108,19,75,1,196,1,400,0,3,403,0
105,126,25,135,1,333,0,620,0,1,621,0
106,117,34,192,0,275,1,619,0,4,623,0
107,104,29,212,0,300,0,645,0,0,645,0
108,76,18,205,3,217,1,520,0,0,520,0
109,115,28,176,2,272,3,596,0,4,600,0
110,145,20,222,2,277,2,668,0,4,672,0
111,109,25,171,1,259,2,567,0,5,572,0
112,108,17,151,3,199,1,479,0,1,480,0
113,91,28,195,2,242,0,558,0,5,563,0
114,195,21,192,4,305,1,718,0,2,720,0
115,134,22,160,1,216,2,535,0,5,540,0
116,226,29,115,2,359,1,732,0,1,733,0
117,120,34,195,1,277,3,630,0,3,633,0
118,152,31,163,1,364,1,712,0,1,713,0
119,128,31,208,1,343,1,712,0,4,716,0
120,155,30,145,1,275,1,607,0,1,608,0
121,89,21,158,1,249,1,519,0,1,520,0
122,94,49,218,0,219,1,581,0,0,581,0
123,129,32,245,7,221,3,637,0,1,638,0
124,118,33,251,3,335,1,741,0,9,750,0
125,127,23,212,2,235,1,600,0,0,600,0
126,60,27,152,3,183,0,425,0,1,426,0
127,111,35,166,0,321,0,633,0,3,636,0
128,64,19,145,1,162,0,391,0,2,393,0
129,69,26,199,2,256,1,553,0,4,557,0
130,86,46,268,1,307,1,709,0,3,712,0
131,84,30,231,2,223,2,572,0,5,577,0
132,77,16,189,0,228,0,510,0,6,516,0
133,73,20,147,1,244,1,486,0,1,487,0
134,66,27,208,1,242,2,546,0,0,546,0
135,77,26,213,1,206,1,524,0,2,526,0
136,34,12,229,4,323,2,604,0,3,607,0
137,220,39,97,1,333,1,691,0,3,694,0
138,118,20,85,0,141,0,364,0,2,366,0
139,84,24,166,2,207,1,484,0,3,487,0
140,109,24,123,0,235,0,491,0,1,492,0
141,137,22,101,0,194,1,455,0,1,456,0
142,127,21,154,3,291,0,596,0,2,598,0
143,227,16,138,0,257,0,638,0,1,639,0
144,190,18,68,1,235,0,512,0,1,513,0
145,179,36,194,3,379,0,791,0,2,793,0
146,164,26,164,4,425,3,786,0,3,789,0
147,113,20,200,1,216,0,550,0,1,551,0
148,107,23,183,0,242,1,556,0,4,560,0
149,144,36,267,1,354,1,803,0,3,806,0
150,97,21,139,0,203,1,461,0,1,462,0
151,144,20,148,0,280,0,592,0,1,593,0
152,136,27,202,0,319,2,686,0,0,686,0
153,83,37,211,2,312,3,648,0,2,650,0
154,103,42,255,1,315,1,717,0,3,720,0
155,87,26,296,1,215,0,625,0,3,628,0
156,90,33,164,0,217,0,504,0,3,507,0
157,56,30,146,3,221,3,459,0,0,459,0
158,51,13,140,1,223,0,428,0,2,430,0
159,77,28,220,2,205,2,534,0,2,536,0
160,106,20,137,2,296,1,562,0,2,564,0
161,106,12,148,1,233,0,500,0,1,501,0
162,64,29,196,3,249,0,541,0,1,542,1
163,97,48,172,3,338,0,658,0,5,663,0
164,70,42,223,1,194,0,530,0,0,530,0
165,30,16,105,0,186,0,337,0,0,337,0
166,66,12,116,3,154,1,352,0,0,352,0
167,102,27,149,3,196,2,479,0,0,479,0
168,47,15,131,1,194,1,389,0,2,391,0
169,83,19,148,2,219,0,471,0,0,471,0
170,74,12,167,2,138,0,393,0,3,396,0
171,168,19,121,1,329,2,640,0,5,645,0
172,174,26,136,1,249,2,588,0,6,594,0
173,181,18,138,0,272,1,610,0,3,613,0
174,185,20,91,1,323,1,621,0,2,623,0
175,145,17,157,1,341,1,662,0,4,666,0
176,237,23,87,1,263,2,613,0,2,615,0
177,249,23,109,0,294,1,676,0,1,677,0
178,181,30,95,1,274,2,583,0,0,583,0
179,220,24,102,1,347,1,695,0,2,697,0
180,144,26,77,2,298,0,547,0,1,548,0
181,133,13,74,2,194,2,418,0,1,419,0
182,99,18,231,5,418,3,774,0,2,776,0
183,274,38,124,1,370,2,809,0,4,813,0
184,162,24,161,2,297,0,646,0,2,648,0
185,145,24,81,2,203,1,456,0,4,460,0
186,279,33,141,3,297,0,753,0,5,758,0
187,59,13,279,1,219,0,571,0,3,574,0
188,218,21,66,2,242,2,551,0,5,556,0
189,180,12,95,0,199,0,486,0,2,488,0
190,270,21,92,1,327,1,712,0,9,721,0
191,196,23,77,1,290,3,590,0,0,590,0
192,145,13,74,1,182,0,415,0,2,417,0
193,159,18,126,0,206,0,509,0,2,511,0
194,156,23,116,1,243,2,541,0,1,542,0
195,50,38,110,1,299,1,499,0,1,500,1
196,146,20,208,1,345,1,721,0,5,726,0
197,129,27,214,3,371,0,744,0,3,747,0
198,123,24,197,1,323,0,668,0,4,672,0
199,86,26,136,1,240,0,489,0,3,492,0
200,93,27,155,1,322,1,599,0,0,599,0
201,126,36,216,0,333,2,713,0,2,715,0
202,107,29,183,2,289,1,611,0,3,614,0
203,110,22,150,0,237,0,519,0,4,523,0
204,101,35,179,0,364,2,681,0,0,681,0
205,78,65,312,2,294,1,752,0,2,754,0
206,23,21,236,4,159,0,443,0,7,450,0
207,114,29,176,0,327,2,648,0,3,651,0
208,94,31,192,0,302,1,620,0,2,622,0
209,178,40,108,0,250,4,580,0,3,583,0
210,150,43,110,3,300,0,606,0,7,613,0
211,143,38,112,2,278,1,574,0,4,578,0
212,125,38,187,1,435,1,787,0,3,790,0
213,162,37,182,0,418,0,799,0,3,802,0
214,194,54,151,1,313,3,716,0,4,720,0
215,151,26,271,0,359,0,807,0,4,811,0
216,154,26,134,2,311,1,628,0,1,629,0
217,140,32,294,2,381,3,852,0,7,859,0
218,78,23,266,3,267,0,637,0,1,638,0
219,54,19,274,4,214,0,565,0,1,566,0
220,149,31,152,4,369,2,707,0,4,711,0
221,157,26,137,1,325,2,648,0,1,649,0
222,156,31,117,1,339,2,646,0,7,653,0
223,105,32,130,5,253,0,525,0,1,526,0
224,102,20,90,4,220,1,437,0,1,438,0
225,153,18,187,3,294,0,655,0,1,656,0
226,133,23,112,0,273,2,543,0,3,546,0
227,90,30,165,2,318,1,606,0,2,608,0
