Polling Station No,ALAGAAPURAM. R. MOHANRAJ,GUNASEKARAN .R,SURESH KUMAR.R,ARUL RAMADAS,KARTHE.M,PRABU .K,RAJ KUMAR .G,LAKSHMANAN.S,AMIRTHALINGAM.N,ARUL .S,ARUL. T,ARUL.D,ARUL.P,KARTHICK.M,KARTHICK.R,KUMAR.A.P,CHANDRASEKARAN.G,SELVAM.R,DHANAPAL,THIYAGARAJAN.M,BHARATH.S,BHARANITHARAN.D.K,PANNEERSELVAM.P,ER.PRABAKARAN.S,PERUMAL. A,MANOHAR.C,MOHAN RAJ. R,RADHAKRISHNAN. R,VIJAYAKUMAR. S,VELMANIKANDAN. S,SRISABARINATHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
43,145,1,19,65,267,2,4,354,3,1,0,0,1,3,0,0,0,1,0,0,0,0,0,4,1,0,1,0,0,2,2,876,0,2,878,0
44,71,1,37,92,244,2,1,380,0,0,0,0,1,7,2,0,0,0,0,1,0,1,0,5,2,1,1,0,0,2,1,852,0,3,855,0
45,116,3,27,48,316,3,1,490,2,0,1,2,1,1,2,3,0,0,1,1,2,2,0,7,0,3,0,1,0,2,6,1041,0,3,1044,0
46,124,0,16,75,131,2,4,445,1,1,2,3,6,3,2,1,1,0,0,2,3,2,0,1,0,1,2,1,2,0,2,833,0,3,836,0
47,101,0,26,60,88,5,1,298,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,587,0,1,588,0
48,109,0,24,68,113,1,1,382,1,0,0,1,0,1,0,2,1,0,0,0,0,0,0,2,0,2,0,0,0,2,5,715,0,3,718,0
49,54,2,19,87,179,1,0,391,2,0,2,1,0,1,0,0,0,0,1,1,0,2,0,1,1,1,0,0,1,7,0,754,0,0,754,0
50,98,0,20,43,88,1,0,247,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,506,0,3,509,0
51,140,1,31,22,246,1,0,524,2,0,0,0,2,4,1,1,2,0,0,1,4,0,0,2,1,1,1,0,1,4,1,993,0,1,994,0
52,28,0,4,44,79,1,0,199,1,0,0,1,4,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,1,1,368,0,1,369,0
53,105,1,9,41,187,0,1,487,6,1,1,2,3,3,3,3,2,0,1,1,2,0,0,5,3,0,0,1,2,1,0,871,0,3,874,0
54,55,0,13,72,279,6,2,348,3,0,0,2,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,787,0,0,787,0
55,67,1,7,63,187,0,3,478,2,0,0,1,1,2,0,0,1,0,1,3,1,0,1,6,0,0,0,0,0,2,4,831,0,2,833,0
56,48,0,3,69,206,3,5,372,3,1,2,2,2,2,0,2,0,0,1,0,0,0,0,7,3,3,1,0,0,6,3,744,0,2,746,0
57,66,1,16,85,199,2,4,489,2,0,0,1,2,4,0,2,1,2,0,0,2,0,2,2,0,0,0,0,0,4,0,886,0,0,886,0
58,66,3,11,17,140,1,6,534,3,0,1,2,2,4,0,3,1,1,1,1,2,0,1,1,0,1,0,0,1,5,0,808,0,1,809,0
59,49,1,31,101,343,3,4,462,4,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,2,1007,0,1,1008,0
60,73,1,12,105,159,0,2,507,3,0,1,2,1,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,3,0,876,0,1,877,0
