Polling Station No,Candidate_1,AYANIBA.R,NADNANA.M.S.M,NAINAMARBUS.M SAILA IVAR.M,DLONYER SEMAJ.L,YMAWSANHSIRK.T,AMABAYHTAS.V,YHTRUMANIHCTAHD.YP,RAMUKAHDNANA.S,DNANA.K,RAKHSINAG,NANHSIRKALAB.G,YMASAGNAR.M,IVAR.P,YHTROOMUNHSIV.R,YMAWSADAKNEV.K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
305,305,29,140,113,0,1,305,3,1,1,0,1,0,0,0,1,595,0,1,596,0
306,306,26,119,117,0,0,295,0,0,0,0,0,0,0,0,0,557,0,2,559,0
307,307,23,112,136,3,0,294,0,0,0,0,2,0,0,0,0,570,0,3,573,0
308,308,18,173,187,0,2,201,0,0,0,1,0,0,0,0,0,582,0,5,587,0
309,309,40,160,163,1,3,242,1,1,0,1,1,0,1,0,1,615,0,1,616,0
310,310,26,158,128,0,0,208,0,0,2,0,1,0,0,0,1,524,0,4,528,0
311,311,29,159,88,0,0,231,0,1,0,0,0,0,0,0,0,508,0,0,508,0
312,312,14,147,68,0,0,170,0,0,0,1,0,0,0,0,0,400,0,5,405,0
313,313,22,141,108,0,0,243,0,0,0,0,1,0,0,0,0,515,0,2,517,0
314,314,13,179,137,1,0,296,0,0,0,0,0,0,1,1,2,630,0,2,632,0
315,315,23,125,125,0,0,311,1,0,0,1,1,0,0,0,0,587,0,2,589,0
316,316,20,129,140,1,0,262,2,1,0,0,0,3,1,0,1,560,0,6,566,0
317,317,30,85,139,0,0,341,0,1,0,0,1,1,0,0,1,599,0,5,604,0
318,318,23,115,90,1,1,205,0,0,0,0,0,0,0,0,1,436,0,0,436,0
319,319,28,121,140,0,4,218,2,0,0,0,1,0,0,0,0,514,0,3,517,0
320,320,31,126,132,0,0,338,0,1,1,0,0,0,0,1,0,630,0,2,632,0
321,321,21,102,133,1,1,315,0,0,1,2,1,1,0,0,1,579,0,2,581,0
322,322,37,155,114,0,0,327,2,1,0,0,0,1,1,0,1,639,0,4,643,0
323,323,34,119,151,2,1,330,0,1,0,0,1,0,0,0,0,639,0,2,641,0
324,324,36,170,113,0,1,346,4,0,1,0,2,1,0,0,0,674,0,0,674,0
325,325,26,118,64,0,0,189,0,0,0,0,0,0,0,0,0,397,0,3,400,0
326,326,27,150,119,1,0,316,0,1,1,0,2,2,1,0,0,620,0,0,620,0
327,327,38,197,131,0,1,284,1,0,0,0,1,0,1,0,0,654,0,3,657,0
328,328,14,142,133,0,0,206,0,0,0,0,1,0,0,0,0,496,0,1,497,0
329,329,29,120,154,0,0,254,0,0,0,0,0,1,2,1,0,561,0,3,564,0
330,330,13,117,81,0,0,229,0,0,0,0,0,0,1,0,1,442,0,7,449,0
331,331,31,143,147,1,0,243,0,1,0,2,0,0,1,0,2,571,0,1,572,0
332,332,15,95,105,0,0,184,0,0,0,0,0,0,0,0,0,399,0,3,402,0
333,333,21,133,147,2,0,193,0,0,0,0,1,0,2,2,0,501,0,1,502,0
334,334,23,182,121,0,0,311,1,0,0,0,1,1,0,3,1,644,0,4,648,0
335,335,42,228,117,2,0,264,0,0,0,0,0,0,0,0,0,653,0,7,660,0
336,336,27,160,107,1,0,266,0,0,0,0,0,1,0,0,0,562,0,0,562,0
337,337,36,193,168,1,1,246,0,0,0,0,1,0,0,1,0,647,0,2,649,0
338,338,33,111,94,1,1,358,0,0,1,0,0,0,0,0,0,599,0,3,602,0
339,339,35,119,76,0,1,256,0,0,0,0,0,1,1,0,1,490,0,1,491,0
340,340,32,100,129,0,0,262,1,0,0,0,0,1,0,1,0,526,0,1,527,0
341,341,19,77,77,0,0,239,0,0,0,2,0,0,1,0,1,416,0,0,416,0
342,342,20,133,108,0,0,257,1,0,0,0,0,0,0,1,0,520,0,2,522,0
343,343,30,115,101,1,2,303,2,0,0,1,0,0,0,2,1,558,0,3,561,0
344,344,26,85,85,0,0,261,0,0,0,0,0,0,0,0,0,457,0,2,459,0
345,345,24,132,100,1,0,223,0,0,0,0,0,1,2,0,1,484,0,4,488,0
346,346,25,146,140,1,0,323,1,0,0,0,1,0,0,0,0,637,0,2,639,0
347,347,37,131,141,2,5,413,1,0,2,0,3,3,1,0,0,739,0,1,740,0
348,348,22,131,98,3,0,265,2,0,0,0,1,0,1,1,1,525,0,0,525,0
349,349,22,67,73,1,1,210,0,0,0,0,0,0,0,1,0,375,0,1,376,0
350,350,38,132,119,1,0,405,0,0,1,0,1,0,1,2,0,700,0,1,701,0
351,351,11,71,114,0,3,200,0,0,0,1,0,0,0,0,1,401,0,1,402,0
352,352,17,86,87,0,0,196,1,0,0,0,0,0,0,0,0,387,0,2,389,0
353,353,24,123,87,2,0,188,0,0,0,0,0,0,0,0,4,428,0,0,428,0
354,354,29,123,56,0,0,175,0,0,0,0,0,0,1,0,0,384,0,1,385,0
355,355,21,89,72,1,0,170,0,0,0,0,0,0,0,0,0,353,0,1,354,0
356,356,45,132,161,1,0,301,0,1,0,0,1,0,1,0,1,644,0,4,648,0
357,357,13,84,84,0,0,162,0,0,0,1,0,0,0,1,0,345,0,2,347,0
358,358,22,121,126,0,0,262,0,0,1,1,0,1,0,0,0,534,0,1,535,0
359,359,23,59,98,0,0,237,0,0,0,0,0,0,0,0,0,417,0,0,417,0
360,360,24,118,104,1,1,196,0,0,0,0,1,0,1,0,0,446,0,2,448,0
361,361,34,104,108,1,1,290,2,1,1,1,0,0,1,2,1,547,0,2,549,0
362,362,39,143,137,1,1,316,2,0,0,0,0,1,1,0,1,642,0,3,645,0
363,363,34,129,114,2,1,293,0,0,1,0,0,0,0,0,0,574,0,4,578,0
364,364,23,170,139,0,0,335,0,0,0,1,0,0,1,0,0,669,0,3,672,0
365,365,25,100,73,0,0,159,0,0,0,0,1,0,0,1,0,359,0,0,359,0
366,366,26,88,96,0,0,304,0,0,0,0,0,0,0,0,0,514,0,2,516,0
367,367,16,58,87,0,1,251,0,0,2,1,1,0,0,0,0,417,0,4,421,0
368,368,32,67,88,1,2,264,0,0,0,0,0,0,0,0,0,454,0,1,455,0
369,369,21,137,125,2,1,370,0,0,0,0,1,3,0,0,2,662,0,1,663,0
370,370,34,156,183,0,4,419,0,1,0,0,0,0,1,0,0,798,0,1,799,0
371,371,37,106,114,2,0,409,0,0,0,0,1,0,0,0,0,669,0,1,670,0
372,372,40,101,119,0,2,401,0,0,2,0,0,0,1,1,0,667,0,0,667,0
373,373,46,154,168,4,1,483,2,0,2,0,0,1,1,1,0,863,0,2,865,0
374,374,16,71,74,2,0,292,0,0,1,0,0,1,0,0,0,457,0,2,459,0
375,375,19,60,90,1,0,254,0,0,0,0,1,1,0,2,0,428,0,0,428,0
376,376,31,152,164,1,0,288,1,0,0,0,3,0,0,4,0,644,0,5,649,0
377,377,39,99,104,1,2,323,1,0,0,0,0,0,1,0,1,571,0,2,573,0
378,378,31,93,158,1,1,255,0,0,1,0,0,0,1,0,0,541,0,3,544,0
379,379,13,99,96,0,0,238,0,0,0,0,0,0,0,0,0,446,0,0,446,0
380,380,26,174,201,3,0,404,1,2,0,1,0,0,2,0,2,816,0,3,819,0
381,381,22,131,186,1,0,247,0,1,0,2,0,2,0,0,0,592,0,2,594,0
382,382,46,116,185,0,0,275,0,0,1,0,0,2,1,1,0,627,0,4,631,0
383,383,30,151,156,1,2,317,2,0,0,0,0,0,1,0,0,660,0,1,661,0
384,384,30,121,92,0,0,294,0,0,0,0,0,1,1,2,0,541,0,1,542,0
385,385,19,136,126,1,0,208,0,0,0,0,0,1,1,0,1,493,0,6,499,0
386,386,34,178,173,1,3,311,0,1,1,0,1,1,0,0,0,704,0,4,708,0
387,387,17,109,98,1,0,163,0,0,0,1,0,0,0,0,0,389,0,2,391,0
388,388,19,152,103,2,0,171,0,0,0,1,2,0,0,0,0,450,0,2,452,0
389,389,19,181,155,1,1,239,0,0,1,0,1,1,0,1,0,600,0,3,603,0
390,390,31,171,110,0,0,259,0,0,0,0,0,0,0,0,1,572,0,5,577,0
391,391,22,127,172,1,0,261,0,0,1,0,0,0,0,2,0,586,0,5,591,0
392,392,18,101,72,0,1,247,1,0,0,0,1,0,0,0,0,441,0,1,442,0
393,393,36,168,141,0,1,284,0,0,0,0,0,1,1,0,0,632,0,0,632,0
394,394,32,174,109,3,0,238,1,0,1,1,0,0,1,0,0,560,0,5,565,0
395,395,35,76,81,1,0,249,1,0,0,0,0,0,0,0,1,444,0,1,445,0
396,396,31,125,96,0,0,264,0,0,0,0,1,2,2,1,0,522,0,4,526,0
397,397,24,133,125,2,1,318,1,0,0,1,1,0,0,1,0,607,0,4,611,0
398,398,37,144,130,2,1,420,0,0,2,2,2,0,1,1,1,743,0,3,746,0
399,399,25,146,113,0,0,342,0,2,0,0,1,0,0,0,0,629,0,3,632,0
400,400,33,110,103,0,1,294,1,0,1,0,1,0,0,0,0,544,0,3,547,0
401,401,23,120,113,0,0,301,0,0,0,0,0,1,2,0,0,560,0,1,561,0
402,402,28,110,183,3,0,351,0,0,0,0,0,0,0,0,0,675,0,2,677,0
403,403,23,138,126,5,0,287,1,1,0,1,0,0,1,1,0,584,0,5,589,0
404,404,20,106,107,2,0,243,0,0,0,0,1,0,0,1,1,481,0,2,483,0
405,405,13,156,97,0,3,200,0,0,0,0,0,0,0,0,3,472,0,1,473,0
406,406,17,155,67,0,0,199,2,0,0,0,0,0,0,1,0,441,0,0,441,0
407,407,32,116,66,0,1,289,0,0,0,0,1,1,0,0,0,506,0,1,507,0
408,408,37,209,128,3,0,426,1,1,0,1,0,0,0,0,1,807,0,3,810,0
409,409,37,201,95,0,0,318,0,1,0,1,0,0,0,0,1,654,0,2,656,0
410,410,20,137,77,0,0,144,1,0,0,0,0,0,0,0,1,380,0,0,380,0
411,411,36,128,123,0,0,305,1,0,1,1,0,0,0,0,0,595,0,3,598,0
412,412,39,192,102,0,1,295,0,1,0,0,0,0,1,0,0,631,0,2,633,0
413,413,30,166,94,0,0,272,0,1,2,0,0,1,0,0,0,566,0,2,568,0
414,414,13,102,105,2,1,219,2,1,1,1,0,0,0,0,0,447,0,2,449,0
415,415,17,91,112,2,1,241,1,0,2,0,0,0,0,1,0,468,0,1,469,0
416,416,19,142,87,0,0,217,0,0,0,0,2,1,1,0,0,469,0,4,473,0
417,417,30,87,155,2,1,282,0,0,0,0,1,0,0,1,0,559,0,2,561,0
418,418,24,90,151,2,2,232,0,0,0,1,1,2,0,0,1,506,0,3,509,0
419,419,26,181,136,0,0,245,0,1,0,0,1,1,0,2,0,593,0,0,593,0
420,420,13,154,40,0,0,152,0,0,0,0,1,0,1,1,0,362,0,0,362,0
421,421,61,271,132,1,0,378,0,1,2,1,2,0,1,2,0,852,0,5,857,0
422,422,25,164,72,0,0,250,0,0,0,0,0,0,0,0,0,511,0,1,512,0
423,423,33,130,124,0,0,258,1,0,0,1,0,0,0,0,0,547,0,6,553,0
424,424,26,135,81,2,0,253,0,1,0,0,2,0,1,0,0,501,0,2,503,0
425,425,30,98,98,0,0,268,0,1,0,0,1,0,0,0,0,496,0,2,498,0
426,426,32,73,93,0,0,352,1,1,1,0,0,1,0,0,1,555,0,1,556,0
427,427,22,107,114,0,1,222,0,0,1,0,0,0,0,0,1,468,0,4,472,0
428,428,33,128,92,1,0,276,0,0,0,0,0,0,0,1,0,531,0,1,532,0
429,429,35,132,111,0,0,292,0,0,0,0,1,1,1,1,0,574,0,5,579,0
430,430,17,119,88,0,0,187,0,0,0,0,0,0,3,1,0,415,0,3,418,0
431,431,21,104,75,0,0,152,0,1,0,1,1,0,0,0,1,356,0,1,357,0
432,432,40,254,151,0,0,315,0,0,1,2,0,1,1,0,0,765,0,6,771,1
433,433,33,141,106,1,0,263,3,0,0,1,0,3,0,0,1,552,0,4,556,0
434,434,39,126,77,2,0,332,1,0,1,1,0,0,0,1,1,581,0,1,582,0
435,435,30,126,95,2,0,306,1,1,0,0,0,0,1,0,0,562,0,3,565,0
436,436,27,91,124,1,2,325,1,0,1,0,1,0,2,1,0,576,0,1,577,0
437,437,37,252,130,0,2,318,0,0,2,0,0,2,0,0,0,743,0,4,747,0
438,438,31,154,168,3,1,356,0,0,1,1,1,1,0,0,0,717,0,2,719,0
439,439,27,144,114,0,3,305,0,0,0,0,0,0,0,0,0,593,0,2,595,0
440,440,33,111,132,1,1,355,0,0,0,1,2,4,1,1,3,645,0,1,646,0
441,441,28,89,98,2,1,368,0,0,1,2,0,1,0,0,0,590,0,0,590,0
442,442,32,137,61,2,0,238,0,0,0,0,1,1,0,0,0,472,0,4,476,0
