Polling Station No,SANTHOSH,PRABHAKARA RAJA.A.M.V,VIRUGAI V.N.RAVI,SABARINATHAN.R,SURESHBABU.T.M,BALAMURUGAN.P,MUTHURAJ.T,ROY GEORGE,JAGADISH.S,ALEX PANDIAN.K,ESAKKIMUTHUNADAR.P,EZHILRAJ.D,KARTHICK.M,KUMAR.S,GOPINATH.G,SANKAR.E,CHANDRA SEKAR.K,SABARINATHAN.P,SRINIVASAN.M,DINESHKUMAR.N,RANGARAJ.G,RAVIKUMAR,LUKMANBABU.S,VENKATESAN.C,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
218,23,168,87,226,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,511,0,4,515,0
219,16,115,103,202,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,440,0,4,444,0
220,25,218,143,223,2,0,1,0,3,1,0,1,0,0,0,2,3,1,0,1,0,0,0,0,624,0,3,627,0
221,22,149,98,264,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,539,0,6,545,0
222,21,222,76,293,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,618,0,1,619,0
223,12,161,112,249,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,540,0,5,545,0
224,14,101,55,217,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,392,0,1,393,0
225,28,181,149,305,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,673,0,3,676,0
226,33,123,107,312,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,582,0,3,585,0
227,29,179,107,276,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,596,0,3,599,0
228,33,182,145,292,0,0,1,0,3,1,0,1,2,0,2,0,0,1,2,1,0,0,0,0,666,0,1,667,0
229,28,152,147,318,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,0,0,1,0,652,0,0,652,0
230,16,185,106,308,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,618,0,2,620,0
231,22,183,90,342,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,640,0,4,644,0
232,3,46,100,49,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,1,201,0
233,27,182,84,280,0,0,1,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,580,0,0,580,0
234,22,160,166,245,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,596,0,5,601,0
235,21,150,106,335,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,617,0,2,619,0
236,33,173,132,368,1,0,2,0,2,0,0,0,0,0,0,1,2,1,1,4,0,0,0,0,720,0,2,722,0
237,27,171,85,282,2,1,0,1,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,577,0,2,579,0
238,14,172,84,270,1,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,549,0,1,550,0
239,20,158,83,267,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,532,0,1,533,1
240,28,147,108,204,1,0,0,1,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,494,0,5,499,0
241,25,176,111,285,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,603,0,5,608,0
242,19,176,87,295,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,580,0,3,583,0
243,18,208,143,235,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,612,0,3,615,0
244,19,182,105,267,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,580,0,2,582,0
245,28,169,175,311,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,687,0,11,698,0
246,22,142,215,219,0,1,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,604,0,10,614,0
247,10,102,147,146,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,409,0,2,411,0
248,18,79,189,161,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,450,0,5,455,0
249,15,101,89,169,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,376,0,3,379,0
250,12,115,133,170,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,3,436,0
251,14,149,152,224,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,543,0,7,550,0
252,27,124,113,166,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,435,0,3,438,0
253,31,181,167,239,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,622,0,4,626,0
254,19,129,104,202,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,459,0,4,463,0
255,16,167,169,173,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,530,0,8,538,0
256,29,187,100,196,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,516,0,1,517,0
257,18,201,157,215,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,0,10,604,0
258,9,74,179,89,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,3,359,0
259,30,200,112,263,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,3,610,0
260,11,118,103,193,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,429,0,0,429,0
261,26,204,98,199,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,530,0,1,531,0
262,17,137,86,218,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,462,0,2,464,0
263,18,183,86,249,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,0,2,539,0
264,19,150,77,198,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,451,0,3,454,0
265,25,174,179,238,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,620,0,10,630,0
266,12,140,112,270,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,1,1,0,0,0,542,0,2,544,0
267,9,97,67,165,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,344,0,1,345,0
268,41,136,129,304,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,616,0,2,618,0
269,19,203,109,322,0,0,1,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,660,0,4,664,0
270,34,169,124,269,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,601,0,5,606,0
271,25,147,121,332,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,627,0,0,627,0
272,24,181,109,303,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,624,0,1,625,0
273,17,159,131,316,0,1,0,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,631,0,2,633,0
274,20,139,109,213,0,0,0,0,7,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,493,0,3,496,0
275,16,154,109,248,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,533,0,3,536,0
276,17,110,115,287,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,536,0,2,538,0
277,18,152,125,281,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,4,583,0
278,30,124,110,306,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,572,0,1,573,0
279,18,164,144,341,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,672,0,2,674,0
280,17,136,131,271,1,1,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,564,0,3,567,0
281,33,195,135,335,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,704,0,1,705,0
282,16,143,139,262,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,566,0,1,567,0
283,14,139,63,205,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,424,0,2,426,0
284,5,143,94,294,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,539,0,0,539,0
285,27,155,92,215,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,493,0,2,495,0
286,26,209,80,276,2,1,0,0,2,0,0,0,0,0,1,1,2,2,0,1,0,0,0,0,603,0,3,606,0
287,7,182,123,316,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,632,0,1,633,0
288,13,132,110,336,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,597,0,1,598,0
289,8,122,100,224,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,457,0,1,458,0
290,15,119,93,294,0,1,0,0,3,1,0,0,0,2,1,1,0,0,0,0,1,0,0,0,531,0,0,531,0
291,12,180,126,309,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1,0,0,1,0,635,0,1,636,0
292,9,148,88,292,0,0,4,0,1,0,0,1,0,1,3,0,1,0,0,1,1,0,0,0,550,0,0,550,1
293,9,88,77,244,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,422,0,0,422,0
294,17,177,110,293,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,603,0,3,606,0
295,21,176,161,300,3,0,2,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,671,0,2,673,0
296,26,185,147,346,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,713,0,3,716,0
297,17,109,95,226,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,451,0,0,451,0
298,13,88,88,186,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,378,0,0,378,0
299,17,179,171,241,0,0,0,0,2,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,617,0,4,621,0
300,27,103,100,235,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0,474,0,5,479,0
301,13,125,186,194,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,524,0,3,527,0
302,12,77,56,109,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,261,0,2,263,0
303,17,136,120,231,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,507,0,4,511,0
304,34,204,128,287,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,657,0,8,665,0
305,14,165,127,229,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,540,0,2,542,0
306,16,107,82,153,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,364,0,4,368,0
307,16,164,129,258,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,570,0,5,575,0
308,30,193,108,250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,583,0,10,593,0
309,26,137,129,250,0,1,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,548,0,3,551,1
310,22,157,154,217,0,0,1,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,557,0,4,561,0
311,21,92,94,134,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,1,348,0
