Polling Station No,Polling,A LAMMAGALA,K RAMUKAVLES,R NAHTANAWSIV MAHTAN,S XELA,N L HSEMAR,P NARAKESAJAR,S RAMUKAYAJIV,R LAPOG,NIASU MAHTAS M,C RADNUS,K INABADNAHD,C NAVLESLIMAT,V NADNAKINAM,S MAIKCORA AIRAM,K NAGURUM,C NASEGURUM,S NANAHTRANAJ AMAR,K LEVIDAV,S RAMUKAYAJIV,G NASETAKNEV,P HSETAKNEV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
108,108,20,171,246,1,179,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,622,0,0,622,0
109,109,18,129,141,0,212,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,502,0,1,503,0
110,110,6,171,197,2,119,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,1,502,0,0,502,0
111,111,30,113,271,0,238,2,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,662,0,3,665,0
112,112,14,102,150,2,208,1,1,0,0,0,1,1,0,1,0,1,0,2,1,0,1,486,0,1,487,0
113,113,25,206,255,1,277,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,3,774,0,4,778,0
114,114,6,98,97,5,131,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,1,343,0,1,344,0
115,115,9,110,158,1,119,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,402,0,1,403,0
116,116,18,226,235,1,247,1,0,3,1,0,1,0,1,1,1,2,0,1,1,0,3,743,0,1,744,0
117,117,27,116,131,2,124,0,0,0,2,0,0,2,0,2,0,0,0,1,4,0,2,413,0,0,413,0
118,118,13,158,191,1,110,0,0,1,1,0,0,0,2,0,0,2,0,1,0,1,0,481,0,2,483,0
119,119,16,225,170,2,146,0,0,2,0,0,0,0,0,0,2,0,0,3,0,1,0,567,0,0,567,0
120,120,58,262,274,2,372,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,974,0,2,976,0
121,121,46,216,163,1,173,2,0,1,0,1,0,0,0,0,0,2,1,1,0,0,0,607,0,2,609,0
122,122,50,268,373,2,274,1,0,1,0,0,1,0,0,1,0,0,0,2,1,0,0,974,0,1,975,0
123,123,27,144,235,1,181,2,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,596,0,1,597,0
124,124,24,165,174,0,122,2,0,2,0,0,0,0,0,1,0,3,2,0,2,2,0,499,0,1,500,0
125,125,42,103,207,2,157,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,517,0,0,517,0
126,126,44,228,192,4,272,2,1,4,0,0,0,0,0,0,0,0,2,1,1,0,1,752,0,2,754,0
127,127,35,194,129,0,176,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,536,0,0,536,0
128,128,76,257,262,3,308,2,0,0,0,0,0,0,1,1,0,0,3,4,1,1,2,921,0,2,923,0
129,129,40,248,256,2,240,0,0,2,0,0,0,0,0,0,0,2,1,4,1,1,0,797,0,1,798,0
130,130,33,309,273,2,210,0,0,1,0,1,0,1,1,0,0,1,2,2,0,0,1,837,0,2,839,0
131,131,39,158,255,2,271,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,731,0,5,736,0
132,132,30,182,350,1,212,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,778,0,2,780,0
133,133,32,169,142,0,181,0,0,1,0,0,0,0,0,0,1,0,0,4,5,1,1,537,0,2,539,0
134,134,19,131,115,0,141,1,0,1,0,0,0,0,1,2,1,0,0,2,0,0,0,414,0,1,415,0
135,135,55,173,312,3,181,2,0,0,0,0,0,1,2,2,0,2,0,2,6,0,1,742,0,2,744,0
136,136,30,142,306,2,178,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,662,0,2,664,0
137,137,60,184,321,1,153,1,1,0,0,1,0,0,0,1,0,0,2,2,7,0,0,734,0,4,738,0
138,138,33,160,126,0,199,2,2,0,0,0,0,0,0,0,0,0,0,1,6,0,1,530,0,3,533,0
139,139,47,279,213,7,285,1,0,3,0,0,1,0,0,1,0,3,2,3,1,0,0,846,0,5,851,0
140,140,39,125,89,2,184,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,442,0,2,444,0
141,141,60,211,213,3,225,4,0,0,0,0,0,1,0,2,1,1,1,2,0,0,0,724,0,1,725,0
142,142,66,288,220,0,232,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,813,0,4,817,0
143,143,73,219,303,3,151,0,0,2,0,0,0,0,0,0,1,1,1,3,2,1,2,762,0,5,767,0
144,144,43,167,284,1,174,0,0,0,0,0,0,0,1,0,1,1,0,4,3,0,2,681,0,4,685,0
145,145,13,225,122,2,93,2,1,1,0,0,1,1,0,1,0,3,3,2,0,1,2,473,0,2,475,0
146,146,18,99,190,1,171,0,0,0,0,0,0,0,0,1,0,1,1,2,5,2,2,493,0,2,495,0
147,147,22,172,313,1,125,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,640,0,1,641,0
148,148,16,109,162,1,105,0,0,1,0,1,0,0,0,2,3,2,0,4,4,1,0,411,0,3,414,0
149,149,38,288,407,2,258,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,998,0,2,1000,0
150,150,22,381,274,7,146,0,0,1,2,0,0,1,0,1,2,1,1,4,2,0,0,845,0,2,847,0
151,151,21,132,237,1,129,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,525,0,0,525,0
152,152,17,376,271,0,208,2,0,1,1,0,1,1,2,2,6,6,4,3,4,0,2,907,0,2,909,0
153,153,20,188,318,0,243,0,0,0,0,0,1,0,0,2,0,1,0,0,4,0,2,779,0,1,780,0
154,154,31,238,238,1,177,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,688,0,1,689,0
155,155,31,188,298,2,152,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,675,0,0,675,0
156,156,15,226,187,5,177,0,1,0,0,0,0,1,0,1,1,0,0,1,0,2,1,618,0,1,619,0
157,157,29,268,289,3,174,0,0,0,1,0,0,0,0,2,3,0,0,3,0,1,0,773,0,2,775,0
158,158,33,207,357,2,243,1,0,0,0,0,1,0,0,0,0,0,1,4,2,1,0,852,0,3,855,0
159,159,25,155,295,3,121,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,602,0,2,604,0
160,160,40,165,261,2,142,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,616,0,0,616,0
161,161,31,164,271,2,153,0,0,1,0,0,1,1,0,2,0,2,0,1,2,0,0,631,0,3,634,0
162,162,16,281,182,1,154,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,638,0,2,640,0
163,163,27,206,260,1,209,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,705,0,2,707,0
164,164,32,296,349,4,143,0,0,2,1,0,2,1,1,4,2,2,2,3,0,0,0,844,0,0,844,0
165,165,61,181,291,1,127,0,0,0,0,0,0,0,0,3,0,0,3,3,4,1,1,676,0,0,676,0
166,166,28,419,198,2,192,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,843,0,1,844,0
167,167,42,200,374,2,228,1,7,1,3,0,0,0,0,0,2,1,1,4,1,0,0,867,0,3,870,0
168,168,32,329,247,2,236,2,0,1,0,2,1,1,0,1,3,1,0,6,0,1,0,865,0,0,865,0
