Polling Station No,ELAMATHI SUBRAMANIAN,GOVI.CHEZHIAAN,M.DIVYA BHARATHI,T.M.PURATCHI MANI,KANNAIYAN. T,S.PRABAKARAN,A.VISWANATHAN,ARAVINDARAJ. R,KEERTHIGA. K,SELVARANI. S,M.TAMILMARAN,DHANASEKAR,L.PRABAKARAN,P.MANIKANDAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
29,245,317,24,1,0,229,0,1,1,0,0,0,1,3,822,0,2,824,0
30,221,256,26,1,1,223,0,1,1,0,0,3,0,4,737,0,4,741,0
31,137,279,23,1,1,168,1,0,1,0,1,3,2,2,619,0,0,619,0
32,217,226,20,5,0,202,0,0,0,0,1,3,1,4,679,0,1,680,0
33,216,225,12,2,0,122,1,0,0,0,0,0,0,2,580,0,1,581,0
34,280,157,20,1,0,212,4,0,0,1,0,1,0,6,682,0,4,686,0
35,175,230,20,0,0,218,4,1,0,1,0,1,0,1,651,0,2,653,0
36,83,185,11,0,0,159,1,0,0,0,1,1,0,1,442,0,2,444,0
37,138,376,37,4,2,367,2,0,1,0,2,4,0,3,936,0,3,939,0
38,171,256,29,8,4,275,3,0,0,1,2,1,1,8,759,0,4,763,0
39,124,334,23,5,1,213,0,0,2,0,0,0,3,5,710,0,0,710,0
40,166,334,19,2,1,288,0,0,4,2,0,1,2,3,822,0,1,823,0
41,215,287,16,3,0,319,4,1,0,1,2,0,0,2,850,0,0,850,0
42,227,272,15,12,1,185,0,0,0,1,0,3,1,2,719,0,1,720,0
43,41,527,13,6,0,144,0,0,0,1,0,1,1,0,734,0,2,736,0
44,116,152,6,2,1,112,1,0,0,1,0,1,0,0,392,0,0,392,0
45,104,232,12,1,0,133,0,0,0,0,0,0,0,0,482,0,2,484,0
46,156,282,20,10,0,195,1,1,1,0,1,1,0,2,670,0,1,671,0
47,247,350,27,1,3,203,0,1,0,1,1,1,0,1,836,0,2,838,0
48,131,131,14,1,0,87,1,0,0,0,0,0,1,1,367,0,0,367,0
49,346,302,20,20,2,258,0,0,0,0,3,0,1,3,955,0,2,957,0
50,135,252,10,1,0,107,0,0,0,0,0,0,0,2,507,0,1,508,0
51,e 1186,301,14,3,1,217,2,0,0,1,0,1,0,4,730,0,6,736,0
52,209,195,21,0,1,162,0,0,0,1,1,0,1,3,594,0,2,596,0
53,167,252,10,0,0,181,0,0,0,0,0,1,0,1,612,0,1,613,0
54,143,280,21,5,1,173,1,0,1,0,0,0,2,2,629,0,3,632,0
55,113,256,5,0,1,191,0,0,0,0,1,0,1,4,572,0,2,574,0
56,212,163,9,1,0,115,0,0,0,0,0,1,0,2,503,0,2,505,0
57,259,322,22,4,0,187,1,0,0,1,0,2,0,2,800,0,1,801,0
58,166,358,11,2,0,253,1,0,1,1,0,2,0,3,798,0,2,800,0
59,170,71,14,0,1,87,0,0,0,0,0,0,0,2,345,0,1,346,0
60,226,288,28,13,0,341,3,0,0,2,1,2,1,9,914,0,0,914,0
61,87,450,18,27,1,208,0,0,0,0,0,0,1,1,793,0,3,796,0
62,133,171,22,21,0,246,0,0,0,1,0,0,0,1,595,0,2,597,0
63,14,142,4,3,1,58,0,0,0,0,0,0,0,1,223,0,1,224,0
64,184,251,20,8,0,252,2,1,0,0,0,1,0,1,720,0,3,723,0
65,218,268,11,10,1,258,0,0,0,1,2,1,0,1,771,0,3,774,0
66,79,118,10,13,0,134,0,0,0,0,0,2,1,4,361,0,0,361,0
67,19,133,4,261,0,191,0,1,0,0,2,1,1,0,613,0,2,615,0
68,87,213,5,44,0,255,1,1,0,0,0,0,0,0,606,0,4,610,0
69,155,263,8,18,2,327,1,0,0,2,0,1,1,3,781,0,4,785,0
70,289,200,13,5,0,185,0,1,1,0,0,0,0,1,695,0,1,696,0
71,55,257,9,60,2,202,1,0,0,3,2,0,0,0,591,0,1,592,0
72,131,280,9,3,0,100,0,1,0,0,0,0,1,1,526,0,1,527,0
73,239,172,16,4,0,190,2,0,0,0,1,1,0,0,625,0,1,626,0
74,234,232,16,7,0,244,2,0,0,1,0,0,1,4,741,0,5,746,0
75,214,221,21,5,1,175,0,0,0,1,1,2,1,3,645,0,1,646,0
76,99,132,11,1,0,114,1,0,0,1,0,1,2,1,363,0,2,365,0
77,188,302,28,23,1,226,0,0,1,0,1,0,1,3,774,0,2,776,0
78,130,188,24,2,0,203,1,0,0,1,0,1,2,3,555,0,2,557,0
79,106,292,38,15,1,151,1,0,0,0,0,2,0,7,613,0,2,615,0
80,226,216,10,0,2,194,4,0,0,1,0,2,0,4,659,0,5,664,0
81,228,327,23,3,0,212,2,0,1,1,1,2,3,6,809,0,3,812,0
82,121,392,30,2,0,268,1,1,0,2,2,4,2,4,829,0,3,832,0
83,117,215,27,2,0,212,0,0,0,0,3,0,2,5,583,0,2,585,0
84,100,150,14,2,1,163,0,0,1,1,0,0,1,3,436,0,3,439,0
85,188,400,14,2,2,210,2,1,0,1,0,2,0,4,826,0,3,829,0
86,228,246,21,6,1,212,2,1,1,1,0,0,1,2,722,0,0,722,0
87,255,206,7,1,0,166,2,0,1,0,0,1,1,1,641,0,4,645,0
88,264,243,10,2,1,102,1,0,0,1,0,0,1,1,626,0,3,629,0
89,303,191,19,7,0,147,0,0,0,1,0,4,0,0,672,0,0,672,0
90,121,399,20,7,0,262,1,0,0,1,2,0,0,6,819,0,2,821,0
91,384,296,34,4,1,188,0,0,0,0,1,0,2,2,912,0,5,917,0
92,126,348,31,17,0,261,2,0,1,0,2,3,2,3,796,0,1,797,0
93,167,97,1,0,0,81,0,0,0,0,0,2,0,1,349,0,0,349,0
94,152,218,13,0,0,222,0,0,0,0,0,0,0,2,607,0,3,610,0
95,160,234,8,1,0,136,0,1,1,0,0,0,0,0,541,0,0,541,0
96,96,343,15,4,1,201,0,0,0,0,1,1,0,2,664,0,0,664,0
97,185,270,12,1,0,149,0,1,0,1,0,1,2,0,622,0,1,623,0
98,131,270,17,3,0,139,0,0,0,0,0,0,0,7,567,0,3,570,0
99,190,234,27,7,0,166,1,0,0,0,0,2,2,0,629,0,4,633,0
100,204,178,7,1,1,85,0,0,0,0,0,0,0,2,478,0,4,482,0
101,254,301,33,2,3,233,2,0,0,1,1,1,0,3,834,0,3,837,0
102,e 2224,162,12,0,0,135,0,0,0,1,0,1,0,1,536,0,2,538,0
103,183,297,20,6,1,243,2,0,2,0,1,1,0,1,757,0,2,759,0
104,237,358,24,3,10,304,3,0,0,3,1,2,0,4,949,0,2,951,0
105,350,196,7,14,1,128,1,0,0,0,0,1,1,2,701,0,0,701,0
106,147,169,7,1,0,78,0,0,0,0,0,0,0,1,403,0,1,404,0
107,130,250,17,17,3,185,2,0,0,0,0,1,0,0,605,0,0,605,0
108,327,289,12,11,1,164,1,0,0,0,0,0,1,1,807,0,2,809,0
109,271,228,8,0,0,139,0,0,0,0,0,3,0,1,650,0,1,651,0
110,40,278,6,0,0,64,0,0,0,0,0,0,0,1,389,0,3,392,0
111,165,367,13,2,0,152,0,0,0,1,0,1,1,1,703,0,0,703,0
112,158,215,7,0,0,197,0,0,0,0,0,0,0,1,578,0,0,578,0
113,223,241,32,1,1,194,1,0,1,1,0,0,1,0,696,0,2,698,0
114,149,237,14,7,0,237,2,0,3,0,1,1,0,1,652,0,6,658,0
115,152,140,20,0,1,126,0,1,0,2,0,2,1,3,448,0,1,449,0
116,242,246,35,1,1,232,1,0,1,0,1,1,1,2,764,0,1,765,0
117,234,274,11,0,2,179,0,0,0,0,0,1,1,4,706,0,1,707,0
118,207,232,20,2,1,143,0,0,0,0,0,0,0,0,605,0,0,605,0
119,232,216,7,0,0,167,0,0,0,1,0,0,1,2,626,0,1,627,0
120,205,245,26,0,0,180,1,1,0,0,2,1,0,3,664,0,3,667,0
121,166,211,25,0,2,281,2,1,1,1,1,1,0,1,693,0,1,694,0
122,99,399,14,1,6,267,0,0,0,0,0,1,0,4,791,0,0,791,0
123,302,392,25,2,3,269,1,0,0,0,0,1,1,2,998,0,2,1000,0
124,293,208,25,0,2,140,0,0,1,0,0,0,0,1,670,0,3,673,0
125,172,207,15,0,7,182,1,0,0,0,1,0,0,2,587,0,2,589,0
126,384,259,8,1,4,122,1,0,0,0,0,1,2,2,784,0,0,784,0
127,162,400,40,0,71,270,4,0,0,0,3,1,1,2,954,0,7,961,0
128,97,243,24,4,0,206,0,1,1,1,1,1,0,2,581,0,1,582,0
129,146,273,20,1,4,238,0,1,0,0,0,2,3,3,691,0,2,693,0
130,147,341,22,1,0,264,5,0,0,0,0,1,0,0,781,0,5,786,0
131,19,438,11,2,0,97,0,0,0,1,0,1,0,0,569,0,1,570,0
132,140,149,16,1,0,113,0,0,0,1,0,4,1,1,426,0,1,427,0
133,143,86,19,1,0,140,1,0,0,1,1,0,0,1,393,0,2,395,0
134,12,455,5,0,0,88,0,0,0,0,0,1,0,1,562,0,0,562,0
135,6,221,5,0,0,72,0,0,0,0,1,0,0,0,305,0,2,307,0
136,71,257,31,1,1,206,1,0,0,0,2,1,0,1,572,0,1,573,0
137,83,215,9,3,1,189,0,0,0,0,1,2,0,1,504,0,2,506,0
138,124,148,15,2,2,207,1,2,0,1,0,2,1,3,508,0,1,509,0
139,171,364,19,2,1,315,2,5,0,0,0,1,1,1,882,0,3,885,0
140,109,203,24,0,0,183,0,0,0,0,2,0,0,1,522,0,2,524,0
141,149,233,14,0,1,191,1,0,0,0,0,1,1,2,593,0,1,594,0
142,229,203,12,1,3,255,2,0,0,1,1,4,0,6,717,0,2,719,0
143,205,299,41,0,1,241,0,0,0,0,0,0,1,1,789,0,3,792,0
144,121,217,59,2,0,240,2,0,0,1,2,2,0,1,647,0,3,650,0
145,285,268,29,0,0,213,0,0,0,0,0,2,0,3,800,0,5,805,0
146,76,165,15,0,3,178,1,0,0,0,0,1,1,0,440,0,0,440,0
147,86,140,10,1,1,127,0,0,0,0,0,1,0,1,367,0,0,367,0
148,169,404,17,0,0,306,0,0,1,0,0,1,0,0,898,0,3,901,0
149,69,271,12,2,0,165,0,2,0,0,0,0,0,0,521,0,0,521,0
150,159,287,11,1,1,201,1,0,0,0,0,3,0,0,664,0,5,669,0
151,123,106,19,0,0,193,0,1,0,1,0,0,0,3,446,0,3,449,0
152,88,203,43,3,5,241,1,0,0,0,0,2,0,0,586,0,1,587,0
153,e 3134,108,14,0,1,153,1,1,0,0,0,0,0,0,412,0,1,413,0
154,166,188,11,1,1,192,0,0,0,1,0,2,0,2,564,0,2,566,0
155,158,163,20,0,0,203,1,0,0,0,1,1,0,1,548,0,2,550,0
156,158,222,14,2,1,343,0,2,0,1,0,3,0,1,747,0,5,752,0
157,138,330,20,1,1,332,0,1,2,0,0,3,1,3,832,0,2,834,0
158,246,94,21,0,0,124,0,0,2,0,0,0,0,0,487,0,2,489,0
159,174,255,29,1,0,226,0,0,0,0,0,2,0,2,689,0,4,693,0
160,131,129,18,0,0,311,2,0,0,1,0,2,0,2,596,0,4,600,0
161,166,190,26,0,0,176,2,0,0,1,0,2,0,0,563,0,2,565,0
162,136,198,31,2,2,278,1,0,0,0,0,2,2,3,655,0,1,656,0
163,183,284,29,0,0,272,0,1,1,0,1,1,0,1,773,0,5,778,0
164,140,257,26,5,1,313,0,1,2,1,1,1,0,4,752,0,1,753,0
165,141,255,36,0,1,285,3,0,0,0,0,1,0,1,723,0,1,724,0
166,136,246,21,2,0,213,0,0,0,0,0,2,0,0,620,0,5,625,0
167,115,243,33,0,1,230,1,0,0,1,0,0,0,2,626,0,5,631,0
168,147,300,23,2,0,302,3,0,0,0,0,1,0,0,778,0,3,781,0
169,88,241,20,0,0,244,0,0,2,0,1,0,1,2,599,0,2,601,0
170,112,143,15,1,0,165,0,0,0,0,0,0,0,2,438,0,2,440,0
171,94,197,19,0,0,242,0,0,0,0,0,0,0,1,553,0,2,555,0
172,85,214,11,0,2,203,1,0,1,0,0,1,2,2,522,0,4,526,0
173,116,181,6,0,0,131,0,0,0,0,0,0,1,1,436,0,5,441,0
174,139,268,16,0,0,202,0,0,0,0,0,0,2,0,627,0,3,630,0
175,123,130,15,0,0,132,0,1,0,0,0,0,1,0,402,0,2,404,0
176,188,182,11,1,0,196,1,1,0,0,0,0,0,1,581,0,2,583,0
177,180,238,24,0,1,251,0,0,1,0,1,0,0,2,698,0,7,705,0
178,165,189,10,0,1,221,1,0,0,0,1,0,0,0,588,0,4,592,0
179,189,211,24,0,0,240,1,0,1,0,0,1,0,1,668,0,3,671,0
180,58,187,11,0,0,138,1,0,1,0,0,0,0,1,397,0,5,402,0
181,144,131,19,0,0,152,0,0,0,0,0,1,0,1,448,0,2,450,0
182,160,193,28,0,0,214,1,0,0,1,0,0,2,0,599,0,3,602,0
183,99,463,17,0,0,235,1,0,0,1,1,0,0,2,819,0,0,819,0
184,66,270,18,0,2,184,0,0,0,0,0,0,0,0,540,0,1,541,0
185,126,293,41,1,2,319,3,0,0,1,1,1,2,2,792,0,2,794,0
186,63,149,18,2,0,173,0,1,0,0,0,1,0,2,409,0,3,412,0
187,187,246,25,0,0,244,0,0,0,1,0,1,2,1,707,0,1,708,0
188,117,265,43,0,1,239,3,0,0,1,0,0,0,2,671,0,3,674,0
189,134,258,37,0,0,234,1,0,0,0,0,1,0,0,665,0,4,669,0
190,122,196,19,0,0,248,0,0,0,2,1,0,0,4,592,0,5,597,0
191,114,290,23,0,2,284,1,0,0,0,0,0,0,1,715,0,3,718,0
192,136,316,22,1,0,317,0,0,0,0,0,0,1,1,794,0,5,799,0
193,119,306,13,2,0,394,2,1,0,1,1,2,1,1,843,0,2,845,0
194,101,131,11,0,0,141,0,0,0,0,1,0,2,0,387,0,2,389,0
195,186,234,11,0,2,156,1,0,0,0,0,1,2,1,594,0,2,596,0
196,246,155,5,1,0,141,1,0,0,1,0,0,0,0,550,0,1,551,0
197,174,231,19,0,1,210,0,0,0,2,0,0,1,2,640,0,5,645,0
198,138,256,16,0,1,170,1,0,0,0,0,1,0,0,583,0,3,586,0
199,107,209,39,0,1,267,0,0,0,1,1,0,0,1,626,0,2,628,0
200,89,373,36,1,2,385,1,2,2,1,0,1,2,1,896,0,1,897,0
201,126,274,15,1,1,218,1,0,0,0,0,1,0,1,638,0,3,641,0
202,96,222,22,2,0,261,0,0,3,1,1,0,0,4,612,0,2,614,0
203,236,122,16,0,0,201,0,0,0,0,0,0,0,0,575,0,6,581,0
204,e 4139,111,14,0,0,108,0,1,0,0,1,1,1,2,378,0,0,378,0
205,281,296,35,1,2,344,0,0,0,1,1,1,0,3,965,0,4,969,0
206,124,199,18,0,3,224,0,0,1,2,1,1,1,1,575,0,2,577,0
207,131,158,16,0,0,183,1,0,0,0,1,0,0,3,493,0,3,496,0
208,283,214,26,0,0,176,1,0,0,3,1,0,1,4,709,0,2,711,0
209,169,221,17,0,2,210,0,0,1,1,1,0,0,1,623,0,6,629,0
210,166,156,22,0,0,193,0,1,0,0,0,0,0,2,540,0,5,545,0
211,110,149,6,0,0,85,0,0,0,0,0,0,2,0,352,0,3,355,0
212,61,335,15,2,0,172,0,0,0,0,0,1,1,1,588,0,2,590,0
213,95,184,14,0,0,143,0,1,0,0,1,0,1,3,442,0,1,443,0
214,218,313,25,0,1,242,1,2,0,1,0,1,0,0,804,0,5,809,0
215,188,165,9,1,1,262,3,0,1,0,0,1,0,2,633,0,3,636,0
216,169,233,20,0,0,176,0,1,0,0,0,1,0,0,600,0,2,602,0
217,101,351,12,1,0,209,2,0,0,1,0,1,0,0,678,0,1,679,0
218,62,512,9,0,0,167,1,0,0,0,0,0,0,1,752,0,1,753,0
219,118,357,23,0,2,233,1,0,1,0,0,2,1,2,740,0,3,743,0
220,14,623,7,2,1,81,0,0,0,0,1,0,0,1,730,0,2,732,0
221,22,661,8,6,0,121,0,0,1,0,0,1,0,0,820,0,2,822,0
222,141,224,14,2,3,271,0,0,0,0,0,0,3,2,660,0,2,662,0
223,198,262,20,1,1,196,1,0,0,1,1,1,0,0,682,0,2,684,0
224,144,195,4,1,0,179,2,0,1,0,0,1,0,4,531,0,0,531,0
225,125,161,22,0,1,144,1,0,0,0,2,1,1,1,459,0,4,463,0
226,164,213,30,1,0,224,0,0,0,0,1,0,2,3,638,0,3,641,0
227,79,154,11,0,0,131,0,0,1,0,0,1,1,1,379,0,2,381,0
228,144,213,29,1,2,197,1,0,0,1,0,0,0,2,590,0,2,592,0
229,101,334,12,1,2,246,0,1,0,0,0,0,0,2,699,0,0,699,0
230,164,293,20,0,1,201,1,0,0,0,0,0,0,1,681,0,0,681,0
231,186,247,26,0,0,143,1,1,0,0,0,0,0,4,608,0,4,612,0
232,204,285,19,0,0,198,0,0,0,0,0,0,0,7,713,0,3,716,0
233,183,211,22,0,0,202,1,0,0,1,1,1,0,0,622,0,10,632,0
234,142,169,22,0,1,208,2,0,0,0,1,1,0,3,549,0,0,549,0
235,106,160,14,1,2,132,1,0,0,0,1,0,0,0,417,0,1,418,0
236,81,204,13,0,0,134,0,0,0,0,0,0,0,0,432,0,0,432,0
237,139,187,19,0,3,248,1,0,0,0,0,0,0,2,599,0,4,603,0
238,103,194,12,1,0,182,1,0,0,2,1,0,0,0,496,0,0,496,0
239,153,211,11,0,0,206,8,0,2,1,0,0,1,0,593,0,1,594,0
240,167,260,25,1,0,238,19,1,0,0,1,3,0,0,715,0,6,721,0
241,181,239,25,2,0,197,5,0,0,1,0,1,0,2,653,0,2,655,0
242,139,230,21,1,1,205,2,0,0,1,1,1,0,2,604,0,1,605,0
243,148,230,30,1,0,225,0,0,1,1,0,0,1,2,639,0,0,639,0
244,112,228,26,1,1,251,0,0,0,1,0,3,0,1,624,0,2,626,0
245,134,232,24,1,0,158,1,0,0,0,2,0,0,2,554,0,0,554,0
246,299,202,34,0,0,100,0,0,0,0,0,4,0,0,639,0,5,644,0
247,356,308,29,1,1,216,0,0,0,1,0,2,1,2,917,0,9,926,0
248,136,371,42,1,1,271,1,1,0,0,0,0,0,4,828,0,6,834,0
249,146,166,11,1,1,181,0,1,0,0,0,0,0,1,508,0,4,512,0
250,147,175,20,0,1,158,2,0,0,1,0,0,0,2,506,0,3,509,0
251,182,198,13,0,0,208,2,1,0,0,1,1,0,1,607,0,3,610,0
252,304,221,36,1,1,235,3,1,1,1,0,4,1,2,811,0,5,816,0
253,226,116,24,0,0,84,1,1,0,1,0,0,0,0,453,0,1,454,0
254,238,189,32,0,1,133,1,0,0,0,0,0,0,2,596,0,0,596,0
255,e 5149,234,23,1,0,134,1,8,0,0,0,0,0,1,551,0,2,553,0
256,172,194,14,1,1,167,0,0,0,0,0,3,2,6,560,0,1,561,0
257,240,301,18,0,0,188,0,0,0,1,0,1,0,5,754,0,1,755,0
258,146,271,23,1,1,213,0,0,0,1,1,2,0,1,660,0,6,666,0
259,197,194,22,1,0,260,1,0,1,1,0,2,0,0,679,0,2,681,0
260,215,294,28,0,0,258,0,0,0,0,1,1,2,2,801,0,6,807,0
261,161,256,34,1,0,263,0,0,0,0,0,1,1,5,722,0,4,726,0
262,162,256,14,0,0,198,1,0,0,0,1,0,0,1,633,0,2,635,0
263,227,212,28,1,1,218,1,1,2,0,1,0,1,3,696,0,0,696,0
264,134,387,19,0,2,168,3,0,0,0,0,0,0,2,715,0,1,716,0
265,200,317,30,1,2,196,1,0,0,1,0,1,0,3,752,0,7,759,0
266,189,349,24,0,0,318,1,0,0,1,1,4,3,0,890,0,1,891,0
267,198,366,35,0,0,248,0,0,0,0,1,0,0,0,848,0,3,851,0
268,131,209,18,0,0,281,1,0,3,1,0,2,3,1,650,0,3,653,0
269,120,186,17,0,1,242,2,0,0,0,1,1,1,1,572,0,2,574,0
270,194,184,32,1,4,227,0,2,0,1,1,1,1,3,651,0,5,656,0
271,170,291,25,0,5,328,2,0,1,1,0,2,0,3,828,0,5,833,0
272,147,337,28,0,2,329,0,1,0,0,2,2,2,2,852,0,2,854,0
273,113,223,11,0,0,257,0,1,0,2,5,2,1,3,618,0,0,618,0
274,149,186,21,0,0,271,1,0,0,0,0,1,1,1,631,0,3,634,0
275,39,280,21,0,0,135,0,0,0,0,0,0,0,0,475,0,4,479,0
276,19,355,14,0,0,92,0,0,0,0,0,1,0,1,482,0,0,482,0
277,37,247,8,1,5,171,0,0,0,1,0,0,0,1,471,0,1,472,0
278,77,196,23,2,0,233,0,0,1,0,2,0,1,0,535,0,3,538,0
279,159,290,27,2,1,177,1,0,0,0,0,1,0,0,658,0,4,662,0
280,66,414,9,1,2,182,1,0,0,0,0,0,0,0,675,0,3,678,0
281,20,363,8,2,0,70,0,0,0,0,0,0,0,0,463,0,2,465,0
282,180,252,12,2,2,293,1,0,0,0,0,0,0,0,742,0,1,743,0
283,88,146,11,0,0,81,0,0,1,0,0,2,0,2,331,0,2,333,0
284,29,56,8,0,0,66,0,0,0,1,0,0,0,0,160,0,0,160,0
285,114,379,42,0,0,294,0,0,0,0,0,1,3,3,836,0,2,838,0
286,160,144,17,0,0,304,1,0,0,0,1,0,0,1,628,0,2,630,0
287,86,185,8,0,0,162,0,0,0,0,0,0,0,1,442,0,2,444,0
288,102,191,18,0,0,239,2,0,0,0,0,0,0,0,552,0,1,553,0
289,145,269,36,0,0,291,2,2,0,0,1,1,2,2,751,0,6,757,0
290,256,377,34,0,1,264,1,0,0,0,0,1,1,2,937,0,3,940,0
291,213,284,10,0,1,259,1,0,0,0,0,0,1,2,771,0,1,772,0
292,202,368,19,0,0,286,0,0,0,0,0,0,0,0,875,0,4,879,0
293,215,390,30,1,1,337,0,0,0,0,0,0,1,1,976,0,1,977,0
294,181,453,37,3,2,326,2,0,1,1,1,2,3,1,1013,0,2,1015,0
295,129,324,13,1,1,162,3,1,1,0,0,0,0,2,637,0,2,639,0
296,144,215,16,0,0,202,0,0,0,1,1,1,0,2,582,0,3,585,0
297,138,278,26,1,0,219,0,0,0,0,0,0,0,3,665,0,0,665,0
298,82,245,20,1,0,225,0,0,2,0,0,0,1,3,579,0,3,582,0
299,75,192,24,1,1,180,2,1,1,0,0,0,0,1,478,0,3,481,0
300,165,209,17,0,1,190,0,0,0,0,0,0,0,0,582,0,1,583,0
301,166,181,23,0,0,127,0,0,1,0,0,1,0,3,502,0,0,502,0
302,212,311,33,0,1,360,0,0,0,0,1,1,2,2,923,0,0,923,0
303,181,342,30,0,1,225,0,0,0,0,0,1,1,3,784,0,4,788,0
304,81,88,11,0,0,130,0,0,0,1,0,2,0,1,314,0,2,316,0
305,206,301,28,1,1,285,2,0,0,0,0,1,1,1,827,0,1,828,0
306,e 6229,270,20,0,0,227,0,0,0,0,1,0,1,8,756,0,1,757,0
307,139,321,22,1,2,171,1,0,0,0,0,0,0,5,662,0,0,662,0
308,84,327,18,1,1,222,0,1,0,1,0,2,0,3,660,0,2,662,0
309,92,251,18,1,1,162,0,0,0,0,0,0,1,3,529,0,3,532,0
310,115,257,13,2,0,104,0,0,0,0,1,0,1,2,495,0,1,496,0
311,95,168,25,2,1,204,0,0,1,0,0,0,1,2,499,0,3,502,0
312,143,220,17,0,0,162,0,0,1,0,0,1,1,5,550,0,1,551,0
313,197,282,26,2,0,312,2,0,0,2,0,0,1,0,824,0,4,828,0
314,179,211,19,1,1,209,0,0,0,0,0,0,0,0,620,0,0,620,0
315,311,237,17,0,1,207,1,0,0,0,0,0,0,1,775,0,5,780,0
316,121,139,27,0,0,225,0,0,1,1,1,0,0,1,516,0,2,518,0
317,119,228,29,0,0,198,0,0,0,0,0,0,0,1,575,0,2,577,0
318,210,246,30,1,0,233,1,1,0,0,0,0,0,0,722,0,2,724,0
319,157,166,11,0,1,119,2,0,0,0,0,0,0,2,458,0,1,459,0
320,226,268,15,1,0,237,0,0,2,1,1,0,0,2,753,0,6,759,0
321,144,149,19,0,0,157,0,0,1,0,0,1,1,1,473,0,1,474,0
322,197,247,28,1,0,261,1,0,0,1,1,0,2,3,742,0,4,746,0
323,158,221,22,0,1,187,0,0,1,0,0,1,1,2,594,0,3,597,0
324,114,145,15,0,3,179,1,0,0,0,0,0,0,1,458,0,1,459,0
325,183,152,12,1,0,150,0,1,0,1,1,0,0,1,502,0,1,503,0
326,177,166,10,1,0,120,0,0,0,0,1,0,0,1,476,0,1,477,0
