Polling Station No,SABARI KARTHIKEYAN K.V.K.S,DAMODARAN S,BANUPRIYA M,MARIYAPPAN R,VIGNESH K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
198,190,238,46,0,337,811,0,4,815,0
199,195,93,14,4,261,567,0,4,571,0
200,273,107,24,0,329,733,0,6,739,0
201,303,297,43,4,366,1013,0,10,1023,0
202,231,277,42,3,423,976,0,6,982,0
203,186,417,26,3,257,889,0,5,894,0
204,196,146,18,1,261,622,0,7,629,0
205,297,309,32,4,323,965,0,9,974,0
206,396,174,15,2,284,871,0,4,875,0
207,303,225,31,5,372,936,0,5,941,0
208,196,189,28,1,279,693,0,3,696,0
209,155,197,45,1,355,753,0,5,758,0
210,247,202,18,4,337,808,0,4,812,0
211,228,166,47,0,355,796,0,7,803,0
212,181,234,35,2,335,787,0,4,791,0
213,176,155,28,2,258,619,0,5,624,0
214,300,170,35,2,351,858,0,5,863,0
215,168,134,26,0,185,513,0,4,517,0
216,172,152,25,1,228,578,0,1,579,0
217,248,125,36,4,390,803,0,3,806,0
218,183,116,20,3,261,583,0,0,583,0
219,172,60,13,1,299,545,0,5,550,0
220,151,127,30,0,262,570,0,1,571,0
221,196,303,48,1,282,830,0,6,836,0
222,266,64,22,0,207,559,0,3,562,0
223,307,63,20,0,214,604,0,0,604,0
224,229,141,31,5,324,730,0,9,739,0
225,131,135,28,0,224,518,0,4,522,0
226,136,128,36,1,228,529,0,3,532,0
227,138,108,34,0,250,530,0,3,533,0
228,169,157,9,0,140,475,0,3,478,0
229,235,266,36,0,271,808,0,6,814,0
230,202,286,31,0,311,830,0,4,834,0
231,276,266,53,4,331,930,0,7,937,0
232,274,257,34,4,365,934,0,6,940,0
233,229,289,31,1,246,796,0,5,801,0
234,169,180,27,0,224,600,0,3,603,0
235,172,190,29,0,189,580,0,5,585,0
236,233,122,17,2,212,586,0,1,587,0
237,327,130,35,2,240,734,0,5,739,0
238,239,205,31,2,356,833,0,7,840,0
239,199,164,18,1,324,706,0,3,709,0
240,111,123,12,1,245,492,0,3,495,0
241,160,216,21,1,348,746,0,3,749,0
