Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
103,22,53,145,0,0,234,0,1,0,0,0,0,1,1,0,0,0,457,0,457,0
104,24,76,149,0,0,178,1,0,0,0,1,0,0,0,0,4,4,433,0,433,0
105,31,114,260,1,0,312,0,0,0,0,0,1,2,0,0,4,4,725,0,725,0
106,41,117,198,0,1,332,0,0,0,0,0,0,1,1,1,3,3,695,0,695,0
107,31,66,153,0,0,223,1,0,0,1,0,0,0,1,0,2,2,478,0,478,0
108,34,141,172,1,0,295,0,0,0,0,0,0,1,1,0,1,1,646,0,646,0
109,34,165,213,2,1,430,1,0,0,0,0,1,0,0,0,9,9,856,0,856,0
110,38,139,189,0,0,326,0,1,0,0,0,0,0,1,0,4,4,698,0,698,0
111,37,102,229,1,0,343,1,0,0,0,0,0,0,0,0,5,5,718,0,718,0
112,43,85,200,0,0,334,0,1,0,0,0,0,0,0,0,4,4,667,0,667,0
113,17,40,168,0,2,306,0,0,2,0,0,0,0,0,0,2,2,537,0,537,0
114,19,70,217,0,0,337,1,0,0,0,0,0,0,1,0,1,1,646,0,646,0
115,37,76,226,1,0,360,0,1,0,0,0,0,0,1,1,2,2,705,0,705,0
116,33,67,159,0,0,267,0,1,0,0,0,0,0,0,2,1,1,530,0,530,0
117,31,80,262,0,1,444,1,3,0,1,0,0,0,0,0,5,5,828,0,828,0
118,21,109,270,4,2,257,0,0,1,0,1,0,0,1,0,7,7,673,0,673,0
119,29,117,167,0,0,266,0,0,0,0,0,0,0,0,1,4,4,584,0,584,0
120,42,104,196,2,1,284,0,0,0,0,0,0,1,1,0,5,5,636,0,636,0
121,28,120,182,1,0,282,1,0,1,1,0,0,0,2,1,9,9,628,0,628,0
122,37,122,293,1,2,372,1,0,0,0,0,0,0,2,0,1,1,831,0,831,0
123,31,126,156,1,1,350,0,1,1,0,1,1,0,1,0,2,2,672,0,672,0
124,14,72,167,0,0,236,0,0,0,0,0,0,0,0,0,0,0,489,0,489,0
125,30,122,185,3,0,289,1,0,1,0,0,0,1,0,0,6,6,638,0,638,0
126,22,89,153,2,1,220,0,0,0,0,1,0,0,0,1,6,6,495,0,495,0
127,26,115,145,0,0,220,0,0,0,0,0,0,1,0,1,5,5,513,0,513,0
128,36,93,139,1,0,196,0,0,0,0,1,0,0,0,0,7,7,473,0,473,0
129,20,132,186,1,0,277,0,0,0,0,1,0,2,0,0,2,2,621,0,621,0
130,11,76,146,0,1,167,0,0,1,1,0,1,0,0,0,1,1,405,0,405,0
131,26,95,170,1,1,203,0,1,0,0,0,0,0,0,1,6,6,504,0,504,0
132,26,147,178,0,1,270,0,7,0,0,1,0,2,0,0,2,2,634,0,634,0
133,18,87,191,2,1,188,0,0,0,0,5,0,0,1,1,4,4,498,0,498,0
134,17,90,204,0,0,188,1,0,0,0,3,0,1,0,2,2,2,508,0,508,0
135,30,87,172,0,1,238,0,1,0,0,0,0,0,0,0,3,3,532,0,532,0
136,13,71,102,0,0,159,0,0,0,0,0,0,0,0,0,0,0,345,0,345,0
137,21,78,109,0,1,211,1,0,0,0,1,0,1,1,0,1,1,425,0,425,0
138,27,116,173,0,0,208,2,0,0,0,0,0,0,0,0,2,2,528,0,528,0
139,41,85,155,2,0,252,0,0,0,1,1,0,0,1,0,0,0,538,0,538,0
140,30,88,183,0,1,329,0,0,0,0,0,0,1,0,0,0,0,632,0,632,0
141,31,142,227,0,1,410,1,1,0,0,0,0,0,0,1,3,3,817,0,817,0
142,24,65,167,1,0,310,0,1,1,1,1,0,0,0,0,2,2,573,0,573,0
143,10,84,192,1,2,358,0,1,0,0,0,0,1,2,0,1,1,652,0,652,0
144,14,88,250,0,1,314,0,0,1,0,0,0,0,1,1,0,0,670,0,670,0
145,23,93,208,0,2,380,2,0,0,0,1,0,0,3,0,0,0,712,0,712,0
146,18,97,248,0,0,229,1,0,0,1,1,1,0,1,0,0,0,597,0,597,0
147,15,62,306,1,0,179,0,0,0,0,0,0,1,0,0,2,2,566,0,566,0
148,9,110,162,0,0,200,1,0,0,0,0,0,0,0,0,1,1,483,0,483,0
149,18,145,221,0,0,245,1,0,0,0,0,0,0,2,0,2,2,634,0,634,0
150,13,121,164,0,0,143,1,0,0,0,0,0,0,1,0,3,3,446,0,446,0
151,28,117,248,1,0,202,0,0,0,0,0,1,0,0,0,2,2,599,0,599,0
152,20,80,155,2,0,150,0,0,0,0,0,1,0,0,0,3,3,411,0,411,0
153,14,160,255,2,0,191,0,0,0,0,0,0,0,0,0,5,5,627,0,627,0
154,8,45,293,0,0,149,0,0,0,0,0,0,1,0,0,6,6,502,0,502,0
155,13,117,188,0,1,201,0,0,0,0,0,1,0,2,0,2,2,525,0,525,0
156,18,81,247,1,0,212,0,1,1,1,0,0,1,2,1,5,5,571,0,571,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,17,86,215,2,0,233,0,0,0,0,0,0,0,1,0,3,3,557,0,557,0
159,28,146,273,0,1,259,0,0,0,0,0,0,0,1,0,2,2,710,0,710,0
160,12,108,218,0,0,201,0,0,1,0,0,0,1,1,0,3,3,545,0,545,0
161,11,95,220,0,0,159,0,0,1,1,0,0,0,0,0,1,1,488,0,488,0
162,19,150,262,1,0,240,1,0,1,0,1,1,1,1,0,1,1,679,0,679,0
163,27,98,269,2,0,263,0,0,1,1,0,0,0,0,0,2,2,663,0,663,0
164,19,97,287,1,1,240,1,0,0,1,0,1,2,0,0,1,1,651,0,651,0
165,16,84,255,1,1,205,0,1,0,1,1,0,0,1,0,1,1,567,0,567,0
166,23,64,257,0,5,274,0,0,1,0,0,1,1,1,0,3,3,630,0,630,0
167,24,82,225,0,0,180,0,0,0,0,0,0,0,1,0,0,0,512,0,512,0
168,8,72,147,0,0,236,0,0,0,0,0,0,0,0,1,0,0,464,0,464,0
169,13,91,214,1,0,242,0,0,0,0,0,0,0,0,0,2,2,563,0,563,0
170,31,80,237,3,0,265,0,0,1,0,0,0,2,1,0,6,6,626,0,626,0
171,21,81,246,1,0,283,1,0,0,0,0,0,0,1,0,2,2,636,0,636,0
172,40,105,283,0,0,320,0,0,0,0,0,0,0,0,0,5,5,753,0,753,0
173,16,45,158,0,1,171,0,0,0,0,0,0,0,1,0,2,2,394,0,394,0
174,16,84,264,0,2,301,0,0,0,0,0,0,1,0,0,1,1,669,0,669,0
175,18,48,256,1,0,290,3,0,0,0,0,0,0,1,0,2,2,619,0,619,0
176,7,55,153,1,2,171,2,0,0,0,0,0,1,1,0,0,0,393,0,393,0
177,7,67,192,0,0,204,1,0,0,0,0,0,0,0,0,1,1,472,0,472,0
178,21,105,225,0,1,215,1,1,0,2,0,0,1,1,0,3,3,576,0,576,0
179,12,47,191,1,1,162,0,0,0,0,0,0,1,0,0,1,1,416,0,416,0
180,14,57,191,1,0,144,0,0,0,0,0,1,0,0,0,4,4,412,0,412,0
181,20,71,255,1,0,252,0,1,0,0,0,0,0,0,1,3,3,604,0,604,0
182,18,57,230,0,0,194,0,0,1,0,0,0,0,0,0,1,1,501,0,501,0
183,13,97,196,0,0,133,0,0,0,0,0,0,0,1,1,2,2,443,0,443,0
184,16,140,240,0,0,211,1,0,2,0,0,0,0,0,0,2,2,612,0,612,0
185,21,79,140,0,0,151,0,0,0,1,0,0,0,0,0,4,4,396,0,396,0
186,28,78,168,0,1,200,1,0,0,0,0,0,0,0,0,2,2,478,0,478,0
187,21,75,212,0,1,145,1,1,1,0,0,0,1,0,0,6,6,464,0,464,0
188,20,64,186,0,2,154,0,0,0,0,0,0,0,0,0,1,1,427,0,427,0
189,21,110,214,1,0,215,0,0,0,0,0,0,0,0,0,7,7,568,0,568,0
190,6,45,153,0,1,103,1,0,0,0,0,0,0,0,0,3,3,312,0,312,0
191,11,85,202,0,0,149,1,0,0,0,0,0,0,0,0,0,0,448,0,448,0
192,9,75,179,1,0,153,0,0,0,0,0,0,1,0,0,1,1,419,0,419,0
193,26,135,340,5,0,320,0,0,1,1,0,0,0,2,1,2,2,833,0,833,0
194,22,114,175,0,0,258,0,1,2,0,0,0,0,0,0,3,3,575,0,575,0
195,8,66,140,0,1,221,1,0,0,0,0,1,0,0,0,1,1,439,0,439,0
196,12,89,143,0,1,213,0,0,1,0,0,0,0,1,1,2,2,463,0,463,0
197,13,51,121,0,1,136,0,0,0,0,0,0,0,0,0,0,0,322,0,322,0
198,14,57,101,1,0,163,0,0,0,0,1,0,0,0,0,3,3,340,0,340,0
199,17,87,264,1,1,227,0,0,0,0,0,0,0,1,0,1,1,599,0,599,0
200,32,136,294,1,1,245,0,1,0,0,0,0,0,0,2,3,3,715,0,715,0
201,20,97,197,0,0,173,1,0,0,0,0,0,0,0,0,5,5,493,0,493,0
202,50,109,327,0,0,292,2,1,0,0,0,0,1,1,0,7,7,790,0,790,0
203,25,63,180,1,0,212,0,3,0,0,0,0,1,0,0,2,2,487,0,487,0
204,11,83,219,0,0,276,1,0,0,0,1,1,0,0,0,2,2,594,0,594,0
205,24,113,329,1,2,301,0,0,0,0,0,0,0,1,0,3,3,774,0,774,0
206,11,86,285,1,1,222,0,0,0,0,0,0,0,0,0,4,4,610,0,610,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,33,222,200,0,0,396,1,0,0,0,1,0,1,2,0,7,7,863,0,863,0
209,49,252,187,3,1,486,1,0,0,0,0,0,1,0,0,3,3,983,0,983,0
210,35,302,247,1,0,470,1,0,0,0,1,0,0,0,0,4,4,1061,0,1061,0
211,48,150,248,0,2,400,0,1,1,0,0,0,1,0,2,3,3,856,0,856,0
212,32,126,248,2,0,319,0,0,0,0,0,0,0,1,0,0,0,728,0,728,0
213,39,141,189,0,0,345,1,0,1,0,0,0,0,0,1,5,5,722,0,722,0
214,40,146,204,1,3,333,1,0,0,0,0,0,0,0,0,6,6,734,0,734,0
215,19,225,120,2,1,161,1,1,0,0,1,0,0,0,1,1,1,533,0,533,0
216,26,532,164,2,0,273,0,1,0,0,1,0,0,0,2,2,2,1003,0,1003,0
217,25,111,163,1,0,283,0,1,1,0,1,1,0,3,0,2,2,592,0,592,0
218,34,168,194,2,0,370,1,0,0,0,1,0,0,1,0,3,3,774,0,774,0
219,19,121,132,0,3,304,0,1,0,0,0,0,0,0,0,2,2,582,0,582,0
220,18,146,208,1,1,270,2,0,0,1,1,0,1,2,0,3,3,654,0,654,0
221,15,86,116,0,2,164,0,0,0,0,1,0,0,2,0,1,1,387,0,387,0
222,14,55,78,0,0,142,0,0,0,0,0,0,0,1,1,2,2,293,0,293,0
223,12,47,113,1,0,299,0,0,1,0,0,0,0,1,1,2,2,477,0,477,0
224,5,65,84,0,0,156,0,0,0,0,0,0,0,0,2,2,2,314,0,314,0
225,19,96,169,2,2,175,1,1,0,0,0,0,0,0,0,1,1,466,0,466,0
226,29,81,152,3,0,230,1,0,0,0,0,0,0,1,0,1,1,498,0,498,0
227,17,96,103,0,1,179,1,0,0,0,0,0,0,1,1,2,2,401,0,401,0
228,46,204,253,1,0,288,1,0,0,0,0,0,0,1,0,3,3,797,0,797,0
229,5,58,47,0,0,81,0,0,0,0,0,0,0,0,1,4,4,196,0,196,0
230,15,56,117,0,0,208,0,0,0,0,0,0,2,0,0,0,0,398,0,398,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,24,100,213,1,0,255,0,0,1,0,0,0,0,0,0,2,2,596,0,596,0
233,17,106,261,0,0,307,1,0,0,0,0,0,1,0,0,3,3,696,0,696,0
234,26,160,347,1,2,428,0,0,1,1,0,2,2,2,0,1,1,973,0,973,0
235,29,102,428,2,0,363,1,1,1,0,0,0,1,1,1,2,2,932,0,932,0
236,24,122,174,0,0,238,2,0,0,0,0,1,0,1,0,1,1,563,0,563,0
237,29,87,199,0,3,248,0,0,1,0,0,0,0,0,0,0,0,567,0,567,0
238,21,79,159,1,2,261,0,0,1,0,0,0,0,0,0,3,3,527,0,527,0
239,30,147,185,2,1,237,1,0,0,0,0,0,0,0,1,6,6,610,0,610,0
240,29,111,158,0,0,183,0,0,0,0,0,0,0,0,0,2,2,483,0,483,0
241,34,129,197,1,1,368,1,1,1,0,1,1,0,1,0,2,2,738,0,738,0
242,21,173,154,0,0,243,0,0,0,0,0,0,2,1,3,3,3,600,0,600,0
243,31,127,333,0,0,365,1,0,0,0,0,0,1,0,0,2,2,860,0,860,0
244,21,133,236,0,0,351,0,0,0,0,0,0,0,0,0,2,2,743,0,743,0
245,12,151,231,1,0,317,2,0,0,0,1,0,1,1,0,1,1,718,0,718,0
246,18,159,299,0,2,358,1,0,0,0,1,0,0,2,1,2,2,843,0,843,0
247,16,133,148,0,0,150,0,0,0,0,0,0,0,0,0,3,3,450,0,450,0
248,34,145,154,1,0,201,1,0,0,0,0,0,1,0,0,2,2,539,0,539,0
249,25,129,178,1,0,208,0,1,0,0,0,0,0,1,0,3,3,546,0,546,0
250,38,144,196,0,3,204,1,1,0,0,0,0,0,1,1,2,2,591,0,591,0
251,35,131,164,1,0,217,0,0,0,0,1,0,1,0,0,4,4,554,0,554,0
252,37,157,173,0,1,305,0,0,0,0,1,0,0,0,0,3,3,677,0,677,0
253,16,101,159,0,1,204,0,0,0,0,0,0,0,0,0,4,4,485,0,485,0
254,19,95,143,0,1,145,0,0,0,0,0,0,0,0,2,0,0,405,0,405,0
255,21,106,194,0,1,208,1,0,0,0,0,0,0,0,0,3,3,534,0,534,0
256,31,133,149,0,0,244,0,1,1,0,0,0,0,0,1,5,5,565,0,565,0
257,37,162,210,0,0,231,0,0,0,0,0,0,2,1,0,2,2,645,0,645,0
258,45,130,220,0,1,233,0,0,1,1,1,0,0,0,0,11,11,643,0,643,0
259,22,102,211,0,0,224,0,0,0,0,1,0,0,1,0,1,1,562,0,562,0
260,17,145,222,0,0,261,0,0,0,1,1,0,0,0,0,3,3,650,0,650,0
261,28,194,206,3,0,283,1,0,1,0,0,1,0,0,0,1,1,718,0,718,0
262,26,112,169,2,0,224,0,0,0,0,0,1,1,0,0,4,4,539,0,539,0
263,27,108,207,1,1,190,1,0,0,0,0,0,1,0,0,1,1,537,0,537,0
264,23,96,128,0,0,173,0,0,0,1,0,0,1,0,0,2,2,424,0,424,0
265,48,144,203,0,1,385,2,0,0,0,0,0,1,0,0,5,5,789,0,789,0
266,25,108,142,1,0,260,1,0,0,0,1,0,0,0,0,2,2,540,0,540,0
267,25,120,149,0,0,278,2,0,0,0,0,1,0,1,0,3,3,579,0,579,0
268,30,239,317,2,1,375,0,1,0,0,0,0,0,0,1,5,5,971,0,971,0
269,30,240,163,0,1,398,2,0,0,0,0,0,0,0,1,1,1,836,0,836,0
270,18,151,170,2,2,415,0,0,0,0,0,0,0,0,0,4,4,762,0,762,0
271,17,257,105,1,1,240,2,0,0,0,0,0,0,1,0,2,2,626,0,626,0
272,39,241,155,0,0,380,0,0,0,0,0,0,1,0,0,3,3,819,0,819,0
273,17,191,144,0,0,274,1,0,0,0,0,0,0,2,0,3,3,632,0,632,0
274,24,247,128,2,0,251,1,0,0,0,1,0,0,0,0,1,1,655,0,655,0
275,30,183,185,2,1,291,4,2,1,0,0,0,0,1,1,5,5,706,0,706,0
276,60,189,214,2,2,342,1,0,1,0,0,0,0,0,0,8,8,819,0,819,0
277,37,139,179,3,0,296,0,0,0,0,0,0,1,1,0,5,5,661,0,661,0
278,57,243,206,1,0,392,2,1,1,0,0,0,0,2,0,0,0,905,0,905,0
279,51,241,203,1,3,482,4,0,1,1,1,0,0,2,1,2,2,993,0,993,0
280,22,193,164,0,1,324,1,0,0,1,1,0,0,1,0,0,0,708,0,708,0
281,57,126,146,0,2,423,0,2,0,0,0,0,0,0,2,2,2,760,0,760,0
282,39,261,244,1,2,429,0,0,2,0,0,0,0,0,0,2,2,980,0,980,0
283,22,225,215,0,0,449,0,0,2,0,0,1,0,0,1,8,8,923,0,923,0
284,27,122,279,0,3,358,0,0,1,0,0,0,0,3,2,3,3,798,0,798,0
285,25,169,216,2,4,532,2,0,0,0,0,0,0,2,1,0,0,953,0,953,0
286,38,115,317,1,0,327,0,0,0,0,0,0,0,2,1,7,7,808,0,808,0
287,10,77,255,1,0,216,0,1,0,0,0,1,1,2,0,1,1,565,0,565,0
288,34,344,204,1,7,346,1,0,1,0,0,0,1,1,1,1,1,942,0,942,0
289,8,230,105,0,1,178,0,0,0,1,0,0,0,0,0,2,2,525,0,525,0
290,13,223,94,0,4,176,0,0,0,0,0,0,0,1,1,1,1,513,0,513,0
291,25,194,249,2,1,408,1,2,1,0,0,1,1,3,1,3,3,892,0,892,0
292,28,167,218,0,1,365,1,0,0,0,0,0,2,2,0,6,6,790,0,790,0
293,32,227,177,3,5,321,1,0,0,0,0,0,0,1,0,1,1,768,0,768,0
294,19,150,202,3,1,278,0,0,0,1,0,0,0,0,1,2,2,657,0,657,0
295,29,172,194,0,1,324,1,0,0,0,0,0,0,0,1,4,4,726,0,726,0
296,35,163,257,1,1,347,1,4,0,0,0,0,0,0,1,5,5,815,0,815,0
297,17,147,233,2,1,354,2,0,0,0,1,0,1,2,0,1,1,761,0,761,0
298,26,111,197,1,4,261,0,0,0,0,0,0,1,0,0,3,3,604,0,604,0
299,28,296,199,2,0,276,3,0,1,2,0,1,0,2,0,11,11,821,0,821,0
300,42,166,289,3,2,452,0,0,1,0,0,0,0,1,2,3,3,961,0,961,0
301,16,135,152,0,1,297,0,0,0,0,0,1,0,0,0,2,2,604,0,604,0
302,3,79,183,1,0,135,0,0,0,0,0,0,0,0,0,1,1,402,0,402,0
303,12,97,231,0,1,243,0,0,0,0,0,0,0,1,0,2,2,587,0,587,0
304,7,84,119,0,1,109,0,0,1,0,0,0,1,1,1,3,3,327,0,327,0
305,23,241,270,2,2,303,0,1,0,0,0,0,1,0,3,2,2,848,0,848,0
306,19,166,195,3,0,180,1,0,1,0,1,0,0,1,0,0,0,567,0,567,0
307,15,201,236,0,0,277,0,0,0,1,0,0,0,2,1,1,1,734,0,734,0
308,32,218,255,0,1,301,1,3,0,0,0,0,0,0,0,2,2,813,0,813,0
309,45,219,307,1,0,419,1,0,0,0,0,0,1,1,0,7,7,1001,0,1001,0
310,44,217,305,0,1,392,0,0,0,0,0,0,0,0,0,5,5,964,0,964,0
311,30,207,260,1,0,409,2,0,0,0,1,0,0,1,1,5,5,917,0,917,0
