Polling Station No,P. SANTHANA KRISHNAN,SUBASHINI,SOUNDARA PANDIAN LUDER SETH,M. K. STALIN,AATHITHYA,E. RAAMADASAN,OORMILA,K. ELUMALAI,SIVAGNANASAM,S.Y. SYED YUSUF,V. S. BABU,ARUL DOSS. A.,KAJA MAIDEEN,V. A. SUDHAKAR,M. SURESH,J. SURIYA MUTHU,R. SENTHIL KUMAR,SELVI STEFFI. V. M,NANDA KUMAR,A. L. NARESH KUMAR,V. NARESH BABU,K. PANNEER SELVAM,S. BALACHANDAR,R. BALAJI,M. POORNIMA,R. MAHESH,P. MILANY,R. RAVIKUMAR,R. RAJ GURU,RAJA. G.,A. RAJI,M. RAJESHKUMAR,VIGIRDHAN,FARMER JAYARAMAN. S K J.,S. SHARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
54,73,1,14,222,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,569,0,6,575,0
55,95,0,17,217,0,0,0,0,2,0,222,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,558,0,4,562,0
56,92,0,24,215,1,0,1,0,0,2,256,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,596,0,9,605,0
57,75,0,22,230,0,0,0,0,0,1,230,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,564,0,4,568,0
58,30,0,15,165,0,0,3,0,0,0,191,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,409,0,1,410,0
59,82,1,24,199,1,0,1,0,0,3,231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,545,0,2,547,0
60,41,1,21,412,1,0,0,0,0,0,313,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,795,0,2,797,0
61,58,2,15,360,2,0,0,0,0,2,299,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,2,743,0
62,53,0,20,306,0,0,0,1,0,3,306,0,1,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,699,0,1,700,0
63,56,3,11,287,0,0,0,0,0,2,267,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,632,0,1,633,0
64,25,1,13,256,1,1,0,0,0,3,319,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,6,0,0,632,0,2,634,0
65,78,0,12,268,1,0,0,0,0,4,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,653,0,1,654,0
66,55,4,10,265,0,0,1,0,0,2,327,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,668,0,3,671,0
67,85,0,30,314,0,0,0,0,0,2,281,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,718,0,2,720,0
68,62,0,20,253,0,0,0,0,0,2,229,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,568,0,3,571,0
69,84,0,17,234,0,0,0,0,0,2,260,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,600,0,3,603,0
70,77,0,30,285,0,0,1,0,0,4,270,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,671,0,2,673,0
71,75,1,16,315,0,0,0,0,0,2,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,700,0,10,710,0
72,71,0,25,274,0,0,4,0,1,0,244,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,623,0,5,628,0
73,98,0,24,187,2,0,1,0,0,0,240,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,559,0,1,560,0
74,71,2,29,302,0,0,0,0,0,3,298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,710,0,3,713,0
75,86,1,30,178,0,0,1,0,1,4,482,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,790,0,2,792,0
76,76,1,22,179,2,0,0,2,0,3,415,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,707,0,3,710,1
77,92,0,26,212,1,0,0,0,0,1,305,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,638,0,8,646,0
78,84,1,29,178,2,0,0,1,0,1,411,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,712,0,2,714,0
79,ge 1 108,1,11,195,0,0,0,0,0,4,438,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,762,0,1,763,0
80,72,2,15,253,1,0,0,1,0,2,338,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,690,0,1,691,0
81,64,2,28,254,1,0,2,0,0,2,235,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,4,596,0
82,52,0,35,183,0,0,0,0,0,1,409,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,685,0,1,686,0
83,63,1,33,238,1,0,0,1,0,1,396,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,737,0,2,739,0
84,64,3,33,242,1,1,2,0,0,2,400,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,756,0,5,761,0
85,93,1,18,241,1,0,0,0,0,5,407,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,770,0,0,770,0
86,63,1,28,209,0,0,0,0,0,1,466,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,2,0,3,0,0,0,0,1,1,780,0,2,782,0
87,74,0,25,186,1,0,0,0,0,1,473,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,767,0,1,768,0
88,42,1,18,189,1,0,0,0,0,5,177,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,438,0,4,442,0
89,62,1,16,282,0,0,0,0,0,3,351,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,722,0,3,725,0
90,78,1,28,203,0,0,1,0,0,1,245,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,561,0,3,564,0
91,124,0,24,229,0,1,0,0,0,1,315,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,698,0,1,699,0
92,108,1,15,214,2,0,0,0,1,0,292,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,640,0,3,643,0
93,91,1,23,185,0,1,0,0,0,2,275,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,582,0,3,585,0
94,89,1,19,293,1,0,0,0,0,4,368,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,780,0,4,784,0
95,68,1,22,192,0,0,1,0,0,0,266,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,557,0,3,560,0
96,66,1,22,187,0,0,0,0,0,0,252,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,534,0,1,535,0
97,61,0,32,204,0,0,0,1,0,1,267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,570,0,1,571,0
98,92,1,15,175,0,0,0,0,0,3,278,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,567,0,5,572,0
99,79,1,9,182,0,0,0,0,0,1,267,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,541,0,1,542,0
100,104,2,16,258,1,0,1,0,0,0,362,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,750,0,2,752,0
101,73,0,18,328,1,0,1,0,0,3,307,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,734,0,3,737,0
102,104,2,22,263,0,1,0,0,0,1,369,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,764,0,3,767,0
103,69,2,20,231,2,0,0,0,0,0,324,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,652,0,5,657,0
104,130,0,14,187,1,0,0,1,0,0,279,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,616,0
105,107,0,21,177,0,0,0,0,0,2,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,616,0,3,619,0
106,110,3,25,253,0,0,1,0,0,3,390,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,790,0,1,791,1
107,57,1,20,216,1,0,0,0,0,1,235,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,536,0,0,536,0
108,49,0,18,159,1,0,1,0,0,3,196,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,430,0,1,431,0
109,57,0,11,205,1,0,0,0,0,0,215,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,492,0,2,494,0
110,46,0,8,203,0,0,1,0,0,2,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,474,0,2,476,0
111,71,0,16,216,0,0,0,0,0,2,330,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,2,0,0,1,644,0,1,645,0
112,121,1,19,256,0,0,0,0,0,2,390,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,3,0,0,0,798,0,5,803,1
113,55,0,14,205,1,0,0,0,0,3,385,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,670,0,1,671,0
114,73,0,23,238,1,0,0,0,0,3,242,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,1,582,0
115,89,1,17,273,1,0,0,0,0,0,322,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,706,0,2,708,0
116,115,1,18,257,0,0,0,0,0,2,246,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,643,0,4,647,0
117,67,1,19,185,0,0,0,0,1,2,209,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,487,0,6,493,0
118,100,1,14,241,1,1,0,0,0,2,275,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,640,0,2,642,0
119,45,0,5,159,0,0,1,0,0,2,283,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,1,502,0
120,71,0,27,302,0,0,1,0,0,0,320,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,726,0,3,729,1
121,102,0,21,230,0,1,0,0,0,3,266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0,6,630,0
122,48,0,7,137,0,0,1,0,0,0,243,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,439,0,1,440,0
123,67,0,26,220,1,0,0,0,0,3,279,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,599,0,2,601,0
124,86,0,17,239,2,1,1,0,0,2,291,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,0,0,642,0
125,58,0,18,177,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,539,0,2,541,0
126,68,0,15,208,1,0,0,0,0,2,284,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,586,0,2,588,0
127,74,0,20,232,0,0,1,1,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,597,0,2,599,0
128,70,1,31,222,0,0,0,0,0,2,341,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,675,0,3,678,0
129,82,0,23,268,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,694,0,5,699,0
130,70,3,25,284,1,0,0,0,0,2,384,0,0,0,0,0,2,0,2,0,0,2,0,0,0,1,0,3,1,0,0,0,0,0,0,780,0,8,788,0
131,64,0,27,254,0,1,0,0,1,3,319,1,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,677,0,3,680,0
132,80,3,18,249,0,0,1,0,0,0,362,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,718,0,2,720,0
133,69,2,12,177,1,0,0,1,0,3,252,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,522,0,3,525,0
134,49,1,17,172,0,1,1,0,0,2,308,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,561,0,1,562,0
135,81,2,21,233,0,0,0,0,0,1,366,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,712,0,2,714,0
136,82,1,19,305,1,0,1,0,0,0,389,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,804,0,3,807,0
137,81,1,21,264,0,1,0,0,0,1,432,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,807,0,2,809,0
138,41,0,15,240,2,0,0,0,1,2,279,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,585,0,2,587,0
139,68,0,19,275,1,0,1,0,0,0,305,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,675,0,0,675,0
140,66,3,11,290,2,0,1,0,0,1,187,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,564,0,5,569,0
141,101,1,15,214,1,0,0,0,0,0,223,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,558,0,5,563,0
142,87,0,13,235,0,0,0,0,0,3,193,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,533,0,3,536,0
143,49,0,13,177,0,0,0,0,0,0,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,2,393,0
144,89,1,12,341,1,0,0,0,1,3,208,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,659,0,4,663,0
145,79,2,18,242,0,0,0,1,0,1,270,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,616,0,9,625,0
146,110,0,19,273,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,0,6,600,0
147,62,1,9,157,0,0,1,0,0,0,151,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,385,0,5,390,0
148,71,0,16,235,0,0,1,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,534,0,3,537,0
149,64,0,12,201,0,0,1,0,2,2,186,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,5,475,0
150,97,0,16,289,0,0,0,0,0,0,237,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,645,0,9,654,0
151,103,0,17,302,3,0,2,0,0,1,244,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,676,0,4,680,0
152,48,0,14,204,2,1,0,0,0,4,217,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,494,0,5,499,0
153,83,1,23,268,0,0,1,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,623,0,5,628,0
154,71,0,17,275,2,0,0,0,0,1,303,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,678,0,8,686,0
155,70,1,17,294,1,1,1,0,0,1,257,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,648,0,5,653,0
156,54,0,12,257,0,0,0,0,0,1,211,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,536,0,3,539,0
157,51,0,14,251,1,0,0,0,0,0,350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,673,0,6,679,0
158,ge 2 41,0,16,383,0,0,0,1,0,6,222,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,674,0,1,675,0
159,20,0,8,298,1,1,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,3,573,0
160,49,0,16,339,1,0,0,0,0,2,341,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,1,751,0
