Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
176,176,0,781,69,0,14,452,3,0,14,0,0,162,0,4,0,0,0,0,724,0,724,0
177,177,0,575,56,0,15,357,0,0,5,0,0,76,0,2,0,0,0,0,515,0,515,0
178,178,0,654,289,0,40,121,0,0,15,0,0,122,0,2,0,0,0,0,597,0,597,0
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,181,0,784,325,0,12,133,0,0,6,0,0,206,0,2,0,0,0,0,689,0,689,0
182,182,0,1001,484,0,28,68,2,0,0,2,0,207,0,0,0,0,0,0,800,0,800,0
183,183,0,703,168,0,26,207,0,0,0,0,0,230,0,2,0,0,0,0,639,0,639,0
184,184,0,841,415,0,29,77,0,0,9,0,0,240,0,3,0,0,0,10,784,0,784,0
185,185,0,687,164,0,11,276,0,0,30,2,0,111,0,2,0,0,0,0,601,0,601,0
186,186,0,929,93,0,14,489,0,0,114,1,0,152,0,1,0,0,0,2,867,0,867,0
187,187,0,1055,253,0,14,375,0,0,76,3,0,229,0,1,0,0,0,0,958,0,958,0
188,188,0,887,161,0,13,325,0,0,0,0,0,241,0,0,0,0,0,0,747,0,747,0
189,189,0,960,121,0,23,335,3,0,19,3,0,245,0,0,0,0,0,0,755,0,755,0
190,190,0,1059,141,0,27,469,2,0,13,3,0,293,0,0,0,0,0,0,953,0,953,0
191,191,0,573,52,0,13,301,0,0,0,0,0,128,0,5,0,0,0,0,507,0,507,0
192,192,0,756,48,0,2,437,0,0,16,0,0,151,0,0,0,0,0,0,663,0,663,0
193,193,0,674,367,0,0,66,0,0,0,0,0,101,0,2,0,0,0,15,556,0,556,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,0,842,58,0,0,479,1,0,25,0,0,153,0,0,0,0,0,2,725,0,725,0
197,197,0,991,70,0,33,458,3,0,0,0,0,302,0,0,0,0,0,3,875,0,875,0
198,198,0,888,101,0,13,375,0,0,0,0,0,263,0,0,0,0,0,3,763,0,763,0
199,199,0,1055,165,0,22,347,2,0,2,0,0,303,0,2,0,0,0,0,851,0,851,0
200,200,0,966,182,0,36,245,2,0,0,0,0,329,0,3,0,0,0,0,803,0,803,0
201,201,0,917,389,0,0,144,0,0,0,0,0,254,0,0,0,0,0,0,806,0,806,0
202,202,0,982,275,0,10,198,0,0,0,0,0,304,0,0,0,0,0,0,796,0,796,0
203,203,0,1022,182,0,18,255,0,0,0,0,0,297,0,3,0,0,0,10,774,0,774,0
204,204,0,1002,212,0,21,18,0,0,0,0,0,241,0,6,0,0,0,0,671,0,671,0
205,205,0,634,185,0,18,67,0,0,0,0,0,201,0,0,0,0,0,0,477,0,477,0
206,206,0,711,156,0,16,97,0,0,3,0,0,265,0,0,0,0,0,0,543,0,543,0
207,207,0,613,96,0,14,110,0,0,0,0,0,226,0,0,0,0,0,0,450,0,450,0
208,208,0,610,153,0,0,96,0,0,0,0,0,242,0,0,0,0,0,0,503,0,503,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,211,0,705,104,0,0,381,0,0,3,0,0,138,0,0,0,0,0,0,635,0,635,0
212,212,0,978,332,0,10,261,3,0,0,0,0,220,0,0,0,0,0,0,836,0,836,0
213,213,0,774,125,0,21,335,1,0,0,0,0,170,0,0,0,0,0,0,652,0,652,0
214,214,0,922,111,0,30,387,2,0,0,0,0,228,0,0,0,0,0,0,768,0,768,0
215,215,0,532,127,0,11,163,0,0,0,0,0,132,0,0,0,0,0,0,441,0,441,0
216,216,0,570,104,0,19,211,0,0,0,0,0,139,0,0,0,0,0,3,478,0,478,0
217,217,0,1035,201,0,25,436,2,0,3,0,0,193,0,0,0,0,0,3,869,0,869,0
218,218,0,746,283,0,13,150,3,0,0,0,0,174,0,2,0,0,0,0,626,0,626,0
219,219,0,660,352,0,16,73,2,0,0,0,0,105,0,0,0,0,0,2,551,0,551,0
220,220,0,676,147,0,15,226,0,0,0,0,0,162,0,0,0,0,0,0,553,0,553,0
221,221,0,711,80,0,14,326,0,0,0,0,0,165,0,0,0,0,0,0,592,0,592,0
222,222,0,735,160,0,11,225,0,0,0,0,0,207,0,0,0,0,0,0,608,0,608,0
223,223,0,608,88,0,11,287,0,0,0,0,0,116,0,0,0,0,0,0,503,0,503,0
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,226,0,720,139,0,16,248,0,0,3,0,0,182,0,0,0,2,0,0,598,0,598,0
227,227,0,664,125,0,16,296,0,0,0,0,0,87,0,0,0,0,0,0,525,0,525,0
228,228,0,700,90,0,10,350,0,0,5,0,0,117,0,0,0,0,0,0,573,0,573,0
229,229,0,499,96,0,0,252,0,0,0,0,0,85,0,0,0,0,0,0,440,0,440,0
230,230,0,515,215,0,0,68,0,0,0,0,0,143,0,0,0,0,0,0,440,0,440,0
231,231,0,650,84,0,16,319,0,0,0,0,0,141,0,0,0,0,0,0,577,0,577,0
232,232,0,1076,238,0,30,349,0,0,3,0,0,239,0,10,0,0,0,0,879,0,879,0
233,233,0,692,69,0,10,423,0,0,0,0,0,97,0,0,0,0,0,0,606,0,606,0
234,234,0,567,62,0,15,206,0,0,0,0,0,170,0,3,0,0,0,0,462,0,462,0
235,235,0,836,100,0,15,363,3,0,0,0,0,208,0,0,0,0,0,0,696,0,696,0
236,236,0,732,137,0,18,284,2,0,0,0,0,167,0,0,0,0,0,2,615,0,615,0
237,237,0,711,189,0,11,216,0,0,0,0,0,189,0,0,0,0,0,0,613,0,613,0
238,238,0,502,92,0,13,181,0,0,0,0,0,105,0,0,0,0,0,0,401,0,401,0
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,241,0,538,103,0,11,158,2,0,0,0,0,126,0,0,0,0,0,5,408,0,408,0
242,242,0,607,209,0,10,130,2,0,0,0,0,123,0,0,0,0,0,0,480,0,480,0
243,243,0,980,321,0,12,185,0,0,0,0,0,215,0,2,0,0,0,3,741,0,741,0
244,244,0,810,214,0,13,188,0,0,0,0,0,179,0,2,0,0,0,0,604,0,604,0
245,245,0,764,192,0,22,173,2,0,0,0,0,238,0,2,0,0,0,0,633,0,633,0
246,246,0,605,61,0,12,229,3,0,0,0,0,184,0,0,0,0,0,3,496,0,496,0
247,247,0,632,142,0,13,154,0,0,5,0,0,166,0,3,0,0,0,2,486,0,486,0
248,248,0,1029,250,0,17,327,0,0,6,0,0,281,0,1,0,0,0,5,892,0,892,0
249,249,0,877,530,0,0,39,0,0,0,0,0,228,0,0,0,0,0,1,807,0,807,0
250,250,0,673,338,0,8,62,0,0,0,2,0,194,0,0,0,0,0,1,611,0,611,0
251,251,0,885,462,0,0,97,2,0,0,0,0,251,0,2,0,0,0,3,828,0,828,0
252,252,0,751,208,0,3,166,0,0,3,0,0,214,0,0,0,0,0,0,599,0,599,0
253,253,0,513,177,0,0,75,0,0,0,0,0,135,0,0,0,0,0,0,403,0,403,0
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,256,0,861,205,0,29,322,0,0,0,0,0,180,0,0,0,0,0,0,741,0,741,0
257,257,0,811,222,0,19,196,3,0,0,0,0,241,0,0,0,0,0,0,697,0,697,0
258,258,0,551,128,0,17,157,0,0,0,0,0,165,0,3,0,0,0,0,474,0,474,0
259,259,0,605,122,0,14,239,2,0,0,0,0,158,0,0,0,0,0,3,542,0,542,0
260,260,0,556,41,0,0,269,0,0,0,0,0,147,0,0,0,0,0,0,471,0,471,0
261,261,0,649,80,0,17,341,0,0,6,0,0,117,0,3,0,0,0,0,566,0,566,0
262,262,0,843,222,0,25,181,0,0,0,0,0,221,0,0,0,0,0,2,651,0,651,0
263,263,0,723,150,0,12,236,0,0,0,0,0,246,0,0,0,0,0,2,657,0,657,0
264,264,0,880,180,0,17,234,0,0,9,0,0,247,0,0,0,0,0,10,699,0,699,0
265,265,0,691,142,0,0,311,0,0,13,0,0,143,0,0,0,0,0,0,621,0,621,0
266,266,0,895,167,0,17,346,0,0,6,0,0,180,0,0,0,0,0,0,722,0,722,0
267,267,0,951,167,0,13,327,0,0,0,0,0,263,0,0,0,0,0,0,774,0,774,0
268,268,0,953,184,0,21,388,0,0,0,0,0,213,0,0,0,0,0,0,816,0,816,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,271,0,523,78,0,0,141,2,0,2,2,0,189,0,0,0,0,0,0,424,0,424,0
272,272,0,639,57,0,12,317,2,0,14,0,0,146,0,0,0,0,0,0,554,0,554,0
273,273,0,586,105,0,0,274,3,0,9,0,0,113,0,0,0,0,0,0,519,0,519,0
274,274,0,1093,161,0,33,534,5,0,27,0,0,204,0,0,0,0,0,2,966,0,966,0
275,275,0,944,174,0,31,335,3,0,10,0,0,278,0,0,0,0,0,3,835,0,835,0
276,276,0,840,83,0,11,464,2,0,23,0,0,175,0,0,0,0,0,0,766,0,766,0
277,277,0,690,129,0,15,233,1,0,27,0,0,198,0,0,0,0,0,2,613,0,613,0
278,278,0,816,261,0,18,167,0,0,4,0,0,248,0,0,0,0,0,5,713,0,713,0
279,279,0,794,281,0,12,127,0,0,0,0,0,235,0,0,0,0,0,0,664,0,664,0
280,280,0,851,277,0,16,254,0,0,0,0,0,171,0,0,0,0,0,0,724,0,724,0
281,281,0,699,321,0,10,106,0,0,0,0,0,160,0,0,0,0,0,5,605,0,605,0
282,282,0,716,82,0,16,399,0,0,0,0,0,118,0,0,0,0,0,3,628,0,628,0
283,283,0,720,370,0,0,78,0,0,0,0,0,190,0,0,0,0,0,5,654,0,654,0
