Polling Station No,S. SELVAM,RUBY.R.MANOHARAN,R. JANARTHANAN,R. ESAKKIMUTHU,S. SHUNMUGA SUNDARAM,CHITHIRAI SELVAN,TAMILSELVI,THULASI SUDALAI,REDDIARPATTI V. NARAYANAN,KRISH.MARIAPPAN,DR.S.VELLAI DURAI,M. ARUNA,R.ANANTHI,N.KALABERUMAL,M. KUMAR,T. SANKAR,SHANMUGAM,THANITHANGAM,NALLAKKANNU ALIAS KARTHIC.K,A.RANI NADAR ALIAS PUSHPARANI,S.MARIYAPPAN,SUDAROLI S.MURUGAN YADHAV B.COM,T. RAJKUMAR,T. LINGADURAI,DEV.P.JEGADEESAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
14,25,78,3,275,0,1,2,2,306,2,12,0,1,3,1,0,1,1,0,2,2,0,1,0,0,718,0,3,721,0
15,37,88,2,229,0,1,1,1,260,0,8,0,0,0,11,0,2,0,0,0,1,1,0,1,2,645,0,6,651,0
16,66,252,1,123,0,0,3,0,252,0,5,1,0,0,3,1,0,0,1,1,3,0,0,0,1,713,0,2,715,0
17,32,241,0,82,0,0,0,0,183,1,0,0,2,0,0,0,0,1,0,2,1,0,1,0,0,546,0,2,548,0
18,53,173,0,166,0,1,2,0,263,0,3,0,0,0,2,0,0,1,0,2,2,0,0,0,0,668,0,2,670,0
19,54,82,3,190,2,1,0,0,285,3,1,0,0,0,1,1,0,1,0,3,1,1,0,0,0,629,0,2,631,0
20,49,161,0,90,0,2,0,0,175,0,7,0,2,1,1,0,0,0,0,2,1,0,0,0,3,494,0,1,495,0
21,99,389,3,30,5,0,4,1,294,0,2,1,0,1,0,1,1,3,0,1,0,0,0,0,0,835,0,6,841,0
22,99,174,2,158,1,0,1,2,161,0,2,1,2,3,3,1,0,1,1,1,1,1,0,0,0,615,0,0,615,0
23,41,135,1,284,1,5,2,1,196,2,14,0,0,2,5,1,0,1,1,1,2,1,1,0,0,697,0,2,699,0
24,56,148,1,40,0,0,0,1,125,1,0,0,0,2,0,0,2,2,0,1,3,0,1,0,1,384,0,4,388,0
25,89,152,1,21,0,0,0,0,164,0,0,0,0,0,1,0,1,0,1,2,1,0,0,1,0,434,0,0,434,0
26,53,220,0,119,0,0,87,0,255,0,6,1,2,1,1,2,0,4,0,2,1,1,0,1,0,756,0,1,757,0
27,34,139,1,181,0,2,103,3,282,3,7,1,0,0,2,0,0,0,1,2,6,1,1,1,0,770,0,3,773,0
28,15,60,0,43,0,1,1,0,138,2,0,0,0,0,1,1,1,0,0,0,3,0,0,0,1,267,0,0,267,0
29,45,141,3,218,1,3,4,1,161,1,11,1,1,2,24,2,1,2,0,1,1,1,0,0,0,625,0,1,626,0
30,42,87,1,62,0,0,0,0,103,0,2,0,0,0,1,0,0,3,0,3,0,0,0,0,0,304,0,2,306,0
31,63,350,0,4,1,0,1,0,166,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,589,0,0,589,0
32,17,110,0,12,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,1,172,0
33,41,221,0,18,0,1,0,1,120,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,407,0,0,407,0
34,48,157,0,189,1,3,1,0,294,1,1,0,1,1,0,1,2,2,0,2,4,0,0,1,0,709,0,3,712,0
35,24,96,3,164,0,0,0,0,130,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,421,0,3,424,0
36,13,92,2,229,1,0,1,0,103,0,2,0,1,1,4,0,0,0,0,0,3,1,0,0,0,453,0,4,457,0
37,86,300,0,50,0,0,0,0,231,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,673,0,0,673,0
38,28,79,1,77,0,0,1,1,146,1,1,1,2,2,0,2,0,2,2,1,2,0,0,0,1,350,0,0,350,0
39,26,128,0,290,1,2,0,0,135,0,0,0,0,1,2,0,0,2,1,2,3,1,0,0,0,594,0,2,596,0
40,57,137,3,279,3,1,2,0,265,0,3,1,1,0,3,0,0,3,0,5,3,0,0,0,1,767,0,4,771,0
41,87,348,2,54,0,2,0,2,241,0,0,0,0,0,0,1,1,1,1,2,0,2,0,3,0,747,0,3,750,0
42,90,358,1,27,0,4,1,1,226,1,4,0,1,0,0,1,1,4,1,0,1,1,0,1,1,725,0,3,728,0
43,60,165,3,281,1,0,101,1,165,0,3,0,1,2,2,1,2,0,1,0,2,2,0,1,1,795,0,1,796,0
44,58,132,7,41,0,1,1,1,206,0,1,0,1,0,0,1,1,1,0,1,1,0,0,2,2,458,0,2,460,0
45,70,214,6,45,0,1,0,3,365,1,0,3,0,2,3,3,0,0,0,3,1,1,0,0,3,724,0,1,725,0
46,51,171,2,32,1,0,1,1,207,2,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,474,0,2,476,0
47,23,116,34,14,0,0,3,0,172,1,0,0,0,0,1,0,1,1,0,0,2,0,1,0,1,370,0,0,370,0
48,53,164,1,25,1,2,0,5,297,1,0,2,0,0,3,0,1,1,0,2,1,0,0,1,0,560,0,0,560,0
49,45,197,3,94,0,0,0,0,267,0,2,0,0,0,1,0,1,4,1,2,2,0,2,1,1,623,0,1,624,0
50,43,158,3,90,0,1,1,2,233,2,1,0,0,1,0,0,2,3,0,2,1,0,0,1,0,544,0,2,546,0
51,23,248,2,88,0,0,1,0,264,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,0,632,0,2,634,0
52,24,161,3,102,0,1,0,2,223,2,0,0,0,0,0,5,1,2,0,0,1,1,0,0,2,530,0,1,531,0
53,43,192,5,78,1,2,1,3,290,1,0,0,0,0,0,0,3,1,1,4,4,1,0,1,4,635,0,5,640,0
54,25,184,14,109,0,0,1,1,198,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,1,538,0,2,540,0
55,44,171,4,41,1,1,0,0,219,1,1,0,0,3,1,2,0,0,1,0,1,1,0,1,0,493,0,4,497,0
56,52,186,1,50,1,0,0,1,221,0,0,0,0,1,2,0,1,2,0,0,2,0,0,0,0,520,0,4,524,0
57,48,146,2,25,0,2,0,0,175,0,0,0,2,0,0,1,2,2,0,0,0,0,0,1,0,406,0,1,407,0
58,84,180,6,84,1,1,41,3,281,1,0,1,0,3,1,0,1,4,3,6,1,2,1,1,2,708,0,1,709,0
59,33,288,2,117,1,2,0,0,254,1,1,0,1,1,1,1,0,4,2,3,5,0,1,0,1,719,0,4,723,0
60,49,262,1,79,1,1,22,3,337,0,0,0,0,1,0,2,0,3,0,1,6,1,1,3,0,773,0,7,780,0
61,44,171,3,65,1,0,5,3,310,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,608,0,3,611,0
62,20,162,1,70,0,2,2,0,176,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,436,0,2,438,0
63,24,396,1,59,1,1,0,2,237,0,1,1,0,0,1,0,1,2,1,3,0,0,2,0,2,735,0,1,736,0
64,34,158,4,72,1,1,19,1,224,1,0,0,0,1,0,0,2,0,1,0,2,0,0,0,3,524,0,3,527,0
65,11,428,0,11,0,0,1,1,78,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,532,0,2,534,0
66,30,136,4,31,0,0,1,1,154,0,0,0,0,0,2,0,0,2,1,2,0,1,0,0,1,366,0,2,368,0
67,68,281,4,18,0,0,0,1,143,1,0,0,0,1,0,0,1,1,4,2,0,1,0,0,1,527,0,1,528,0
68,78,338,3,37,0,0,1,0,174,0,0,0,0,1,1,0,4,2,0,2,0,0,0,0,0,641,0,0,641,0
69,87,319,10,45,2,3,1,3,255,1,0,0,1,0,1,1,2,0,0,1,5,1,0,1,0,739,0,3,742,0
70,40,94,3,73,0,0,15,1,201,0,1,1,1,2,1,0,1,2,0,3,2,1,1,1,0,444,0,3,447,0
71,37,104,0,42,0,1,19,0,176,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,384,0,2,386,0
72,29,187,3,40,2,0,129,4,131,0,1,1,0,0,0,2,0,0,0,2,2,0,1,0,0,534,0,1,535,0
73,57,99,1,100,0,0,2,2,191,3,0,0,0,0,1,0,3,0,2,2,0,0,0,1,0,464,0,1,465,0
74,46,243,9,87,1,0,0,0,287,2,1,0,1,0,0,1,0,2,0,3,1,0,1,0,1,686,0,2,688,0
75,66,243,7,53,1,0,1,2,283,1,0,0,0,1,0,1,0,3,0,3,0,0,0,0,2,667,0,4,671,0
76,25,165,6,94,1,0,2,0,231,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,529,0,6,535,0
77,19,180,2,18,0,0,0,1,106,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,328,0,0,328,0
78,ge 121,1 248,1,71,0,1,0,2,227,0,1,1,0,3,1,1,3,4,2,1,2,0,0,1,1,692,0,2,694,0
79,43,145,12,211,0,4,1,3,271,2,2,1,0,0,7,2,0,0,0,0,1,2,0,1,0,708,0,2,710,0
80,107,160,1,57,0,3,2,1,245,1,1,0,1,1,2,1,1,1,0,0,2,2,0,0,2,591,0,4,595,0
81,110,182,2,28,0,2,1,0,316,0,0,0,0,0,5,3,2,0,0,1,0,0,0,1,0,653,0,3,656,0
82,50,135,3,167,2,1,0,0,111,1,5,0,0,2,0,1,0,3,0,4,0,0,1,0,2,488,0,3,491,0
83,89,296,0,22,0,0,0,1,159,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,569,0,0,569,0
84,81,168,3,286,2,1,1,1,287,0,4,1,0,2,4,9,2,2,1,2,10,1,0,0,0,868,0,4,872,0
85,63,211,2,123,0,2,0,3,282,4,5,1,0,3,3,1,0,1,0,2,0,1,1,1,1,710,0,0,710,0
86,25,99,1,42,1,1,3,4,186,1,4,0,1,1,1,2,1,1,1,0,1,3,1,1,0,381,0,3,384,0
87,76,214,4,147,0,2,2,1,243,1,5,1,2,1,4,2,1,4,0,2,0,2,1,1,0,716,0,0,716,0
88,73,216,5,36,0,1,1,1,325,0,2,0,0,2,1,1,3,2,1,1,4,0,0,0,1,676,0,3,679,0
89,88,226,3,52,0,2,0,0,329,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,3,709,0,2,711,0
90,29,140,2,33,0,1,10,1,142,1,0,1,0,0,0,1,0,2,0,2,1,0,0,0,0,366,0,0,366,0
91,74,158,4,32,0,3,16,1,271,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,564,0,2,566,0
92,103,141,0,51,0,1,2,0,340,0,0,0,0,3,0,2,2,2,0,0,1,0,0,0,0,648,0,6,654,0
93,93,194,0,34,0,0,0,1,268,1,2,0,0,0,1,0,2,3,0,1,0,0,1,0,2,603,0,1,604,0
94,40,70,2,117,1,3,0,1,128,1,6,0,0,0,1,1,0,1,1,2,4,1,1,2,0,383,0,1,384,0
95,58,176,1,27,0,0,1,0,260,0,0,1,1,2,0,0,2,1,1,0,4,1,0,1,3,540,0,3,543,0
96,49,217,3,215,0,3,2,0,221,0,7,0,1,1,4,3,1,2,0,2,0,0,0,0,0,731,0,2,733,0
97,70,167,2,27,0,7,1,2,276,1,0,0,3,1,0,0,0,2,1,0,1,0,1,0,1,563,0,0,563,0
98,67,64,1,335,1,1,0,2,212,1,19,0,0,1,1,0,2,0,0,4,5,0,0,0,2,718,0,3,721,0
99,111,138,3,65,1,11,2,4,330,3,2,2,0,0,3,1,1,4,0,0,1,2,0,0,2,686,0,2,688,0
100,98,123,2,46,0,18,0,1,338,0,1,0,2,1,1,1,0,1,1,2,3,0,1,0,2,642,0,1,643,0
101,32,179,2,120,1,1,0,0,173,3,5,0,0,1,5,0,0,1,0,1,2,1,1,0,0,528,0,2,530,0
102,25,162,4,112,0,0,0,1,165,2,4,0,1,0,1,0,0,0,0,3,0,1,1,1,0,483,0,1,484,0
103,35,179,0,44,0,12,0,1,269,1,0,0,0,0,3,0,0,0,0,2,1,1,0,0,1,549,0,1,550,0
104,112,237,0,48,1,9,0,1,377,0,1,0,1,1,1,0,1,3,2,2,3,1,0,0,1,802,0,1,803,0
105,40,124,1,107,0,0,0,0,150,1,2,0,0,0,2,0,0,1,0,0,4,0,1,1,2,436,0,0,436,0
106,22,76,0,17,0,0,0,1,125,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,245,0,1,246,0
107,25,72,1,405,1,0,1,2,147,0,9,0,1,0,2,0,0,0,0,0,1,1,0,0,2,670,0,1,671,0
108,64,237,0,13,0,1,0,1,133,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,455,0,2,457,0
109,124,264,3,14,1,0,0,1,217,1,1,0,0,0,0,1,2,3,1,0,3,0,0,0,1,637,0,2,639,0
110,32,178,1,94,1,1,0,0,115,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,429,0,1,430,0
111,59,199,1,21,0,0,3,1,217,0,0,1,0,0,2,0,3,1,0,2,3,0,0,2,1,516,0,1,517,0
112,63,146,1,158,0,3,0,1,152,1,3,0,3,0,4,0,0,4,1,1,4,3,0,0,1,549,0,4,553,0
113,81,109,1,191,2,2,0,1,218,1,1,0,3,1,4,2,2,1,0,4,2,0,0,0,1,627,0,2,629,0
114,79,173,2,30,0,1,1,2,297,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,592,0,5,597,0
115,94,258,4,33,0,0,0,1,221,0,1,0,0,0,0,0,1,5,1,1,0,0,0,0,0,620,0,3,623,0
116,45,133,1,98,0,1,1,0,184,2,4,0,0,1,1,1,1,0,0,0,2,0,0,0,0,475,0,1,476,0
117,33,187,0,210,0,1,2,2,217,1,14,0,0,2,21,3,0,1,0,0,1,0,0,0,0,695,0,0,695,0
118,29,125,12,219,0,2,1,4,214,2,13,0,1,2,11,2,1,0,1,1,1,0,0,2,1,644,0,2,646,0
119,35,294,2,111,1,3,0,0,316,1,5,1,0,1,2,1,1,4,0,3,2,0,0,1,2,786,0,1,787,0
120,23,253,0,129,0,0,1,0,246,0,2,0,0,0,3,2,1,3,0,0,0,0,0,0,2,665,0,3,668,0
121,74,252,4,52,0,0,0,0,194,1,2,0,0,0,2,1,1,2,0,0,1,0,0,1,3,590,0,4,594,0
122,67,274,3,29,0,0,81,0,150,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,610,0,1,611,0
123,62,219,5,92,3,1,40,2,196,1,4,1,0,2,4,1,1,0,2,1,1,0,0,1,3,642,0,3,645,0
124,74,254,4,67,0,0,1,2,426,0,6,2,2,1,2,2,4,1,0,1,1,0,0,0,0,850,0,1,851,0
125,27,90,0,23,0,0,0,0,105,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,251,0,3,254,0
126,126,182,2,61,0,1,1,0,295,0,3,0,0,0,1,0,0,1,1,1,1,0,0,0,1,677,0,1,678,0
127,77,190,4,98,0,1,0,1,400,0,1,1,0,0,2,0,2,2,1,4,1,0,0,0,3,788,0,0,788,0
128,26,558,3,40,0,0,3,1,127,2,2,2,0,0,1,0,1,0,0,8,4,1,2,0,1,782,0,5,787,0
129,53,230,3,88,1,2,0,0,343,1,1,0,2,3,3,3,3,5,1,0,0,2,2,3,2,751,0,6,757,0
130,34,94,0,57,0,0,1,0,252,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,444,0,0,444,0
131,41,296,7,25,1,1,1,0,292,0,5,0,1,1,0,0,0,1,0,0,1,1,0,0,0,674,0,2,676,0
132,10,488,2,10,0,1,0,0,48,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,566,0,1,567,0
133,31,342,0,30,0,0,1,0,135,2,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,547,0,2,549,0
134,25,507,7,12,0,2,3,0,122,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,680,0,1,681,0
135,4,417,1,6,0,1,0,0,54,0,0,1,0,1,1,0,1,2,0,0,1,0,0,1,0,491,0,3,494,0
136,15,469,1,10,2,0,0,2,114,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,617,0,0,617,0
137,15,372,0,9,1,0,0,3,110,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,517,0,3,520,0
138,14,609,2,5,1,0,0,0,69,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,707,0,1,708,0
139,12,453,0,3,0,0,1,0,88,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,560,0,2,562,0
140,9,428,0,7,0,0,1,0,66,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,515,0,3,518,0
141,5,522,2,6,0,1,0,0,72,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,612,0,1,613,0
142,27,506,1,30,0,0,2,0,157,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,729,0,5,734,0
143,36,295,2,23,0,0,0,0,181,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,542,0,1,543,0
144,46,152,4,30,1,1,1,1,374,0,1,0,1,1,3,1,2,2,0,4,1,1,0,1,0,628,0,2,630,0
145,54,225,0,39,1,2,40,2,191,0,0,1,1,0,1,0,2,0,0,1,0,0,2,0,0,562,0,4,566,0
146,11,42,0,54,0,1,67,2,96,0,1,1,0,0,2,0,0,1,3,2,1,1,0,0,0,285,0,1,286,0
147,26,50,2,258,1,3,277,2,133,6,12,5,0,0,11,2,1,1,0,2,4,1,1,1,1,800,0,0,800,0
148,73,239,1,188,1,3,27,3,200,0,7,1,4,1,18,0,0,1,0,4,3,1,1,1,0,777,0,0,777,0
149,35,52,0,220,0,1,3,0,140,0,5,1,0,2,4,0,0,0,0,5,1,1,0,0,0,470,0,2,472,0
150,18,90,2,179,0,2,0,0,164,0,3,0,0,0,7,0,1,1,1,2,1,0,0,1,0,472,0,0,472,0
151,62,242,5,73,0,1,24,1,276,0,3,0,0,2,4,0,0,0,0,1,0,0,1,0,0,695,0,1,696,0
152,63,259,5,69,0,2,80,1,204,0,2,1,0,0,0,2,0,0,0,0,3,1,1,0,0,693,0,3,696,0
153,61,96,0,161,1,0,62,0,207,1,3,0,0,1,4,0,0,0,1,0,1,0,0,0,0,599,0,4,603,0
154,20,63,1,225,0,1,12,0,116,0,13,1,2,0,3,0,0,0,1,2,0,0,0,0,0,460,0,2,462,0
155,51,256,1,22,0,0,4,1,216,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,1,559,0,7,566,0
156,ge 50,2 237,0,21,0,0,1,0,181,1,1,0,1,0,2,0,0,6,0,0,0,0,0,0,1,502,0,1,503,0
157,51,205,1,52,0,2,122,2,362,1,2,1,0,3,5,1,1,0,0,1,3,4,0,1,1,821,0,2,823,0
158,66,85,0,38,0,1,129,1,316,1,0,0,2,1,2,2,1,0,0,0,0,1,3,0,2,651,0,3,654,0
159,48,92,1,44,0,0,13,0,284,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,489,0,4,493,0
160,27,93,1,41,0,0,3,1,211,1,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,384,0,1,385,0
161,36,213,1,69,0,2,7,0,322,1,1,0,1,1,2,1,0,1,1,0,1,0,0,0,2,662,0,2,664,0
162,74,209,4,80,0,3,20,3,377,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,777,0,6,783,0
163,54,254,0,83,0,0,5,0,310,0,2,2,0,1,1,3,0,1,0,0,3,0,1,1,1,722,0,2,724,0
164,55,235,3,21,3,1,108,0,181,1,0,3,0,0,4,0,1,6,1,1,4,0,0,2,3,633,0,1,634,0
165,1,39,1,65,0,0,0,0,48,0,28,0,0,0,2,0,0,0,1,1,2,0,0,1,1,190,0,0,190,0
166,28,103,6,69,2,1,293,1,208,3,2,8,2,0,3,4,0,2,4,5,1,3,1,1,2,752,0,1,753,0
167,31,86,1,250,1,2,5,1,312,1,55,0,2,1,12,1,1,2,0,4,1,0,0,0,1,770,0,2,772,0
168,27,202,2,224,1,7,6,6,316,1,59,1,2,1,5,3,3,2,2,3,3,3,1,2,4,886,0,6,892,0
169,51,188,0,65,1,1,188,1,213,1,5,2,1,1,3,3,4,2,0,0,4,1,1,0,1,737,0,2,739,0
170,30,100,1,218,2,0,2,1,173,3,5,1,0,1,5,0,0,0,0,3,1,0,0,0,1,547,0,2,549,0
171,46,219,3,66,0,2,33,2,188,0,0,0,0,1,3,0,0,1,1,1,1,0,0,0,1,568,0,4,572,0
172,31,96,1,235,1,5,6,2,170,2,7,0,1,0,6,1,0,3,1,2,0,1,0,0,0,571,0,0,571,0
173,52,122,3,255,1,0,1,2,327,0,25,3,0,1,21,1,0,0,0,0,2,0,0,1,0,817,0,3,820,0
174,50,135,0,167,0,0,197,2,216,0,5,4,0,1,4,1,1,4,1,2,1,2,0,0,3,796,0,1,797,0
175,36,90,2,260,2,1,8,0,259,1,0,3,2,1,1,1,1,2,2,4,1,0,0,0,2,679,0,1,680,0
176,30,176,5,69,0,0,96,0,121,0,0,0,0,0,0,1,0,2,0,2,1,0,1,0,2,506,0,2,508,0
177,61,103,2,399,0,1,0,1,252,0,10,0,0,0,13,1,0,0,2,0,0,0,0,0,0,845,0,2,847,0
178,45,284,1,42,0,1,131,0,148,0,0,0,0,1,2,3,1,8,1,3,3,1,1,1,3,680,0,2,682,0
179,36,93,3,213,2,1,14,0,170,0,3,0,1,0,7,0,0,1,1,1,1,1,0,2,0,550,0,1,551,0
180,44,107,4,283,0,0,7,3,227,0,11,3,0,0,12,0,1,4,0,3,3,3,1,0,1,717,0,1,718,0
181,61,204,5,79,2,1,205,1,206,1,3,5,0,5,1,1,1,2,1,5,2,1,0,0,0,792,0,1,793,0
182,24,115,1,155,1,2,0,0,155,0,15,2,0,1,2,2,0,1,0,0,0,0,0,0,0,476,0,0,476,0
183,68,97,1,62,1,0,1,0,157,0,0,0,0,1,0,3,0,1,1,2,2,0,0,0,0,397,0,0,397,0
184,13,353,0,27,0,0,3,0,99,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,498,0,1,499,0
185,113,223,1,34,0,0,5,0,272,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,654,0,2,656,0
186,37,133,2,156,1,4,9,3,250,0,6,0,0,1,2,4,2,2,1,2,3,2,0,1,1,622,0,4,626,0
187,15,232,0,35,1,0,1,0,99,0,3,0,1,0,1,0,1,1,0,0,2,0,0,1,0,393,0,0,393,0
188,64,195,1,35,0,0,19,2,267,0,0,0,1,1,2,1,0,2,0,0,0,0,0,0,1,591,0,3,594,0
189,63,163,0,45,1,0,33,2,241,3,1,1,0,3,1,1,1,0,0,1,1,0,0,0,0,561,0,4,565,0
190,59,125,0,294,0,6,2,1,173,2,3,0,5,2,8,0,0,0,0,4,3,0,0,0,0,687,0,2,689,0
191,20,128,3,243,4,2,137,3,178,5,6,3,1,4,16,3,1,0,0,0,1,1,1,1,0,761,0,0,761,0
192,23,144,0,310,0,1,3,0,165,0,8,1,1,0,9,3,0,1,0,3,2,1,0,0,0,675,0,1,676,0
193,42,170,0,81,1,2,7,1,304,0,5,1,1,0,0,0,0,1,0,0,0,1,0,1,1,619,0,4,623,0
194,22,144,2,50,0,2,3,1,220,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,447,0,5,452,0
195,18,154,1,43,0,0,8,0,167,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,394,0,2,396,0
196,48,219,0,73,0,2,10,0,293,0,4,1,1,1,0,1,0,2,0,0,2,0,0,0,0,657,0,8,665,0
197,57,203,1,64,0,0,13,0,303,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,645,0,3,648,0
198,62,179,0,89,0,3,21,0,306,1,7,0,0,0,3,0,0,0,1,0,0,1,1,0,1,675,0,11,686,0
199,66,205,0,73,0,0,14,0,361,0,1,0,0,0,1,1,1,1,2,2,1,0,1,1,0,731,0,2,733,0
200,82,235,1,98,0,1,39,0,420,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,1,883,0,9,892,0
201,44,229,1,86,1,0,10,1,317,0,3,0,0,0,0,0,0,1,2,1,0,1,0,0,0,697,0,6,703,0
202,29,155,0,54,1,0,17,1,187,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,1,447,0
203,29,281,0,53,0,0,10,1,166,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,546,0,5,551,0
204,36,169,1,97,0,1,4,0,208,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,2,524,0,4,528,0
205,35,100,0,235,1,1,26,1,228,2,7,1,0,2,0,1,0,0,0,1,0,0,0,0,1,642,0,1,643,0
206,50,145,1,181,1,0,64,1,308,2,2,2,2,0,7,1,1,1,0,1,1,1,1,0,1,774,0,4,778,0
207,36,109,2,206,1,1,185,3,196,0,1,0,2,0,10,3,1,0,0,1,3,0,1,0,0,761,0,0,761,0
208,111,156,3,70,1,0,0,0,419,2,2,2,2,0,1,2,1,0,0,0,2,1,0,1,1,777,0,2,779,0
209,27,106,3,132,1,1,5,1,118,1,11,0,2,0,3,0,1,2,2,4,4,1,3,2,3,433,0,4,437,0
210,46,191,1,95,1,3,116,2,211,0,0,1,0,2,1,1,0,2,1,1,0,1,0,0,0,676,0,5,681,0
211,27,155,1,49,1,0,198,2,129,0,1,1,0,1,2,1,0,0,0,0,0,0,1,0,0,569,0,0,569,0
212,11,32,0,176,0,2,25,0,142,0,3,0,0,1,2,0,0,0,0,2,2,0,0,0,0,398,0,0,398,0
213,44,152,2,64,0,2,57,0,234,4,0,1,0,1,2,0,1,2,2,5,3,1,0,2,3,582,0,2,584,0
