Polling Station No,Candidate_1,NARAKANURAK.S,NARDNAHC .A .RUNAYIRUS,NARAAMNAN.AVLES,INAMARBUSALAB.G,NAGURUM.P,RAMUKNURA.M,RAMUKNURA.R,NAHKNARMI.S,MAGNILAHTAK.O,IRIHTAYAG.M,NEEDIHOMHAJAK.B,P.RAKESARDNAHC,RAMUK HSOHTNAS.J,RAMUKHTAPMAS.B,NANAVARAS.D,YMASANNIHC.V,RAMUKLIHTNES.S,RAMUKAVLES.P,JARAVLES.T,NEEDRAWNAKIEHS.K,NAVLESLIMAT.M,PAHDARP.J,NANAGAVLIYAM.M,NAVAHDAM.J,MAHTNANAGURUM.T,NANHSIRKAMAR.N,NALEVIDAV.M,IALAMAREEV.K,MIKKAH.K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
66,66,161,264,21,345,0,1,0,0,0,0,0,0,1,0,1,0,3,0,2,0,0,0,0,0,1,0,1,0,0,801,0,2,803,0
67,67,127,405,50,328,2,0,0,0,0,1,0,1,0,0,0,0,2,3,0,4,0,0,0,0,0,0,0,1,0,924,0,1,925,0
68,68,164,280,19,227,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,694,0,1,695,0
69,69,185,294,37,270,1,0,0,0,1,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,794,0,2,796,0
70,70,142,193,16,230,1,0,0,0,0,0,0,1,0,1,0,0,1,3,2,2,0,0,0,0,0,0,0,0,1,593,0,0,593,0
71,71,228,198,32,244,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,0,0,0,0,0,2,1,0,0,713,0,2,715,0
72,72,143,187,21,250,1,0,0,0,0,0,0,0,2,1,2,5,5,3,1,6,0,0,0,0,0,0,1,0,0,628,0,5,633,0
73,73,285,387,37,279,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,996,0,1,997,0
74,74,273,213,11,158,0,0,0,0,0,0,0,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,663,0,1,664,0
75,75,108,252,11,138,1,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,519,0,2,521,0
76,76,240,338,20,355,0,0,1,0,0,1,0,0,1,1,0,4,3,1,0,0,0,0,0,1,0,0,1,0,0,967,0,0,967,0
77,77,214,270,34,242,1,0,0,0,1,0,0,0,0,1,1,1,0,2,2,0,0,0,1,0,0,0,1,0,0,771,0,1,772,0
78,78,225,283,7,138,0,0,0,0,1,1,1,0,0,0,3,2,3,2,0,0,0,0,0,0,1,0,0,2,0,669,0,3,672,0
79,79,141,273,19,186,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,624,0,1,625,0
80,80,257,301,34,323,1,0,0,2,2,1,0,1,1,1,2,4,4,2,3,1,1,0,0,0,0,1,1,1,2,946,0,6,952,0
81,81,184,190,39,203,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,621,0,1,622,0
82,82,174,258,29,168,0,1,0,0,0,0,0,0,1,1,3,2,1,1,1,1,0,0,0,0,1,0,0,0,0,642,0,0,642,0
83,83,288,358,47,270,3,0,0,0,2,1,1,0,2,1,3,1,5,3,2,0,0,1,0,0,0,0,0,1,1,990,0,3,993,0
84,84,189,142,32,186,1,0,0,0,0,0,0,0,1,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,2,560,0,5,565,0
85,85,222,212,25,173,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,637,0,2,639,0
86,86,236,274,28,279,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,824,0,1,825,0
87,87,462,266,32,341,0,1,0,0,0,1,1,0,0,0,1,1,7,0,1,6,0,1,0,0,0,0,0,0,0,1121,0,1,1122,0
88,88,92,123,23,109,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2,355,0,3,358,0
89,89,220,290,27,278,5,0,0,0,0,0,0,1,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,830,0,1,831,0
90,90,183,194,23,178,0,0,0,0,0,0,1,0,0,0,1,0,5,3,0,1,0,0,0,0,0,0,0,0,1,590,0,2,592,0
91,91,82,162,13,162,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,2,0,0,0,0,1,0,0,0,429,0,1,430,0
92,92,217,247,18,207,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,0,0,0,0,0,0,1,0,0,698,0,3,701,0
93,93,202,273,42,169,0,0,0,0,0,0,0,0,0,1,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0,695,0,1,696,0
94,94,224,374,38,272,0,0,1,0,0,0,0,0,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,918,0,0,918,0
95,95,196,276,15,235,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,726,0,1,727,0
96,96,184,242,18,242,1,0,1,0,0,0,0,0,0,0,2,2,0,3,0,3,0,0,0,0,0,0,1,0,0,699,0,3,702,0
97,97,237,257,42,263,1,2,2,2,0,0,0,3,1,3,3,4,2,0,0,2,0,0,2,0,0,0,1,1,2,830,0,3,833,0
98,98,171,258,22,152,4,0,0,0,0,1,1,0,1,1,6,0,2,4,0,1,0,0,0,0,0,0,0,0,1,625,0,2,627,0
99,99,255,255,16,250,3,0,0,0,0,0,0,0,0,1,1,3,6,6,2,4,0,1,0,1,1,0,0,1,1,807,0,2,809,0
100,100,399,204,26,354,2,1,0,1,0,1,1,3,1,1,3,5,8,5,2,4,0,1,0,0,0,0,0,0,3,1025,0,7,1032,0
101,101,273,140,18,222,0,1,0,0,0,0,0,0,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,664,0,4,668,0
102,102,222,236,17,268,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,3,1,1,1,757,0,1,758,0
103,103,209,267,31,298,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,1,813,0,4,817,0
104,104,385,182,17,170,0,0,1,0,0,1,0,0,0,0,1,1,5,0,0,0,0,0,0,0,1,0,1,0,1,766,0,1,767,0
105,105,281,125,15,166,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,596,0,0,596,0
106,106,426,254,12,152,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,850,0,2,852,0
