Polling Station No,ABUBACKER SIDDHEEQ,RAJENDRAN. T. M,C. KRISHNAMURALI,T. MAHESHKUMAR,ABDUL JALEEL. R. K,KAVITHA. R,SHAHIN FATHIMA. A,SURESHKUMAR. S,RAJAN. B. S,LAKSHMI. A,M. ARUMUGASAMY,ESAKKI. K,ESAKKI PANDI. K,GANESAN. M,SEENIVASAN. S,NAGARAJAN. L,PARTHIPAN. V,BARISHA BANU. M,MURUGAN. P,S. MURUGANANTHAM,RAJAMARAVAN. S,VENKATESH. P,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
14,51,185,237,1,169,1,1,0,0,0,0,1,0,4,2,1,0,2,1,0,1,0,657,0,1,658,0
15,48,130,332,1,176,0,0,0,0,1,0,1,7,2,0,0,0,2,2,1,0,0,703,0,1,704,0
16,17,142,348,0,196,2,0,0,1,1,3,1,3,5,3,0,1,3,1,0,0,1,728,0,0,728,0
17,40,285,148,3,163,9,1,0,2,2,0,0,0,2,1,0,1,0,0,0,0,1,658,0,0,658,0
18,23,212,142,1,179,5,1,1,0,1,0,0,2,0,3,3,2,5,0,0,1,0,581,0,4,585,0
19,40,199,170,2,140,21,0,0,1,0,1,1,0,2,2,0,0,3,2,0,1,0,585,0,0,585,0
20,17,91,145,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,320,0,0,320,0
21,30,175,118,2,113,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,444,0,0,444,0
22,30,93,222,1,104,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,455,0,1,456,0
23,37,169,337,1,141,2,0,0,0,1,1,1,3,2,6,1,2,2,4,0,1,1,712,0,1,713,0
24,54,241,246,1,212,0,1,1,0,2,0,0,1,1,0,1,1,0,1,0,3,0,766,0,0,766,0
25,38,121,206,3,173,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,1,1,549,0,0,549,0
26,41,224,319,1,189,2,3,0,2,0,0,2,0,5,0,1,1,0,1,1,0,1,793,0,0,793,0
27,30,192,234,0,155,8,1,3,0,0,0,1,4,3,2,4,2,2,4,0,2,0,647,0,2,649,0
28,12,101,206,0,164,0,0,0,0,0,0,0,4,0,0,0,1,3,1,0,1,0,493,0,3,496,0
29,10,135,198,0,190,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,539,0,0,539,0
30,13,407,172,0,107,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,706,0,3,709,0
31,22,214,335,1,178,0,0,0,1,0,1,0,0,1,0,0,1,2,4,0,2,0,762,0,2,764,0
32,24,117,326,0,144,1,0,0,0,0,0,0,2,2,0,1,0,2,3,0,0,1,623,0,2,625,0
33,23,195,231,2,99,0,0,0,1,0,0,0,0,1,0,0,2,0,1,1,0,3,559,0,2,561,0
34,8,155,287,1,180,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,636,0,3,639,0
35,10,310,32,1,51,0,3,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,412,0,1,413,0
36,7,507,9,1,42,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,571,0,0,571,0
37,7,453,32,1,86,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,582,0,2,584,0
38,20,147,259,2,180,0,1,1,0,0,0,1,0,0,0,1,0,1,3,1,1,1,619,0,4,623,0
39,20,162,296,3,179,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,668,0,1,669,0
40,18,119,420,0,116,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,678,0,2,680,0
41,13,82,339,3,144,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,587,0,3,590,0
42,7,59,371,0,95,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,535,0,2,537,0
43,6,182,182,2,122,0,0,0,1,0,0,0,1,2,2,0,1,0,1,0,0,0,502,0,1,503,0
44,15,187,112,1,80,2,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,403,0,1,404,0
45,12,115,247,0,154,0,0,0,0,0,0,0,2,4,1,0,1,0,3,1,0,0,540,0,0,540,0
46,11,80,298,0,121,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,514,0,1,515,0
47,27,201,343,1,186,0,1,0,0,0,0,0,1,0,0,1,1,0,11,0,2,1,776,0,0,776,0
48,40,274,300,1,183,0,0,0,0,0,0,0,1,0,0,1,2,1,2,0,0,0,805,0,4,809,0
49,31,169,220,2,90,5,0,0,1,0,0,0,2,0,0,2,4,2,2,0,2,0,532,0,1,533,0
50,31,248,107,1,147,7,0,0,2,0,0,2,1,0,0,1,0,4,1,0,0,0,552,0,2,554,0
51,22,143,110,0,206,7,2,0,0,1,0,3,2,1,3,4,1,2,0,1,1,0,509,0,1,510,0
52,14,94,434,2,208,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,757,0,3,760,0
53,17,59,276,2,204,0,0,0,0,0,0,1,2,2,0,0,1,0,5,0,0,0,569,0,1,570,0
54,14,67,231,1,128,0,0,1,0,0,0,0,1,1,1,1,0,1,3,0,0,0,450,0,1,451,0
55,41,85,519,5,325,0,0,0,0,0,0,0,2,1,1,0,0,2,2,0,0,0,983,0,5,988,0
56,17,64,293,2,137,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,516,0,1,517,1
57,25,111,138,2,233,0,1,0,0,0,0,1,1,0,0,3,1,1,2,0,0,1,520,0,1,521,0
58,36,91,293,0,344,0,0,0,0,1,1,1,4,1,1,0,0,0,2,0,2,1,778,0,3,781,0
59,32,169,308,0,253,0,3,1,0,0,0,0,1,0,0,1,0,0,2,2,0,0,772,0,3,775,0
60,56,149,309,1,248,0,0,0,0,0,0,1,4,0,1,3,0,0,0,1,0,0,773,0,3,776,0
61,31,78,141,0,165,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,423,0,1,424,0
62,47,145,143,0,285,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,628,0,1,629,0
63,61,296,200,2,271,4,0,0,0,2,0,0,0,0,0,1,3,1,3,0,2,0,846,0,1,847,0
64,50,109,276,1,150,1,0,0,2,0,0,0,3,2,0,0,0,0,2,0,1,0,597,0,4,601,0
65,ge 1 47,244,244,1,229,2,0,0,1,0,0,0,1,0,2,3,0,1,3,0,1,0,779,0,1,780,0
66,40,97,350,4,234,0,0,0,1,0,1,3,6,2,0,1,1,0,6,0,0,0,746,0,2,748,0
67,22,190,167,0,148,3,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,535,0,0,535,0
68,17,165,152,0,99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,435,0,0,435,0
69,48,147,115,1,167,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,483,0,1,484,0
70,23,213,101,1,92,5,0,0,1,0,0,0,0,0,1,0,1,5,0,0,0,1,444,0,1,445,0
71,52,232,240,1,161,0,1,1,0,1,0,0,6,1,1,1,3,4,0,0,0,0,705,0,4,709,0
72,21,416,100,0,81,0,0,0,1,0,0,0,1,2,2,1,0,0,0,0,0,0,625,0,1,626,0
73,11,367,26,0,66,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,474,0,2,476,0
74,3,368,35,0,31,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,443,0,0,443,0
75,33,108,251,2,108,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,508,0,2,510,0
76,19,114,303,1,138,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,580,0,0,580,0
77,9,94,183,2,77,1,1,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,373,0,1,374,0
78,21,236,150,1,149,9,2,1,0,2,1,0,4,1,0,1,0,5,0,0,0,0,583,0,5,588,0
79,21,165,303,2,144,1,2,0,0,0,0,0,2,1,1,2,0,3,3,1,1,0,652,0,0,652,0
80,26,72,86,0,66,3,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,259,0,0,259,0
81,42,253,277,2,216,1,1,0,0,0,0,0,2,2,1,2,0,0,2,0,1,0,802,0,0,802,0
82,28,283,133,0,172,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,624,0,1,625,0
83,13,76,184,2,145,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,423,0,1,424,0
84,23,164,268,1,142,0,0,0,0,1,0,0,0,1,2,0,1,1,1,0,0,0,605,0,1,606,0
85,30,126,333,1,153,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,649,0,1,650,0
86,14,110,111,0,131,7,0,0,0,2,0,0,0,2,0,0,0,1,1,1,1,0,381,0,1,382,0
87,20,194,55,0,57,1,1,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,334,0,0,334,0
88,26,103,157,0,73,1,0,0,0,0,0,0,1,2,2,1,1,1,2,0,1,0,371,0,1,372,0
89,11,96,283,0,91,1,0,0,1,1,0,0,0,1,0,0,0,2,2,0,0,0,489,0,2,491,0
90,83,302,255,0,239,17,4,0,2,0,1,1,5,0,0,3,1,1,2,1,0,1,918,0,2,920,0
91,14,161,205,0,107,0,2,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,494,0,1,495,0
92,34,206,241,3,131,12,0,0,0,1,0,1,2,0,0,0,0,1,3,1,0,0,636,0,1,637,0
93,14,260,388,1,161,0,1,0,0,0,1,0,6,5,3,0,2,4,3,1,0,1,851,0,2,853,0
94,37,480,192,0,184,0,2,0,0,0,0,0,1,1,2,3,1,1,1,0,0,0,905,0,1,906,0
95,27,232,148,2,130,45,3,0,2,2,1,0,4,3,3,2,2,2,0,1,0,0,609,0,2,611,0
96,16,127,157,0,80,3,1,0,0,0,0,1,4,2,0,1,0,1,1,1,0,0,395,0,0,395,0
97,19,152,363,3,155,3,0,0,1,1,0,1,1,2,2,1,2,3,6,0,2,1,718,0,1,719,0
98,14,359,189,4,138,0,4,0,1,2,0,0,6,1,1,0,0,1,0,0,0,0,720,0,2,722,0
99,30,190,455,3,170,0,0,0,2,1,0,2,7,5,2,4,2,1,4,0,0,0,878,0,2,880,0
100,17,666,68,2,108,2,8,1,0,0,1,0,0,1,1,0,1,5,1,0,0,1,883,0,2,885,0
101,16,611,45,0,90,0,13,0,0,0,0,0,0,3,1,0,3,1,2,0,0,0,785,0,0,785,0
102,22,592,41,0,74,2,3,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,739,0,1,740,0
103,13,634,31,1,106,0,4,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,794,0,0,794,0
104,17,597,29,2,93,0,7,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,751,0,1,752,0
105,9,445,26,0,45,0,4,0,0,2,1,0,0,0,1,1,0,0,2,0,0,0,536,0,2,538,0
106,12,533,45,0,95,0,6,0,1,0,0,0,0,0,0,1,0,9,1,0,0,0,703,0,4,707,0
107,5,267,11,1,65,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,354,0,0,354,0
108,22,592,21,4,141,0,2,0,0,4,0,1,1,1,5,0,1,4,3,0,0,0,802,0,0,802,0
109,12,360,27,0,94,1,4,0,0,1,0,0,0,0,2,2,0,1,1,0,0,0,505,0,0,505,0
110,16,205,149,0,135,59,1,0,1,0,0,0,2,0,4,0,1,2,3,0,0,0,578,0,3,581,0
111,33,239,240,1,149,15,1,1,0,0,0,2,1,0,1,1,2,3,3,0,0,0,692,0,1,693,0
112,21,205,117,1,100,18,1,0,0,0,0,0,2,1,2,0,1,4,0,0,0,1,474,0,1,475,0
113,40,283,178,1,117,1,1,0,3,2,0,0,2,0,1,2,0,7,1,0,1,1,641,0,1,642,0
114,51,262,115,3,172,5,0,0,1,1,0,3,2,2,3,1,1,4,3,0,1,0,630,0,0,630,0
115,33,192,365,2,200,0,0,1,0,0,0,0,6,3,1,2,1,2,5,0,0,1,814,0,2,816,0
116,8,160,192,1,69,0,2,0,0,0,1,1,1,0,0,1,3,0,1,0,0,0,440,0,2,442,0
117,18,282,203,2,79,0,2,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,593,0,2,595,0
118,34,217,246,0,119,1,0,0,0,1,1,0,3,3,0,1,1,1,2,1,0,0,631,0,0,631,0
119,27,361,164,1,131,0,1,0,0,1,0,0,0,0,1,2,0,2,0,1,0,0,692,0,0,692,0
120,26,253,122,4,95,5,0,0,4,0,0,1,1,2,0,4,0,1,0,2,0,0,520,0,2,522,0
121,22,79,92,1,99,0,1,0,1,1,1,0,4,2,1,1,0,0,2,0,0,0,307,0,0,307,0
122,23,256,371,4,159,0,1,0,1,0,0,0,1,1,1,1,0,2,4,0,0,0,825,0,1,826,0
123,12,417,63,0,76,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,572,0,0,572,0
124,25,453,186,1,154,1,1,1,1,1,1,4,2,2,2,0,0,1,0,0,0,1,837,0,1,838,0
125,0,98,93,1,65,0,0,0,0,3,0,0,1,2,1,0,0,0,2,0,0,0,266,0,1,267,0
126,15,44,243,1,22,0,0,0,1,0,0,1,0,4,0,0,0,0,1,0,0,0,332,0,1,333,0
127,14,187,308,2,81,0,0,0,3,0,1,0,2,2,1,1,0,1,4,0,0,1,608,0,1,609,0
128,9,94,226,1,38,0,0,0,3,0,0,0,0,1,0,1,2,1,1,0,1,0,378,0,0,378,0
129,53,138,221,1,101,49,0,0,4,0,0,1,2,1,0,0,0,0,2,0,0,0,573,0,1,574,0
130,ge 2 29,135,354,0,159,2,1,0,3,1,0,0,3,2,1,1,0,0,0,0,2,0,693,0,2,695,0
131,27,227,87,1,81,8,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,437,0,0,437,0
132,43,271,216,3,157,8,3,2,1,0,1,0,1,0,0,0,0,2,1,0,1,1,711,0,1,712,0
133,83,146,150,2,122,0,0,0,0,0,0,0,0,3,1,2,1,3,3,0,1,0,517,0,2,519,0
134,51,123,219,2,103,1,0,0,0,0,0,0,1,2,0,0,1,7,8,0,2,3,523,0,0,523,0
135,67,238,326,0,178,35,3,1,0,1,0,0,5,1,0,0,0,2,2,1,3,1,864,0,2,866,0
136,25,205,214,0,180,9,2,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,640,0,1,641,0
137,32,276,161,0,159,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,636,0,2,638,0
138,24,185,169,2,111,0,1,0,2,0,0,1,0,0,0,0,0,1,2,0,0,0,498,0,0,498,0
139,45,269,345,2,232,2,1,0,2,1,0,0,2,0,1,1,0,0,1,0,1,0,905,0,5,910,0
140,59,176,320,1,174,2,0,0,2,0,1,0,1,1,0,0,1,2,1,0,0,0,741,0,3,744,0
141,30,187,165,1,97,0,0,0,0,1,0,1,1,0,0,2,0,0,2,0,0,0,487,0,0,487,0
142,35,160,192,0,141,0,0,0,0,0,0,0,1,1,0,0,0,2,4,0,3,1,540,0,1,541,0
143,11,267,320,1,83,0,2,0,0,0,0,0,1,2,0,0,2,0,0,0,3,0,692,0,1,693,0
144,27,277,237,3,104,3,3,0,0,2,1,0,3,2,0,0,0,6,3,0,2,0,673,0,0,673,0
145,12,245,30,0,26,0,1,0,1,1,0,0,1,2,3,1,0,1,0,0,0,0,324,0,1,325,0
146,34,549,141,2,128,0,8,1,0,1,0,1,0,1,2,0,0,9,1,3,0,1,882,0,1,883,0
147,9,102,202,4,81,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,3,0,406,0,1,407,0
148,19,295,103,1,77,0,7,0,1,0,0,1,0,1,1,1,0,2,2,0,1,1,513,0,0,513,0
149,8,210,162,1,69,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,457,0,0,457,0
150,25,498,138,1,92,11,8,0,1,0,1,1,0,2,1,0,1,1,5,1,1,1,789,0,4,793,0
151,28,243,217,4,206,14,3,1,0,0,0,0,0,3,0,0,1,1,2,0,1,0,724,0,0,724,0
152,25,229,147,1,73,12,5,0,0,0,0,0,0,4,1,0,2,0,4,0,0,1,504,0,2,506,0
153,16,251,113,2,67,0,5,0,1,2,0,0,0,0,1,0,2,1,1,0,1,0,463,0,1,464,0
154,14,160,459,2,136,0,2,0,1,1,1,0,1,2,1,0,0,0,1,0,1,0,782,0,0,782,0
155,20,121,326,3,124,6,0,0,0,1,0,0,5,6,3,0,0,1,2,0,0,1,619,0,1,620,0
156,26,117,262,2,171,30,0,0,1,1,0,0,2,1,1,0,1,1,1,0,1,0,618,0,2,620,0
157,15,106,325,5,83,6,0,0,0,1,1,2,9,5,1,1,1,0,4,0,1,0,566,0,1,567,0
158,59,187,572,4,187,0,0,0,0,1,0,2,5,4,1,4,0,0,1,0,0,1,1028,0,4,1032,0
159,39,115,515,2,159,0,0,0,1,2,1,0,0,1,0,1,0,3,4,0,2,0,845,0,3,848,0
160,47,186,308,2,253,6,0,0,2,1,1,0,3,0,3,1,1,3,6,1,8,1,833,0,4,837,0
161,55,118,302,1,125,1,1,0,1,0,3,1,5,1,3,5,0,1,2,1,1,1,628,0,2,630,0
162,31,311,143,2,231,0,0,0,1,0,1,1,2,3,3,0,2,6,3,1,0,1,742,0,0,742,0
163,31,188,158,2,150,67,3,0,3,2,2,1,5,1,3,2,1,4,3,0,2,1,629,0,0,629,0
164,27,141,254,1,139,7,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,573,0,1,574,0
165,25,150,227,1,86,0,0,0,2,0,0,0,1,1,1,0,0,1,2,0,2,0,499,0,0,499,0
166,34,213,218,1,102,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,573,0,2,575,0
167,24,125,213,1,70,2,0,0,6,1,1,0,1,1,0,0,0,1,2,0,6,0,454,0,1,455,0
168,32,104,280,1,90,0,0,0,2,1,0,0,1,4,1,0,0,0,2,1,1,0,520,0,0,520,0
169,14,170,177,0,43,1,0,0,3,1,0,0,1,0,0,4,0,2,2,0,4,0,422,0,0,422,0
170,20,118,279,4,77,0,0,0,4,1,1,0,1,3,1,1,0,0,2,0,5,1,518,0,1,519,0
171,29,183,268,2,105,0,0,0,1,1,1,0,2,0,0,0,1,1,0,0,1,1,596,0,0,596,0
172,13,359,49,0,62,0,0,0,2,1,0,0,0,0,1,1,0,3,1,0,0,0,492,0,2,494,0
173,18,326,59,0,82,1,1,0,1,1,0,1,1,0,2,1,0,1,0,0,0,1,496,0,0,496,0
174,19,326,76,0,127,1,1,0,2,1,1,0,1,0,3,0,2,0,2,0,2,0,564,0,1,565,0
175,23,72,120,0,67,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,287,0,0,287,0
176,33,76,186,1,109,4,1,0,5,0,1,1,0,0,1,1,0,2,3,0,2,1,427,0,3,430,0
177,68,177,110,1,120,26,0,0,0,0,5,0,0,2,1,1,0,1,1,0,0,0,513,0,0,513,0
178,70,103,354,0,236,2,1,0,2,0,1,2,6,4,0,0,1,1,0,0,2,0,785,0,0,785,0
179,48,89,224,2,205,1,1,0,0,0,0,1,3,1,0,0,2,0,0,0,1,0,578,0,0,578,0
180,12,69,76,0,57,8,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,226,0,0,226,0
181,20,203,199,4,89,9,0,0,0,1,0,0,0,0,3,0,0,2,5,0,0,0,535,0,4,539,0
182,16,125,95,1,51,84,0,0,0,0,0,0,3,0,2,0,1,1,1,0,0,0,380,0,0,380,0
183,41,226,441,2,198,0,0,1,4,0,1,0,1,1,1,0,0,0,1,2,1,0,921,0,0,921,0
184,35,226,154,1,122,20,1,2,2,0,0,3,2,0,1,0,0,2,0,0,0,0,571,0,0,571,0
185,33,310,294,0,177,13,1,1,2,0,0,0,0,0,2,1,0,0,3,0,0,0,837,0,0,837,0
186,26,192,190,0,156,41,0,0,2,0,0,1,1,2,2,1,0,1,0,0,1,0,616,0,1,617,0
187,43,167,241,3,178,232,4,0,2,1,4,0,3,1,4,3,3,0,1,1,0,0,891,0,2,893,0
188,22,144,192,1,124,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,487,0,0,487,0
189,31,220,279,3,141,71,1,0,3,0,0,0,4,1,3,1,0,2,4,0,1,0,765,0,3,768,0
190,46,384,318,3,102,1,0,0,1,0,1,4,7,12,10,2,0,3,3,0,1,0,898,0,6,904,0
191,43,192,190,2,126,61,7,0,0,3,1,0,2,1,4,0,1,1,1,2,1,0,638,0,3,641,0
192,20,115,327,3,142,0,1,0,1,0,0,0,1,0,1,1,0,0,5,0,2,1,620,0,0,620,0
193,38,203,397,3,191,0,0,0,1,1,1,1,0,0,2,0,0,0,2,0,2,0,842,0,5,847,0
194,22,140,271,0,106,1,0,0,3,1,1,0,2,0,1,2,1,0,0,0,0,0,551,0,0,551,0
195,ge 3 72,175,292,2,154,113,3,0,2,1,0,3,3,3,3,1,1,4,3,7,3,0,845,0,1,846,0
196,72,169,246,4,158,55,2,0,1,0,1,0,1,4,1,3,0,1,5,7,0,0,730,0,2,732,0
197,31,47,82,3,90,9,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,266,0,0,266,0
198,23,68,238,0,141,1,1,0,0,0,0,0,1,0,0,0,1,0,6,0,2,1,483,0,3,486,0
199,33,84,317,1,229,0,2,0,0,0,0,0,1,2,0,0,1,0,3,0,0,0,673,0,2,675,0
200,22,60,241,4,137,2,0,0,1,1,0,2,2,1,1,1,2,2,3,1,2,3,488,0,2,490,0
201,9,30,182,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,329,0,2,331,0
202,22,88,363,1,248,5,0,1,1,1,0,0,5,1,0,1,0,2,2,4,2,0,747,0,2,749,0
203,55,179,194,1,193,56,1,0,1,0,0,0,1,2,2,1,2,1,0,2,0,1,692,0,4,696,0
204,42,154,156,2,131,21,0,0,1,0,0,1,2,1,1,1,3,2,2,2,1,3,526,0,1,527,0
205,39,150,319,4,280,16,1,0,0,0,0,1,3,2,2,0,0,1,1,1,1,0,821,0,4,825,0
206,24,99,98,1,79,4,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,313,0,1,314,0
207,25,92,320,1,148,0,1,0,1,0,0,0,0,1,1,0,1,1,4,1,0,0,597,0,4,601,0
208,25,581,73,2,137,0,2,0,0,0,0,1,0,1,3,1,0,1,2,0,1,0,830,0,2,832,0
209,18,310,135,2,132,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,602,0,2,604,0
210,12,367,16,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,429,0,0,429,0
211,17,559,11,2,97,1,8,0,0,2,0,0,1,0,0,2,0,1,1,0,0,1,703,0,1,704,0
212,21,383,10,0,53,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,470,0,0,470,0
213,14,265,1,0,54,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,338,0,0,338,0
214,25,104,96,2,101,28,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,0,363,0,4,367,0
215,24,90,234,3,145,28,0,0,1,2,0,0,1,1,0,2,0,0,1,0,1,2,535,0,1,536,0
216,9,320,20,1,59,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,414,0,1,415,0
217,22,452,46,2,93,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,620,0,0,620,0
218,14,328,9,0,67,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,422,0
219,8,362,7,1,41,0,4,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,428,0,2,430,0
220,21,103,492,3,89,0,0,1,2,0,1,0,4,4,0,1,1,0,4,2,1,0,729,0,1,730,0
221,17,90,151,0,89,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,353,0,5,358,0
222,23,99,363,1,155,0,0,0,0,1,0,0,4,1,1,1,1,2,5,1,1,0,659,0,0,659,0
223,21,445,128,0,97,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,697,0,4,701,0
224,25,133,333,2,201,0,0,0,0,1,0,0,1,2,2,2,0,1,2,0,0,0,705,0,2,707,0
225,11,262,16,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,320,0,0,320,0
226,8,418,11,0,32,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,475,0,2,477,0
227,15,563,58,4,115,1,3,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,766,0,4,770,0
228,36,152,286,0,153,2,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,634,0,1,635,0
229,26,119,330,0,216,1,1,0,0,0,1,0,3,0,0,0,2,0,1,0,2,0,702,0,1,703,0
230,21,128,282,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,607,0,2,609,0
231,35,90,296,0,130,0,0,0,0,0,0,0,1,0,1,1,2,3,2,1,0,0,562,0,2,564,0
232,17,62,225,0,129,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,440,0,0,440,0
233,26,52,188,0,157,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,427,0,0,427,0
234,51,78,257,1,151,0,0,1,0,0,0,0,2,1,1,0,0,2,1,0,0,0,546,0,1,547,0
235,22,51,260,1,194,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,533,0,3,536,0
236,38,171,153,0,114,51,2,3,1,0,0,0,2,1,4,1,0,1,0,0,0,0,542,0,1,543,0
237,28,77,219,0,140,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,471,0,3,474,0
238,24,338,121,2,89,29,2,0,0,3,0,0,2,0,0,1,0,0,0,1,0,0,612,0,0,612,0
239,20,158,121,0,102,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,407,0,2,409,0
