Polling Station No,EZHILAN NAGANATHAN,KALANCHIYAM.MU,VALARMATHI.B,PRABHAKAR.J.C.D,MOHAMED GHOUSE.H,KARTHIKEYAN.S,SHANKAR.V,SATHYA.A,SUNDARA RAJU.A,DHANASEKARAN.V,PACHAIYAPPAN.E,PRABHAKARAN.T,PRABHAKARAN.B,PRABHAKARAN.V,MUNIYAN.E,VALARMATHI.E,VALARMATHY.D,VIJAY.D,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
33,173,32,106,272,1,0,0,0,0,0,0,0,0,0,0,0,0,1,585,0,3,588,0
34,201,27,76,256,0,0,0,2,0,0,0,0,1,0,1,0,0,0,564,0,5,569,0
35,125,12,97,269,1,0,0,1,0,1,0,0,2,0,0,1,0,0,509,0,2,511,0
36,109,24,84,156,0,0,0,0,5,1,0,0,0,0,0,0,1,0,380,0,3,383,0
37,147,10,75,216,1,0,0,0,0,0,0,0,1,0,0,0,0,0,450,0,5,455,0
38,84,17,73,127,0,1,0,0,1,0,1,0,0,0,0,1,0,0,305,0,1,306,0
39,128,21,43,266,0,1,0,0,0,0,0,0,0,0,0,0,0,1,460,0,3,463,0
40,126,14,70,188,0,0,0,0,1,0,0,0,0,0,0,1,0,1,401,0,4,405,0
41,168,18,86,274,1,0,0,0,1,0,0,0,0,0,0,0,1,0,549,0,4,553,0
42,185,15,100,321,0,1,0,0,0,0,0,0,0,0,0,0,0,1,623,0,2,625,2
43,221,26,98,246,0,0,0,0,0,0,0,0,0,1,0,1,1,0,594,0,3,597,0
44,170,19,101,256,0,0,0,0,0,0,0,0,0,0,0,1,0,0,547,0,1,548,0
45,209,14,82,331,1,0,1,0,1,0,1,0,0,0,0,1,0,1,642,0,4,646,0
46,127,16,109,221,0,0,0,2,0,0,0,1,0,0,0,0,0,0,476,0,3,479,0
47,301,14,40,377,1,0,1,1,0,0,0,1,0,0,0,0,0,0,736,0,1,737,0
48,268,9,46,424,3,1,1,1,0,0,0,0,0,0,0,1,0,0,754,0,3,757,1
49,126,14,52,89,0,0,1,1,0,0,0,0,0,1,0,0,0,1,285,0,1,286,0
50,124,12,84,143,0,0,0,0,0,0,0,0,0,0,1,2,2,2,370,0,3,373,0
51,229,17,79,142,2,1,0,3,0,1,0,0,1,0,0,3,0,3,481,0,7,488,1
52,166,2,60,66,1,0,0,0,0,0,0,0,0,0,0,2,0,0,297,0,2,299,0
53,125,6,68,105,0,1,0,0,0,0,0,0,0,0,0,2,2,0,309,0,4,313,0
54,315,24,60,270,0,1,0,0,0,0,0,0,0,0,0,4,0,0,674,0,6,680,0
55,222,8,79,277,0,0,0,1,0,0,0,0,0,0,0,0,0,0,587,0,1,588,0
56,240,6,86,215,1,0,0,1,1,0,0,0,0,0,0,2,0,1,553,0,2,555,0
57,181,19,84,209,0,1,1,0,0,0,2,0,0,0,0,1,0,0,498,0,2,500,0
58,187,6,61,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,2,415,0
59,174,12,52,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,2,445,0
60,227,18,99,243,0,0,0,1,2,0,0,0,0,0,0,0,0,0,590,0,5,595,0
61,203,9,95,218,3,1,0,1,2,0,0,0,0,0,0,1,1,1,535,0,4,539,0
62,200,15,89,190,1,2,0,0,0,1,0,0,0,1,0,0,0,0,499,0,5,504,0
63,230,20,72,197,0,1,1,1,0,1,0,0,0,0,0,0,0,0,523,0,2,525,1
64,138,15,61,140,0,0,0,1,0,0,0,0,0,0,0,1,0,0,356,0,5,361,0
65,170,20,142,258,0,0,0,2,1,0,0,0,1,0,0,1,0,0,595,0,0,595,0
66,266,34,94,293,3,1,0,4,0,1,0,0,0,0,0,0,1,0,697,0,8,705,0
67,191,19,97,213,1,0,0,0,0,1,0,0,0,0,0,0,0,0,522,0,4,526,0
68,113,8,104,212,2,0,0,0,0,0,0,0,0,0,0,3,0,0,442,0,1,443,0
69,138,11,87,116,0,0,0,0,1,0,1,0,0,1,0,3,1,0,359,0,10,369,0
70,163,5,63,95,0,0,2,1,0,0,0,0,0,1,0,1,0,1,332,0,8,340,0
71,260,9,163,129,3,0,0,1,0,0,0,0,0,0,0,2,3,0,570,0,5,575,0
72,71,12,23,157,0,0,1,0,1,0,0,0,0,0,0,0,0,0,265,0,0,265,0
73,167,12,28,323,0,1,0,0,0,0,0,0,1,0,0,0,0,1,533,0,3,536,0
74,138,17,41,438,3,2,0,0,0,0,0,1,1,2,0,0,0,0,643,0,3,646,0
75,149,17,61,303,0,0,0,1,0,0,0,0,0,0,0,2,0,0,533,0,4,537,0
76,182,6,40,209,1,1,0,0,0,0,0,0,0,0,0,1,0,0,440,0,1,441,0
77,222,2,66,148,1,0,0,0,1,0,0,1,0,0,0,1,1,0,443,0,4,447,0
78,406,17,37,397,4,0,0,1,0,0,0,0,0,1,0,1,0,0,864,0,2,866,0
79,314,6,50,241,0,0,0,1,0,0,0,1,0,0,0,2,0,0,615,0,1,616,0
80,291,13,68,300,0,0,0,1,0,0,0,0,0,0,0,1,0,1,675,0,2,677,0
81,299,12,52,280,1,0,0,1,0,0,0,0,0,0,0,0,0,0,645,0,2,647,0
82,248,14,83,288,0,0,0,1,0,0,0,1,0,0,0,1,0,0,636,0,2,638,0
83,236,18,78,213,0,0,0,0,0,0,0,0,0,0,0,1,0,2,548,0,1,549,0
84,156,13,36,335,0,0,0,0,1,0,0,0,0,0,0,0,1,0,542,0,0,542,0
85,100,14,40,141,0,0,0,2,0,0,0,2,0,1,0,0,1,0,301,0,0,301,0
86,203,8,28,278,0,0,0,1,0,0,0,0,2,0,0,0,0,0,520,0,1,521,0
87,72,7,33,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,2,223,0
88,200,9,76,237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,0,523,0
89,159,2,65,119,0,0,0,0,0,0,0,0,1,0,0,1,1,1,349,0,3,352,0
90,320,5,17,84,5,0,0,0,0,1,0,0,0,0,0,0,0,0,432,0,2,434,0
91,173,19,176,147,1,0,0,1,2,0,0,0,1,0,0,4,1,0,525,0,15,540,0
92,187,9,24,274,2,0,0,0,0,0,0,0,0,1,0,1,1,0,499,0,3,502,0
93,91,1,14,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,1,242,0
94,148,2,58,85,2,0,0,0,0,0,0,0,0,0,0,1,2,0,298,0,3,301,0
95,184,6,127,99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,418,0,3,421,0
96,134,6,93,67,0,1,0,0,0,0,0,0,0,1,0,1,0,0,303,0,5,308,0
97,339,10,97,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,4,739,0
98,114,7,79,101,0,0,0,0,0,0,0,0,0,0,0,2,0,1,304,0,4,308,0
99,202,19,97,282,0,1,0,0,0,0,0,0,0,0,0,1,0,0,602,0,3,605,0
100,167,16,106,226,0,1,0,4,0,0,0,1,0,0,0,0,0,0,521,0,9,530,0
101,234,25,112,335,2,0,0,0,0,0,0,0,0,0,0,0,1,0,709,0,7,716,0
102,214,23,114,318,0,1,0,0,0,0,0,0,0,1,0,1,0,0,672,0,4,676,0
103,165,14,91,184,2,0,0,0,0,0,0,0,0,0,0,1,0,0,457,0,2,459,0
104,259,15,164,163,7,0,1,3,0,0,0,0,0,0,0,0,0,0,612,0,6,618,0
105,159,17,102,120,1,0,0,0,1,0,0,0,0,0,0,0,1,0,401,0,4,405,0
106,242,17,86,246,1,1,0,1,0,0,0,0,0,0,0,0,1,0,595,0,2,597,0
107,274,7,93,273,0,0,0,0,0,0,0,0,0,0,1,3,0,0,651,0,4,655,0
108,125,9,89,303,1,0,1,0,0,1,0,0,0,0,0,1,0,1,531,0,1,532,0
109,239,12,89,319,1,0,0,2,0,0,0,0,0,1,0,2,1,1,667,0,6,673,0
110,170,14,77,314,1,1,1,1,1,0,0,4,0,1,0,2,1,0,588,0,2,590,0
111,164,7,123,181,0,0,0,0,0,0,0,0,0,0,0,1,0,0,476,0,6,482,0
112,235,17,135,232,0,0,0,0,0,0,0,0,0,0,0,1,1,1,622,0,6,628,0
113,157,13,111,241,1,1,0,2,0,0,0,0,0,0,0,0,2,0,528,0,4,532,0
114,200,31,129,328,2,0,0,0,0,0,0,0,1,1,0,2,0,0,694,0,5,699,0
115,193,16,167,300,0,0,0,1,0,0,0,0,0,1,0,4,0,1,683,0,2,685,0
116,152,19,173,217,0,0,0,1,0,0,0,0,0,0,0,3,0,0,565,0,6,571,0
117,214,22,99,209,2,0,0,0,0,0,0,0,0,0,0,2,0,1,549,0,8,557,0
118,172,8,136,102,0,1,0,0,0,0,0,0,0,1,0,1,1,0,422,0,6,428,0
119,195,19,107,179,1,0,0,1,0,0,0,0,0,0,0,1,2,1,506,0,5,511,0
120,203,13,163,225,0,0,0,0,0,0,0,0,0,0,0,2,0,0,606,0,6,612,0
121,211,21,160,175,0,0,0,0,1,0,0,0,1,1,0,0,0,0,570,0,2,572,0
122,155,15,131,223,1,0,1,0,1,0,0,1,0,0,0,0,1,1,530,0,2,532,0
123,206,9,93,227,0,0,0,0,0,0,0,0,0,1,0,0,2,0,538,0,2,540,0
124,174,14,144,364,1,0,0,0,0,0,0,0,1,0,1,1,1,0,701,0,1,702,0
125,163,15,62,332,2,1,0,1,0,0,0,0,0,0,0,1,1,0,578,0,0,578,0
126,137,15,161,134,0,0,0,0,0,0,1,0,1,0,0,3,0,1,453,0,7,460,0
127,80,1,51,75,0,0,0,1,0,0,0,0,1,0,0,1,0,0,210,0,1,211,0
128,91,21,204,173,1,0,0,1,0,0,0,0,0,1,0,1,0,0,493,0,8,501,0
129,180,12,159,146,0,1,0,0,0,0,0,0,1,0,0,2,1,0,502,0,10,512,0
130,118,12,132,164,4,0,0,0,0,0,0,0,0,0,0,4,0,0,434,0,4,438,0
131,142,18,76,186,0,0,1,0,0,0,1,0,0,0,0,3,0,0,427,0,2,429,0
132,173,17,229,227,1,1,1,0,0,0,0,1,0,0,0,3,1,0,654,0,12,666,0
133,188,25,147,369,1,0,0,0,0,0,0,0,3,0,0,2,0,0,735,0,1,736,1
134,174,15,106,324,0,0,0,0,0,0,0,0,0,0,0,0,1,0,620,0,1,621,0
135,227,13,45,252,0,0,0,1,1,0,0,1,0,0,0,0,0,0,540,0,1,541,0
136,117,8,48,147,0,0,0,0,0,0,0,0,0,0,0,0,6,0,326,0,1,327,0
137,244,5,115,324,0,0,1,1,0,0,0,0,2,0,0,0,1,0,693,0,2,695,0
138,155,11,83,243,1,0,0,0,0,0,0,0,1,0,0,0,0,0,494,0,2,496,0
139,111,13,57,80,0,0,0,0,0,0,0,0,0,0,0,2,0,0,263,0,4,267,0
140,160,14,82,217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,474,0
141,149,17,70,283,2,1,0,1,0,0,0,1,0,0,1,0,0,0,525,0,0,525,0
142,189,9,50,224,2,0,1,1,0,0,0,0,0,1,0,3,1,0,481,0,1,482,0
143,157,14,128,126,2,2,0,2,0,1,0,0,0,0,0,1,0,1,434,0,7,441,0
144,154,12,73,232,1,0,0,3,1,0,0,0,0,0,1,0,0,0,477,0,1,478,0
145,105,14,52,229,0,0,1,0,0,0,0,0,0,0,0,0,1,0,402,0,2,404,0
146,169,18,114,328,2,0,1,3,0,0,0,0,0,1,0,1,0,1,638,0,1,639,0
147,171,19,56,291,1,0,0,1,0,0,0,0,0,0,0,1,1,0,541,0,1,542,0
148,178,10,58,309,1,0,0,1,0,0,1,1,0,0,1,1,0,0,561,0,4,565,0
149,186,19,73,319,0,0,0,0,1,0,0,0,1,0,0,0,0,1,600,0,0,600,0
150,102,18,64,228,0,0,0,1,0,0,0,0,0,0,0,0,0,1,414,0,5,419,0
151,120,23,61,271,1,0,0,0,0,0,0,0,0,1,0,0,0,0,477,0,2,479,0
152,181,30,83,318,0,0,0,0,0,0,0,0,1,0,0,0,0,1,614,0,6,620,0
153,117,23,90,196,2,1,0,0,0,0,1,0,0,1,0,4,0,1,436,0,1,437,0
154,199,33,106,334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,673,0,2,675,0
155,157,26,92,355,0,0,0,1,0,0,0,0,0,0,0,0,1,0,632,0,2,634,0
156,221,15,61,398,0,0,0,0,0,0,0,0,0,0,1,0,1,0,697,0,3,700,0
157,166,17,101,187,0,2,0,1,0,0,0,0,0,1,0,3,0,0,478,0,3,481,0
158,179,24,132,288,0,0,0,1,0,0,0,0,0,1,0,1,0,0,626,0,3,629,0
159,155,8,111,188,2,0,0,0,0,0,0,0,0,0,0,1,0,0,465,0,5,470,0
160,239,10,74,271,1,0,1,1,0,0,0,1,0,0,0,2,0,0,600,0,2,602,0
161,88,9,40,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,1,225,0
162,120,17,67,286,1,1,0,1,1,0,0,0,0,0,0,0,0,0,494,0,2,496,0
163,107,10,41,205,0,0,0,0,0,0,0,0,0,0,0,1,1,1,366,0,1,367,0
164,180,20,124,287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,2,614,0
165,231,12,69,368,1,0,1,1,0,0,0,0,0,0,0,0,0,1,684,0,3,687,0
166,115,15,61,214,0,1,0,0,1,0,1,0,0,0,0,0,0,0,408,0,3,411,0
167,202,15,69,352,1,2,0,0,0,1,0,0,2,0,0,1,1,0,646,0,0,646,0
168,183,26,86,346,1,0,0,0,0,0,0,0,0,1,0,0,0,0,643,0,2,645,0
169,282,15,58,235,1,0,0,0,0,0,0,0,0,0,0,2,2,1,596,0,0,596,0
170,309,17,103,212,1,1,0,0,0,0,1,0,0,0,0,4,0,0,648,0,5,653,0
171,218,13,79,289,0,0,0,1,0,0,0,0,0,1,0,0,1,1,603,0,0,603,0
172,289,19,83,419,2,1,0,0,0,0,0,0,0,0,0,1,2,0,816,0,2,818,0
173,103,17,46,221,1,0,1,1,0,0,0,0,0,1,0,0,0,0,391,0,1,392,0
174,192,13,65,262,1,0,0,0,0,0,0,0,0,0,2,0,0,0,535,0,1,536,0
175,133,22,78,226,1,0,0,1,1,0,0,0,0,0,0,1,0,0,463,0,4,467,1
176,126,21,63,213,1,0,0,0,0,0,0,0,0,0,0,0,1,1,426,0,5,431,1
177,125,28,81,269,2,0,0,0,0,1,1,0,0,0,0,0,0,1,508,0,1,509,0
178,231,28,105,280,1,1,1,3,0,0,0,0,0,0,0,3,1,1,655,0,4,659,0
179,177,17,75,295,0,0,0,1,0,0,0,1,0,0,0,1,0,0,567,0,5,572,0
180,201,17,82,292,0,0,0,4,0,0,0,0,0,0,0,0,0,0,596,0,1,597,0
181,187,13,123,255,1,0,0,0,0,0,0,0,0,1,0,1,0,1,582,0,3,585,0
182,162,20,169,220,1,0,1,0,0,0,0,0,0,0,1,0,0,1,575,0,4,579,0
183,168,20,93,300,0,1,1,0,0,1,0,0,0,1,0,0,0,1,586,0,7,593,0
184,203,9,138,220,0,0,0,0,0,0,1,0,0,0,0,3,0,1,575,0,2,577,0
185,89,9,143,171,0,0,0,1,0,0,1,0,1,0,0,1,1,2,419,0,6,425,0
186,181,18,90,361,1,0,0,0,0,0,0,1,1,0,0,1,0,0,654,0,2,656,0
187,172,18,101,334,1,0,0,0,0,0,0,0,0,0,0,2,0,0,628,0,0,628,0
188,147,12,169,182,0,0,0,1,0,0,0,0,0,0,1,2,1,0,515,0,5,520,0
189,100,10,123,134,0,0,0,1,0,0,0,0,0,1,0,3,0,1,373,0,2,375,0
190,158,21,116,303,2,1,0,0,1,0,0,0,0,0,0,1,2,0,605,0,3,608,0
191,114,11,163,196,1,0,0,0,0,0,0,0,0,1,0,0,1,0,487,0,6,493,0
192,121,11,114,216,0,0,0,1,0,0,0,0,0,0,0,1,0,0,464,0,1,465,0
193,196,10,102,260,2,0,0,1,0,1,0,0,1,0,0,0,1,0,574,0,0,574,0
194,234,14,54,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,576,0
195,107,12,189,188,1,0,0,4,0,0,0,0,0,0,0,0,1,0,502,0,5,507,0
196,117,11,222,131,0,0,1,0,0,0,0,0,0,0,0,2,0,2,486,0,6,492,0
197,170,17,92,261,2,0,0,0,0,0,0,0,0,0,0,2,0,1,545,0,3,548,0
198,202,10,105,337,2,0,0,0,0,0,0,0,1,1,0,0,0,0,658,0,1,659,0
199,111,11,139,176,1,1,0,0,0,0,0,1,0,0,0,1,1,1,443,0,4,447,0
200,112,7,102,160,0,0,0,0,0,0,0,0,0,0,0,1,1,0,383,0,3,386,0
201,148,16,120,276,1,1,0,2,0,0,0,0,1,1,0,2,0,0,568,0,0,568,0
202,108,19,60,153,0,0,0,0,0,0,0,0,0,0,0,1,0,0,341,0,6,347,0
203,137,13,175,198,3,0,1,1,0,0,0,0,0,0,0,2,0,0,530,0,8,538,0
204,144,4,184,125,0,0,0,1,0,1,0,1,0,1,0,1,0,0,462,0,7,469,0
205,202,18,81,343,0,0,1,2,0,0,0,0,0,0,0,0,0,1,648,0,3,651,0
206,144,23,59,167,1,0,0,2,0,0,0,1,0,0,0,0,0,0,397,0,3,400,0
207,176,18,77,396,2,0,0,0,0,0,0,0,0,0,0,1,1,0,671,0,1,672,0
208,186,32,109,318,0,0,0,0,0,0,0,0,0,0,0,2,1,1,649,0,1,650,0
209,260,17,69,342,1,0,0,0,0,0,0,0,0,3,0,0,0,0,692,0,0,692,0
210,207,19,81,290,2,0,1,1,1,0,0,0,1,0,0,1,0,0,604,0,0,604,1
211,104,9,81,249,2,0,0,0,0,0,0,1,0,0,0,0,0,1,447,0,7,454,0
212,185,8,59,291,0,0,0,1,0,0,0,0,3,2,0,4,0,3,556,0,2,558,0
213,232,8,52,252,0,0,0,3,0,0,0,0,0,0,0,1,0,1,549,0,2,551,0
214,117,16,65,224,2,1,0,0,0,0,0,0,0,0,0,0,0,0,425,0,2,427,0
215,148,21,92,354,0,0,0,0,0,0,0,0,1,2,0,1,1,0,620,0,1,621,0
216,216,18,92,345,2,0,0,0,0,0,0,0,0,1,1,2,0,0,677,0,1,678,0
217,169,13,118,337,0,0,0,0,0,0,0,2,2,0,0,1,1,0,643,0,1,644,0
218,145,21,101,280,1,0,0,1,0,0,0,1,0,1,0,2,0,0,553,0,2,555,0
219,183,28,148,263,0,1,0,0,0,0,0,0,0,1,0,0,6,0,630,0,6,636,0
220,83,10,85,255,1,0,0,0,0,0,1,0,1,1,0,0,0,0,437,0,1,438,0
221,100,15,126,290,1,0,0,0,1,0,0,0,0,2,1,2,1,0,539,0,0,539,0
222,78,6,39,125,1,0,0,0,0,0,0,0,0,0,1,1,1,0,252,0,1,253,0
223,200,22,152,324,1,0,0,0,1,0,1,0,0,0,0,1,0,2,704,0,3,707,0
224,219,21,117,286,0,0,0,2,0,0,0,0,0,0,0,0,0,0,645,0,7,652,0
225,151,15,98,311,0,0,0,2,0,0,0,0,1,0,1,0,0,0,579,0,1,580,0
226,117,12,66,192,1,0,0,1,0,0,0,0,0,0,0,0,0,0,389,0,1,390,0
227,124,11,87,224,0,0,0,1,0,0,0,0,0,0,1,3,1,0,452,0,1,453,0
228,129,17,235,188,1,0,0,0,0,0,0,0,0,2,0,3,1,1,577,0,12,589,0
229,149,10,180,180,1,1,1,1,2,0,0,1,0,1,0,2,1,0,530,0,10,540,0
230,100,11,197,123,0,0,0,3,0,1,0,2,0,0,0,3,1,1,442,0,7,449,0
231,338,11,73,214,3,0,0,0,0,0,0,0,0,0,0,0,1,0,640,0,2,642,0
232,210,16,94,202,1,0,0,9,0,0,0,1,1,0,0,0,1,0,535,0,4,539,0
233,198,9,77,244,0,0,0,5,0,0,0,0,0,0,0,1,0,0,534,0,2,536,0
234,162,21,137,254,2,0,0,1,0,0,1,0,1,0,0,1,0,0,580,0,1,581,0
235,171,16,104,137,0,0,1,1,0,0,0,0,0,1,1,1,1,1,435,0,4,439,0
236,243,13,142,229,1,0,1,1,0,0,1,0,0,0,0,2,0,0,633,0,2,635,0
237,135,5,183,129,0,0,0,0,0,0,0,0,0,0,0,2,1,2,457,0,14,471,0
238,172,17,162,189,1,0,0,2,0,0,0,0,2,0,0,2,0,1,548,0,9,557,0
239,92,11,150,93,0,1,0,0,0,0,0,0,0,0,0,1,0,0,348,0,6,354,0
240,201,20,64,317,2,0,0,1,0,0,0,0,1,0,0,1,1,0,608,0,1,609,0
241,148,9,69,246,1,0,0,0,2,0,0,0,0,0,0,0,0,0,475,0,1,476,0
242,109,12,31,203,1,0,0,1,0,0,0,0,0,1,0,2,0,1,361,0,1,362,0
243,126,19,138,213,3,0,1,0,0,0,0,0,0,0,0,2,0,0,502,0,9,511,0
244,143,28,92,235,3,0,0,0,1,0,0,0,0,0,0,1,1,1,505,0,3,508,0
245,188,15,130,296,1,0,0,0,0,0,0,0,0,0,0,1,0,0,631,0,2,633,0
246,155,13,113,233,3,0,1,2,0,0,0,0,0,0,0,0,0,0,520,0,4,524,0
247,150,21,154,309,0,0,0,1,1,1,0,0,1,0,0,3,0,0,641,0,6,647,0
