Polling Station No,AFSHIA NASRIN. S,WAZEER AHMED. J,VILWANATHAN. A.C.,VENKATESAN. R,ASADULLAH. B,IMTHIYAZ PANDARATTUDU ABDU,KAREEM BASHA. A,GOVINDHAN. A,SASI REKA. Y,HAROON RASHEED BADU,KUMARAVEL. P,FIRDOSE AHMED. M,MUSHTAQ AHMED KUTLAPPAI,VISWANATHAN. J,VENKATESAN. M,SRINATH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
114,14,2,116,157,0,306,1,1,0,1,1,0,0,0,0,0,599,0,6,605,0
115,22,4,129,181,1,311,2,2,1,0,2,0,1,2,4,2,664,0,2,666,0
116,17,2,102,177,0,246,0,0,1,0,0,0,0,0,0,0,545,0,0,545,0
117,27,2,177,102,5,355,1,1,0,0,0,1,1,3,0,0,675,0,3,678,0
118,8,3,88,139,1,226,1,1,1,1,0,0,1,0,0,0,470,0,1,471,0
119,11,1,178,150,2,244,0,0,0,0,1,0,0,0,1,0,588,0,0,588,0
120,4,2,515,31,0,66,0,0,0,0,0,0,0,1,0,0,619,0,1,620,0
121,2,0,656,13,1,75,0,0,0,0,0,0,0,0,0,0,747,0,3,750,0
122,9,3,159,176,0,291,0,0,1,0,0,0,0,0,1,0,640,0,0,640,0
123,15,1,92,141,0,182,0,0,0,1,0,1,1,0,0,0,434,0,1,435,0
124,19,0,149,184,1,245,0,3,0,0,0,1,1,3,0,0,606,0,2,608,0
125,5,2,126,168,0,248,0,0,0,0,0,0,0,0,1,0,550,0,0,550,0
126,17,0,121,257,1,297,1,1,2,0,0,0,1,0,2,0,700,0,2,702,0
127,5,0,123,193,5,249,2,0,2,0,1,0,0,1,0,0,581,0,4,585,0
128,13,0,149,165,1,204,1,1,1,0,0,0,0,0,0,0,535,0,4,539,0
129,15,1,164,185,1,240,0,2,1,1,1,0,0,1,0,0,612,0,3,615,0
130,8,1,247,217,3,292,0,0,1,0,0,0,0,0,0,1,770,0,3,773,0
131,1,1,524,13,0,39,0,0,0,0,0,0,0,2,0,0,580,0,2,582,0
132,2,2,500,12,1,79,0,0,0,0,2,0,0,4,0,0,602,0,1,603,0
133,12,2,288,7,2,113,0,0,0,0,1,1,0,3,0,1,430,0,3,433,0
134,5,1,617,17,1,49,1,0,0,0,0,0,0,0,0,0,691,0,1,692,0
135,14,1,496,14,1,180,0,0,0,1,0,0,0,2,0,2,711,0,2,713,0
