Polling Station No,USHARANI. P,PALANISAMY. K,PALANISAMY. M,REVATHI. T.M,GOPI. C,LAKSHMI JANARTHANAN. J,VENGATESHSAN. T,KARTHIK. N,KALIYAPPAN. A,THANGADURAI. N,PAZHANIVEL. K,VIJAYAKUMAR. N,VENKATESAN. S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
247,93,0,12,78,0,89,0,0,1,0,0,1,1,275,0,2,277,0
248,283,3,37,269,2,425,1,0,0,0,1,0,1,1022,0,1,1023,0
249,277,5,34,328,4,319,0,0,0,1,1,0,0,969,0,4,973,0
250,228,6,30,178,0,314,0,0,0,1,2,0,1,760,0,5,765,0
251,163,2,22,199,2,291,0,0,0,1,0,0,0,680,0,2,682,0
252,136,0,24,184,2,170,1,0,0,0,0,0,0,517,0,5,522,0
253,278,1,43,253,2,422,0,0,1,0,0,0,0,1000,0,1,1001,0
254,228,0,14,216,0,248,0,0,0,0,0,0,0,706,0,6,712,0
255,320,1,29,226,1,378,3,0,0,0,0,1,1,960,0,5,965,0
256,226,1,25,179,1,227,0,0,0,0,0,0,0,659,0,3,662,0
257,155,0,22,119,1,190,0,1,0,0,0,0,1,489,0,4,493,0
258,368,2,37,145,4,519,0,0,0,1,3,0,2,1081,0,6,1087,0
259,154,2,14,80,0,116,1,0,0,2,0,1,0,370,0,2,372,0
260,253,1,24,184,1,243,1,0,0,1,2,0,2,712,0,5,717,0
261,307,2,32,237,1,340,2,0,0,1,0,0,2,924,0,5,929,0
262,257,2,19,276,1,337,1,0,0,1,0,0,1,895,0,1,896,0
263,284,2,24,219,3,344,1,1,0,2,4,2,0,886,0,5,891,0
264,318,0,41,222,1,352,0,0,2,0,0,1,0,937,0,4,941,0
265,230,2,20,127,0,161,0,0,1,0,1,0,0,542,0,1,543,0
266,197,3,10,76,0,178,1,0,0,0,0,0,1,466,0,2,468,0
267,191,3,19,141,2,232,0,0,0,0,1,0,1,590,0,4,594,0
268,303,5,21,103,1,217,0,0,0,2,2,1,1,656,0,2,658,0
269,207,1,42,182,0,294,1,2,0,0,1,1,0,731,0,6,737,0
270,166,0,16,107,1,178,3,0,0,0,0,0,0,471,0,1,472,0
271,227,3,26,180,1,309,0,0,0,0,1,0,2,749,0,6,755,0
272,293,5,34,246,2,413,0,0,0,0,1,2,2,998,0,1,999,0
273,282,4,19,192,2,342,0,0,0,0,1,0,1,843,0,2,845,0
274,277,0,10,163,3,245,0,0,0,2,0,0,0,700,0,1,701,0
275,264,2,17,168,0,195,0,0,0,1,1,1,0,649,0,2,651,0
276,285,1,15,174,2,181,1,1,1,0,1,1,3,666,0,8,674,0
277,258,1,15,119,1,205,1,0,0,0,1,0,1,602,0,3,605,0
278,378,2,16,124,1,187,0,2,0,4,1,0,1,716,0,3,719,0
279,317,1,39,145,1,243,1,0,0,1,0,0,5,753,0,2,755,0
280,176,1,27,111,0,256,1,0,0,0,0,0,0,572,0,9,581,0
281,341,2,52,167,0,251,0,0,1,3,1,0,2,820,0,3,823,0
282,278,3,37,157,4,245,0,1,1,1,0,0,2,729,0,2,731,0
283,281,0,34,250,2,303,0,0,0,0,2,0,3,875,0,4,879,0
284,316,1,35,155,2,286,1,0,0,1,1,0,1,799,0,2,801,0
285,328,2,19,114,1,228,1,0,1,0,0,0,1,695,0,4,699,0
286,385,3,32,181,1,286,0,1,1,1,3,0,2,896,0,3,899,0
287,350,3,35,361,1,289,0,1,1,1,0,2,0,1044,0,4,1048,0
288,251,1,35,276,0,366,3,0,0,0,0,0,1,933,0,5,938,0
289,250,3,31,267,1,364,2,0,0,2,1,1,2,924,0,5,929,0
290,469,3,20,259,5,249,0,0,2,0,0,1,1,1009,0,1,1010,0
291,350,9,22,198,5,331,1,0,2,4,0,1,12,935,0,15,950,0
292,359,2,26,174,0,147,1,0,1,0,0,0,2,712,0,1,713,0
293,348,2,14,173,1,183,0,1,0,1,1,0,0,724,0,0,724,0
294,289,1,23,301,3,278,0,0,0,1,1,0,2,899,0,3,902,0
295,346,2,29,225,2,282,1,0,1,2,1,2,3,896,0,2,898,0
296,388,3,37,163,0,256,0,0,0,1,0,1,0,849,0,3,852,0
297,314,2,19,163,1,242,1,0,0,0,2,0,1,745,0,0,745,0
298,420,2,20,218,1,181,0,0,1,0,1,0,0,844,0,3,847,0
299,193,2,14,188,1,221,0,1,0,0,0,1,2,623,0,6,629,0
300,505,2,24,202,0,217,0,0,0,1,1,1,2,955,0,3,958,0
301,236,3,13,123,0,137,0,0,0,0,0,1,1,514,0,6,520,0
302,531,4,11,116,3,151,0,0,1,1,1,2,1,822,0,0,822,0
303,212,0,24,215,0,182,0,0,0,0,0,1,0,634,0,4,638,0
304,400,2,26,320,0,312,0,0,0,0,0,1,2,1063,0,0,1063,0
305,345,7,46,261,7,203,0,0,0,2,1,1,0,873,0,6,879,0
306,259,9,51,162,1,156,5,1,1,4,2,1,5,657,0,1,658,0
307,395,3,24,212,0,293,1,0,0,0,1,1,0,930,0,7,937,0
308,274,1,17,222,0,218,1,0,0,3,1,1,1,739,0,4,743,0
309,224,4,22,305,2,339,1,0,0,1,1,0,1,900,0,5,905,0
310,236,1,15,326,1,236,0,0,0,1,0,0,0,816,0,1,817,0
311,221,2,36,191,2,216,1,0,0,3,2,1,4,679,0,7,686,0
312,183,0,14,101,0,114,0,1,0,1,0,0,2,416,0,0,416,0
313,351,2,16,402,3,220,0,1,0,2,6,4,6,1013,0,5,1018,0
314,172,3,5,245,0,150,0,0,0,0,1,1,5,582,0,2,584,0
315,245,5,12,194,1,158,1,0,0,1,0,0,0,617,0,3,620,0
316,376,2,26,310,1,190,2,0,0,1,3,4,4,919,0,3,922,0
317,301,4,20,276,2,248,2,0,3,11,3,1,8,879,0,12,891,0
318,240,2,7,134,2,89,1,0,0,2,0,0,1,478,0,3,481,0
319,202,1,4,119,1,91,1,0,0,0,0,1,0,420,0,1,421,0
320,291,5,22,263,3,226,1,0,4,3,3,1,12,834,0,10,844,0
321,302,8,22,230,4,227,2,0,1,3,2,1,6,808,0,9,817,0
322,97,1,6,86,0,61,0,0,0,0,1,0,2,254,0,0,254,0
323,332,2,21,348,3,272,1,1,0,3,6,2,3,994,0,11,1005,0
324,327,8,14,211,1,235,0,0,0,3,1,4,5,809,0,8,817,0
325,369,6,19,263,4,252,1,1,2,0,5,0,0,922,0,6,928,0
326,277,7,24,202,9,193,1,0,0,0,0,1,5,719,0,1,720,0
327,350,9,29,198,4,165,2,0,1,5,2,2,7,774,0,8,782,0
328,207,7,18,193,1,167,0,1,0,2,1,1,3,601,0,1,602,0
329,328,7,19,172,3,111,1,0,0,4,5,3,5,658,0,7,665,0
330,345,6,21,279,3,218,1,2,1,7,4,4,9,900,0,8,908,0
331,352,4,26,207,1,234,0,0,2,4,2,0,0,832,0,6,838,0
332,179,4,16,90,0,85,0,0,0,2,2,1,3,382,0,2,384,0
333,320,6,24,181,1,219,1,0,2,3,3,1,3,764,0,10,774,0
334,234,5,11,199,0,103,0,0,0,3,0,0,0,555,0,7,562,0
335,210,1,13,130,2,107,0,0,1,1,3,0,3,471,0,1,472,0
336,261,2,14,199,2,175,1,0,0,2,1,1,3,661,0,2,663,0
