Polling Station No,ELANGOVAN. A.R,SIVASAKTHI. M,MANI. R,ADHIYAMAAN. R.V,KRISHNAMOORTHY. D,SURESHKUMAR. S,ARUL PRAKASH. T,GOBINATHAN. R,SANTHALINGAM. C,PERUMAL. S,MANI. V,MANOKARAN. A,MAYAKKANNAN. R,MOHANRAJ. P.M,JEGANATHAN. A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
131,141,14,282,188,0,0,0,2,0,0,1,0,0,2,0,630,0,3,633,0
132,161,16,206,281,3,1,0,3,0,2,0,0,4,4,0,681,0,3,684,0
133,114,20,411,390,1,8,0,7,0,0,0,1,0,1,0,953,0,5,958,0
134,157,21,409,371,2,5,0,2,1,1,1,1,2,1,2,976,0,6,982,0
135,99,15,437,282,1,0,0,7,0,0,0,0,2,2,1,846,0,2,848,0
136,91,19,571,179,0,2,0,3,3,0,0,4,2,4,0,878,0,3,881,0
137,210,48,246,402,3,0,0,5,1,0,1,0,2,1,1,920,0,6,926,0
138,245,38,186,393,0,0,1,8,0,0,1,4,3,2,1,882,0,2,884,0
139,156,21,353,289,0,2,0,4,0,1,0,0,2,2,0,830,0,2,832,0
140,168,20,308,313,2,2,0,2,0,0,0,0,3,0,0,818,0,4,822,0
141,125,26,430,294,1,1,1,3,0,0,2,0,1,1,0,885,0,3,888,0
142,146,27,269,372,2,1,0,7,0,0,1,0,2,1,1,829,0,4,833,0
143,85,20,355,287,2,1,0,3,1,1,1,0,0,0,0,756,0,2,758,0
144,135,19,290,325,3,1,0,6,0,2,0,0,2,3,0,786,0,8,794,0
145,70,10,237,172,0,0,0,2,1,0,0,2,4,5,1,504,0,4,508,0
146,129,22,409,236,1,0,0,1,0,0,0,0,3,0,0,801,0,1,802,0
147,152,9,398,257,1,1,0,1,0,0,1,0,0,1,1,822,0,1,823,0
148,94,15,331,229,1,0,0,7,0,0,0,0,2,2,1,682,0,1,683,0
149,138,28,401,284,10,1,0,3,0,1,0,0,3,0,0,869,0,3,872,0
150,167,36,193,253,0,0,1,5,1,2,0,0,6,0,1,665,0,3,668,0
151,121,21,88,205,0,1,0,2,0,0,0,0,1,0,0,439,0,2,441,0
152,119,17,360,294,1,1,1,7,0,2,1,1,3,0,1,808,0,6,814,0
153,140,29,274,249,3,0,0,1,0,1,2,0,2,1,0,702,0,5,707,0
154,195,12,473,351,5,3,1,8,0,1,1,0,2,3,0,1055,0,4,1059,0
155,108,12,475,325,3,0,0,5,2,2,2,0,3,5,0,942,0,3,945,0
156,102,22,158,167,0,0,0,2,0,0,0,2,0,1,1,455,0,1,456,0
157,196,33,182,309,0,2,0,1,0,0,0,0,3,0,0,726,0,2,728,0
158,83,18,332,228,6,0,0,5,1,1,1,4,2,0,1,682,0,8,690,0
159,69,23,293,418,2,2,0,5,0,2,1,3,3,1,0,822,0,2,824,0
160,46,21,311,258,3,1,1,3,1,0,0,1,0,0,1,647,0,3,650,0
161,114,24,204,417,0,1,0,8,0,0,0,4,7,1,0,780,0,7,787,0
162,108,17,207,276,1,3,0,7,0,0,0,1,2,0,1,623,0,3,626,0
