Polling Station No,T.J.GOVINDARAJAN,SUDHAKAR.V,M.JAGADEESAN,"R.SRIDAR. B.L.,",SDK SANKAR,K. CHANDRA SEKAR,S.VIJAYAKUMAR,M.KUMARAN,GOPAL.K,T.GOVINDAN,A.H. SIVA GANESH,D.SUDHAKAR,V.SUDHAKAR,D.DINESH,G.RANJITH B.SC.L.L.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
165,203,134,0,9,1,2,290,3,3,0,0,3,1,1,0,650,0,0,650,0
166,264,272,3,22,0,2,375,3,1,0,2,2,1,0,3,950,0,6,956,0
167,96,189,0,2,0,0,117,0,0,0,0,1,0,0,2,407,0,0,407,0
168,262,295,4,18,0,1,380,0,1,0,0,0,0,1,3,965,0,1,966,0
169,262,121,0,13,0,3,402,2,2,0,0,0,0,0,1,806,0,1,807,0
170,138,55,1,6,0,0,203,1,1,0,0,0,0,0,0,405,0,1,406,0
171,178,120,1,8,0,0,257,0,2,1,0,1,1,2,2,573,0,1,574,0
172,209,105,2,10,0,0,245,0,2,1,0,0,1,0,1,576,0,1,577,0
173,225,188,3,20,1,1,335,0,0,1,0,1,1,0,1,777,0,10,787,0
174,141,570,2,23,5,0,158,0,1,0,0,3,1,0,3,907,0,3,910,0
175,223,265,3,20,2,1,209,0,1,1,0,1,0,0,0,726,0,3,729,0
176,262,446,1,30,0,0,269,1,1,1,0,1,0,1,4,1017,0,6,1023,0
177,165,129,0,9,0,1,307,1,0,1,0,1,0,2,3,619,0,5,624,0
178,235,136,5,5,0,1,289,0,0,0,0,1,2,1,2,677,0,3,680,0
179,137,140,0,3,2,1,227,0,1,1,1,2,0,0,1,516,0,1,517,0
180,172,81,1,20,0,1,368,1,1,2,0,0,0,0,1,648,0,1,649,0
181,109,238,0,12,0,0,220,2,0,1,0,2,0,0,4,588,0,3,591,0
182,314,125,7,22,0,0,457,0,0,1,0,0,0,0,0,926,0,5,931,0
183,143,504,1,3,1,1,150,0,1,0,0,0,0,0,0,804,0,1,805,0
184,180,190,0,16,0,2,389,0,0,2,0,0,2,1,1,783,0,2,785,0
185,198,135,5,10,0,3,403,3,2,2,2,3,0,1,2,769,0,6,775,0
186,257,186,5,18,0,2,301,0,0,1,0,1,1,0,0,772,0,3,775,0
187,179,68,1,8,0,1,163,0,0,0,0,0,0,1,1,422,0,4,426,0
188,195,171,2,26,1,1,351,1,0,1,0,2,1,0,1,753,0,6,759,0
189,135,127,1,12,3,1,237,0,0,1,0,1,0,0,0,518,0,3,521,0
190,238,88,3,23,0,0,434,0,2,0,0,0,0,2,4,794,0,8,802,0
191,220,117,2,38,0,1,341,3,1,2,1,2,1,2,0,731,0,2,733,0
192,215,101,1,21,0,0,189,0,0,0,0,0,0,0,1,528,0,2,530,0
193,226,46,6,16,0,1,314,3,1,0,1,0,4,1,1,620,0,2,622,0
194,230,114,1,9,0,0,198,0,1,0,0,0,0,1,1,555,0,5,560,0
195,211,143,3,23,0,1,371,1,0,2,0,1,0,1,1,758,0,6,764,0
196,183,237,0,14,0,1,293,0,1,0,0,0,2,0,1,732,0,6,738,0
197,211,173,2,12,0,0,312,1,0,0,0,0,0,1,2,714,0,3,717,0
198,174,241,0,12,1,1,256,1,0,0,0,1,1,0,4,692,0,2,694,0
199,181,129,0,10,0,0,223,1,0,0,0,1,1,1,3,550,0,0,550,0
200,159,279,0,11,1,0,241,0,0,0,0,0,1,2,2,696,0,2,698,0
201,196,421,1,9,0,1,197,0,0,1,0,0,0,1,1,828,0,4,832,0
202,178,291,2,14,0,1,241,0,0,1,0,0,0,0,0,728,0,3,731,0
203,220,226,2,6,0,2,297,0,1,0,0,1,1,1,0,757,0,1,758,0
204,206,326,0,7,0,1,322,0,0,0,0,2,0,1,1,866,0,1,867,0
205,142,379,1,11,0,2,275,3,0,0,0,0,1,1,6,821,0,5,826,0
206,273,370,4,9,0,2,335,0,0,3,0,0,0,1,1,998,0,8,1006,0
207,251,141,4,3,0,1,227,0,1,0,0,3,2,1,2,636,0,3,639,0
208,166,263,2,6,2,0,143,0,0,0,0,0,0,0,0,582,0,0,582,0
209,222,193,3,12,0,0,377,1,2,1,0,0,1,2,1,815,0,3,818,0
210,322,141,4,15,0,2,464,1,2,0,2,1,0,1,2,957,0,6,963,0
211,264,275,2,15,2,1,263,3,0,0,1,3,2,3,4,838,0,6,844,0
212,240,137,4,23,0,2,437,1,1,2,1,1,1,3,4,857,0,1,858,0
213,178,170,1,19,0,1,308,0,1,0,0,0,0,0,2,680,0,2,682,0
214,118,87,0,5,0,0,220,0,0,0,1,0,1,0,0,432,0,5,437,0
215,329,122,1,16,0,2,339,0,1,1,0,1,1,3,1,817,0,6,823,0
216,400,149,3,14,0,3,403,0,1,0,1,1,0,0,2,977,0,7,984,0
217,183,358,2,10,2,0,237,0,0,0,0,0,1,1,2,796,0,7,803,0
218,242,158,0,11,1,3,374,0,0,3,0,0,0,2,4,798,0,1,799,0
219,221,278,2,14,0,1,400,1,1,2,1,2,1,2,0,926,0,1,927,0
220,102,73,1,9,0,0,224,0,0,1,0,0,1,0,2,413,0,1,414,0
221,217,429,1,17,10,0,319,0,1,0,1,1,0,0,2,998,0,2,1000,0
222,143,191,1,9,0,0,243,1,0,0,0,0,1,0,0,589,0,2,591,0
223,150,164,5,21,1,4,451,2,1,1,1,1,1,0,2,805,0,3,808,0
224,88,152,0,9,2,1,215,1,0,0,0,1,1,0,0,470,0,0,470,0
225,190,163,17,14,1,0,320,1,0,3,0,1,0,3,1,714,0,5,719,0
226,160,199,0,7,3,1,278,0,1,1,0,0,2,0,1,653,0,0,653,0
227,179,72,3,4,1,1,262,0,0,0,0,0,0,0,1,523,0,0,523,0
228,254,183,1,13,0,0,340,1,0,0,1,0,1,1,3,798,0,0,798,0
229,294,151,2,20,0,4,343,1,0,0,1,0,1,1,0,818,0,0,818,0
230,294,223,1,25,1,2,441,2,1,1,0,1,1,1,2,996,0,3,999,0
231,233,126,2,17,3,1,339,0,0,0,0,0,0,1,0,722,0,0,722,0
232,144,81,2,11,1,0,202,0,0,0,0,0,2,0,1,444,0,5,449,0
233,161,174,2,20,0,2,344,1,0,1,0,0,1,1,2,709,0,2,711,0
234,302,154,2,14,0,1,317,1,0,1,0,0,2,0,1,795,0,0,795,0
235,255,157,1,21,1,0,342,0,3,1,0,0,1,0,0,782,0,3,785,0
236,160,76,2,10,0,1,173,1,0,0,0,0,2,0,0,425,0,1,426,0
237,207,99,2,15,0,2,250,1,0,0,0,0,0,0,2,578,0,3,581,0
238,259,206,3,27,1,2,382,0,0,0,0,2,6,0,1,889,0,5,894,0
239,207,126,7,12,1,0,231,0,1,0,0,0,0,0,1,586,0,0,586,0
240,249,105,6,12,0,2,447,1,0,2,1,1,0,0,1,827,0,1,828,0
241,53,313,1,5,3,0,95,0,0,0,0,1,0,1,1,473,0,1,474,0
242,90,311,0,5,1,1,146,0,1,0,1,0,0,1,4,561,0,0,561,0
243,259,210,6,21,2,4,392,0,0,0,1,0,0,1,1,897,0,1,898,0
244,182,81,1,11,0,0,232,0,0,0,0,0,1,0,0,508,0,4,512,0
245,190,120,0,12,3,1,218,1,0,1,0,0,0,0,1,547,0,2,549,0
246,270,136,1,10,0,1,304,1,0,3,1,1,0,2,4,734,0,4,738,0
247,142,214,2,9,3,1,289,3,1,3,1,4,1,1,2,676,0,5,681,0
248,309,286,1,24,1,1,369,0,0,1,0,0,2,1,6,1001,0,4,1005,0
249,264,209,0,13,0,1,340,3,1,0,0,2,0,1,2,836,0,3,839,0
250,246,443,2,11,2,0,233,5,0,0,1,4,0,0,4,951,0,10,961,0
251,84,115,1,4,1,2,67,1,0,0,0,1,1,0,5,282,0,3,285,0
252,227,123,3,14,0,0,273,1,1,1,1,2,3,0,1,650,0,0,650,0
253,221,81,1,16,1,0,316,1,1,0,0,0,0,0,1,639,0,1,640,0
254,325,284,0,17,7,0,220,2,0,0,2,0,0,1,1,859,0,6,865,0
255,139,87,0,8,2,0,182,0,0,0,0,0,0,1,3,422,0,6,428,0
256,172,523,1,15,1,0,150,0,0,0,0,0,1,1,0,864,0,2,866,0
257,197,174,0,14,0,0,261,0,0,0,1,0,0,0,0,647,0,1,648,0
258,136,138,1,9,1,0,179,0,0,0,0,0,1,1,1,467,0,3,470,0
259,223,109,2,13,1,1,340,1,0,1,1,0,0,0,4,696,0,4,700,0
260,160,135,1,12,0,0,202,0,0,0,0,0,0,0,0,510,0,2,512,0
261,209,298,4,5,0,1,387,1,1,1,0,0,0,0,2,909,0,3,912,0
262,213,176,1,28,0,2,363,1,1,1,1,0,2,1,0,790,0,6,796,0
263,194,156,1,21,2,0,440,1,1,2,0,1,3,1,2,825,0,4,829,0
264,82,134,3,14,0,2,279,1,1,0,1,2,1,0,2,522,0,4,526,0
265,227,200,3,7,0,6,426,1,2,1,2,2,0,2,9,888,0,6,894,0
266,121,114,0,18,0,5,248,0,0,0,0,0,0,1,1,508,0,1,509,0
267,95,329,1,3,5,0,292,1,0,1,0,2,0,0,1,730,0,1,731,0
268,169,139,1,16,0,1,275,0,1,0,0,0,1,0,0,603,0,4,607,0
269,143,184,0,9,0,0,284,1,0,1,0,0,0,1,0,623,0,3,626,0
270,212,73,1,10,1,1,423,1,0,0,1,0,0,1,1,725,0,0,725,0
271,126,253,1,5,0,1,251,1,0,0,0,1,0,1,0,640,0,0,640,0
272,320,109,0,9,0,2,339,1,0,0,0,2,0,0,0,782,0,1,783,0
273,151,56,0,15,0,0,234,0,1,0,0,0,1,0,0,458,0,2,460,0
274,241,266,1,10,1,2,347,1,0,0,0,2,1,1,2,875,0,4,879,0
275,236,213,3,18,0,3,437,2,0,0,0,4,0,1,1,918,0,3,921,0
276,117,299,1,8,4,2,284,0,0,0,0,0,0,0,2,717,0,0,717,0
277,140,129,0,6,0,1,262,3,0,0,0,0,0,0,1,542,0,2,544,0
278,99,110,0,3,0,1,159,0,0,0,0,0,1,0,1,374,0,3,377,0
279,213,204,1,10,3,1,199,1,0,0,0,0,4,3,1,640,0,2,642,0
280,198,256,5,22,3,1,380,0,0,0,1,2,2,6,2,878,0,1,879,0
281,201,274,2,13,3,4,405,3,0,0,0,0,0,1,2,908,0,5,913,0
282,212,166,1,16,1,1,419,0,2,4,1,0,1,0,0,824,0,1,825,0
283,284,152,1,25,1,1,489,3,2,3,0,2,2,0,0,965,0,4,969,0
284,96,408,2,10,10,0,129,0,0,0,1,3,0,0,2,661,0,2,663,0
285,66,363,1,18,9,0,131,0,1,0,0,1,0,0,3,593,0,2,595,0
286,160,99,0,20,0,0,300,0,0,0,0,0,0,0,0,579,0,3,582,0
287,95,160,3,8,12,0,218,0,0,1,0,0,1,0,0,498,0,0,498,0
288,281,178,1,12,0,0,363,0,0,0,1,2,0,2,2,842,0,4,846,0
289,77,92,0,6,0,1,283,0,0,2,0,1,0,0,1,463,0,0,463,0
290,79,154,1,9,0,2,164,0,0,0,1,1,0,1,0,412,0,2,414,0
291,90,50,3,2,0,2,317,2,1,1,2,0,0,1,1,472,0,1,473,0
292,136,148,1,17,0,2,279,0,2,0,0,0,1,0,4,590,0,2,592,0
293,340,69,0,22,0,4,345,0,0,0,0,2,1,0,0,783,0,3,786,0
294,91,113,0,7,0,0,170,1,0,0,0,0,1,0,0,383,0,2,385,0
295,49,15,0,3,0,1,186,1,1,0,0,0,0,0,2,258,0,3,261,0
296,178,113,0,31,0,1,335,0,0,0,0,1,1,1,1,662,0,4,666,0
297,147,108,0,14,1,0,273,1,0,0,0,0,0,0,0,544,0,5,549,0
298,194,129,3,16,1,0,247,0,0,0,0,1,0,0,0,591,0,7,598,0
299,127,133,0,9,0,2,237,0,0,1,0,0,0,0,0,509,0,0,509,0
300,87,156,0,3,0,0,158,0,0,0,0,1,0,2,0,407,0,0,407,0
301,101,275,1,3,0,0,211,0,0,0,0,1,1,0,0,593,0,6,599,0
302,157,250,2,2,0,0,156,0,0,0,1,3,0,0,7,578,0,5,583,0
303,275,313,0,2,1,0,61,0,1,0,0,0,2,0,2,657,0,5,662,0
304,362,188,1,9,0,0,302,0,1,0,1,1,1,0,2,868,0,4,872,0
305,253,284,1,16,0,0,318,0,0,2,0,0,0,0,2,876,0,3,879,0
306,117,403,0,7,1,1,166,0,0,1,1,1,0,0,1,699,0,2,701,0
307,126,301,1,7,0,1,135,2,0,1,0,3,1,0,2,580,0,2,582,0
308,122,315,4,13,0,0,361,0,1,2,0,2,1,1,2,824,0,1,825,0
309,202,338,25,17,0,1,310,0,0,0,0,1,0,1,1,896,0,5,901,0
310,178,456,0,7,0,0,124,1,1,0,0,1,1,0,1,770,0,3,773,0
311,205,286,1,6,0,1,122,0,0,0,0,2,0,0,3,626,0,5,631,0
312,302,163,2,11,1,1,234,1,0,0,0,0,1,1,3,720,0,10,730,0
313,129,236,0,3,0,0,159,1,0,0,0,1,1,0,1,531,0,1,532,0
314,76,88,0,1,0,0,81,0,0,0,0,1,0,0,1,248,0,4,252,0
315,142,138,0,14,0,1,242,1,0,0,0,3,0,1,2,544,0,4,548,0
316,216,173,0,11,1,1,191,0,0,2,0,1,0,0,1,597,0,4,601,0
317,125,288,2,9,0,0,248,1,0,1,1,0,0,1,2,678,0,2,680,0
318,237,145,0,5,1,1,284,1,1,0,0,0,0,1,1,677,0,0,677,0
319,310,126,2,12,2,0,308,0,1,0,0,0,0,1,3,765,0,4,769,0
320,205,120,0,4,0,0,127,0,0,0,0,0,0,0,0,456,0,4,460,0
321,197,66,0,3,1,4,240,1,1,0,0,3,1,2,1,520,0,7,527,0
322,191,137,1,5,0,3,291,0,1,2,0,2,0,2,2,637,0,5,642,0
