Polling Station No,Candidate_1,A . A) K H T TN I N( A,A . M A) GK UM MD N( A H S,V . R A ) MK UM KD HA TI AA P( M A S,G .) UP RS HB E( N,S .) LK AL MK MM AM HL TD UA RN A( K,K . J A) RK M U PT P( U K,S .) AK LV IA N T A( M,C . U ) T NA N N I AR KP IP R R A ( M,K . H) K S V E KT ( A R,. R D ) ) Y P AMK (AC HWN S J ST E T .R AKH K. VB N ( E V,K . H ) TD AN PI M( A S,C . H ) TD AN PI M( A S,K . L E ) VD A N G I N( A H T,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
61,61,5,93,152,0,1,0,0,3,128,0,0,0,0,2,384,0,1,385
62,62,33,528,162,2,3,0,0,2,299,0,0,0,2,0,1031,0,6,1037
63,63,17,539,185,4,2,1,0,0,208,0,1,0,2,0,959,0,6,965
64,64,26,472,231,1,0,0,0,2,193,0,0,0,0,0,925,0,6,931
65,65,10,90,280,0,1,0,0,1,79,0,0,0,0,0,461,0,0,461
66,66,15,153,275,0,0,0,0,2,204,1,0,0,0,1,651,0,0,651
67,67,10,138,208,0,3,0,0,0,145,0,0,0,0,0,504,0,0,504
68,68,10,219,335,1,1,1,0,3,132,0,0,1,2,2,707,0,1,708
69,69,16,648,135,0,0,0,1,7,159,2,1,0,1,6,976,0,7,983
70,70,18,145,324,3,2,1,1,1,174,1,0,0,0,2,672,0,0,672
71,71,2,90,325,0,0,0,0,0,48,0,0,1,0,1,467,0,3,470
72,72,11,221,201,6,0,0,0,2,160,0,0,0,1,2,604,0,2,606
73,73,4,156,138,0,1,0,0,0,140,0,0,1,1,0,441,0,0,441
74,74,18,113,473,3,2,0,0,1,215,0,0,0,0,0,825,0,5,830
75,75,15,292,173,3,5,0,0,1,275,2,0,0,2,1,769,0,1,770
76,76,5,253,23,0,0,0,2,2,59,0,0,0,0,0,344,0,0,344
77,77,9,56,197,1,1,0,0,0,200,0,1,0,0,1,466,0,0,466
78,78,12,268,296,2,3,0,0,3,151,0,0,1,0,1,737,0,0,737
79,79,15,189,173,4,2,0,0,1,124,1,0,0,1,0,510,0,0,510
80,80,21,181,228,3,3,2,2,3,300,4,0,1,6,6,760,0,8,768
81,81,22,303,463,1,0,0,1,2,164,0,0,0,0,0,956,0,1,957
82,82,15,150,352,2,1,0,0,2,106,0,0,0,1,0,629,0,2,631
83,83,21,177,331,1,0,1,0,0,127,0,0,0,0,0,658,0,1,659
84,84,18,170,166,2,1,0,0,0,97,0,0,0,1,0,455,0,0,455
85,85,8,268,118,1,4,0,0,1,214,0,0,0,0,0,614,0,1,615
86,86,6,591,43,0,1,0,0,2,93,3,0,0,0,0,739,0,1,740
87,87,6,286,76,1,1,0,0,3,134,0,1,0,1,1,510,0,3,513
88,88,11,162,619,5,1,0,0,0,155,1,1,0,1,0,956,0,1,957
89,89,7,216,174,0,0,0,0,2,170,0,0,0,1,0,570,0,2,572
90,90,4,383,70,0,1,0,0,1,79,0,0,1,0,1,540,0,1,541
91,91,11,86,582,0,0,1,0,1,87,1,1,0,0,0,770,0,2,772
92,92,9,647,78,1,0,0,0,1,67,0,0,0,0,0,803,0,1,804
93,93,7,452,36,0,1,0,0,0,60,0,0,0,0,0,556,0,1,557
94,94,11,131,207,1,0,0,0,0,45,0,0,0,0,0,395,0,1,396
95,95,16,537,316,1,6,0,0,3,164,0,1,0,0,0,1044,0,3,1047
96,96,19,240,325,5,3,0,1,6,392,2,0,2,4,6,1005,0,4,1009
97,97,16,317,395,1,0,0,2,2,230,0,0,1,3,3,970,0,2,972
98,98,12,206,342,1,0,1,0,2,229,0,0,0,0,1,794,0,1,795
99,99,14,514,210,2,0,1,1,4,192,0,0,0,0,0,938,0,1,939
100,100,7,213,53,1,0,0,0,1,81,0,0,0,0,0,356,0,1,357
101,101,18,199,402,3,1,1,0,0,163,1,0,1,2,0,791,0,0,791
102,102,21,146,343,1,1,0,0,2,204,1,0,0,3,4,726,0,1,727
103,103,3,114,195,2,0,0,0,1,103,0,0,0,1,3,422,0,2,424
104,104,12,364,101,1,0,0,1,1,129,0,0,0,1,0,610,0,1,611
105,105,24,222,237,3,1,0,0,2,228,0,0,0,0,0,717,0,1,718
106,106,19,186,230,2,2,1,0,6,132,0,0,0,0,0,578,0,1,579
107,107,9,536,155,2,3,0,0,3,180,1,0,2,0,0,891,0,4,895
108,108,6,53,171,2,0,0,0,0,59,1,0,0,0,0,292,0,1,293
109,109,16,207,234,5,1,0,1,0,224,3,0,3,1,3,698,0,0,698
110,110,14,96,232,0,0,0,0,2,76,0,0,0,0,0,420,0,2,422
