Polling Station No,Candidate_1,I V A U N R) A K A H T C L I N RM( AA T,P . N A P) PK AM ID N( A L A P,M A L) HEK TVM AID GR A AT I REA V A ( M,) SK .L NM AT SW E NH AS GV (,V . N A N) K HM S M I RT KP AI NA ( N E H C,S . I H T A) K V V A T G ( A L I H T,U S A) RK AM VT O( O P,M ) .K IL NK AM R M A NL D U A M N A( J,S . H) SD IN H I T( A S,P . Y M A) D S AN NI ( N I H C,K . J A) D R LN II M( A T,R . N A P) PD AN II N( A L A P,S . N ) AD GN U I R( U M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
110,110,5,31,357,2,1,103,0,0,0,0,0,0,0,1,500,0,0,500
111,111,20,100,602,7,0,143,0,0,0,0,2,0,1,0,875,0,2,877
112,112,13,171,550,3,0,167,0,0,0,1,0,2,1,0,908,0,1,909
113,113,14,126,605,5,0,193,0,0,0,0,0,5,4,1,953,0,2,955
114,114,13,79,537,2,1,106,0,0,0,1,1,0,2,2,744,0,6,750
115,115,20,96,479,5,0,126,0,0,0,0,0,0,2,0,728,0,0,728
116,116,4,61,273,1,0,43,0,0,0,0,0,1,1,1,385,0,0,385
117,117,13,194,313,2,1,192,0,0,0,0,0,1,1,0,717,0,0,717
118,118,21,202,271,4,2,248,1,0,0,0,0,3,2,2,756,0,0,756
119,119,12,66,618,3,0,192,0,1,0,0,0,1,0,1,894,0,2,896
120,120,12,71,454,0,1,155,1,0,0,0,0,1,1,3,699,0,2,701
121,121,18,447,143,0,0,214,0,2,0,0,0,1,1,4,830,0,5,835
122,122,11,133,262,3,3,95,0,1,0,0,0,0,0,1,509,0,1,510
123,123,11,145,334,1,1,171,1,0,1,0,1,0,3,1,670,0,2,672
124,124,6,174,212,1,0,130,0,0,0,0,0,0,0,1,524,0,1,525
125,125,4,54,175,2,0,165,0,0,0,0,0,0,0,0,400,0,1,401
126,126,9,48,341,7,0,103,0,0,0,0,0,1,2,1,512,0,0,512
127,127,10,167,393,5,1,115,1,3,0,1,1,3,4,0,704,0,2,706
128,128,11,126,508,7,0,263,0,0,0,0,0,0,2,0,917,0,1,918
129,129,15,142,333,3,0,250,1,1,2,1,0,2,2,2,754,0,3,757
130,130,8,222,262,2,1,177,0,0,0,1,0,1,0,2,676,0,4,680
131,131,6,56,106,3,0,164,2,2,2,0,2,1,1,0,345,0,0,345
132,132,9,34,452,1,1,132,0,0,1,0,1,0,1,2,634,0,2,636
133,133,14,96,336,5,0,228,0,0,0,0,0,1,1,0,681,0,1,682
134,134,11,84,491,1,0,147,0,0,0,0,0,0,0,0,734,0,0,734
135,135,17,186,501,8,1,210,1,0,1,0,0,1,1,2,929,0,2,931
136,136,11,71,505,3,0,156,1,0,0,0,0,0,1,0,748,0,0,748
137,137,14,83,414,5,0,201,0,0,0,0,0,2,1,3,723,0,0,723
138,138,17,103,311,3,1,186,0,0,0,0,1,2,2,1,627,0,1,628
139,139,13,199,427,1,1,222,0,3,0,0,0,2,4,1,873,0,1,874
140,140,16,263,390,5,1,172,0,1,0,0,0,0,2,0,850,0,1,851
141,141,18,425,53,2,0,177,1,1,0,1,1,1,0,2,682,0,0,682
142,142,14,231,150,2,0,184,0,0,1,0,0,5,0,2,589,0,0,589
143,143,9,94,291,1,1,59,0,0,1,0,0,0,0,0,456,0,0,456
144,144,10,171,466,1,0,126,0,1,0,0,0,2,0,0,777,0,1,778
145,145,33,298,53,0,1,226,0,1,1,1,0,1,0,0,615,0,5,620
146,146,15,272,127,1,0,168,0,0,1,0,0,0,2,0,586,0,3,589
147,147,9,159,208,1,1,106,0,1,0,0,0,0,0,1,486,0,2,488
148,148,12,135,171,1,0,90,0,1,0,0,0,1,0,0,411,0,1,412
149,149,22,155,411,1,0,137,0,0,1,0,1,1,0,0,729,0,0,729
150,150,15,243,319,3,0,94,2,0,0,0,0,0,0,0,676,0,0,676
151,151,12,253,206,1,1,196,1,0,0,0,0,1,1,0,672,0,6,678
152,152,19,334,286,4,0,267,1,3,0,0,1,0,3,0,918,0,4,922
153,153,15,259,130,6,1,210,0,0,0,0,0,0,0,1,622,0,5,627
154,154,18,503,162,1,1,246,0,0,0,0,0,0,0,0,931,0,4,935
155,155,8,232,196,6,1,173,1,1,1,0,0,0,1,1,621,0,2,623
156,156,27,502,116,1,1,340,0,0,0,0,0,0,2,0,989,0,2,991
157,157,32,271,376,1,0,261,1,0,1,0,0,0,1,0,944,0,0,944
158,158,11,454,327,6,0,227,1,1,0,0,0,1,0,4,1032,0,1,1033
159,159,5,359,68,0,2,199,0,0,0,0,0,0,0,1,634,0,1,635
160,160,17,199,122,0,0,161,0,0,0,0,0,0,1,0,500,0,1,501
161,161,22,436,36,0,0,119,1,1,0,0,1,1,0,3,620,0,0,620
162,162,14,62,438,1,0,131,0,3,0,1,0,1,2,1,654,0,3,657
163,163,7,56,309,4,0,112,0,3,0,0,1,0,0,0,492,0,2,494
164,164,4,219,66,0,0,93,0,0,0,0,0,1,0,2,385,0,0,385
165,165,10,178,301,1,0,152,0,0,0,0,0,1,0,0,643,0,0,643
166,166,13,322,219,0,0,172,0,2,0,1,0,3,1,1,734,0,1,735
167,167,12,141,230,3,0,75,0,0,0,0,0,0,1,2,464,0,2,466
168,168,14,186,260,5,0,111,1,0,0,0,0,0,3,2,582,0,0,582
169,169,11,501,124,0,1,174,1,1,0,0,0,0,0,0,813,0,3,816
170,170,20,615,71,1,0,180,0,2,0,0,0,1,0,0,890,0,2,892
171,171,11,194,411,1,1,190,0,2,0,0,0,1,0,0,811,0,4,815
172,172,7,509,29,0,0,127,0,1,0,0,0,0,1,0,674,0,1,675
173,173,9,119,284,4,0,79,0,0,1,0,0,1,1,0,498,0,2,500
174,174,12,511,127,1,0,177,0,1,1,0,0,0,0,0,830,0,1,831
175,175,18,312,233,0,0,134,0,0,0,0,0,0,0,1,698,0,4,702
176,176,21,319,175,1,1,216,0,0,0,0,0,2,2,2,739,0,4,743
177,177,2,179,277,1,1,115,0,1,1,0,0,2,0,2,581,0,3,584
178,178,5,152,221,0,0,105,1,0,0,0,0,0,1,0,485,0,0,485
179,179,15,156,603,2,1,146,0,0,0,1,2,3,3,1,933,0,4,937
180,180,8,315,69,0,1,127,1,0,0,1,0,1,0,0,523,0,2,525
181,181,13,491,35,1,2,177,2,1,2,0,0,2,1,1,728,0,0,728
182,182,8,28,233,2,1,81,0,0,0,0,0,0,2,0,355,0,0,355
183,183,14,260,311,0,0,177,0,0,0,0,1,1,0,1,765,0,2,767
184,184,17,684,107,1,3,157,0,0,0,0,0,1,1,0,971,0,3,974
185,185,9,36,380,1,0,53,1,0,0,0,0,1,0,0,481,0,0,481
186,186,4,52,338,1,0,39,0,0,0,0,0,0,1,0,435,0,0,435
187,187,16,87,652,6,0,193,0,0,0,1,1,1,0,0,957,0,2,959
188,188,11,63,330,2,0,129,0,1,2,0,0,1,6,2,547,0,1,548
189,189,21,208,389,3,0,233,0,0,0,0,1,1,0,1,857,0,2,859
190,190,17,295,380,4,1,202,1,0,0,0,1,1,2,0,904,0,0,904
191,191,17,199,486,2,0,291,0,0,0,1,0,1,0,1,998,0,2,1000
192,192,17,100,704,7,4,148,0,1,0,0,7,0,4,2,994,0,1,995
193,193,12,117,617,8,1,134,1,0,0,0,2,0,3,1,896,0,8,904
194,194,11,218,544,2,0,151,0,1,1,0,15,0,0,0,943,0,0,943
195,195,10,550,76,0,0,147,0,0,0,0,0,0,0,0,783,0,0,783
196,196,17,61,504,6,1,96,0,0,0,1,1,1,1,0,689,0,1,690
197,197,1,23,342,3,0,42,0,0,0,0,0,0,0,0,411,0,0,411
