Polling Station No,GANAPATHY. K,P. BENJAMIN,REVATHI L,AGNI SELVARAJU. J,MUTHURAMAN. S,MURALI. S,RHEVANTH CHARAN,K. VENKATESAN,J. VENKATESAN,D. ANANDAN,K. GANAPATHY,V. KAMALA KANNAN,SARAVANAN KUMAR,R. SIVA,M. BALASUBRAMANIAN,S. BENJAMIN MOSES,PONMUTHU RAMESH,N.A. MANI,R. YUVARAJ,VIGNESH NANDAGOPAL,M. JAMES,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
52,275,157,49,0,0,3,314,0,0,0,2,0,0,1,1,0,0,1,1,0,0,804,0,13,817,0
53,226,180,28,0,0,1,269,1,0,0,0,2,0,1,1,1,1,3,0,0,0,714,0,5,719,0
54,123,72,21,2,0,0,156,0,0,0,0,0,0,0,0,1,0,3,0,0,0,378,0,3,381,0
55,125,94,20,0,0,0,138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,378,0,2,380,0
56,217,126,29,1,0,0,238,1,0,0,0,0,0,0,0,0,0,2,0,0,0,614,0,4,618,0
57,210,157,33,0,0,1,232,1,0,0,0,1,0,0,0,0,0,0,0,0,1,636,0,2,638,0
58,255,121,30,2,0,0,354,0,0,0,0,0,0,1,1,1,0,3,0,0,0,768,0,7,775,0
59,136,57,13,0,0,0,233,2,0,0,0,0,0,1,0,0,1,0,1,0,0,444,0,2,446,1
60,193,94,15,0,0,0,237,0,1,0,0,0,0,1,0,1,0,0,0,1,0,543,0,3,546,0
61,195,144,25,1,0,2,389,0,2,0,2,0,0,1,0,1,0,1,1,0,0,764,0,1,765,0
62,236,97,28,1,1,0,314,0,0,0,1,1,0,0,1,0,1,0,0,0,0,681,0,3,684,0
63,152,94,20,0,0,1,270,0,0,0,0,0,0,1,0,0,0,0,0,0,0,538,0,0,538,0
64,134,81,12,2,0,0,228,0,1,1,0,0,0,0,0,0,0,0,0,0,0,459,0,3,462,0
65,199,126,35,1,0,1,330,0,0,0,0,1,1,2,2,0,1,0,0,0,0,699,0,2,701,0
66,241,129,45,0,0,1,195,1,0,0,1,0,1,0,0,0,1,0,1,0,0,616,0,4,620,0
67,250,146,35,0,0,0,247,1,0,0,0,0,0,1,0,0,0,0,0,0,0,680,0,4,684,0
68,211,196,34,0,0,0,286,1,0,0,0,0,1,1,0,1,0,0,0,1,0,732,0,7,739,0
69,212,176,35,2,0,0,239,2,2,0,0,0,0,3,0,0,0,0,0,0,0,671,0,5,676,1
