Polling Station No,Candidate_1,RAMUKADNAN.P.A,RAMUKIVAR.M,NAGAHZALEV.D,NANAVARAS.R,ANNAKHTONIV.V,HSETAKNEV.S.V,NAGURUMLEV.R,NALEESAYAJ.P,HSERUS.E,YHTROOMAVLES.S,RAMUK AHDNAN.M,NARAHONAM.K,HSEMAR.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
75,190,11,284,0,0,0,159,0,0,0,0,0,0,644,644,0,1,645,0
76,257,11,288,0,0,0,144,0,0,0,0,1,1,702,702,0,3,705,0
77,235,14,436,1,0,0,148,1,0,0,0,2,1,838,838,0,4,842,0
78,285,12,506,7,0,3,201,2,1,0,2,6,2,1027,1027,0,11,1038,0
79,242,13,254,0,0,0,212,0,0,0,0,0,0,721,721,0,2,723,0
80,252,8,269,1,0,0,283,1,0,0,0,1,0,815,815,0,1,816,0
81,221,8,225,0,2,1,160,0,0,2,0,1,1,621,621,0,7,628,0
82,241,14,306,1,1,1,272,1,0,1,0,5,1,844,844,0,6,850,0
83,256,10,360,1,0,1,211,0,0,0,0,2,0,841,841,0,1,842,0
84,163,16,195,1,0,0,184,0,0,0,0,2,1,562,562,0,8,570,0
85,250,12,256,0,0,0,111,0,0,0,0,0,0,629,629,0,4,633,0
86,169,8,333,0,0,0,86,0,0,0,0,1,0,597,597,0,0,597,0
87,240,8,154,0,0,1,158,0,1,1,0,0,0,563,563,0,2,565,0
88,343,12,246,2,0,0,233,0,0,0,0,0,2,838,838,0,4,842,0
89,229,12,95,1,0,1,244,1,0,0,0,0,0,583,583,0,2,585,0
90,392,10,176,1,0,0,240,0,0,0,0,0,0,819,819,0,4,823,0
91,195,6,344,1,1,1,135,1,0,0,0,0,0,684,684,0,2,686,0
92,177,7,153,1,0,0,212,0,0,0,0,0,0,550,550,0,1,551,0
93,156,6,151,1,0,1,238,0,1,0,0,0,0,554,554,0,1,555,0
94,154,6,252,1,0,0,204,1,0,0,0,3,0,621,621,0,6,627,0
95,163,4,312,3,1,0,161,0,0,0,1,0,2,647,647,0,4,651,0
96,165,10,187,1,0,3,211,0,0,0,0,0,0,577,577,0,4,581,0
97,248,29,207,1,0,1,302,0,0,0,0,0,1,789,789,0,1,790,0
98,183,11,257,1,1,0,169,0,0,0,0,0,0,622,622,0,1,623,0
99,228,18,234,1,1,1,154,0,0,0,0,1,0,638,638,0,5,643,0
100,153,12,221,0,0,1,103,2,0,0,1,0,1,494,494,0,4,498,0
101,253,9,234,1,1,1,172,1,0,0,0,4,1,677,677,0,4,681,0
102,224,13,246,0,0,1,89,0,1,0,0,0,0,574,574,0,1,575,0
103,218,8,176,0,0,0,124,0,0,0,0,2,0,528,528,0,4,532,0
