Polling Station No,ARUMUGAM. V,NALLATHAMBI. A,RAJIV GANDHI. S,KALASTHIRI. S,SATHIYAMOORTHY. S,SEKAR. N,GNANASEKAR. A,DR.THIRUPATHI. N,RAJESH. S,VIJAYAKUMAR. G,ANJALI. M,GOVIND. T.G,SANKAR. S,GNANASEKARAN. M,GNANASEKARAN. R,THIRUPATHI. C,THIRUPATHI. S,THIRUPATHI. N,NALLATHAMBI. R,BALABHARATHI. S.V,DR.POOVALAGI. P,MOHAN RAJ. R,RAGUJOSEPH. J,VENKATESAN. K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
26,9,220,2,0,0,0,89,329,3,0,0,0,1,0,0,1,0,2,0,0,0,0,2,1,659,0,3,662,0
27,7,97,2,0,1,1,106,263,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,483,0,3,486,0
28,23,226,1,0,2,2,170,558,2,1,0,0,0,1,1,2,0,6,0,1,0,2,2,3,1003,0,0,1003,0
29,25,135,1,0,1,2,153,473,3,0,1,2,0,1,0,2,3,0,0,0,0,0,0,2,804,0,2,806,0
30,11,92,0,1,1,0,68,225,3,2,0,0,0,0,1,2,1,0,1,0,0,0,0,1,409,0,1,410,0
31,50,163,1,1,3,5,200,532,2,4,1,0,4,1,2,2,0,1,0,1,0,0,1,7,981,0,3,984,0
32,36,172,1,0,1,2,188,469,3,3,0,0,0,0,0,1,1,1,2,1,3,1,0,5,890,0,2,892,0
33,18,158,0,0,0,3,227,370,2,5,0,0,1,0,0,0,2,0,3,0,1,0,7,0,797,0,2,799,0
34,26,237,0,1,1,2,67,450,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,3,797,0,5,802,0
35,36,175,3,1,0,2,81,490,2,2,0,0,0,0,1,1,0,2,0,0,0,2,1,0,799,0,6,805,0
36,17,156,2,1,0,2,273,375,1,6,0,0,1,0,0,0,3,2,3,0,0,0,1,1,844,0,2,846,0
37,22,163,1,1,1,2,126,307,1,2,0,0,0,0,1,1,2,2,0,1,1,0,2,1,637,0,4,641,0
38,19,242,1,3,0,1,60,396,2,0,0,0,1,1,0,7,2,1,0,0,0,2,2,2,742,0,1,743,0
39,27,141,1,0,0,2,49,306,1,2,0,0,2,1,2,1,0,0,0,0,0,0,1,0,536,0,0,536,0
40,15,136,1,0,1,0,121,261,2,0,0,0,1,0,0,2,1,0,1,0,0,1,1,1,545,0,4,549,0
41,17,162,1,0,0,0,57,303,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,2,548,0,3,551,0
42,38,205,1,0,2,2,62,611,0,0,1,0,0,0,0,2,2,0,1,1,1,0,0,0,929,0,0,929,0
43,21,186,1,0,0,3,113,551,4,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,884,0,0,884,0
44,14,178,2,1,0,0,60,322,0,0,0,0,0,0,1,3,0,1,0,0,2,0,0,1,585,0,4,589,0
45,17,152,0,1,0,1,34,212,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,419,0,0,419,0
46,16,221,0,0,0,0,70,293,0,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,607,0,3,610,0
47,22,106,2,1,1,0,115,487,1,2,0,0,0,0,1,2,0,0,0,0,1,1,1,0,743,0,3,746,0
48,30,179,1,0,0,1,69,360,0,0,1,1,0,0,0,1,2,2,0,0,1,1,0,1,650,0,0,650,0
49,19,245,0,0,0,1,106,565,1,0,1,0,0,0,1,1,2,1,0,0,1,1,0,2,947,0,3,950,0
50,17,169,1,0,1,0,69,308,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,568,0,2,570,0
51,11,172,0,0,0,0,48,333,2,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,571,0,2,573,0
52,33,232,1,1,0,1,87,325,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,685,0,1,686,0
53,35,168,0,0,1,1,72,522,4,0,1,0,0,0,2,5,0,0,0,0,1,0,1,6,819,0,2,821,0
54,17,106,2,1,0,0,48,370,2,0,0,1,0,1,0,3,0,1,0,0,0,0,1,4,557,0,2,559,0
55,14,142,1,1,0,3,42,317,0,1,0,0,1,0,1,1,1,0,0,0,2,0,0,1,528,0,1,529,0
56,17,137,0,0,0,2,59,370,3,2,2,1,0,2,0,1,2,1,0,1,1,0,0,10,611,0,3,614,0
57,19,168,0,2,0,1,84,315,1,2,0,0,0,0,0,2,0,1,0,0,0,0,2,2,599,0,4,603,0
58,15,182,0,2,1,2,140,448,0,2,2,1,1,0,0,1,2,1,1,0,1,0,2,4,808,0,0,808,0
59,24,152,0,0,3,2,47,318,4,1,0,0,0,1,0,3,2,2,1,0,0,1,3,0,564,0,3,567,0
60,18,148,3,1,2,0,115,321,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,614,0,3,617,0
61,9,106,3,1,1,2,130,240,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,500,0,1,501,0
62,15,196,4,3,0,2,155,354,0,1,0,0,1,1,1,0,1,0,2,0,1,0,2,1,740,0,0,740,0
63,35,115,1,0,0,1,172,398,0,0,1,1,0,0,1,0,2,1,1,0,0,4,0,1,734,0,3,737,0
64,28,135,2,2,1,3,114,446,4,2,0,0,1,0,1,5,1,0,0,2,3,0,1,2,753,0,2,755,0
65,33,193,0,2,2,3,72,568,3,2,1,0,2,1,2,3,2,5,0,1,0,1,5,2,903,0,1,904,0
66,21,187,3,0,0,0,70,518,1,0,0,0,2,0,0,1,2,0,1,0,0,0,1,5,812,0,2,814,0
67,19,148,0,1,2,0,181,374,1,1,0,0,0,1,0,3,1,1,0,1,0,0,0,0,734,0,2,736,0
68,28,208,0,0,1,1,87,355,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,684,0,2,686,0
69,24,199,0,0,1,0,81,310,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,621,0,3,624,0
70,14,185,0,3,0,1,77,252,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,534,0,2,536,0
71,9,188,0,1,0,0,94,266,0,0,0,0,0,0,0,1,3,0,2,0,1,0,1,4,570,0,2,572,0
72,10,140,12,1,0,1,108,416,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,695,0,2,697,0
73,16,247,1,1,0,1,53,401,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,725,0,2,727,0
74,11,214,0,1,0,0,42,304,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,579,0,1,580,0
75,ge 1 25,171,1,2,0,0,67,528,5,1,0,0,0,2,0,3,3,1,1,1,2,0,0,0,813,0,1,814,0
76,13,223,1,0,1,0,35,319,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,595,0,7,602,0
77,12,216,3,0,0,0,17,270,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,524,0,2,526,0
78,7,659,2,0,0,0,40,312,0,2,0,0,0,1,2,0,1,1,0,1,0,0,0,0,1028,0,0,1028,0
79,22,226,0,1,0,1,73,272,2,0,2,0,1,2,2,1,3,1,0,0,3,0,1,2,615,0,1,616,0
80,13,162,1,0,0,0,42,156,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,378,0,2,380,0
81,20,198,1,0,2,1,98,446,0,0,1,0,1,3,2,3,2,3,0,0,0,0,3,0,784,0,4,788,0
82,15,144,0,0,0,0,68,370,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,604,0,3,607,0
83,19,158,1,0,0,1,137,334,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,654,0,2,656,0
84,16,302,0,0,1,1,52,418,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,797,0,0,797,0
85,3,404,0,0,0,0,5,154,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,570,0,0,570,0
86,3,504,2,0,0,0,6,234,1,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,756,0,1,757,0
87,0,508,0,0,0,0,16,136,0,0,0,0,0,0,2,0,2,3,0,0,0,0,1,0,668,0,0,668,0
88,7,581,2,0,0,2,23,190,1,0,0,0,0,2,3,1,2,3,1,0,0,0,0,0,818,0,1,819,0
89,4,563,0,0,0,0,31,135,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,736,0,2,738,0
90,2,467,1,1,0,0,16,152,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,643,0,1,644,0
91,9,290,0,0,0,0,45,301,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,649,0,2,651,0
92,7,329,0,0,0,0,34,297,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,671,0,1,672,0
93,12,703,2,0,0,0,2,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,0,0,822,0
94,3,644,0,0,0,0,13,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,762,0,1,763,0
95,6,253,0,0,0,0,37,217,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,518,0,1,519,0
96,4,562,3,0,0,0,17,102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,689,0,0,689,0
97,17,303,2,2,0,0,92,353,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,776,0,0,776,0
98,7,151,0,0,0,0,60,268,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,489,0,3,492,0
99,3,201,0,0,0,0,75,216,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,501,0,2,503,0
100,10,189,1,0,0,0,108,256,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,567,0,4,571,0
101,13,194,0,0,0,0,74,260,1,1,0,0,0,0,1,0,2,0,0,0,0,0,1,1,548,0,1,549,0
102,11,233,0,0,0,0,98,258,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,605,0,5,610,0
103,8,223,0,0,0,0,150,174,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,560,0,1,561,0
104,10,74,0,0,0,0,19,111,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,217,0,2,219,0
105,15,147,1,0,0,0,60,230,2,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,460,0,1,461,0
106,13,131,0,0,0,1,57,191,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,398,0,3,401,0
107,14,132,1,0,0,1,64,230,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,445,0,3,448,0
108,17,211,0,1,1,0,121,343,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,699,0,1,700,0
109,20,223,0,0,0,1,104,424,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,776,0,2,778,0
110,18,225,0,2,0,0,100,467,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,1,820,0,2,822,0
111,6,174,1,0,1,0,71,388,2,0,0,1,0,0,0,5,1,1,0,0,7,0,1,0,659,0,1,660,0
112,4,81,1,1,0,0,69,216,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,378,0,0,378,0
113,19,105,0,0,1,1,44,327,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,501,0,1,502,0
114,8,151,0,0,0,0,56,227,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,445,0,4,449,0
115,21,140,1,0,0,0,106,301,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,577,0,3,580,0
116,13,161,0,0,0,0,97,346,1,0,0,0,0,1,2,0,1,2,0,0,0,0,1,1,626,0,1,627,0
117,15,211,2,0,0,0,184,520,1,0,1,0,0,0,0,1,2,1,2,0,0,0,0,1,941,0,1,942,0
118,28,200,1,0,0,1,93,482,3,0,0,0,1,0,0,0,1,3,0,0,0,1,1,1,816,0,0,816,0
119,23,213,0,0,0,0,71,431,2,1,0,0,1,0,0,2,3,1,1,0,0,0,2,0,751,0,0,751,0
120,5,196,1,0,0,0,68,288,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,560,0
121,20,227,0,0,0,1,91,368,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,1,713,0,0,713,0
122,5,487,2,0,0,0,7,183,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,689,0,0,689,0
123,10,558,0,0,0,2,99,378,0,1,2,0,1,1,0,1,2,1,0,0,1,1,0,2,1060,0,4,1064,0
124,16,292,1,0,0,1,57,376,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,747,0,0,747,0
125,15,352,1,0,0,1,34,341,1,0,1,0,0,0,0,2,6,5,3,1,0,1,3,3,770,0,2,772,0
126,23,141,1,1,0,1,47,439,0,1,0,0,0,0,2,2,0,1,1,1,0,0,0,0,661,0,3,664,0
127,10,157,2,0,0,3,56,344,1,2,1,0,0,1,0,2,0,0,0,1,0,0,1,1,582,0,3,585,0
128,29,109,0,1,0,0,38,311,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,493,0,2,495,0
129,22,147,0,1,0,0,40,403,1,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,621,0,4,625,0
130,14,101,0,0,0,0,34,492,3,0,0,0,1,0,0,0,4,3,1,0,0,0,2,3,658,0,0,658,0
131,1,62,2,0,0,0,7,336,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,414,0,1,415,0
132,5,659,2,0,1,2,27,258,0,0,1,0,0,0,0,1,2,5,0,0,0,0,0,1,964,0,0,964,0
133,3,570,2,1,1,1,28,205,0,1,0,0,0,1,3,2,1,2,1,0,0,0,1,0,823,0,1,824,0
134,3,608,1,0,0,0,27,262,0,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,907,0,3,910,0
135,14,250,1,1,0,0,18,554,2,1,0,0,0,0,1,0,1,2,2,1,0,0,0,2,850,0,1,851,0
136,19,195,0,1,1,1,39,550,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,7,820,0,2,822,0
137,18,378,2,1,0,1,45,526,2,1,0,0,1,1,1,1,2,0,0,0,0,0,1,0,981,0,1,982,0
138,12,316,2,1,0,0,44,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,948,0,3,951,0
139,15,169,0,0,0,1,35,360,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,586,0,1,587,0
140,14,125,0,0,0,0,150,399,2,2,2,1,1,0,1,0,1,0,0,2,1,0,1,1,703,0,0,703,0
141,24,113,0,3,0,2,157,436,2,0,0,0,0,0,2,0,2,3,2,0,0,3,1,3,753,0,0,753,0
142,17,158,0,1,0,0,106,462,1,1,1,0,3,0,0,1,0,2,0,0,0,1,1,0,755,0,1,756,0
143,18,78,0,1,1,0,79,322,2,2,1,0,0,0,1,1,0,4,1,1,0,1,4,1,518,0,0,518,0
144,26,168,0,0,0,4,78,506,2,1,0,0,0,1,0,2,3,1,0,0,1,0,0,5,798,0,3,801,0
145,17,223,3,1,0,8,69,577,1,1,0,0,0,0,0,1,1,4,0,2,0,0,0,0,908,0,2,910,0
146,18,205,1,1,1,1,101,460,0,4,0,1,0,1,2,2,0,3,3,0,4,1,5,3,817,0,3,820,0
147,6,159,0,2,0,0,37,385,2,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,597,0,2,599,0
148,11,183,0,0,2,1,28,396,1,1,1,0,1,2,0,0,0,2,2,0,1,0,2,2,636,0,1,637,0
149,9,194,1,0,2,0,18,527,2,1,0,0,0,0,0,2,3,2,1,1,1,2,3,3,772,0,2,774,0
150,ge 2 10,160,1,0,0,1,52,586,5,0,0,0,0,0,1,0,1,1,0,0,3,1,0,3,825,0,3,828,0
151,19,174,0,0,0,0,31,497,2,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,729,0,1,730,0
152,20,113,0,0,0,2,14,529,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,0,1,680,0
153,9,178,1,0,0,1,45,508,1,1,0,0,0,2,2,1,1,0,0,0,0,0,0,6,756,0,3,759,0
154,6,251,2,0,0,1,18,529,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,810,0,1,811,0
155,12,221,1,1,0,1,45,439,0,3,0,0,1,0,0,1,2,2,0,0,0,0,2,4,735,0,3,738,0
156,10,190,1,0,0,1,37,601,2,3,0,0,0,0,0,2,3,1,1,2,0,0,3,10,867,0,0,867,0
157,24,183,0,6,0,0,108,389,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,714,0,1,715,0
158,5,142,0,2,0,0,38,309,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,504,0,0,504,0
159,21,113,0,1,0,0,211,190,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,542,0,0,542,0
160,38,149,1,2,1,1,214,255,1,0,1,1,0,1,0,0,0,1,2,0,0,0,1,1,670,0,0,670,0
161,48,195,1,1,0,3,171,514,2,1,3,0,0,1,0,1,3,5,4,2,1,1,2,0,959,0,0,959,0
162,11,111,1,0,0,1,89,313,2,1,1,1,0,0,0,1,1,2,0,0,0,0,0,1,536,0,1,537,0
163,13,103,2,0,2,1,179,305,2,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,612,0,3,615,0
164,47,122,2,1,2,5,173,423,2,1,0,0,1,0,1,1,4,3,0,1,2,0,1,2,794,0,0,794,0
165,45,90,0,0,1,0,76,290,4,0,0,0,0,0,0,1,0,2,0,2,1,0,1,0,513,0,1,514,0
166,16,103,0,0,1,0,68,278,1,2,2,0,0,0,0,2,2,0,0,1,1,0,0,1,478,0,0,478,0
167,18,114,1,0,0,1,19,392,3,1,0,0,0,1,0,1,1,2,0,0,1,0,1,0,556,0,0,556,0
168,15,114,1,0,1,0,22,355,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,513,0,1,514,0
169,16,92,1,3,1,2,36,318,2,0,0,0,0,1,0,2,3,3,0,2,1,0,2,0,485,0,3,488,0
170,21,245,6,2,0,1,36,565,3,0,0,2,1,1,1,4,0,6,2,0,0,1,1,3,901,0,1,902,0
171,7,153,1,0,0,0,69,187,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,422,0,1,423,0
172,17,166,0,1,0,0,28,454,1,0,0,0,0,0,1,4,0,1,0,0,0,0,0,2,675,0,1,676,0
173,39,141,1,1,0,1,33,465,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,685,0,1,686,0
174,19,106,0,0,0,0,18,230,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,2,380,0,0,380,0
175,16,162,1,0,0,0,38,429,2,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,654,0,1,655,0
176,21,161,0,0,0,1,45,373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,603,0,1,604,0
177,21,217,2,0,3,4,82,646,2,0,3,1,1,0,0,0,2,4,0,0,0,0,1,4,993,0,2,995,0
178,16,151,0,0,0,2,31,381,1,1,1,0,1,1,0,2,0,0,0,0,0,0,0,1,589,0,0,589,0
179,12,190,0,3,0,1,57,358,6,1,0,1,3,1,4,2,0,1,0,0,1,0,1,2,644,0,1,645,0
180,20,211,1,0,1,1,45,707,2,0,1,0,0,0,2,2,0,1,0,0,0,0,1,2,997,0,1,998,0
181,12,176,2,1,0,1,55,500,2,0,0,0,0,0,2,2,3,1,1,1,0,0,1,2,762,0,1,763,0
182,5,77,0,0,1,1,20,275,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,382,0,0,382,0
183,21,153,3,1,0,2,92,412,1,0,1,0,1,0,0,1,1,4,1,1,1,1,4,0,701,0,0,701,0
184,7,169,1,0,0,0,12,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,339,0
185,7,158,2,0,1,1,61,399,3,1,2,0,1,0,0,0,2,2,0,2,0,0,1,0,643,0,0,643,0
186,7,205,1,0,0,1,29,329,2,0,1,0,0,0,1,2,2,2,1,0,1,1,0,2,587,0,2,589,0
187,17,165,1,0,0,0,68,359,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,617,0,0,617,0
188,21,91,1,0,2,1,83,334,2,1,1,0,0,0,2,1,0,3,0,0,0,1,1,3,548,0,1,549,0
189,20,150,1,2,0,3,154,268,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,606,0,1,607,0
190,19,102,1,0,1,3,127,259,1,1,0,0,3,0,0,0,0,2,0,0,1,0,0,1,521,0,2,523,0
191,10,145,2,1,1,0,240,354,3,1,0,0,0,1,0,1,2,1,1,2,1,0,2,0,768,0,1,769,0
192,7,203,0,0,0,3,61,531,6,1,0,1,0,2,0,1,1,3,0,2,0,0,1,1,824,0,1,825,0
193,21,150,0,0,0,2,56,412,0,1,0,0,0,1,0,1,0,2,0,1,0,1,0,0,648,0,3,651,0
194,15,171,1,0,0,0,45,358,0,2,1,1,0,0,2,0,2,1,0,0,0,0,1,0,600,0,0,600,0
195,10,131,0,0,2,1,65,388,0,2,0,0,0,0,0,1,1,3,1,0,2,1,3,2,613,0,1,614,0
196,3,69,0,1,2,0,38,151,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,268,0,0,268,0
197,15,104,1,0,0,1,51,378,4,0,1,0,1,0,2,1,1,1,0,0,0,0,1,1,563,0,1,564,0
198,22,106,1,0,0,1,43,307,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,487,0,3,490,0
199,22,186,1,2,0,2,177,475,1,7,1,0,0,2,0,2,2,1,0,1,0,1,2,1,886,0,2,888,0
200,18,119,1,3,0,1,106,418,2,3,0,0,0,2,2,0,6,10,1,1,3,4,4,9,713,0,3,716,0
201,11,129,2,0,0,3,96,258,1,4,0,1,5,0,0,4,1,4,0,3,2,1,0,0,525,0,4,529,0
202,5,105,0,0,0,0,9,335,0,1,1,1,0,1,1,0,0,3,0,0,0,1,0,1,464,0,0,464,0
203,0,98,4,0,0,3,79,149,4,2,2,0,1,1,4,0,2,5,4,1,1,0,5,1,366,0,2,368,0
204,14,189,3,2,1,2,236,238,3,3,0,0,0,0,1,1,1,1,0,1,0,0,2,2,700,0,1,701,0
205,6,71,1,0,1,1,75,140,0,0,0,1,1,1,1,0,1,3,1,0,0,1,2,3,310,0,1,311,0
206,25,216,7,4,0,1,145,250,8,3,0,0,3,1,2,5,2,3,0,0,0,0,2,2,679,0,1,680,0
207,6,83,1,0,0,1,121,77,0,1,0,0,0,0,1,1,0,3,0,1,0,0,1,0,297,0,0,297,0
208,20,134,0,1,1,6,88,262,1,0,1,0,0,1,1,0,1,3,0,1,0,1,3,2,527,0,1,528,0
209,7,120,2,0,1,5,78,223,5,2,0,1,0,0,4,0,1,2,2,2,1,0,1,3,460,0,4,464,0
210,14,125,3,0,1,2,77,152,3,1,0,0,2,0,1,2,0,0,1,1,2,3,2,2,394,0,0,394,0
211,23,151,1,0,0,5,247,334,3,2,0,0,2,0,1,5,3,3,3,1,3,2,1,2,792,0,1,793,0
212,16,161,2,0,0,3,84,373,5,2,3,1,6,1,3,1,3,5,0,1,4,1,2,3,680,0,2,682,0
213,14,126,3,1,1,5,65,356,4,3,0,1,1,2,0,2,0,6,1,0,0,0,3,0,594,0,2,596,0
214,18,129,3,1,0,1,54,404,1,0,1,0,1,0,0,2,0,1,0,0,0,0,1,0,617,0,1,618,0
215,9,60,1,0,1,1,99,274,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,452,0,1,453,0
216,26,195,1,0,2,2,187,531,6,4,1,0,0,0,0,0,1,3,2,0,1,1,4,1,968,0,1,969,0
217,34,216,4,2,0,1,80,585,4,3,0,0,0,1,0,3,1,2,2,0,0,1,1,2,942,0,2,944,0
218,34,130,1,1,1,3,168,344,2,2,2,0,1,0,0,1,1,3,1,0,0,0,0,5,700,0,0,700,0
219,19,127,0,0,0,3,117,446,0,1,0,0,0,0,1,3,3,3,1,2,1,0,0,3,730,0,2,732,0
220,22,158,0,0,1,0,34,465,4,1,0,0,0,1,1,0,0,2,1,1,1,0,1,1,694,0,0,694,0
221,19,88,3,0,0,0,161,358,1,2,0,0,1,0,1,4,2,0,0,0,1,0,0,1,642,0,3,645,0
222,37,202,0,1,2,3,107,436,5,0,2,1,3,1,0,1,2,0,2,0,0,0,0,3,808,0,0,808,0
