Polling Station No,SELVAM K,MAHENDRAN K,MOORTHY P,KARTHIKEYAN S,BHARATHIRAJA A,PRINCE S,BOOMIRAJAN K,ARASU S,ARUN PANDIAN A J,AJAY KANNAN A,KARTHIKEYAN G,CHANDRA MOULISWARAN A,PITCHAI V,MUGESHKUMAR M,VELLADURAI A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
56,27,59,488,228,0,3,1,1,0,1,2,0,0,0,0,810,0,2,812,0
57,35,59,262,221,0,3,0,1,0,0,1,0,0,0,0,582,0,0,582,0
58,35,96,247,253,1,6,0,1,0,0,1,0,0,1,1,642,0,3,645,0
59,23,67,251,187,3,3,0,0,0,1,1,0,0,2,1,539,0,4,543,0
60,26,87,190,210,1,4,0,0,0,0,1,0,0,0,0,519,0,9,528,0
61,28,68,205,189,0,4,1,1,0,0,0,0,0,0,0,496,0,8,504,0
62,39,100,278,337,1,4,0,0,0,1,4,0,0,0,0,764,0,7,771,0
63,31,76,272,273,1,4,0,0,0,1,3,0,0,0,0,661,0,4,665,0
64,37,74,272,292,0,7,0,0,0,1,0,0,0,0,0,683,0,2,685,0
65,56,65,219,341,0,6,1,0,0,1,5,0,0,0,0,694,0,2,696,0
66,41,93,216,313,2,2,0,1,0,1,4,0,0,0,1,674,0,5,679,0
67,44,68,218,325,3,4,1,0,0,0,0,0,1,0,0,664,0,8,672,0
68,48,88,324,371,3,4,0,0,0,1,1,0,0,0,0,840,0,9,849,0
69,48,146,293,386,0,6,2,0,2,1,4,0,0,3,0,891,0,3,894,0
70,38,65,164,200,2,8,1,0,0,0,0,0,1,0,1,480,0,4,484,0
71,30,86,252,179,1,2,0,0,1,0,0,0,0,0,1,552,0,8,560,0
72,29,95,216,182,0,6,0,0,0,1,0,0,0,0,0,529,0,1,530,0
73,33,91,302,257,1,3,0,0,0,0,2,0,0,2,0,691,0,7,698,0
74,32,94,193,212,0,6,1,1,0,0,1,0,1,0,1,542,0,7,549,0
75,38,60,198,283,0,8,0,1,0,0,1,0,0,0,3,592,0,2,594,0
76,14,75,201,268,1,4,0,0,0,1,1,0,2,0,0,567,0,1,568,0
77,18,84,249,315,0,5,0,1,2,1,4,0,1,0,0,680,0,5,685,0
78,30,80,312,279,1,2,2,1,0,2,0,0,0,1,0,710,0,1,711,0
79,33,50,234,238,0,2,0,0,0,0,0,0,0,0,0,557,0,7,564,0
80,50,115,284,163,1,2,0,0,0,2,1,1,1,0,1,621,0,3,624,0
81,33,63,245,231,2,2,0,0,0,0,0,0,2,0,0,578,0,1,579,0
82,30,82,204,231,0,5,2,0,0,0,1,0,1,1,0,557,0,1,558,0
83,36,114,256,325,1,6,0,0,0,0,1,0,0,2,0,741,0,5,746,0
84,39,73,211,221,3,1,0,0,0,0,2,0,0,1,1,552,0,4,556,0
85,33,62,210,249,1,3,0,0,1,0,3,0,1,0,0,563,0,4,567,0
86,34,110,221,277,2,2,0,0,0,0,0,0,0,0,0,646,0,3,649,0
87,31,64,239,278,2,2,0,0,0,0,1,0,0,0,2,619,0,7,626,0
88,41,90,164,197,0,5,0,1,0,0,2,0,0,1,2,503,0,3,506,0
89,23,76,192,215,0,5,0,0,1,0,0,0,0,0,0,512,0,9,521,0
90,41,101,261,278,0,6,1,1,0,0,1,1,0,0,0,691,0,3,694,0
91,21,44,298,273,1,4,0,0,0,0,0,0,0,1,0,642,0,4,646,0
92,35,113,206,200,0,1,0,0,0,1,1,0,1,0,0,558,0,3,561,0
93,45,92,215,206,6,9,0,0,0,0,0,0,1,0,0,574,0,4,578,0
94,41,112,250,268,2,7,1,0,1,0,1,1,0,0,0,684,0,5,689,0
95,46,74,284,292,1,4,0,1,0,0,2,1,0,1,1,707,0,4,711,0
96,23,34,293,341,0,6,0,2,0,0,2,0,0,1,0,702,0,1,703,0
97,26,72,321,288,1,3,0,0,1,1,1,0,0,3,0,717,0,4,721,0
98,32,55,289,274,2,1,0,0,0,0,1,0,1,3,0,658,0,6,664,0
99,29,86,271,308,1,4,0,0,0,0,0,0,0,1,0,700,0,1,701,0
100,33,48,214,260,1,6,0,0,0,0,1,0,0,1,0,564,0,7,571,0
101,20,45,262,275,1,1,0,0,0,0,0,0,1,2,0,607,0,2,609,0
102,23,70,176,241,2,4,0,0,0,0,3,1,1,3,0,524,0,2,526,0
