Polling Station No,S. CHARLES,S.M.NASAR,PUNITHA SHANMUGAM,RAJASIMHA MAHENDRA,R.Edmund Jayendren,C.S. Karnan,SENTHILKUMAR. S,R. BAKTHAVATCHALAM,R.RAMESH KUMAR,P.JAYAKUMAR,K. ANNAMALAI,G.D. ARUNKUMAR,M. ERAJASIMMAN,R. KUMAR,S. SENTHILKUMAR,P. CHELLAPANDIAN,K. BALAKRISHNAN,R. MANIKANDAN,UNIESH RAJ. M,RAJASEKAR. R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
106,0,197,27,82,1,0,0,2,258,1,1,0,0,0,1,0,0,0,0,1,571,0,5,576,0
107,0,211,48,92,2,0,0,3,312,0,0,0,0,1,0,1,0,0,0,0,670,0,4,674,0
108,1,245,30,58,3,1,0,0,306,1,0,2,0,1,1,0,0,1,0,0,650,0,1,651,0
109,1,190,18,46,0,0,0,1,287,0,0,0,0,0,0,0,1,0,1,1,546,0,1,547,0
110,0,119,28,23,1,1,0,0,186,0,0,0,0,0,1,0,0,0,0,0,359,0,2,361,0
111,0,56,12,30,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,185,0,1,186,0
112,2,65,8,33,0,0,1,2,115,0,0,0,0,1,0,0,0,0,0,0,227,0,1,228,0
113,0,132,29,38,1,0,0,0,201,0,0,0,0,0,0,1,1,0,0,0,403,0,3,406,0
114,1,112,26,46,0,0,0,3,166,0,1,0,1,0,0,0,0,0,0,0,356,0,4,360,0
115,0,132,45,138,0,0,0,3,394,0,0,0,0,1,0,0,1,0,0,0,714,0,4,718,0
116,1,186,32,121,0,0,0,2,395,1,0,0,0,0,0,1,0,0,0,1,740,0,3,743,0
117,2,169,27,92,4,1,1,2,368,0,0,1,0,1,0,0,1,0,0,0,669,0,5,674,0
118,0,187,25,96,1,0,0,1,245,0,0,1,0,0,0,2,0,0,0,0,558,0,0,558,0
119,0,168,31,108,0,0,1,1,270,0,0,0,0,0,0,1,0,1,0,1,582,0,5,587,0
120,0,235,34,97,0,0,2,0,321,0,1,0,0,1,0,2,0,1,0,0,694,0,5,699,0
121,1,187,25,105,0,0,0,0,239,1,0,0,0,1,0,1,0,0,0,0,560,0,5,565,0
