Polling Station No,AVARANGADU KARTHIK RAJA,THANGAM THENARASU,RAJAVARMAN.M.S.R,KANNAN.G,GUNASEKARAN.G,SAMAYAN.S,MURUGESAPANDIAN.T,RAJKUMAR.D,VELLAISAMY.P,ARAVINTHASAMY.J,KALIMUTHU.S,GURUSAMY.T,CHENNA KESAVAN.P,SETHURAMALINGAM.S,ADVOCATE THANGAPANDIAN,NALLAMARUTHU.K,PALANIYANDI.M,MALAI ALAGU.M,MARIMUTHU.M,MARNADU.M,MUNIYASAMY.R,RAJANGAM.C,JEYACHITRA,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
59,32,219,64,0,0,228,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,551,0,1,552,0
60,48,225,63,2,7,314,2,1,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,668,0,1,669,0
61,59,297,85,0,6,328,2,0,1,0,1,0,0,0,0,1,0,1,3,0,0,3,1,788,0,5,793,0
62,71,286,94,1,3,454,1,0,1,0,1,1,0,2,2,1,0,0,0,0,0,0,0,918,0,7,925,0
63,42,455,139,3,9,272,0,1,2,0,0,1,0,2,3,1,4,5,4,1,1,3,0,948,0,2,950,0
64,44,327,72,0,3,227,0,0,0,0,0,0,0,1,2,3,0,3,1,0,1,0,0,684,0,0,684,0
65,37,255,65,0,3,201,1,0,0,1,0,0,0,0,2,1,3,9,2,0,0,2,1,583,0,1,584,0
66,29,240,94,0,3,200,1,1,0,1,0,0,1,1,0,0,0,4,4,0,0,1,3,583,0,0,583,0
67,28,415,127,1,0,191,3,2,0,0,1,0,0,0,5,0,0,4,0,0,0,0,0,777,0,0,777,0
68,3,238,51,0,2,64,2,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,366,0,1,367,0
69,8,227,86,0,13,163,6,0,0,1,1,0,0,1,0,0,0,1,0,0,0,3,0,510,0,0,510,0
70,18,149,53,1,80,159,4,2,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,471,0,2,473,0
71,12,171,62,0,5,136,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,391,0,2,393,0
72,30,316,59,0,50,182,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,643,0,3,646,0
73,30,257,66,1,1,254,2,0,0,0,0,0,2,0,1,1,3,3,3,0,0,0,1,625,0,0,625,0
74,30,271,47,1,31,205,6,3,0,0,0,2,0,1,4,0,1,1,2,1,0,1,0,607,0,1,608,0
75,10,235,99,3,0,227,4,1,1,0,0,0,0,2,0,0,0,0,1,1,0,2,0,586,0,4,590,0
76,32,268,77,2,0,147,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,531,0,4,535,0
77,45,219,158,2,0,284,1,0,1,1,0,0,1,1,6,1,0,0,2,0,0,0,0,722,0,0,722,0
78,36,164,85,1,1,233,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,526,0,0,526,0
79,61,303,101,1,3,386,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,1,863,0,0,863,0
80,35,336,80,0,4,311,2,0,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0,775,0,1,776,0
81,36,476,54,1,0,338,0,0,1,0,0,0,0,1,3,0,0,2,1,0,1,0,1,915,0,2,917,0
82,ge2 71,289,61,0,2,294,5,0,0,0,0,0,0,0,1,2,0,4,0,1,0,0,0,686,0,2,688,0
83,71,331,71,0,1,195,1,0,0,0,0,0,0,0,1,0,2,4,2,1,0,2,1,683,0,4,687,0
84,17,289,102,0,4,180,1,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,598,0,2,600,0
85,25,163,90,2,0,128,2,0,1,0,0,0,0,1,2,0,0,3,1,0,1,0,0,419,0,1,420,0
86,62,283,108,2,3,181,4,0,0,0,0,1,0,1,1,3,0,3,2,0,0,0,1,655,0,0,655,0
87,112,307,111,0,11,180,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,1,728,0,0,728,0
88,44,210,106,0,1,123,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,490,0,0,490,0
89,33,238,104,4,2,91,0,0,0,1,0,1,0,1,0,0,1,4,2,1,0,1,2,486,0,2,488,0
90,17,175,106,1,1,154,1,0,0,0,0,1,1,0,2,0,0,2,2,0,0,0,0,463,0,1,464,0
91,34,348,96,3,3,225,1,0,0,0,0,0,0,0,2,1,1,4,3,1,0,2,2,726,0,3,729,0
92,13,157,58,0,1,108,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,342,0,0,342,0
93,41,307,85,1,1,296,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,735,0,0,735,0
94,57,352,93,2,15,310,2,0,0,1,1,0,0,0,3,1,0,1,0,1,0,0,0,839,0,0,839,0
95,9,252,53,3,0,183,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,506,0,2,508,0
96,48,413,125,0,2,316,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,910,0,1,911,0
97,43,208,68,0,7,224,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,555,0,1,556,0
98,5,245,78,2,2,244,0,1,1,0,1,0,0,2,3,2,0,2,1,0,0,0,1,590,0,3,593,0
99,16,207,45,2,1,166,1,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,444,0,0,444,0
100,41,372,93,0,1,330,1,0,1,0,2,1,0,4,4,0,1,10,5,0,0,3,1,870,0,1,871,0
101,25,213,78,3,8,172,0,0,0,0,0,0,0,0,3,2,0,3,3,0,0,1,0,511,0,4,515,0
102,25,266,97,1,2,286,0,1,0,0,1,1,0,0,1,1,0,5,1,0,0,1,0,689,0,1,690,0
103,50,272,61,0,3,269,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,665,0,4,669,0
104,39,228,101,1,4,288,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,1,668,0,1,669,0
105,42,247,69,4,60,225,1,1,0,1,2,1,1,1,4,0,2,2,0,1,0,0,0,664,0,5,669,0
106,49,301,65,1,49,298,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,770,0,0,770,0
107,66,250,40,0,1,157,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,519,0,1,520,0
108,89,261,41,1,5,220,2,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,624,0,2,626,0
109,16,228,99,2,4,186,0,0,0,0,2,0,0,0,0,1,0,4,2,0,0,0,0,544,0,1,545,0
110,25,230,37,0,3,170,1,0,0,0,1,0,0,1,4,1,0,2,0,1,0,0,1,477,0,1,478,0
111,52,454,84,1,3,329,6,2,0,1,0,1,1,0,1,0,1,2,0,0,0,0,1,939,0,2,941,0
112,30,333,142,1,1,339,3,0,0,1,2,0,0,0,1,0,2,12,3,2,0,2,0,874,0,2,876,0
113,15,166,89,0,16,135,1,0,0,0,4,0,0,0,1,1,0,1,4,0,0,1,0,434,0,0,434,0
114,43,319,103,1,1,229,0,0,0,0,0,0,0,0,2,2,0,4,0,3,0,2,0,709,0,2,711,0
115,14,272,92,1,11,147,0,0,1,0,1,1,1,0,1,1,0,4,0,1,1,0,0,549,0,1,550,0
116,12,168,61,0,3,144,1,0,1,0,1,0,1,0,2,2,0,0,0,0,1,1,0,398,0,2,400,0
117,42,152,28,0,0,147,2,0,1,1,0,0,0,1,2,0,1,0,1,0,0,0,0,378,0,0,378,0
118,26,231,22,2,5,107,3,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,402,0,0,402,0
119,46,184,37,0,1,127,0,0,1,0,1,0,0,2,2,0,0,3,0,0,0,0,0,404,0,0,404,0
120,54,298,43,0,1,97,3,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,1,503,0,0,503,0
121,67,234,39,3,0,275,0,0,1,0,1,2,0,0,1,1,1,7,0,0,1,3,1,637,0,2,639,0
122,39,191,17,1,0,153,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,406,0,0,406,0
123,102,389,63,1,4,227,3,0,0,1,0,1,0,1,1,1,0,7,5,1,0,1,0,808,0,2,810,0
124,20,148,64,1,1,96,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,333,0,0,333,0
125,60,256,83,0,3,187,1,1,1,0,3,0,0,1,2,0,0,2,4,0,2,0,0,606,0,2,608,0
126,82,294,120,0,2,255,0,0,0,1,0,0,1,1,1,2,2,0,0,1,1,2,0,765,0,1,766,0
127,37,256,61,0,1,184,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,544,0,1,545,0
128,102,305,123,0,2,216,3,0,1,0,0,0,0,1,1,3,0,2,2,0,1,0,0,762,0,1,763,0
129,60,304,152,3,3,148,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,677,0,3,680,0
130,54,223,56,0,4,185,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,529,0,1,530,0
131,76,288,61,0,2,260,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,694,0,2,696,0
132,61,153,51,1,0,143,6,0,0,0,1,1,0,1,3,0,0,0,2,0,1,0,1,425,0,0,425,0
133,39,246,51,0,2,159,2,0,1,0,0,2,0,0,4,0,2,5,5,1,1,2,1,523,0,1,524,0
134,98,334,242,0,6,211,4,0,0,1,2,0,0,3,4,0,0,2,3,1,0,0,0,911,0,5,916,0
135,27,242,95,1,3,228,1,2,0,0,1,0,0,1,1,0,0,2,5,0,2,0,1,612,0,1,613,0
136,35,206,66,1,5,234,1,0,2,0,0,1,0,2,0,1,0,2,1,0,1,3,1,562,0,1,563,0
137,51,264,36,0,1,184,4,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,546,0,2,548,0
138,61,290,55,0,4,116,0,0,0,0,0,0,0,0,2,1,3,1,1,0,0,0,1,535,0,1,536,0
139,55,358,110,3,3,276,1,2,0,1,0,1,1,2,2,0,2,3,4,0,2,0,2,828,0,3,831,0
140,8,57,32,0,0,56,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,156,0,0,156,0
141,43,159,26,0,1,95,2,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,332,0,1,333,0
142,69,268,23,0,3,149,3,2,0,1,1,0,0,1,0,1,1,0,2,1,0,0,0,525,0,1,526,0
143,46,123,100,0,0,142,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,414,0,2,416,0
144,51,273,122,1,2,193,4,0,0,1,0,0,0,1,2,0,0,5,1,1,0,2,0,659,0,1,660,0
145,37,273,85,1,1,165,0,1,0,0,0,1,1,3,2,0,1,1,5,0,0,0,0,577,0,0,577,0
146,19,125,68,0,0,35,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,253,0,0,253,0
147,18,108,22,0,1,41,1,0,0,0,0,0,0,1,2,2,1,2,1,0,0,0,0,200,0,0,200,0
148,97,339,152,3,3,186,0,1,0,0,0,0,0,1,1,0,1,1,4,0,0,0,1,790,0,1,791,0
149,50,306,105,2,2,169,6,1,0,0,0,0,0,2,2,0,0,6,0,0,0,0,1,652,0,1,653,0
150,48,255,64,2,5,209,1,1,1,0,3,0,1,2,4,1,0,2,1,1,0,0,0,601,0,1,602,0
151,40,221,119,3,2,281,0,1,1,1,1,2,0,5,0,1,1,0,0,1,0,0,0,680,0,1,681,0
152,12,157,14,0,0,92,1,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,282,0,0,282,0
153,70,249,152,2,2,257,3,1,2,0,3,3,0,2,3,1,0,2,4,0,0,0,0,756,0,1,757,0
154,61,161,78,0,4,118,2,0,0,0,0,1,0,1,2,0,1,0,0,1,0,1,1,432,0,2,434,0
155,116,178,95,0,7,211,1,0,1,0,0,2,4,1,1,4,1,1,1,0,0,0,0,624,0,3,627,0
156,79,293,122,2,3,184,2,1,1,0,1,0,1,2,3,2,0,2,3,1,0,0,1,703,0,2,705,0
157,20,162,90,0,1,142,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,421,0,1,422,0
158,96,319,155,3,6,239,0,0,0,0,1,0,2,1,0,0,1,0,0,3,0,1,0,827,0,1,828,0
159,26,128,41,0,2,109,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,0,313,0,1,314,0
160,33,387,181,1,3,195,4,0,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0,815,0,2,817,0
161,41,147,77,1,0,183,0,0,0,1,0,1,0,0,0,1,1,1,5,0,0,0,0,459,0,0,459,0
162,72,295,183,0,6,260,4,0,0,0,0,0,0,0,2,0,2,4,4,1,1,2,2,838,0,3,841,0
163,109,221,65,0,3,199,7,1,0,1,0,1,0,0,2,0,3,4,1,0,0,0,2,619,0,1,620,0
164,ge7 42,339,107,1,1,306,0,0,3,0,0,1,0,1,2,0,1,2,0,2,2,3,1,846,0,2,848,0
165,61,283,62,1,3,186,1,1,1,1,0,2,0,3,4,0,1,3,1,0,0,0,0,614,0,3,617,0
166,76,260,111,3,2,227,0,0,0,1,0,1,1,2,2,1,0,2,0,2,0,0,0,691,0,1,692,0
167,76,223,72,1,2,255,0,0,1,0,1,1,0,0,0,1,0,3,0,0,1,1,0,638,0,0,638,0
168,5,253,24,0,0,73,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,361,0,0,361,0
169,11,276,9,0,1,43,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,342,0,2,344,0
170,11,412,19,0,0,77,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,522,0,2,524,0
171,10,257,5,0,0,50,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,327,0,1,328,0
172,24,206,48,2,0,101,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,385,0,0,385,0
173,57,291,76,0,5,275,1,1,0,0,1,0,1,3,2,1,0,2,1,0,0,1,0,718,0,0,718,0
174,34,118,103,2,0,179,1,0,0,0,0,1,0,1,0,1,0,0,2,0,0,1,0,443,0,1,444,0
175,50,116,94,0,0,120,2,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,387,0,1,388,0
176,55,166,105,0,2,158,0,1,1,0,2,1,0,2,2,1,0,1,0,0,0,0,0,497,0,0,497,0
177,43,259,63,1,0,323,1,1,0,0,1,0,1,1,1,0,0,5,1,0,0,0,0,701,0,1,702,0
178,55,183,21,0,0,128,0,0,0,0,2,0,0,1,1,0,0,1,0,0,1,1,0,394,0,0,394,0
179,57,215,102,2,2,188,1,0,1,0,0,0,0,2,0,0,0,2,2,1,0,0,0,575,0,0,575,0
180,65,279,114,3,5,149,1,0,0,0,0,0,1,0,1,0,0,6,0,0,0,2,0,626,0,0,626,0
181,90,276,103,3,2,270,1,0,1,0,1,1,0,2,0,0,2,1,4,0,1,2,2,762,0,0,762,0
182,74,195,75,0,2,170,0,0,0,0,0,0,0,1,4,1,1,1,0,0,0,1,1,526,0,2,528,0
183,29,387,173,1,1,122,25,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,743,0,0,743,0
184,39,164,45,1,18,117,26,0,0,0,0,0,0,5,1,1,1,3,0,0,1,0,0,422,0,0,422,0
185,38,425,174,5,5,114,101,1,0,1,2,0,1,4,2,0,0,2,2,2,0,0,0,879,0,1,880,0
186,25,355,102,0,1,291,8,1,1,0,0,0,0,2,3,0,0,19,4,1,1,2,0,816,0,7,823,0
187,68,204,80,1,1,204,0,0,0,0,2,0,0,1,1,2,1,1,0,1,0,0,0,567,0,0,567,0
188,17,358,167,2,3,164,1,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,1,719,0,5,724,0
189,40,303,86,0,3,171,4,0,0,0,1,0,0,0,0,0,1,6,1,1,0,0,0,617,0,0,617,0
190,16,156,46,0,1,50,2,0,0,0,0,1,1,2,2,0,2,1,0,0,0,0,0,280,0,1,281,0
191,43,334,105,0,2,183,6,1,0,0,0,0,1,0,1,0,1,10,6,0,0,0,0,693,0,2,695,0
192,57,256,48,0,5,152,2,2,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,528,0,0,528,0
193,18,303,117,2,0,161,0,0,0,0,0,0,0,2,3,1,1,1,1,0,1,0,0,611,0,3,614,0
194,65,321,154,0,2,176,2,2,0,0,0,0,0,1,2,0,3,6,6,0,0,0,1,741,0,4,745,0
195,33,295,75,0,0,127,1,0,0,0,0,0,0,1,0,1,3,7,4,0,0,0,1,548,0,4,552,0
196,37,165,85,1,1,108,4,0,0,2,0,0,1,2,0,0,0,1,4,1,2,1,0,415,0,0,415,0
197,63,469,150,1,3,180,5,0,1,0,0,1,0,2,4,4,3,6,5,1,2,0,0,900,0,4,904,0
198,29,356,58,0,0,54,13,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,516,0,0,516,0
199,15,432,54,1,1,311,1,0,1,0,0,1,3,1,5,1,0,1,2,0,0,1,0,831,0,1,832,0
200,52,219,37,0,2,131,22,0,0,0,0,0,0,0,9,1,2,0,0,0,0,1,0,476,0,3,479,0
201,60,341,129,3,2,329,0,2,0,0,1,0,1,2,7,3,1,6,2,1,0,0,1,891,0,2,893,0
202,20,218,75,2,1,207,0,0,0,1,1,0,0,0,4,1,0,4,3,0,0,1,0,538,0,0,538,0
203,33,176,112,3,0,176,1,0,0,0,1,0,1,1,0,1,1,6,3,1,1,1,0,518,0,2,520,0
204,74,241,70,1,0,173,11,0,0,1,0,0,2,0,2,0,0,2,1,0,0,1,0,579,0,0,579,0
205,37,361,132,0,1,239,7,0,2,0,0,0,0,0,8,0,1,7,0,0,0,3,1,799,0,2,801,0
206,42,234,245,1,1,204,2,0,0,0,0,2,0,2,5,2,1,1,5,0,0,0,0,747,0,0,747,0
207,87,331,216,5,0,213,3,2,1,1,0,0,0,1,19,0,1,2,2,0,0,1,1,886,0,0,886,0
208,83,315,88,1,26,168,1,1,0,1,1,0,0,2,0,1,0,4,2,0,0,0,0,694,0,0,694,0
209,54,283,132,0,7,178,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,662,0,0,662,0
210,149,282,177,3,14,266,3,1,0,0,0,0,0,3,8,2,4,2,2,0,0,0,0,916,0,0,916,0
211,48,551,118,1,6,259,2,0,0,0,0,1,0,0,4,1,0,1,1,0,0,0,0,993,0,2,995,0
212,18,197,66,1,1,161,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,449,0,2,451,0
213,21,97,95,0,0,49,2,0,0,1,0,0,0,0,2,0,1,3,2,1,0,0,0,274,0,1,275,0
214,66,356,77,3,5,393,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,910,0,0,910,0
215,21,191,64,0,0,219,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,501,0,2,503,0
216,59,266,116,1,1,333,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,2,784,0,3,787,0
217,22,84,29,0,0,136,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,276,0,1,277,0
218,40,193,68,0,3,336,2,1,0,0,1,2,0,3,3,1,0,0,0,0,0,0,0,653,0,2,655,0
219,28,116,32,0,2,333,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,515,0,2,517,0
220,33,179,54,0,0,273,2,1,0,0,2,1,1,2,4,1,0,0,3,0,0,0,0,556,0,1,557,0
221,52,379,107,4,1,200,0,0,0,0,0,1,0,0,1,3,0,5,5,0,0,0,0,758,0,5,763,0
222,37,192,70,0,2,207,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,514,0,3,517,0
223,37,293,114,3,2,275,1,0,2,0,1,0,0,1,1,0,0,2,5,0,0,2,0,739,0,1,740,0
224,74,274,98,1,3,202,1,0,0,0,1,0,0,1,1,1,2,4,1,0,0,0,0,664,0,2,666,0
225,59,364,96,4,2,443,0,0,0,0,1,3,0,1,5,1,0,3,4,0,0,1,0,987,0,0,987,0
226,25,163,59,2,0,218,0,0,1,0,0,0,0,0,1,1,0,2,2,0,0,2,0,476,0,1,477,0
227,30,583,45,2,1,189,10,0,0,0,1,0,0,1,0,1,1,4,0,0,0,2,0,870,0,0,870,0
228,35,222,31,3,2,183,6,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,488,0,1,489,0
229,61,141,68,2,1,166,2,0,0,0,0,0,0,1,4,0,5,5,1,0,0,3,0,460,0,2,462,0
230,79,184,82,1,2,318,1,0,0,0,0,0,0,0,1,1,0,2,3,0,0,1,0,675,0,2,677,0
