Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Candidate_21,Candidate_22,Candidate_23,Candidate_24,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
20,31,0,184,109,0,1,287,0,2,0,2,1,0,0,0,0,1,1,2,7,3,0,0,1,1,632,0,632,0
21,23,2,240,112,0,1,405,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,9,9,796,0,796,0
22,31,1,195,118,0,0,322,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,675,0,675,0
23,21,0,179,89,1,0,310,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,1,608,0,608,0
24,35,3,204,96,2,0,266,0,0,0,2,0,0,0,0,0,1,0,2,4,0,2,0,6,6,623,0,623,0
25,18,0,183,157,0,2,278,0,0,0,0,0,0,0,1,1,2,0,1,2,0,0,0,3,3,648,0,648,0
26,35,0,207,67,1,0,330,0,0,0,2,0,0,0,1,2,1,0,0,3,0,0,0,2,2,651,0,651,0
27,31,0,187,75,2,0,301,0,0,0,0,0,0,0,0,1,2,0,0,6,0,2,0,0,0,607,0,607,0
28,19,7,360,177,1,0,461,1,0,1,0,0,0,0,0,0,0,3,3,11,1,2,1,1,1,1049,0,1049,0
29,28,0,186,95,0,2,340,0,1,1,0,1,0,2,2,0,0,0,0,3,0,1,0,6,6,668,0,668,0
30,11,0,66,86,0,0,120,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,4,293,0,293,0
31,36,7,258,110,1,1,438,1,1,2,1,0,1,0,3,0,1,0,1,3,0,0,0,1,1,866,0,866,0
32,20,1,146,85,4,0,205,0,0,0,3,0,0,0,0,0,1,0,0,2,0,1,0,1,1,469,0,469,0
33,17,3,223,104,0,1,480,1,0,0,4,0,0,0,1,1,1,1,0,2,0,0,0,2,2,841,0,841,0
34,25,1,249,149,0,1,425,1,0,5,0,0,0,0,0,0,0,0,1,2,0,0,0,3,3,862,0,862,0
35,21,0,193,95,0,0,314,0,0,1,2,1,0,1,0,2,0,0,0,2,0,2,0,1,1,635,0,635,0
36,23,3,223,70,1,1,310,1,2,0,1,2,0,0,2,1,0,0,0,2,0,0,1,4,4,647,0,647,0
37,22,0,143,59,0,0,338,0,3,1,1,1,0,1,2,1,0,0,3,2,0,2,0,5,5,584,0,584,0
38,30,0,146,100,0,1,291,2,0,2,3,0,0,1,0,0,1,0,1,3,0,0,0,0,0,581,0,581,0
39,20,0,133,45,1,1,257,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,2,2,464,0,464,0
40,19,3,196,105,0,1,416,0,0,1,2,0,2,1,0,0,3,1,3,3,0,0,3,7,7,766,0,766,0
41,30,1,207,139,1,0,510,2,1,1,1,1,0,0,0,0,0,0,0,2,1,2,1,7,7,907,0,907,0
42,25,0,117,77,0,1,279,0,0,2,2,1,0,0,2,0,0,1,0,2,0,0,0,2,2,511,0,511,0
43,16,4,69,40,1,1,158,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,292,0,292,0
44,14,1,160,67,0,1,235,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,482,0,482,0
45,23,4,155,77,0,0,284,0,1,0,0,0,0,1,4,0,0,0,1,2,0,0,1,2,2,555,0,555,0
46,56,2,145,58,0,0,307,1,0,0,1,0,0,1,0,0,0,0,1,4,0,1,1,0,0,578,0,578,0
47,50,0,125,94,2,1,331,0,0,0,0,0,0,2,1,1,1,0,0,3,0,0,0,3,3,614,0,614,0
48,46,3,184,108,0,1,482,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,4,832,0,832,0
49,65,3,163,95,0,1,352,2,1,2,0,0,0,0,0,1,1,1,1,4,0,0,0,0,0,692,0,692,0
50,72,1,119,111,0,2,305,1,1,0,1,0,0,0,2,1,2,2,3,7,0,0,0,2,2,632,0,632,0
51,58,1,166,98,0,2,348,0,2,1,0,2,0,1,1,0,2,1,3,4,1,2,0,5,5,698,0,698,0
52,42,0,166,65,0,1,341,1,0,1,0,0,0,0,0,0,1,0,1,5,0,1,0,3,3,628,0,628,0
53,44,0,240,97,2,0,359,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,4,750,0,750,0
54,31,2,164,72,0,0,254,0,0,0,1,0,0,0,0,2,0,0,1,0,0,2,1,1,1,531,0,531,0
55,33,0,127,68,0,1,324,1,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,2,2,562,0,562,0
56,19,0,129,96,2,1,284,0,1,0,0,0,0,0,2,0,1,0,2,5,0,0,2,1,1,545,0,545,0
57,52,4,182,98,0,1,464,1,0,1,2,1,0,0,3,0,1,1,1,3,1,0,0,4,4,820,0,820,0
58,35,0,134,121,0,0,297,0,0,0,1,2,0,1,0,1,0,0,2,4,0,0,1,2,2,601,0,601,0
59,46,0,204,146,1,2,383,1,0,0,5,0,0,0,1,0,2,0,0,3,0,0,0,4,4,798,0,798,0
60,22,0,176,60,0,0,253,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,4,4,521,0,521,0
61,64,0,268,144,1,1,393,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,9,9,886,0,886,0
62,50,0,128,84,0,0,274,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,541,0,541,0
63,54,1,174,152,1,0,420,2,0,1,3,0,0,0,0,1,2,0,1,9,0,0,0,2,2,823,0,823,0
64,44,2,228,120,0,1,378,0,3,2,4,0,0,0,0,0,1,0,0,5,0,0,2,2,2,792,0,792,0
65,25,0,149,58,0,0,236,0,2,0,0,0,0,1,1,0,0,0,0,3,0,0,0,6,6,481,0,481,0
66,7,0,55,109,0,0,208,0,0,0,2,0,1,0,0,0,2,0,1,1,0,0,0,0,0,386,0,386,0
67,21,2,142,81,1,0,274,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,1,2,2,529,0,529,0
68,21,1,118,110,0,1,341,0,1,0,1,1,1,0,2,0,2,0,0,1,1,0,1,1,1,604,0,604,0
69,22,1,122,110,1,1,266,1,0,0,2,0,0,0,0,0,1,0,1,1,0,1,0,0,0,530,0,530,0
70,34,1,188,135,1,1,301,0,0,1,0,1,0,1,2,1,0,0,2,0,0,2,0,4,4,675,0,675,0
71,39,3,275,63,0,0,356,1,2,1,0,0,0,4,1,0,1,0,0,2,0,0,1,1,1,750,0,750,0
72,34,0,180,120,2,0,379,2,1,0,2,0,1,0,0,0,0,0,2,9,1,0,0,5,5,738,0,738,0
73,23,0,174,72,0,0,367,1,0,2,0,0,0,0,1,0,0,0,2,7,0,0,0,3,3,652,0,652,0
74,39,4,190,111,0,0,264,1,1,0,2,0,1,0,1,0,0,0,0,2,0,0,1,4,4,621,0,621,0
75,42,0,190,102,0,1,259,2,0,0,1,0,0,0,0,3,0,1,0,5,0,0,0,9,9,615,0,615,0
76,45,1,214,93,1,2,391,1,1,0,1,0,0,0,1,0,2,2,1,4,1,0,0,3,3,764,0,764,0
77,26,0,168,130,0,1,221,0,0,0,2,0,0,1,0,1,0,0,2,2,0,0,1,7,7,562,0,562,0
78,38,0,214,92,1,1,355,2,0,0,2,0,1,0,1,0,0,0,1,1,0,5,1,5,5,720,0,720,0
79,28,1,108,104,1,0,292,3,1,0,2,0,0,0,1,0,1,0,2,1,0,2,0,4,4,551,0,551,0
80,28,1,196,92,1,0,349,2,1,1,0,0,0,0,2,0,0,0,1,7,1,1,1,2,2,686,0,686,0
81,39,0,147,115,0,0,242,1,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,5,5,554,0,554,0
82,19,0,144,126,0,0,245,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,2,2,543,0,543,0
83,15,1,107,104,0,1,257,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,0,3,3,495,0,495,0
84,51,4,164,125,3,0,343,2,1,1,2,1,0,0,0,1,1,0,1,3,0,0,1,5,5,709,0,709,0
85,35,2,253,114,0,0,389,1,2,0,1,1,0,0,2,0,3,0,2,6,0,1,0,1,1,813,0,813,0
86,25,0,207,93,0,0,347,1,0,0,2,1,0,1,2,0,2,1,4,5,0,0,0,4,4,695,0,695,0
87,17,1,252,85,0,0,319,0,0,0,0,0,0,1,0,0,1,0,1,5,0,1,0,0,0,683,0,683,0
88,17,2,222,56,1,1,291,0,1,1,2,0,0,1,2,0,0,2,6,10,0,0,1,1,1,617,0,617,0
89,2,0,121,21,1,0,143,1,0,0,0,0,0,0,1,0,2,0,3,4,0,1,2,0,0,302,0,302,0
90,40,0,145,120,0,0,315,12,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,1,1,638,0,638,0
91,33,0,171,105,0,1,388,11,0,0,2,0,0,0,1,0,2,0,0,4,0,0,1,1,1,720,0,720,0
92,51,0,166,119,0,0,361,18,0,0,1,0,0,0,2,0,0,0,2,0,1,0,8,2,2,731,0,731,0
93,51,1,161,146,0,2,392,9,0,1,2,0,0,0,0,0,1,0,0,1,0,0,3,2,2,772,0,772,0
94,51,0,164,122,0,0,423,8,0,0,1,1,0,0,1,1,1,0,2,3,0,0,2,5,5,785,0,785,0
95,44,0,153,114,2,1,297,13,0,0,0,0,0,2,1,0,0,0,1,4,0,0,3,1,1,636,0,636,0
96,35,0,160,147,1,1,300,2,0,0,0,0,1,1,1,0,1,0,2,3,1,0,1,0,0,657,0,657,0
97,27,1,114,127,0,1,348,12,0,0,0,1,0,0,0,0,1,0,1,6,0,4,2,1,1,646,0,646,0
98,27,0,156,91,0,4,394,7,0,1,2,0,0,0,0,0,1,0,0,6,0,0,1,2,2,692,0,692,0
99,42,1,140,76,1,1,491,4,1,0,1,0,0,2,1,0,0,0,1,3,0,1,0,0,0,766,0,766,0
100,38,0,131,136,1,2,363,10,0,0,1,0,0,2,1,1,1,0,0,6,0,2,2,3,3,700,0,700,0
101,56,0,131,123,0,2,467,3,0,0,0,0,0,1,2,1,2,0,2,0,1,0,0,2,2,793,0,793,0
102,30,0,81,76,0,1,267,0,0,0,0,1,0,2,2,0,0,0,3,0,0,0,0,1,1,464,0,464,0
103,30,2,91,93,0,2,358,0,0,0,0,1,0,0,0,1,2,0,2,3,0,1,0,1,1,587,0,587,0
104,41,0,213,104,1,3,397,1,0,0,0,0,0,1,0,0,1,0,1,4,0,0,1,1,1,769,0,769,0
105,29,3,251,70,0,1,327,1,3,1,1,1,0,1,0,0,1,0,1,2,0,0,1,3,3,697,0,697,0
106,28,1,208,65,1,2,322,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,3,3,635,0,635,0
107,29,3,286,57,0,2,308,1,0,0,3,0,0,0,0,1,0,0,0,2,0,0,2,2,2,696,0,696,0
108,23,1,287,57,2,0,216,0,0,4,1,0,0,0,0,0,0,1,1,3,0,0,0,6,6,602,0,602,0
109,17,0,224,113,1,2,251,1,0,2,2,0,0,0,2,2,2,0,3,13,0,2,0,3,3,640,0,640,0
110,25,3,353,51,3,1,258,0,1,11,3,0,1,1,2,0,1,0,2,14,0,1,1,4,4,736,0,736,0
111,25,3,346,74,1,4,286,0,0,16,3,0,0,1,2,1,0,0,0,0,0,1,0,4,4,767,0,767,0
112,17,1,198,44,1,1,190,0,0,5,2,0,0,0,1,1,0,4,1,4,0,0,1,2,2,473,0,473,0
113,22,4,328,106,1,1,440,1,0,4,2,0,0,0,2,0,2,0,3,21,2,3,0,2,2,944,0,944,0
114,9,2,192,72,1,0,183,0,1,1,2,0,1,2,1,4,0,1,0,2,0,0,0,1,1,475,0,475,0
115,17,2,205,70,1,1,334,2,1,0,5,1,0,0,2,1,2,0,0,1,0,0,0,2,2,647,0,647,0
116,11,1,143,102,0,0,213,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,2,2,477,0,477,0
117,17,2,299,80,0,1,226,0,2,0,0,0,3,0,1,1,0,0,0,6,0,2,1,1,1,642,0,642,0
118,21,0,133,64,3,0,250,1,0,1,0,0,0,0,2,0,1,2,1,10,1,0,1,2,2,493,0,493,0
119,25,0,171,89,1,1,215,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,4,4,512,0,512,0
120,18,1,116,72,1,0,193,1,0,0,3,0,0,1,0,1,0,1,2,1,1,0,0,0,0,412,0,412,0
121,36,1,170,133,1,0,300,0,0,0,1,2,0,0,0,1,0,0,0,4,0,0,0,2,2,651,0,651,0
122,18,6,120,74,0,1,239,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,464,0,464,0
123,35,1,115,87,4,0,179,0,2,0,2,0,0,1,1,1,0,0,0,0,0,0,0,5,5,433,0,433,0
124,25,2,117,85,1,1,284,3,0,0,0,0,0,0,1,0,2,0,3,3,0,0,0,2,2,529,0,529,0
125,58,2,276,48,0,1,329,0,1,0,0,2,0,0,1,0,0,0,0,2,0,4,0,3,3,727,0,727,0
126,33,0,232,50,0,1,224,0,0,2,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,547,0,547,0
127,14,2,172,33,0,1,226,0,2,0,1,0,0,0,1,0,1,0,1,2,0,1,0,0,0,457,0,457,0
128,9,5,160,33,0,0,158,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,2,2,374,0,374,0
129,22,2,272,33,0,0,283,0,0,1,0,1,0,0,2,0,2,0,0,6,0,0,0,2,2,626,0,626,0
130,15,2,229,59,1,0,314,2,0,1,2,1,0,1,1,1,0,1,4,3,0,0,2,3,3,642,0,642,0
131,31,0,138,197,0,0,277,0,1,0,1,1,0,0,1,1,1,0,2,3,0,2,1,8,8,665,0,665,0
132,30,0,126,132,2,1,226,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,4,4,528,0,528,0
133,29,0,220,150,1,3,280,0,1,0,2,0,0,0,1,0,1,0,0,0,1,1,0,6,6,696,0,696,0
134,25,0,146,122,1,0,218,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,14,527,0,527,0
135,31,0,312,86,0,2,395,1,0,0,1,0,0,4,2,0,0,0,0,1,0,1,0,5,5,841,0,841,0
136,28,0,214,114,1,0,271,1,1,0,1,0,0,1,1,0,0,0,0,2,0,0,1,2,2,638,0,638,0
137,29,1,215,102,0,0,216,6,1,0,1,1,0,0,1,0,0,0,0,7,0,0,0,4,4,584,0,584,0
138,34,2,185,77,1,1,318,6,1,0,2,0,0,0,1,0,2,0,0,1,1,1,2,3,3,638,0,638,0
139,27,3,209,84,0,2,341,6,1,1,3,0,1,5,0,1,0,0,0,1,1,0,1,1,1,688,0,688,0
140,54,1,142,142,3,0,262,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,615,0,615,0
141,35,4,174,135,0,1,342,16,1,1,2,0,0,0,2,0,0,1,1,1,0,0,6,4,4,726,0,726,0
142,46,2,179,59,1,0,321,6,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,3,3,622,0,622,0
143,31,1,161,52,0,0,230,19,0,0,2,1,0,1,0,0,2,0,0,1,0,0,3,4,4,508,0,508,0
144,52,3,246,87,2,0,378,18,0,0,0,1,0,0,1,1,0,0,0,3,0,0,19,4,4,815,0,815,0
145,19,3,358,27,1,1,213,0,0,2,2,0,0,0,0,0,0,0,2,11,0,0,0,2,2,641,0,641,0
146,39,1,230,52,0,0,314,31,0,0,2,1,0,1,2,0,1,1,6,6,1,0,5,4,4,697,0,697,0
147,25,0,238,71,0,0,197,1,0,0,2,0,0,0,1,1,1,1,0,6,0,0,0,3,3,547,0,547,0
148,49,1,136,106,2,2,203,0,1,0,3,1,0,0,0,0,1,2,0,1,0,0,1,7,7,516,0,516,0
149,25,6,281,72,1,0,342,0,1,2,1,0,0,2,1,0,1,0,2,5,0,0,2,2,2,746,0,746,0
150,30,3,340,92,1,2,363,0,0,0,1,2,0,0,1,2,1,0,1,1,0,1,0,2,2,843,0,843,0
151,34,2,293,77,0,1,372,0,2,1,0,0,0,4,2,2,1,1,4,8,1,0,0,3,3,808,0,808,0
152,34,0,236,107,3,2,381,0,0,1,0,0,0,4,1,1,0,0,0,2,0,0,0,3,3,775,0,775,0
153,24,1,188,60,0,1,243,0,1,0,0,1,1,3,0,0,1,0,2,3,0,4,2,2,2,537,0,537,0
154,25,0,249,89,0,0,270,0,1,0,2,1,0,0,2,0,0,1,0,2,1,0,0,8,8,651,0,651,0
155,14,1,184,65,0,2,229,0,1,0,0,0,0,2,0,0,2,0,2,6,0,0,0,0,0,508,0,508,0
156,18,2,181,89,1,1,291,0,0,1,1,0,0,2,0,1,0,0,1,4,1,1,0,2,2,597,0,597,0
157,15,1,140,78,1,0,300,0,0,0,2,0,0,0,1,1,0,1,0,1,0,1,0,1,1,543,0,543,0
158,24,0,153,43,0,0,278,1,1,0,2,0,0,0,1,0,0,0,0,2,1,0,0,1,1,507,0,507,0
159,15,0,127,60,2,0,248,0,1,0,2,0,0,1,1,0,0,0,1,5,0,0,0,1,1,464,0,464,0
160,18,1,149,81,0,0,317,0,1,0,1,3,1,1,0,0,0,0,1,6,0,1,2,2,2,585,0,585,0
161,21,0,185,46,1,1,314,0,0,0,5,2,1,1,2,0,0,0,0,4,0,1,1,1,1,586,0,586,0
162,18,1,91,111,0,0,148,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,4,378,0,378,0
163,22,0,86,103,0,0,186,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,6,6,408,0,408,0
164,28,0,142,108,0,1,255,0,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,3,3,543,0,543,0
165,22,3,190,87,0,1,247,0,0,1,0,2,0,2,0,0,1,0,0,3,0,0,0,2,2,561,0,561,0
166,37,1,124,135,0,1,221,1,0,1,1,0,0,0,0,3,0,0,0,6,0,0,1,4,4,536,0,536,0
167,12,1,124,92,0,1,196,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,3,3,435,0,435,0
168,23,1,301,64,1,3,363,2,0,2,1,1,0,0,0,0,0,0,2,2,0,0,0,2,2,768,0,768,0
169,15,3,265,56,0,2,382,2,3,2,0,0,0,1,2,1,2,0,4,10,1,0,0,1,1,752,0,752,0
170,21,2,233,68,1,1,397,2,3,1,2,1,0,2,2,0,1,0,0,4,0,2,1,1,1,745,0,745,0
171,12,1,176,37,1,0,269,1,0,1,2,1,0,3,2,2,1,1,1,5,0,0,1,2,2,519,0,519,0
172,36,1,157,104,0,1,242,1,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,4,552,0,552,0
173,23,1,197,69,1,1,272,1,1,0,1,0,0,0,1,0,1,1,2,7,1,1,0,1,1,582,0,582,0
174,35,3,250,72,0,2,350,0,0,1,1,0,0,1,0,0,2,0,0,5,0,0,1,1,1,724,0,724,0
175,34,1,141,87,1,0,210,1,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,3,3,484,0,484,0
176,29,0,160,88,2,1,186,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,2,471,0,471,0
177,29,0,125,171,4,0,237,2,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,2,2,576,0,576,0
178,24,1,146,66,0,0,166,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,2,2,418,0,418,0
179,24,0,219,112,0,0,283,1,0,0,0,0,0,0,2,2,1,0,2,2,0,2,0,2,2,652,0,652,0
180,26,4,169,183,0,0,240,0,1,0,0,3,0,0,0,0,1,0,5,5,1,1,0,5,5,644,0,644,0
181,34,0,123,136,1,1,217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,516,0,516,0
182,29,3,125,161,1,0,273,0,3,0,2,0,1,1,0,0,0,0,0,1,1,0,0,7,7,608,0,608,0
183,19,0,110,142,1,0,183,1,1,1,1,0,1,0,0,0,1,0,6,2,0,1,0,6,6,476,0,476,0
184,20,1,81,91,0,1,240,0,0,0,2,0,1,0,3,0,0,0,3,1,0,0,0,4,4,448,0,448,0
185,37,4,164,137,1,2,267,0,0,0,0,0,0,0,2,0,1,0,2,7,0,4,1,3,3,632,0,632,0
186,34,0,86,259,0,0,188,0,0,0,1,2,1,0,0,0,0,1,2,1,0,1,0,10,10,586,0,586,0
187,19,0,130,107,2,0,229,0,1,0,0,1,1,0,1,0,0,1,3,3,1,0,1,0,0,500,0,500,0
188,22,2,121,145,0,0,204,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,498,0,498,0
189,20,0,92,106,1,2,162,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,6,392,0,392,0
190,20,1,130,94,0,1,141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,394,0,394,0
191,28,1,87,149,0,2,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,451,0,451,0
192,18,0,149,109,1,1,255,0,0,0,0,1,0,0,0,0,1,0,2,5,0,0,2,3,3,547,0,547,0
193,23,1,89,89,0,3,158,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,11,11,379,0,379,0
194,41,2,206,120,1,3,302,2,1,1,1,1,0,0,1,2,0,0,1,2,0,0,0,1,1,688,0,688,0
195,34,1,96,77,2,0,189,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,1,2,2,411,0,411,0
196,29,0,218,154,0,0,400,0,1,0,2,0,0,2,2,0,2,1,0,7,0,0,0,2,2,820,0,820,0
197,61,3,254,212,0,1,439,2,0,0,2,5,0,0,1,0,1,2,5,8,1,1,2,6,6,1006,0,1006,0
198,58,2,136,139,1,1,402,1,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,5,5,751,0,751,0
199,47,0,112,173,1,2,317,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,7,7,663,0,663,0
200,66,1,177,151,0,0,283,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,4,685,0,685,0
201,16,0,66,85,0,1,157,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,332,0,332,0
202,36,0,190,111,2,2,370,0,1,2,2,0,0,0,1,0,0,0,1,3,0,1,1,7,7,730,0,730,0
203,25,2,163,70,0,1,252,1,1,0,1,0,0,0,0,0,2,0,5,11,0,1,1,4,4,540,0,540,0
204,49,1,208,153,5,0,354,0,2,1,1,1,1,5,1,0,0,0,2,6,1,1,3,5,5,800,0,800,0
205,42,0,184,132,0,0,358,0,1,1,1,1,0,0,0,0,1,0,4,0,0,0,0,2,2,727,0,727,0
206,24,0,132,122,1,1,273,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,1,1,1,560,0,560,0
207,30,2,165,111,0,1,304,0,0,0,0,0,0,1,1,0,2,0,1,4,0,0,1,2,2,625,0,625,0
208,32,2,206,134,0,3,450,0,0,0,1,0,0,0,2,0,1,0,3,3,0,0,0,3,3,840,0,840,0
209,31,3,215,79,1,1,313,0,2,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,652,0,652,0
210,31,1,142,157,1,1,277,0,1,0,1,0,0,1,0,0,0,1,0,1,3,0,0,10,10,628,0,628,0
211,46,0,159,120,0,2,313,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,2,2,648,0,648,0
212,53,2,241,181,1,1,403,0,0,0,2,1,0,0,1,0,2,0,1,3,0,0,0,8,8,900,0,900,0
213,31,1,85,131,0,0,176,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,430,0,430,0
214,22,0,79,91,0,2,150,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,349,0,349,0
215,37,0,201,90,2,1,305,1,0,0,2,2,2,0,2,2,1,0,2,12,0,3,0,0,0,665,0,665,0
216,34,0,148,106,0,1,207,0,2,0,1,1,0,0,3,0,0,1,1,5,0,0,0,7,7,517,0,517,0
217,18,0,112,144,0,0,172,0,0,1,0,3,0,1,1,0,1,0,0,2,0,0,0,4,4,459,0,459,0
218,20,0,86,110,0,1,134,0,2,0,0,2,0,0,2,2,2,2,1,2,0,0,0,9,9,375,0,375,0
219,24,0,93,86,0,1,202,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,3,3,415,0,415,0
220,30,0,123,133,2,0,202,0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,0,7,7,504,0,504,0
221,34,1,176,114,0,0,215,2,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,7,7,555,0,555,0
222,27,1,82,105,2,1,226,0,0,0,0,1,0,1,1,1,0,0,0,2,0,1,0,7,7,458,0,458,0
223,22,2,138,68,1,0,344,0,0,0,1,1,0,2,0,0,1,0,1,4,0,1,1,3,3,590,0,590,0
224,24,1,146,71,2,1,289,0,0,0,0,5,0,1,1,1,1,1,1,5,0,3,0,3,3,556,0,556,0
225,18,1,77,83,0,0,204,0,0,0,0,2,1,1,1,1,0,1,1,3,0,0,1,2,2,397,0,397,0
226,30,0,142,81,0,0,309,1,0,1,0,1,0,1,0,2,1,1,0,3,0,1,0,1,1,575,0,575,0
