Polling Station No,Candidate_1,1,2,3,4,5,6,7,8,9,10,11,12,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
46,301,16,120,245,0,7,0,0,0,1,0,1,0,691,0,5,696,0
47,225,41,203,294,1,8,0,1,0,0,0,0,2,775,0,1,776,0
48,243,45,153,254,3,4,0,0,2,0,0,1,1,706,0,2,708,0
49,282,43,203,279,1,9,2,0,1,1,1,0,0,822,0,2,824,0
50,250,32,279,354,3,8,1,2,1,1,0,1,1,933,0,4,937,0
51,379,33,124,294,6,1,0,2,0,2,0,0,1,843,0,1,844,0
52,420,48,144,258,3,4,1,0,1,1,1,0,1,884,0,4,888,0
53,149,30,120,123,3,36,1,1,0,0,0,1,1,465,0,1,466,0
54,202,31,140,164,12,8,2,0,1,2,0,0,1,563,0,2,565,0
55,233,23,278,177,2,29,1,0,1,0,0,0,1,745,0,1,746,0
56,134,12,46,93,2,3,0,0,0,1,0,0,0,291,0,2,293,0
57,161,29,98,200,1,0,0,0,1,0,1,2,1,494,0,3,497,0
58,213,23,128,219,4,0,2,2,1,1,0,1,1,596,0,2,598,0
59,272,45,198,248,4,2,1,0,1,0,1,0,1,775,0,4,779,0
60,154,39,203,125,3,5,0,0,0,0,0,0,0,529,0,1,530,0
61,261,57,342,256,2,13,1,0,2,0,0,1,1,936,0,4,940,0
62,171,18,264,164,0,4,1,0,0,0,0,2,1,625,0,2,627,0
63,274,47,292,221,2,4,0,0,0,0,0,0,1,841,0,4,845,0
64,328,63,295,225,2,7,1,0,3,0,0,1,0,925,0,4,929,0
65,189,33,193,225,4,1,0,1,1,0,1,0,0,648,0,1,649,0
66,205,60,201,183,2,0,0,0,0,0,0,0,0,651,0,2,653,0
67,146,65,284,202,0,1,0,0,0,0,1,0,0,700,0,1,701,0
68,250,59,176,178,1,1,1,1,3,0,0,1,0,672,0,5,677,0
69,147,61,313,192,1,0,0,0,0,0,0,0,0,714,0,0,714,0
70,178,27,160,136,0,0,0,1,0,0,0,0,0,502,0,0,502,0
71,177,57,373,218,3,2,0,0,1,1,1,1,2,837,0,1,838,0
72,260,64,293,202,0,1,0,0,0,0,0,2,0,822,0,2,824,0
73,139,29,182,81,2,0,0,0,0,0,0,0,0,435,0,1,436,0
74,133,43,204,150,2,1,1,0,0,0,0,0,0,534,0,1,535,0
75,350,54,325,247,2,0,0,0,1,0,1,0,1,981,0,4,985,0
76,286,66,276,251,3,2,0,0,0,1,1,2,0,888,0,2,890,0
77,259,34,227,139,2,0,0,0,0,0,0,0,1,662,0,2,664,0
78,164,46,250,122,2,0,0,1,1,0,1,1,1,589,0,0,589,0
79,199,31,215,179,0,1,0,0,0,0,1,0,0,626,0,4,630,0
80,260,69,272,254,2,2,1,0,1,0,1,0,1,864,0,2,866,0
81,147,60,207,103,0,0,1,0,1,0,0,0,1,521,0,1,522,0
82,218,33,166,190,1,2,0,0,1,3,2,0,1,617,0,1,618,0
83,243,62,297,164,1,0,0,1,1,2,0,0,0,771,0,3,774,0
84,160,20,156,114,0,0,2,0,0,0,0,0,1,453,0,1,454,0
85,188,18,138,208,4,0,1,0,0,0,0,0,0,557,0,6,563,0
86,353,38,177,232,1,4,0,0,1,0,0,0,0,806,0,3,809,0
87,353,104,227,203,3,1,1,1,0,0,0,0,1,896,0,2,898,0
88,272,84,354,236,3,0,0,0,0,0,0,0,1,950,0,2,952,0
89,293,76,245,168,2,0,1,0,4,0,0,0,0,790,0,3,793,0
90,168,40,176,102,0,0,0,0,0,0,0,0,0,486,0,2,488,0
91,318,73,236,248,6,1,1,1,1,0,0,2,0,889,0,5,894,0
92,296,44,258,214,3,2,1,0,1,1,0,0,0,821,0,6,827,0
93,321,82,276,220,3,0,1,1,0,0,1,0,0,905,0,1,906,0
94,274,83,313,262,6,0,2,1,1,2,0,1,1,947,0,3,950,0
95,167,50,182,187,1,2,1,0,0,0,0,0,0,590,0,2,592,0
96,279,31,166,266,0,3,0,0,2,3,1,0,1,752,0,6,758,0
97,398,7,7,79,0,0,0,0,0,0,0,0,0,491,0,2,493,0
98,276,45,203,230,0,2,0,0,0,0,0,1,0,758,0,4,762,0
99,211,25,149,254,5,3,0,0,0,0,2,0,0,650,0,1,651,0
100,231,33,141,222,4,1,0,0,0,0,0,0,0,632,0,2,634,1
101,191,43,149,172,0,0,0,0,1,1,0,0,0,557,0,4,561,0
102,395,51,227,264,2,0,1,0,1,1,0,0,1,943,0,1,944,0
103,191,24,129,183,1,0,0,0,1,1,0,0,0,530,0,2,532,0
104,199,30,156,151,1,0,0,1,0,0,0,0,1,539,0,1,540,0
105,328,52,231,268,8,5,0,0,1,0,2,0,0,895,0,2,897,0
106,151,20,284,128,2,0,0,0,0,1,0,0,0,586,0,3,589,0
107,212,51,343,141,2,0,3,0,1,0,0,0,0,754,0,1,755,0
108,218,85,158,267,1,0,1,2,1,0,0,3,1,737,0,1,738,0
109,169,46,114,157,1,0,0,0,0,1,1,0,2,492,0,0,492,0
110,373,82,166,249,6,0,1,0,1,1,1,0,1,882,0,3,885,0
111,283,55,165,316,6,0,1,1,2,0,1,2,1,835,0,3,838,0
112,295,73,170,284,3,0,0,0,1,2,1,0,0,829,0,3,832,0
113,190,52,92,148,0,0,0,0,0,1,0,0,0,484,0,2,486,0
114,176,58,157,195,0,1,0,0,1,1,0,0,0,591,0,2,593,0
115,234,67,232,207,5,0,0,1,1,1,1,0,1,751,0,3,754,0
116,259,103,198,238,3,0,0,0,0,2,1,0,1,805,0,2,807,0
117,286,61,147,210,3,15,0,0,0,6,0,0,0,728,0,2,730,0
118,276,52,211,178,0,21,0,0,0,0,0,1,0,739,0,1,740,0
119,118,28,94,122,2,13,0,0,0,0,0,0,0,377,0,0,377,0
120,198,19,260,112,1,10,0,1,1,0,0,1,1,605,0,3,608,0
121,322,32,218,202,1,0,0,0,0,0,0,0,1,776,0,3,779,0
122,110,29,85,60,1,0,0,0,0,0,0,1,0,286,0,3,289,0
123,310,31,295,222,4,4,0,0,0,1,0,0,3,871,0,3,874,0
124,151,13,174,91,0,0,0,0,0,0,0,1,0,430,0,1,431,0
125,175,20,292,112,2,6,2,0,0,0,0,0,0,610,0,1,611,0
126,123,24,207,117,2,11,0,0,0,0,0,0,0,485,0,0,485,0
127,303,55,249,238,2,9,0,0,1,4,0,0,1,863,0,1,864,0
128,291,43,307,205,3,3,1,0,1,0,1,1,3,860,0,2,862,0
129,202,23,293,198,2,0,0,0,0,0,0,2,2,722,0,2,724,0
130,173,36,186,141,1,0,0,0,0,0,0,1,0,539,0,0,539,0
131,132,24,216,129,1,1,0,0,0,0,0,1,0,504,0,1,505,0
132,223,72,295,179,1,0,1,0,0,0,1,0,1,773,0,2,775,0
133,255,67,332,195,0,0,0,0,1,0,0,2,1,853,0,3,856,0
134,154,35,251,131,0,3,0,1,0,0,0,0,2,577,0,1,578,0
135,353,44,253,258,2,20,0,0,0,0,0,0,0,930,0,5,935,0
136,249,48,281,196,4,0,2,0,0,0,0,1,0,782,0,2,784,0
137,334,43,140,237,4,1,1,0,1,0,0,0,1,762,0,0,762,0
138,228,60,266,256,1,2,2,1,2,1,1,1,0,821,0,3,824,0
139,281,49,205,212,1,3,1,0,0,3,0,0,1,756,0,4,760,0
140,365,43,127,231,1,1,0,0,1,0,0,0,0,770,0,3,773,0
141,229,51,122,146,1,1,0,0,3,0,0,0,0,553,0,2,555,0
142,362,41,242,243,2,4,2,1,1,0,2,0,2,903,0,1,904,0
143,340,49,263,344,3,7,1,1,1,0,0,0,1,1011,0,2,1013,0
144,365,65,195,366,3,0,1,4,0,0,1,0,3,1003,0,7,1010,0
145,349,72,226,308,5,3,0,0,2,1,0,0,0,966,0,3,969,0
146,323,39,191,166,1,4,1,0,0,0,1,1,0,727,0,4,731,0
147,224,25,205,92,0,5,0,0,0,0,0,0,0,551,0,2,553,0
148,162,46,106,142,3,5,1,0,0,0,0,0,0,466,0,2,468,0
149,248,48,296,241,4,3,4,0,0,1,0,0,0,847,0,5,852,0
150,194,48,300,159,2,5,1,0,0,1,0,0,0,711,0,1,712,0
151,281,37,194,273,0,2,1,0,0,0,1,0,1,790,0,3,793,0
152,192,21,95,164,1,6,2,0,0,1,0,0,1,483,0,0,483,0
153,273,28,176,230,1,4,2,0,1,0,0,2,0,719,0,3,722,0
154,115,36,115,177,2,2,1,0,1,0,0,5,0,455,0,1,456,0
155,281,52,266,267,4,9,2,1,0,2,0,0,2,888,0,3,891,0
156,111,9,126,93,1,0,1,0,0,0,0,0,0,342,0,3,345,0
157,163,43,156,227,3,0,0,1,0,0,1,3,1,599,0,3,602,0
158,310,39,190,269,4,7,0,0,0,0,0,1,1,822,0,5,827,0
159,147,26,160,165,1,0,0,0,0,1,1,3,0,505,0,2,507,0
160,355,101,198,295,4,2,2,0,1,2,0,0,1,962,0,4,966,0
161,304,39,130,199,1,0,1,0,0,0,0,1,1,676,0,3,679,0
162,182,99,149,113,1,1,1,0,2,1,0,0,2,551,0,2,553,0
163,315,93,282,198,2,1,1,1,0,0,0,0,1,894,0,3,897,0
164,331,75,147,205,4,0,0,0,0,1,0,0,2,766,0,1,767,0
165,350,107,256,228,1,1,1,0,0,0,0,1,0,946,0,1,947,0
166,205,26,151,146,0,1,1,0,0,0,0,0,0,530,0,3,533,0
167,230,45,219,141,0,0,0,0,0,1,0,0,0,636,0,1,637,0
168,301,49,301,279,2,3,0,0,1,0,0,1,4,944,0,6,950,0
169,295,54,100,130,1,3,0,0,0,0,0,0,1,584,0,3,587,0
170,220,31,178,157,1,0,0,0,1,0,0,0,0,588,0,3,591,0
171,426,54,247,196,0,0,1,0,0,0,0,0,0,924,0,4,928,0
172,189,15,70,73,0,0,0,0,1,0,0,0,0,348,0,0,348,0
173,243,71,178,166,0,3,0,0,0,1,0,1,0,663,0,3,666,0
174,194,60,211,174,2,0,2,0,2,1,0,1,2,650,0,5,655,0
175,268,90,323,249,1,0,0,0,0,0,4,0,1,937,0,0,937,0
176,197,57,247,169,2,2,0,0,0,1,0,1,0,677,0,4,681,0
177,188,18,55,170,1,0,0,0,0,1,0,0,0,433,0,3,436,0
178,263,31,236,226,5,5,1,0,0,1,0,0,1,769,0,2,771,0
179,205,48,189,228,6,1,0,0,2,1,1,3,2,686,0,1,687,0
180,117,26,171,101,0,0,0,0,0,0,0,0,2,417,0,0,417,0
181,190,36,195,221,0,2,2,0,0,1,0,1,0,649,0,1,650,0
182,142,28,162,87,0,0,1,0,0,0,0,1,1,422,0,1,423,0
183,183,47,123,215,1,0,3,0,1,0,1,0,1,575,0,0,575,0
184,311,15,67,110,1,0,0,0,1,0,0,0,0,505,0,1,506,0
185,454,9,99,139,0,0,0,1,0,0,0,0,0,702,0,1,703,0
186,244,30,208,234,1,0,1,0,1,1,0,0,0,720,0,4,724,0
187,233,47,197,149,1,0,0,1,2,0,0,0,1,632,0,3,635,0
188,183,43,187,131,0,0,0,0,0,0,0,0,0,544,0,1,545,0
189,348,46,328,172,0,1,1,0,0,0,0,1,0,897,0,1,898,0
190,311,73,267,167,0,0,0,0,0,0,1,1,2,822,0,1,823,0
191,200,50,253,257,2,0,2,0,0,0,1,1,0,767,0,4,771,0
192,147,23,256,172,2,0,0,0,0,0,1,3,2,606,0,3,609,0
193,199,31,211,142,3,0,1,0,0,0,0,2,0,590,0,1,591,0
194,228,21,160,169,4,2,0,0,0,1,1,0,0,586,0,4,590,0
195,268,60,238,307,3,2,2,1,2,1,0,0,1,886,0,1,887,0
196,123,15,141,170,3,0,1,0,2,0,0,1,3,460,0,4,464,0
197,355,37,170,270,1,2,0,0,0,0,1,1,1,838,0,1,839,0
198,143,30,115,116,2,1,0,0,0,2,0,0,0,409,0,1,410,0
199,163,45,173,146,0,0,0,0,1,0,0,0,0,528,0,1,529,0
200,252,58,132,129,3,0,0,0,0,0,0,1,1,576,0,4,580,0
201,237,64,271,188,7,1,1,1,0,0,0,0,3,773,0,7,780,0
202,282,54,256,147,9,2,0,0,0,1,0,2,0,756,0,6,762,0
203,288,15,110,213,3,1,4,0,1,0,1,0,1,637,0,3,640,0
204,317,40,156,308,5,1,0,0,1,2,1,0,1,832,0,8,840,0
205,288,41,213,301,2,0,0,0,0,1,1,1,1,849,0,4,853,0
206,239,32,141,198,0,0,1,2,0,0,0,0,1,616,0,2,618,0
207,255,41,145,208,3,3,0,0,0,3,1,2,0,661,0,1,662,0
208,182,26,81,108,2,0,0,0,0,0,0,0,1,400,0,1,401,0
209,234,23,112,235,2,0,0,1,0,2,2,0,1,614,0,2,616,0
210,218,30,119,270,6,1,1,0,1,0,0,2,0,648,0,2,650,0
211,168,34,132,203,2,1,0,0,2,1,2,1,1,548,0,2,550,0
212,235,26,124,141,0,1,0,0,0,0,0,0,0,527,0,1,528,0
213,131,32,141,273,2,4,0,0,0,1,2,0,1,587,0,1,588,0
214,199,24,129,190,0,0,1,1,1,0,0,1,0,546,0,3,549,0
215,270,37,199,205,2,1,2,0,0,2,0,1,3,726,0,6,732,0
216,302,40,138,427,4,2,3,0,2,4,1,2,2,929,0,6,935,0
217,170,30,159,168,0,0,2,0,1,1,0,2,0,533,0,8,541,0
218,201,22,117,151,4,1,0,0,0,0,1,1,1,500,0,0,500,0
219,275,27,114,256,3,1,0,0,0,0,0,0,0,676,0,2,678,0
220,244,35,159,288,2,8,0,0,3,0,0,0,1,740,0,1,741,0
221,341,37,213,245,4,0,1,0,1,3,0,1,2,849,0,10,859,0
222,215,17,195,222,1,1,1,0,0,2,2,2,2,661,0,6,667,0
223,259,27,180,182,2,0,0,0,0,0,0,0,1,652,0,4,656,0
224,434,32,74,149,1,0,0,0,0,0,0,0,0,690,0,6,696,0
225,392,45,191,297,3,3,0,2,2,0,1,0,3,940,0,5,945,0
226,193,38,199,219,2,1,2,0,1,0,0,0,1,656,0,3,659,0
227,128,10,100,89,0,1,1,0,1,1,1,0,0,332,0,0,332,0
228,169,14,95,254,4,1,0,0,0,0,0,1,0,538,0,0,538,0
229,353,21,167,254,4,0,1,1,0,0,1,0,0,802,0,5,807,0
230,276,55,231,199,1,0,1,0,0,2,1,0,0,766,0,1,767,0
231,197,35,117,174,0,0,1,0,0,0,0,0,0,524,0,1,525,0
232,193,10,143,102,2,0,0,0,0,0,0,0,0,451,0,2,453,0
233,197,43,158,150,0,0,0,0,0,0,0,0,0,549,0,3,552,0
234,227,17,130,159,2,0,1,1,0,0,0,0,2,539,0,1,540,0
235,314,51,239,370,6,2,2,2,2,0,2,1,4,997,0,2,999,0
236,149,10,123,144,3,0,0,0,0,0,0,0,0,429,0,3,432,0
237,176,30,223,181,0,0,0,0,1,0,0,0,1,612,0,2,614,0
238,187,26,246,193,2,7,0,0,0,1,0,1,0,663,0,0,663,0
239,173,17,185,123,0,0,1,0,0,0,0,0,1,500,0,0,500,0
240,390,66,201,322,0,0,0,0,2,1,1,1,0,987,0,8,995,0
241,260,18,96,109,1,1,1,0,0,0,0,1,0,488,0,2,490,0
242,364,51,260,253,1,0,1,0,1,0,0,0,0,931,0,4,935,0
243,279,31,212,229,2,2,0,0,0,0,1,1,0,758,0,2,760,0
244,282,33,205,194,5,1,1,0,0,2,0,0,1,724,0,2,726,0
245,445,28,134,273,9,2,1,0,0,0,0,0,0,893,0,2,895,0
246,667,13,29,146,0,0,2,0,1,0,1,1,0,860,0,3,863,0
247,363,24,186,253,3,3,4,0,1,1,0,0,0,838,0,5,843,0
248,160,49,221,243,6,0,0,0,2,0,1,0,1,683,0,1,684,0
249,323,18,251,356,6,0,2,1,3,0,2,0,0,963,0,1,964,0
250,471,15,159,186,0,2,0,0,0,2,0,0,0,837,0,3,840,0
251,344,44,307,238,0,0,1,1,0,0,0,0,0,935,0,3,938,0
252,241,30,224,222,4,0,1,0,1,0,1,1,0,727,0,7,734,0
253,272,48,123,217,0,0,0,0,1,1,0,0,0,663,0,1,664,0
254,309,35,180,248,2,0,0,0,0,0,1,0,1,777,0,3,780,0
255,322,28,161,301,1,0,2,0,1,1,0,0,0,818,0,1,819,0
256,436,33,166,319,5,4,1,0,0,1,1,0,1,968,0,3,971,0
257,253,28,114,203,1,0,2,0,1,0,0,0,1,604,0,4,608,0
258,241,19,136,192,1,0,0,2,0,0,0,0,0,593,0,5,598,0
