Polling Station No,UMADEVI. P,KUTTY (ALIAS) SUDHAKAR. A,LEKSHMANA SINGH. D,DR. SRIDHARAN. A,PERUMAL. K,LAKSHMI. N,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
191,24,145,149,141,1,0,460,0,5,465,0
192,17,169,135,158,1,0,480,0,0,480,0
193,22,239,105,170,2,0,538,0,3,541,0
194,27,219,100,168,1,3,518,0,4,522,0
195,30,201,104,116,0,1,452,0,0,452,0
196,24,261,103,147,0,1,536,0,1,537,0
197,33,269,119,267,2,0,690,0,3,693,0
198,38,175,125,118,1,2,459,0,2,461,0
199,32,180,126,120,0,1,459,0,1,460,0
200,23,269,148,167,2,0,609,0,4,613,0
201,37,279,171,119,0,1,607,0,2,609,0
202,19,318,130,160,2,1,630,0,4,634,0
203,18,185,161,175,4,1,544,0,2,546,0
204,33,356,189,183,1,1,763,0,6,769,0
205,23,353,95,176,0,0,647,0,1,648,0
206,8,163,50,89,1,1,312,0,1,313,0
207,23,214,117,145,2,0,501,0,4,505,0
208,35,237,106,90,0,0,468,0,0,468,0
209,33,226,85,61,0,0,405,0,0,405,0
210,31,223,175,100,0,0,529,0,0,529,0
211,10,160,147,81,1,0,399,0,0,399,0
212,25,270,160,153,0,1,609,0,1,610,0
213,22,254,184,106,1,0,567,0,0,567,0
214,22,298,118,101,0,0,539,0,1,540,0
215,20,141,71,65,0,1,298,0,0,298,0
216,19,315,138,144,1,1,618,0,3,621,0
217,17,381,122,147,1,0,668,0,1,669,0
218,13,383,74,139,1,2,612,0,0,612,0
219,25,253,159,186,1,1,625,0,0,625,0
220,32,218,135,148,1,2,536,0,0,536,0
221,25,285,175,179,1,1,666,0,2,668,0
222,19,280,125,168,0,0,592,0,0,592,0
223,24,393,172,179,1,1,770,0,0,770,0
224,26,292,137,167,2,0,624,0,3,627,0
225,20,358,103,120,0,0,601,0,2,603,0
226,16,240,59,82,1,1,399,0,0,399,0
227,26,219,96,110,3,2,456,0,2,458,0
228,16,218,89,85,1,1,410,0,0,410,0
229,10,261,133,120,1,0,525,0,2,527,0
230,12,139,63,64,1,0,279,0,2,281,0
231,6,170,49,44,3,2,274,0,1,275,0
232,23,390,102,146,2,3,666,0,0,666,0
233,13,133,64,71,0,1,282,0,4,286,0
234,29,252,104,129,1,2,517,0,0,517,0
235,28,293,127,166,4,1,619,0,2,621,0
236,13,233,144,70,1,1,462,0,1,463,0
237,14,139,46,74,0,0,273,0,0,273,0
238,16,239,100,156,0,2,513,0,0,513,0
239,13,148,89,76,2,0,328,0,0,328,0
240,17,183,84,113,3,1,401,0,1,402,0
241,7,107,66,63,0,1,244,0,0,244,0
