Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
20,20,21,138,179,0,1,157,0,0,1,1,0,1,0,0,1,500,0,2,502,0
21,21,38,80,196,2,0,181,0,0,0,0,1,0,2,1,0,501,0,3,504,0
22,22,55,214,325,1,0,235,0,0,1,1,0,3,1,1,0,837,0,0,837,0
23,23,37,256,304,2,0,236,1,0,1,0,0,2,4,0,0,843,0,1,844,0
24,24,37,148,237,2,0,173,1,1,0,0,1,1,1,0,0,602,0,2,604,0
25,25,41,173,186,4,2,249,1,0,0,0,0,0,2,1,1,660,0,4,664,0
26,26,35,189,393,1,0,203,0,0,0,0,0,1,0,2,0,824,0,3,827,0
27,27,57,141,255,4,2,334,0,0,0,1,1,2,2,1,1,801,0,1,802,0
28,28,32,175,216,4,0,260,0,1,0,1,1,2,2,0,1,695,0,4,699,0
29,29,33,228,245,1,0,198,1,1,0,0,0,1,0,0,1,709,0,0,709,0
30,30,32,152,244,0,0,150,0,0,0,0,0,0,1,1,0,580,0,2,582,0
31,31,21,95,276,1,1,136,1,1,0,0,1,2,1,2,0,538,0,2,540,0
32,32,29,143,309,2,3,178,0,0,0,0,0,1,1,0,0,666,0,2,668,0
33,33,53,96,317,1,0,135,0,0,0,0,0,2,0,1,0,605,0,1,606,0
34,34,83,94,305,0,0,155,0,1,0,0,0,1,0,2,0,641,0,0,641,0
35,35,53,165,365,2,0,208,0,0,0,0,0,2,3,0,0,798,0,2,800,0
36,36,38,130,238,6,0,220,0,4,1,1,0,0,1,2,1,642,0,0,642,0
37,37,55,297,318,1,1,261,2,16,2,0,3,0,3,4,1,964,0,3,967,0
38,38,40,171,184,3,0,203,2,8,0,0,3,2,0,2,0,618,0,0,618,0
39,39,48,94,323,2,0,139,0,0,0,1,0,1,2,0,0,610,0,4,614,0
40,40,79,108,308,1,0,156,0,0,0,0,1,3,3,0,1,660,0,1,661,0
41,41,17,50,205,0,1,187,1,0,0,0,0,1,1,1,0,464,0,1,465,0
42,42,38,27,421,4,2,309,0,0,0,1,2,2,0,1,1,808,0,5,813,0
43,43,20,29,207,4,4,233,0,0,0,0,3,3,2,1,2,508,0,2,510,0
44,44,17,45,243,1,0,223,2,0,0,0,0,2,2,0,1,536,0,2,538,0
45,45,24,65,452,2,1,372,1,1,1,0,1,2,0,3,0,925,0,0,925,0
46,46,28,104,350,2,1,283,0,0,0,1,1,1,0,0,0,771,0,6,777,0
47,47,27,81,251,0,1,204,1,0,1,0,0,4,0,2,0,572,0,0,572,0
48,48,17,31,358,1,1,171,0,0,0,0,0,2,1,2,1,585,0,1,586,0
49,49,31,66,458,0,3,268,1,0,0,1,1,0,2,0,0,831,0,4,835,0
50,50,31,87,395,0,1,244,1,1,0,0,1,2,1,0,0,764,0,2,766,0
51,51,24,121,117,1,3,171,0,0,0,0,0,1,0,0,0,438,0,2,440,0
52,52,17,100,193,4,1,150,0,0,0,0,0,3,1,1,1,471,0,4,475,0
53,53,27,70,377,4,1,218,0,0,0,0,0,1,2,1,2,703,0,3,706,0
54,54,30,79,401,3,0,177,1,0,0,0,1,1,2,0,0,695,0,2,697,1
55,55,48,95,332,7,2,364,0,1,1,1,1,1,1,0,1,855,0,4,859,0
56,56,30,78,286,4,0,269,1,0,0,1,1,3,1,0,0,674,0,1,675,0
57,57,21,65,238,2,0,241,0,0,0,0,0,0,3,0,0,570,0,0,570,0
58,58,20,60,286,3,0,197,0,0,0,0,1,2,2,1,0,572,0,0,572,0
59,59,21,94,212,3,1,208,0,0,0,1,2,1,1,0,0,544,0,1,545,0
60,60,19,57,179,1,2,153,0,0,0,0,0,0,1,0,2,414,0,4,418,0
61,61,21,41,200,1,0,175,0,0,0,0,0,1,1,0,0,440,0,0,440,0
62,62,17,71,200,2,0,135,0,0,0,0,1,0,1,0,0,427,0,0,427,0
63,63,18,54,362,1,1,136,0,0,0,0,0,1,0,0,0,573,0,0,573,0
64,64,30,84,443,1,4,243,0,0,0,1,0,0,3,0,3,812,0,4,816,0
65,65,47,106,281,2,0,358,0,0,0,0,0,3,1,0,0,798,0,3,801,0
66,66,26,65,239,1,2,318,1,0,1,1,2,2,2,0,2,662,0,4,666,0
67,67,59,83,252,1,3,358,2,1,1,0,0,0,2,0,0,762,0,0,762,0
68,68,30,81,268,0,3,291,1,0,1,0,0,3,2,0,0,680,0,3,683,0
69,69,32,51,185,1,0,237,0,0,0,0,0,1,1,0,0,508,0,2,510,0
70,70,23,55,217,0,1,183,0,0,0,2,0,0,1,3,0,485,0,2,487,0
71,71,20,84,253,1,3,210,1,0,0,0,0,0,1,0,1,574,0,6,580,0
72,72,23,73,176,0,1,228,0,0,0,0,0,0,1,0,0,502,0,5,507,0
73,73,18,56,142,0,1,165,0,0,0,0,0,0,0,0,0,382,0,6,388,0
74,74,36,62,238,0,1,285,1,1,2,0,0,4,3,1,1,635,0,3,638,0
75,75,22,78,251,1,0,298,0,1,0,0,0,1,0,0,0,652,0,4,656,0
76,76,34,130,271,3,1,347,0,0,0,0,2,1,1,0,0,790,0,7,797,0
77,77,16,67,133,0,0,193,1,0,0,1,0,0,1,0,0,412,0,1,413,0
78,78,26,70,123,0,0,157,2,0,0,0,1,1,0,0,0,380,0,2,382,0
79,79,50,115,245,2,2,377,1,0,2,0,1,3,2,0,0,800,0,8,808,0
80,80,28,94,218,4,2,335,0,0,0,2,0,1,3,1,1,689,0,6,695,0
81,81,39,125,202,0,3,323,1,0,0,0,1,5,0,2,0,701,0,2,703,0
82,82,19,132,183,1,1,276,0,1,0,0,0,3,2,0,0,618,0,7,625,0
83,83,24,62,134,1,2,226,0,0,0,1,0,1,0,1,0,452,0,4,456,0
84,84,35,70,163,2,0,201,0,0,0,0,0,1,0,0,1,473,0,2,475,0
85,85,19,73,183,4,3,266,0,0,0,0,1,1,1,0,0,551,0,7,558,0
86,86,12,28,352,2,5,265,0,1,0,1,2,1,1,4,0,674,0,5,679,0
87,87,21,48,200,2,6,221,0,1,0,1,0,1,2,0,0,503,0,2,505,0
88,88,21,53,257,0,1,275,1,0,0,0,1,1,2,0,0,612,0,4,616,0
89,89,21,51,186,2,0,179,0,0,0,1,0,1,0,0,0,441,0,0,441,0
90,90,9,47,316,1,1,153,0,0,0,0,0,0,1,0,0,528,0,0,528,0
91,91,29,63,233,1,1,258,0,0,1,0,1,2,1,1,0,591,0,3,594,0
92,92,19,91,226,3,5,281,0,1,1,0,0,5,2,3,1,638,0,5,643,0
93,93,19,54,239,1,0,241,0,1,0,0,0,1,1,0,0,557,0,4,561,0
94,94,44,96,258,1,0,362,1,0,1,0,1,0,2,0,1,767,0,5,772,0
95,95,22,53,183,2,0,197,0,0,0,0,0,0,0,0,0,457,0,2,459,0
96,96,42,76,290,1,2,314,0,3,0,1,0,0,2,0,1,732,0,4,736,0
97,97,10,61,248,1,1,244,0,0,0,0,0,1,1,0,0,567,0,2,569,0
98,98,19,39,176,1,1,208,0,1,0,0,0,1,0,1,0,447,0,4,451,0
99,99,48,85,266,0,2,282,2,3,0,0,1,0,0,0,0,689,0,2,691,0
100,100,41,67,197,1,2,179,0,0,1,0,1,0,0,0,0,489,0,6,495,0
101,101,33,66,178,0,1,215,0,0,0,0,1,3,0,1,0,498,0,6,504,0
102,102,33,87,158,2,1,221,0,0,1,0,1,1,2,1,0,508,0,4,512,0
103,103,23,76,215,3,0,265,3,1,1,1,0,3,2,1,1,595,0,1,596,0
104,104,26,75,160,1,1,292,1,1,1,0,0,2,2,1,1,564,0,3,567,0
105,105,25,84,174,0,0,239,1,2,0,0,0,2,2,0,0,529,0,3,532,0
106,106,44,133,242,1,0,286,0,0,0,0,0,3,1,0,1,711,0,4,715,0
107,107,48,132,239,5,1,363,1,1,0,0,1,3,2,0,0,796,0,3,799,0
108,108,26,94,185,0,1,205,0,1,0,1,0,2,3,0,1,519,0,1,520,0
109,109,28,87,170,1,0,191,1,1,0,0,0,0,1,0,0,480,0,3,483,0
110,110,17,119,185,1,1,340,2,0,0,0,1,2,0,0,3,671,0,0,671,0
111,111,26,85,174,1,1,226,1,0,0,0,0,0,0,0,0,514,0,1,515,0
112,112,22,81,144,2,3,300,0,2,0,0,0,1,0,2,1,558,0,1,559,0
113,113,23,120,121,1,0,201,0,0,1,0,0,3,0,0,0,470,0,1,471,0
114,114,17,58,278,3,3,377,0,1,0,1,1,0,0,0,0,739,0,3,742,0
115,115,19,57,183,4,2,251,1,0,0,0,0,2,0,0,0,519,0,1,520,0
116,116,17,49,154,3,2,228,0,1,0,0,0,2,1,1,1,459,0,7,466,1
117,117,15,70,147,2,1,206,1,0,0,1,0,0,2,0,2,447,0,2,449,0
118,118,22,84,150,3,2,216,1,0,0,0,2,0,3,1,0,484,0,2,486,0
119,119,22,64,139,3,1,179,1,0,0,0,0,0,4,0,0,413,0,3,416,0
120,120,22,122,158,2,2,245,0,0,0,1,1,0,1,1,0,555,0,0,555,0
121,121,32,88,204,3,1,280,0,0,0,1,0,1,0,0,0,610,0,1,611,0
122,122,44,82,221,1,0,241,0,1,0,1,0,1,0,0,0,592,0,3,595,0
123,123,40,119,254,2,2,284,0,0,0,0,0,2,2,1,0,706,0,2,708,0
124,124,36,328,284,2,4,260,1,0,0,1,0,1,3,0,1,921,0,3,924,0
125,125,26,132,254,1,2,322,2,1,0,0,1,2,2,2,0,747,0,3,750,0
126,126,36,124,246,5,4,340,2,0,0,0,0,3,3,2,1,766,0,5,771,0
127,127,28,160,270,3,7,509,3,0,0,0,2,5,0,2,2,991,0,5,996,0
128,128,27,116,188,1,2,270,0,2,1,0,0,4,2,1,0,614,0,2,616,0
129,129,20,77,210,1,3,217,2,0,0,0,1,0,2,0,0,533,0,3,536,0
130,130,26,249,283,0,1,251,3,1,0,0,0,3,1,2,0,820,0,2,822,0
131,131,34,180,214,3,2,321,0,0,0,1,2,3,0,0,0,760,0,2,762,0
132,132,21,133,211,2,1,283,1,0,0,0,0,2,1,0,1,656,0,4,660,0
133,133,33,232,270,1,0,319,1,1,2,1,0,0,0,1,0,861,0,8,869,0
134,134,6,53,269,2,12,218,1,0,0,0,0,3,4,2,1,571,0,4,575,0
135,135,19,143,174,2,2,191,1,0,0,0,0,1,3,1,0,537,0,2,539,0
136,136,65,281,241,4,0,305,0,0,0,0,1,1,1,1,0,900,0,2,902,0
137,137,9,97,161,2,2,199,0,0,0,1,1,2,1,1,1,477,0,1,478,0
138,138,24,222,188,1,1,348,2,0,0,0,1,0,2,3,0,792,0,2,794,0
139,139,24,61,225,1,1,189,1,0,0,0,0,0,1,1,0,504,0,0,504,0
140,140,55,89,259,1,1,203,0,0,1,0,1,2,3,0,0,615,0,3,618,0
141,141,63,81,469,0,1,224,0,0,1,0,0,0,2,2,2,845,0,7,852,0
142,142,48,183,211,1,1,301,1,0,0,0,1,2,0,1,3,753,0,3,756,0
143,143,21,158,273,2,0,200,1,1,0,0,0,5,2,2,1,666,0,0,666,0
144,144,31,136,297,3,0,245,1,0,0,0,2,0,2,2,1,720,0,4,724,0
145,145,42,230,253,2,2,407,1,0,0,0,1,1,2,1,0,942,0,2,944,0
146,146,33,279,384,0,0,230,0,0,0,1,0,3,1,0,1,932,0,1,933,0
147,147,31,178,386,3,1,286,1,0,1,0,0,1,4,0,0,892,0,1,893,0
148,148,29,72,288,2,1,164,1,0,0,0,0,0,2,0,0,559,0,4,563,0
149,149,46,34,348,3,1,137,0,1,1,0,0,1,0,0,1,573,0,2,575,0
150,150,27,227,377,2,0,242,0,0,1,1,0,4,2,1,1,885,0,0,885,0
151,151,23,251,271,4,1,159,2,1,0,0,0,1,5,1,1,720,0,6,726,0
152,152,39,137,282,6,0,129,1,0,1,0,1,2,0,3,0,601,0,3,604,0
153,153,49,157,256,2,0,159,1,1,0,1,0,1,0,0,0,627,0,1,628,0
154,154,33,78,329,5,1,135,0,1,0,0,1,2,3,0,0,588,0,2,590,0
155,155,30,68,315,1,0,170,1,0,0,0,0,0,0,2,1,588,0,0,588,0
156,156,56,96,330,0,1,167,1,0,0,0,0,0,4,1,0,656,0,5,661,0
157,157,25,198,257,0,0,245,1,0,0,2,0,1,0,1,0,730,0,4,734,0
158,158,31,186,254,2,2,199,0,0,0,2,1,2,3,2,1,685,0,4,689,0
159,159,18,180,161,1,2,171,0,2,0,2,1,0,2,0,0,540,0,3,543,0
160,160,44,62,405,5,0,226,1,0,0,1,2,2,4,3,2,757,0,5,762,0
161,161,34,106,169,1,1,162,5,2,0,0,0,1,4,3,1,489,0,4,493,0
162,162,46,106,495,8,2,266,0,0,0,0,1,1,3,2,2,932,0,2,934,0
163,163,35,133,416,8,1,187,0,0,0,1,0,6,7,3,0,797,0,3,800,0
164,164,37,113,303,2,3,191,0,0,0,0,1,0,3,0,0,653,0,3,656,0
165,165,26,44,276,4,2,97,0,0,0,0,0,0,5,1,1,456,0,0,456,0
166,166,18,110,271,2,2,203,0,1,0,0,0,1,4,2,2,616,0,1,617,0
167,167,31,219,201,2,3,218,2,0,0,1,0,5,1,1,0,684,0,1,685,0
168,168,9,167,169,0,2,155,0,1,1,0,0,0,0,1,1,506,0,1,507,0
169,169,15,153,162,1,0,139,0,1,0,0,0,1,1,0,0,473,0,0,473,0
170,170,34,168,474,2,0,219,0,0,0,0,0,2,1,0,0,900,0,3,903,0
171,171,36,131,382,5,2,148,0,0,0,0,0,0,1,0,0,705,0,0,705,0
172,172,34,111,257,3,1,157,1,0,0,0,0,1,2,0,1,568,0,2,570,0
173,173,34,335,135,0,2,122,0,0,0,0,0,1,2,1,3,635,0,1,636,0
174,174,37,145,213,4,3,305,0,0,0,1,0,1,1,1,1,712,0,0,712,0
175,175,14,107,259,1,1,261,3,1,1,0,0,2,1,0,0,651,0,3,654,0
176,176,10,125,239,2,1,157,0,1,0,0,0,2,1,1,1,540,0,2,542,0
177,177,13,148,146,0,0,152,0,0,1,0,0,3,0,0,0,463,0,0,463,0
178,178,36,169,186,0,0,237,0,1,0,0,0,0,0,0,0,629,0,2,631,0
179,179,23,167,176,1,0,276,0,0,0,0,0,3,1,1,0,648,0,2,650,0
180,180,31,135,163,0,1,266,0,1,0,1,2,1,2,0,0,603,0,3,606,0
181,181,30,172,219,2,0,307,0,0,0,0,0,1,2,0,0,733,0,1,734,0
182,182,41,153,392,1,1,351,0,0,0,0,2,3,5,1,2,952,0,6,958,0
183,183,33,115,308,4,2,243,2,1,0,0,0,3,4,3,1,719,0,7,726,0
184,184,40,204,161,2,0,199,2,11,2,2,2,2,2,2,1,632,0,2,634,0
185,185,23,211,197,4,0,212,3,4,1,1,1,4,4,2,1,668,0,0,668,0
186,186,30,152,173,1,4,184,0,14,0,0,0,3,1,1,0,563,0,0,563,0
187,187,8,281,284,0,4,269,1,1,1,1,1,2,0,1,0,854,0,1,855,0
188,188,37,93,204,2,2,157,0,2,0,0,1,2,0,0,0,500,0,2,502,0
189,189,26,167,187,1,1,156,0,1,0,1,2,1,5,2,2,552,0,0,552,0
190,190,52,112,250,3,2,173,1,2,1,0,0,1,7,0,0,604,0,2,606,0
191,191,24,193,253,1,7,364,0,2,0,2,2,2,2,0,0,852,0,1,853,0
192,192,16,184,141,0,1,139,2,0,0,0,0,0,0,0,2,485,0,0,485,0
193,193,12,162,155,2,0,157,0,0,0,0,0,2,3,1,0,494,0,1,495,0
194,194,22,234,217,3,0,143,0,1,0,1,3,2,1,1,1,629,0,3,632,0
195,195,21,94,199,1,2,155,0,0,0,0,0,2,3,0,2,479,0,1,480,0
196,196,13,162,140,0,1,211,0,0,0,0,1,0,0,0,0,528,0,4,532,0
197,197,16,119,247,0,1,141,0,1,0,0,0,0,0,1,0,526,0,1,527,0
198,198,10,141,161,0,0,117,0,0,0,0,0,1,1,0,0,431,0,2,433,0
199,199,12,274,235,4,1,223,0,0,0,1,0,2,0,0,2,754,0,2,756,0
200,200,58,198,253,7,1,230,3,0,0,0,0,3,2,0,0,755,0,1,756,0
201,201,58,138,356,6,1,211,0,1,0,1,0,1,1,3,1,778,0,0,778,0
202,202,29,275,268,1,1,184,0,0,0,0,1,1,3,1,2,766,0,0,766,0
203,203,11,170,131,2,0,130,0,0,0,0,1,1,0,0,1,447,0,0,447,0
204,204,11,177,195,0,0,172,0,1,0,0,0,0,0,0,0,556,0,1,557,0
205,205,72,55,399,2,2,220,0,0,1,1,0,2,2,1,0,757,0,4,761,0
206,206,22,109,221,0,1,141,0,0,0,0,0,1,1,2,0,498,0,1,499,0
207,207,55,153,418,5,1,180,0,0,0,1,1,1,1,1,1,818,0,2,820,0
208,208,21,110,342,2,1,188,1,0,0,0,0,3,1,0,1,670,0,4,674,0
209,209,41,80,339,4,1,85,1,0,0,0,0,0,3,0,0,554,0,5,559,0
210,210,15,154,325,0,0,152,0,0,0,0,0,1,2,3,2,654,0,2,656,0
211,211,101,73,553,2,1,156,0,1,0,0,0,1,4,0,1,893,0,1,894,0
212,212,35,181,354,6,0,270,0,0,1,1,1,1,4,0,2,856,0,2,858,0
213,213,53,76,299,1,1,133,0,1,0,0,0,0,3,1,0,568,0,2,570,0
214,214,3,32,103,0,0,40,0,0,0,0,0,1,0,1,0,180,0,0,180,0
215,215,43,198,307,2,3,226,0,0,0,1,0,1,1,1,0,783,0,2,785,0
216,216,47,203,239,2,1,228,1,0,0,1,0,0,1,0,1,724,0,3,727,0
217,217,45,124,375,1,0,187,0,0,0,0,0,1,2,2,0,737,0,1,738,0
218,218,30,113,241,0,0,310,0,1,1,0,1,5,0,0,0,702,0,5,707,0
219,219,27,75,128,2,1,310,1,1,0,1,0,0,1,0,0,547,0,2,549,0
220,220,23,61,178,1,0,303,0,0,0,0,0,2,1,0,0,569,0,0,569,0
221,221,23,50,121,0,0,228,0,0,0,0,1,2,0,1,0,426,0,0,426,0
222,222,34,85,142,0,0,190,1,0,0,0,0,0,2,0,0,454,0,4,458,0
223,223,12,57,133,0,0,178,1,0,1,0,0,1,0,0,0,383,0,4,387,0
224,224,24,108,299,2,1,424,0,0,1,0,1,1,1,2,0,864,0,8,872,0
225,225,44,58,221,4,0,311,0,1,1,0,0,0,0,0,3,643,0,3,646,0
226,226,31,67,162,0,1,251,0,0,0,0,0,0,1,0,0,513,0,4,517,0
227,227,30,72,295,3,4,418,2,0,1,1,2,2,1,0,2,833,0,4,837,0
228,228,30,108,212,4,3,283,1,0,0,1,0,2,0,0,0,644,0,2,646,0
229,229,18,75,181,0,0,268,0,0,0,2,0,3,0,0,0,547,0,0,547,0
230,230,25,55,149,0,0,215,1,0,0,1,0,1,1,1,0,449,0,1,450,0
231,231,26,94,186,2,1,230,0,0,0,0,1,2,1,0,0,543,0,0,543,0
232,232,15,66,113,2,2,192,0,2,0,0,0,2,1,1,2,398,0,2,400,0
233,233,19,75,121,0,0,174,0,0,0,1,0,1,0,1,1,393,0,6,399,0
234,234,25,96,137,1,0,207,0,1,0,0,0,0,1,0,1,469,0,3,472,0
235,235,15,115,134,0,1,124,0,0,0,0,0,0,0,0,0,389,0,3,392,0
236,236,12,216,165,1,1,222,0,0,0,1,0,1,0,1,1,621,0,4,625,0
237,237,26,144,196,1,3,227,1,1,1,0,0,0,0,0,1,601,0,8,609,0
238,238,24,113,320,3,2,383,1,1,0,0,1,4,3,3,3,861,0,3,864,0
239,239,29,210,184,0,1,173,2,0,0,0,0,0,0,0,1,600,0,3,603,0
240,240,85,178,342,3,1,87,0,4,0,0,0,2,2,0,0,704,0,1,705,0
241,241,37,211,264,1,3,338,2,0,0,0,1,4,2,5,0,868,0,2,870,0
242,242,64,127,371,4,1,213,0,1,0,0,3,2,4,1,0,791,0,3,794,0
243,243,44,48,154,2,1,177,0,0,0,0,0,2,0,1,0,429,0,2,431,0
244,244,35,41,136,0,2,174,1,0,0,0,0,0,1,0,1,391,0,3,394,0
245,245,52,47,206,0,1,174,1,2,0,0,0,0,1,0,0,484,0,1,485,0
246,246,55,65,190,1,1,189,0,0,0,0,0,1,2,0,0,504,0,1,505,0
247,247,50,230,171,1,1,214,0,1,0,0,0,2,0,0,1,671,0,6,677,0
248,248,14,169,59,0,1,111,0,0,0,0,0,1,0,0,0,355,0,2,357,0
249,249,16,121,111,3,0,174,0,0,0,2,1,2,0,0,0,430,0,0,430,0
250,250,53,126,179,0,1,281,0,1,1,0,1,2,2,0,0,647,0,3,650,0
251,251,74,146,415,1,1,355,0,0,0,1,0,1,0,0,0,994,0,1,995,0
252,252,44,63,173,2,0,187,0,0,0,1,0,0,0,1,0,471,0,2,473,0
253,253,37,112,126,0,0,214,1,0,0,0,2,1,0,0,0,493,0,5,498,0
254,254,14,244,283,3,1,365,2,1,0,0,1,1,2,2,2,921,0,3,924,0
255,255,90,145,336,2,4,253,2,0,0,0,0,1,2,0,0,835,0,5,840,0
256,256,57,289,249,7,1,273,1,0,0,0,0,2,0,0,0,879,0,2,881,0
257,257,36,101,326,1,1,213,2,1,0,0,1,3,4,1,2,692,0,5,697,0
258,258,37,180,218,2,0,232,0,0,0,0,2,0,0,0,1,672,0,1,673,0
259,259,49,185,219,0,0,248,1,0,1,0,1,2,0,0,1,707,0,4,711,0
260,260,46,149,304,3,1,355,0,0,0,0,1,2,3,2,0,866,0,1,867,0
261,261,78,189,275,5,2,382,1,0,1,2,2,2,0,4,3,946,0,7,953,0
262,262,67,69,210,3,1,199,0,0,3,0,0,3,3,0,0,558,0,2,560,0
263,263,45,138,285,2,1,285,2,1,0,0,0,1,2,0,2,764,0,2,766,0
264,264,59,85,264,2,1,201,1,1,1,1,0,2,2,0,0,620,0,1,621,0
265,265,32,126,182,2,1,198,0,1,0,0,1,2,2,0,0,547,0,1,548,0
266,266,29,120,196,1,0,185,0,2,1,1,0,0,1,0,2,538,0,2,540,0
267,267,25,173,257,2,0,209,1,0,0,0,1,1,0,2,0,671,0,5,676,0
268,268,61,139,291,0,0,251,0,2,0,0,0,1,1,1,1,748,0,3,751,0
269,269,72,42,400,0,1,246,2,2,0,0,1,0,1,0,2,769,0,0,769,0
270,270,37,156,234,5,0,220,1,0,0,0,0,0,5,1,2,661,0,5,666,0
271,271,38,123,323,10,0,390,1,0,0,0,0,1,4,2,1,893,0,6,899,0
272,272,15,27,147,1,0,219,0,0,2,1,2,2,1,2,1,420,0,5,425,0
273,273,46,85,284,0,0,330,0,0,0,1,0,1,0,0,0,747,0,5,752,0
274,274,41,90,486,7,1,335,0,0,0,0,1,3,2,0,0,966,0,1,967,0
275,275,45,134,236,9,1,361,1,1,0,0,3,3,1,0,0,795,0,0,795,0
276,276,52,122,229,1,0,221,0,0,0,0,0,0,4,0,0,629,0,5,634,0
277,277,35,149,234,1,1,248,0,0,0,0,1,2,2,2,0,675,0,3,678,0
278,278,56,156,411,2,1,266,2,0,0,1,1,3,4,1,2,906,0,1,907,0
279,279,31,152,264,4,2,179,0,0,0,2,0,0,2,0,0,636,0,2,638,0
280,280,26,178,340,4,1,193,0,1,0,2,0,0,4,3,0,752,0,4,756,0
281,281,7,172,93,2,0,215,1,0,0,1,1,1,1,0,0,494,0,3,497,0
282,282,7,173,111,0,1,191,1,0,0,0,0,0,1,1,0,486,0,2,488,0
283,283,14,184,238,1,2,377,3,1,2,0,0,4,0,1,0,827,0,6,833,0
284,284,8,158,217,0,2,183,0,1,0,0,0,2,2,2,0,575,0,3,578,0
285,285,5,163,145,0,1,122,0,0,0,0,1,0,1,2,0,440,0,3,443,0
286,286,9,417,33,0,1,132,0,0,0,0,1,0,2,2,0,597,0,2,599,0
287,287,19,315,78,3,0,258,0,0,0,0,2,3,0,1,1,680,0,1,681,0
288,288,32,398,185,3,2,235,0,0,0,1,0,1,1,0,2,860,0,2,862,0
289,289,10,215,166,0,1,223,1,0,0,0,1,3,1,0,1,622,0,2,624,0
290,290,11,184,105,0,0,227,1,0,0,0,1,2,0,2,0,533,0,1,534,0
291,291,9,145,159,0,1,244,1,0,0,0,0,1,2,1,0,563,0,1,564,0
292,292,19,205,216,4,1,242,0,0,0,2,1,1,1,4,1,697,0,2,699,0
293,293,29,178,205,2,1,168,0,0,0,0,0,5,1,9,1,599,0,0,599,0
294,294,43,104,210,2,1,268,1,1,0,0,1,0,3,0,1,635,0,3,638,0
295,295,14,104,292,2,0,191,0,0,0,0,0,1,3,2,0,609,0,1,610,0
296,296,32,269,210,1,0,200,0,0,0,0,1,0,0,1,3,717,0,5,722,0
297,297,60,32,292,2,1,175,0,0,0,0,0,2,4,0,0,568,0,2,570,0
298,298,69,27,279,2,1,162,0,1,0,0,0,0,0,1,0,542,0,3,545,0
299,299,100,73,425,1,0,318,0,1,0,0,0,1,2,2,0,923,0,4,927,0
300,300,56,55,234,4,0,216,0,0,0,0,0,0,1,0,0,566,0,2,568,0
301,301,36,24,311,1,2,238,1,0,0,0,0,0,1,0,0,614,0,0,614,0
302,302,49,36,282,0,2,192,0,0,1,0,0,0,0,1,0,563,0,1,564,0
303,303,37,67,238,3,0,149,0,0,0,0,0,1,1,0,0,496,0,3,499,0
304,304,52,45,239,1,0,166,0,2,0,1,0,1,1,1,0,509,0,1,510,0
305,305,92,91,466,1,0,176,0,0,0,0,0,0,2,0,0,828,0,7,835,0
306,306,43,64,293,2,3,184,1,0,0,0,0,0,5,0,0,595,0,6,601,0
307,307,45,96,312,2,0,174,0,2,1,1,1,3,4,1,0,642,0,7,649,0
308,308,30,36,401,1,1,154,1,0,0,0,1,1,0,1,0,627,0,4,631,0
309,309,69,87,297,1,0,204,1,1,0,0,0,2,5,0,1,668,0,0,668,0
310,310,20,100,149,2,0,240,1,2,0,1,0,3,1,1,0,520,0,2,522,0
311,311,36,144,124,0,2,325,0,0,0,2,0,1,0,1,0,635,0,0,635,0
