Polling Station No,Candidate_1,S .JARAGNAHT,N.P .HSENID,N .RAMUKHSENID,S .YMASAGNAR,K .UHTUMILAK,S .NAGURUMALAB,G .IHZIVRALAM,KARABUM ILA DEMAHOM,M .RAMUKAYAJIV,A .AHSAB NHOJ,P .LEVAHTUMA,S .NANHSIRKAMAR .RD,K .IVEDAKIHTRAK,N .IHTRUMAVASEK,D .LABANAHD,RAMUKHSENID,RAMUKHSENID,V .RAMUKHSENID,V .MAGNILAHAM,M .LEVANIHTAR,S .HSEMAR,K .INAMAHTNASAV,K .YMASADAKNEV,G .MALAHCATAKNEV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
65,65,155,17,127,0,0,186,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,488,0,3,491,0
66,66,165,40,222,0,1,327,3,0,0,0,0,0,0,0,0,2,1,1,3,0,0,4,0,0,769,0,0,769,0
67,67,187,20,119,2,0,171,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,504,0,2,506,0
68,68,224,35,160,0,0,226,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,650,0,5,655,0
69,69,306,34,199,1,2,213,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,756,0,7,763,0
70,70,118,20,299,1,3,212,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,657,0,4,661,0
71,71,146,25,159,0,0,205,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,536,0,6,542,0
72,72,149,25,214,1,1,220,1,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,0,1,618,0,3,621,0
73,73,92,25,196,1,3,200,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,522,0,1,523,0
74,74,108,20,237,3,1,224,0,0,0,0,0,0,1,1,2,0,6,1,0,0,0,0,0,0,604,0,0,604,0
75,75,175,26,190,2,0,156,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,553,0,3,556,0
76,76,98,18,308,2,0,137,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,564,0,2,566,0
77,77,21,31,187,1,1,299,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,546,0,1,547,0
78,78,44,14,228,1,1,258,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,2,0,0,554,0,0,554,0
79,79,109,28,239,1,0,307,0,0,0,1,2,0,1,0,0,1,0,0,3,1,0,0,1,1,695,0,3,698,0
80,80,121,26,240,0,1,285,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,676,0,2,678,0
81,81,76,17,193,0,2,349,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,2,644,0,0,644,0
82,82,58,21,223,0,2,278,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,588,0,3,591,0
83,83,59,12,230,1,1,141,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,447,0,3,450,0
84,84,54,26,263,1,1,243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,590,0,4,594,0
85,85,114,25,255,1,2,298,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,697,0,4,701,0
86,86,101,36,351,1,1,289,0,0,0,0,1,0,0,1,0,1,1,1,2,1,0,0,0,0,787,0,3,790,0
87,87,216,31,211,0,0,231,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,691,0,2,693,0
88,88,160,22,213,1,0,251,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,652,0,4,656,0
89,89,110,16,158,1,3,226,1,0,0,1,0,0,0,2,2,0,1,0,0,1,0,1,0,0,523,0,1,524,0
90,90,59,18,250,1,1,474,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,810,0,1,811,0
91,91,120,15,274,5,2,346,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,768,0,0,768,0
92,92,185,26,186,0,0,306,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,705,0,5,710,0
93,93,139,24,110,1,1,291,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,570,0,2,572,0
94,94,89,16,81,1,1,169,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,363,0,0,363,0
95,95,108,24,146,1,0,262,1,0,0,0,0,1,0,0,1,1,1,2,1,1,0,0,2,0,552,0,4,556,0
96,96,144,40,241,3,4,306,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,743,0,2,745,0
97,97,136,44,140,0,1,329,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,657,0,2,659,0
98,98,208,20,189,0,3,320,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,744,0,4,748,0
99,99,137,24,140,1,4,341,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,653,0,1,654,0
100,100,154,45,166,2,4,348,0,0,1,0,0,0,1,1,2,2,1,0,1,1,1,2,0,4,736,0,6,742,0
101,101,137,36,125,0,5,315,1,1,0,0,0,0,1,1,1,1,0,2,1,2,1,0,0,0,630,0,0,630,0
102,102,151,54,159,1,5,401,1,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,780,0,3,783,0
103,103,176,25,157,1,2,273,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,640,0,4,644,0
104,104,209,32,122,2,1,329,1,0,0,0,0,0,0,2,3,1,1,3,0,0,0,0,0,0,706,0,2,708,0
105,105,176,34,186,3,2,331,3,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,1,0,741,0,4,745,0
106,106,172,27,118,2,0,291,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,614,0,1,615,0
107,107,82,19,93,2,2,237,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,441,0,3,444,0
