Polling Station No,Candidate_1,. S . R A M) P US KB ( H T I J A,N A R .A M M) C . UN K KI . GL( I M A T,. T . L A M ) MK AT YN I( N A L A P,. K . N) K AM N T N( A K,. S . N A) RK DV NT ( E J A G,. V .) MK AM VP L( E S,. C . I N) K A V M A AT V( A H T,. P . N) K AL GK UM RM UL MD UA RN I( H T,. M . I A) LD AN MI A( N N A,. G . R A) MD UN KI N( U R A,. A . N A) SD RN AI ( V A L E,. M . L E) VD IN HI T( K A S,. V .) MD AN VI L( E S,. G . N A) YD AN RI D( N E S,. S . M A V) LD EN SI A( N A N G,. M . N A S) D A RN AI ( L I M A T,. S . I V ) LD E N S LI ( I M A T,. P . I) ND AN MI O( O P,. S . N A N) D N N A I V( I N A M,. A . K . N ) AD RN AI H( O N A M,. R . N A N) D H N S I I( R K L I V,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
59,59,3,252,32,1,174,363,2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,832,0,2,834
60,60,0,192,30,1,110,298,1,2,1,0,0,1,0,0,2,0,0,1,1,0,1,1,642,0,1,643
61,61,1,149,17,0,130,144,0,1,1,0,0,1,0,0,0,1,1,3,0,0,0,0,449,0,1,450
62,62,0,155,23,1,173,258,0,0,1,3,2,1,0,0,0,0,1,2,0,2,0,1,623,0,0,623
63,63,2,176,22,1,260,248,1,3,1,1,1,2,0,0,2,0,0,2,0,0,1,1,724,0,1,725
64,64,0,199,27,2,273,271,1,0,1,6,2,1,1,0,0,2,0,0,0,0,0,0,786,0,1,787
65,65,2,172,37,0,333,307,1,3,1,2,0,4,0,0,0,3,2,1,0,3,1,0,872,0,4,876
66,66,1,187,16,1,351,507,3,1,3,4,2,2,2,1,3,2,1,0,0,0,2,3,1092,0,1,1093
67,67,1,324,31,1,328,157,1,2,2,0,2,0,0,2,2,1,0,0,2,0,1,0,857,0,3,860
68,68,1,215,27,4,287,315,1,1,2,2,1,1,2,1,2,0,2,2,0,1,1,1,869,0,2,871
69,69,3,77,29,1,301,383,1,1,3,1,1,1,0,0,2,2,1,0,3,0,0,1,811,0,6,817
70,70,0,164,68,3,351,274,2,2,0,0,0,2,0,0,0,3,0,3,2,1,3,0,878,0,0,878
71,71,0,280,31,2,298,247,1,4,2,3,0,0,0,0,2,0,1,6,3,2,1,1,884,0,3,887
72,72,4,154,14,3,235,347,2,0,1,5,2,1,2,1,2,0,0,1,0,1,2,1,778,0,0,778
73,73,0,161,33,1,246,389,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,0,848,0,1,849
74,74,1,122,23,1,164,229,2,2,1,1,0,1,0,0,0,0,0,3,1,0,0,1,552,0,2,554
75,75,2,222,19,1,227,396,3,4,1,0,0,2,0,0,1,0,1,2,2,2,0,2,887,0,0,887
76,76,3,167,17,1,170,184,0,2,1,2,0,2,0,1,0,0,0,1,0,0,4,0,555,0,7,562
77,77,0,105,13,1,108,206,1,0,0,1,1,4,0,2,4,1,0,0,0,2,0,0,449,0,3,452
78,78,1,133,22,0,124,236,1,2,0,1,0,1,0,0,2,1,2,2,0,0,0,0,528,0,1,529
79,79,2,102,33,0,132,225,0,2,2,0,1,0,0,0,0,0,0,4,0,1,0,0,504,0,0,504
80,80,4,53,27,4,190,170,2,1,1,0,0,1,1,2,0,0,1,3,0,0,2,2,464,0,1,465
81,81,2,111,20,2,218,285,4,1,0,1,1,2,0,1,2,3,0,1,0,1,0,3,658,0,3,661
82,82,1,127,19,4,254,213,4,2,1,0,0,2,0,1,0,0,0,1,0,1,0,2,632,0,1,633
83,83,0,135,35,1,199,240,3,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,619,0,3,622
84,84,0,134,34,1,222,267,0,1,2,2,0,0,1,1,0,0,0,2,1,1,1,0,670,0,3,673
85,85,3,203,20,1,334,428,4,1,2,1,1,2,2,0,0,0,0,5,3,9,13,9,1041,0,4,1045
86,86,3,151,24,1,248,240,3,2,1,0,2,1,0,1,0,2,1,1,1,0,3,1,686,0,2,688
87,87,1,267,15,1,270,310,0,4,1,2,1,3,2,1,1,1,0,5,2,0,0,3,890,0,5,895
88,88,1,127,14,4,222,370,1,0,2,1,0,0,0,0,0,1,0,1,2,4,1,1,752,0,3,755
89,89,3,221,28,3,372,478,2,0,3,0,2,1,2,2,2,1,1,0,2,3,3,3,1132,0,4,1136
90,90,2,132,13,1,193,322,2,1,0,1,1,0,1,1,2,2,0,1,0,3,0,1,679,0,3,682
91,91,0,90,1,0,109,169,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,375,0,1,376
