Polling Station No,Candidate_1,M.NAGEMRAK,NAHTANIMAS.P.M,JARATAN NSN,ABMASANANGURIHT.P MAHTN,REDNUOG INAM,IMHSKALAYAJIV.R,MAGUMURA.K,LEVUNAMMI .R,NAYEKIHTRAK,MAHTWOG,JARATAN.T,YMASINALAP,NABIHTRAP.P,INAM.P,NARDNEJAR.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
115,115,42,246,420,1,245,1,0,0,0,0,0,1,2,1,1,960,0,5,965,0
116,116,32,160,437,2,178,1,0,0,0,0,1,1,1,0,0,813,0,4,817,0
117,117,8,165,179,1,162,0,0,1,0,1,0,1,0,2,2,522,0,2,524,0
118,118,10,99,228,0,69,1,0,0,0,0,0,1,0,1,0,409,0,4,413,0
119,119,16,161,330,1,148,1,1,0,1,0,0,2,1,0,1,663,0,1,664,0
120,120,12,227,387,2,163,2,1,0,2,0,0,2,1,1,0,800,0,3,803,0
121,121,12,109,247,1,94,0,1,0,2,0,0,0,0,5,0,471,0,1,472,0
122,122,22,89,166,0,109,1,1,0,0,0,0,1,1,0,2,392,0,2,394,0
123,123,6,206,180,2,245,1,0,0,0,0,0,1,0,0,0,641,0,1,642,0
124,124,17,160,399,2,214,1,0,0,1,0,0,0,1,1,2,798,0,3,801,0
125,125,26,228,350,3,323,0,0,0,1,1,0,0,0,1,2,935,0,4,939,0
126,126,32,222,331,1,285,0,1,0,0,0,3,1,1,0,1,878,0,4,882,0
127,127,24,191,238,0,393,1,0,1,0,0,0,1,2,2,2,855,0,1,856,0
128,128,5,112,209,3,114,1,0,1,1,0,0,1,0,1,1,449,0,0,449,0
129,129,24,324,324,1,161,0,0,1,0,1,1,2,1,1,1,842,0,0,842,0
130,130,14,226,147,0,187,1,0,0,0,0,0,0,0,1,0,576,0,3,579,0
131,131,28,319,222,3,298,1,1,0,0,0,0,0,2,1,1,876,0,3,879,0
132,132,19,243,206,3,246,1,0,1,1,0,0,0,0,0,0,720,0,0,720,0
133,133,12,188,134,0,137,0,0,0,0,0,0,0,1,1,1,474,0,0,474,0
134,134,15,287,425,1,261,1,0,1,0,1,0,3,3,1,0,999,0,4,1003,0
135,135,18,104,262,2,132,1,0,0,0,0,1,3,0,0,3,526,0,5,531,0
136,136,20,158,217,4,205,2,0,4,1,0,1,1,2,1,0,616,0,2,618,0
137,137,34,220,407,3,192,0,0,2,1,0,0,1,1,2,0,863,0,2,865,0
138,138,36,205,345,6,229,2,0,6,0,0,0,1,0,0,4,834,0,1,835,0
139,139,18,176,279,0,120,1,0,1,1,1,0,1,2,2,0,602,0,2,604,0
140,140,36,186,284,0,155,0,0,1,1,0,0,1,0,1,1,666,0,2,668,0
141,141,11,153,108,3,193,1,0,0,1,0,1,0,0,2,2,475,0,6,481,0
142,142,18,80,195,3,140,0,0,2,0,0,0,2,1,0,1,442,0,4,446,0
143,143,20,118,214,1,93,0,0,2,0,1,4,0,4,1,0,458,0,0,458,0
144,144,27,174,149,1,178,2,0,0,0,1,0,0,0,1,0,533,0,0,533,0
145,145,23,200,182,1,165,0,0,0,1,1,0,1,0,0,0,574,0,4,578,0
146,146,21,179,172,2,196,0,0,0,0,2,0,2,0,1,0,575,0,3,578,0
147,147,9,150,93,0,170,1,0,0,0,0,0,0,0,0,0,423,0,0,423,0
148,148,14,80,76,0,144,0,0,0,0,0,0,0,0,0,0,314,0,1,315,0
149,149,9,116,95,3,99,0,0,0,0,0,0,0,0,0,1,323,0,0,323,0
150,150,28,127,249,2,238,0,1,0,2,1,0,0,1,2,0,651,0,2,653,0
151,151,28,173,325,2,230,0,0,0,0,0,0,1,1,1,1,762,0,7,769,0
152,152,17,185,172,0,211,1,0,0,0,0,0,1,2,1,0,590,0,4,594,0
153,153,27,155,196,0,184,1,1,1,0,0,0,1,0,0,0,566,0,0,566,0
154,154,22,243,159,1,241,0,1,1,3,0,0,0,1,2,0,674,0,2,676,0
155,155,25,234,223,0,309,1,1,2,0,1,0,1,0,2,1,800,0,2,802,0
156,156,24,183,292,1,315,1,0,1,0,0,0,0,0,1,1,819,0,2,821,0
157,157,12,192,170,1,236,0,0,1,0,0,0,0,1,0,0,613,0,0,613,0
158,158,22,246,168,2,250,0,0,0,1,0,0,0,0,2,0,691,0,1,692,0
159,159,9,161,132,0,146,0,0,0,1,0,0,0,0,0,1,450,0,2,452,0
160,160,25,160,242,0,230,0,0,0,0,0,0,0,0,0,0,657,0,3,660,0
161,161,16,150,144,0,134,0,1,1,0,0,0,0,0,0,1,447,0,2,449,0
162,162,22,335,160,1,257,1,0,3,0,0,0,1,0,0,0,780,0,3,783,0
163,163,6,157,96,0,112,0,0,0,0,0,0,1,0,1,0,373,0,3,376,0
164,164,14,198,189,2,156,0,1,0,0,0,0,0,0,0,0,560,0,0,560,0
165,165,21,213,221,0,207,0,0,1,0,0,0,0,1,0,1,665,0,4,669,0
166,166,47,269,187,3,294,1,0,0,1,0,0,0,2,0,5,809,0,5,814,0
167,167,38,311,253,0,267,0,0,3,0,0,0,2,1,1,0,876,0,2,878,0
168,168,20,190,138,0,209,0,0,1,0,0,1,0,0,1,1,561,0,3,564,0
169,169,8,222,127,1,405,0,0,1,2,0,0,1,2,1,1,771,0,0,771,0
170,170,17,292,71,1,261,0,0,0,0,0,0,0,1,0,0,643,0,2,645,0
171,171,36,272,172,0,254,0,0,0,1,0,0,0,2,0,1,738,0,2,740,0
172,172,37,361,166,2,304,1,0,1,0,0,0,3,1,1,0,877,0,4,881,0
173,173,28,280,202,2,251,0,0,1,0,2,1,1,0,0,0,768,0,3,771,0
174,174,15,172,147,3,212,3,0,0,0,0,0,0,0,0,0,552,0,1,553,0
175,175,30,290,234,0,305,0,1,0,0,0,0,2,2,0,2,866,0,2,868,0
176,176,37,237,210,2,225,1,0,0,0,0,0,0,2,0,0,714,0,3,717,0
177,177,41,240,237,2,293,1,0,3,0,0,1,0,3,1,1,823,0,2,825,0
178,178,15,215,245,3,275,1,0,0,1,0,0,1,0,0,1,757,0,4,761,0
179,179,27,233,338,1,302,0,0,1,0,2,0,0,2,3,0,909,0,1,910,0
180,180,28,114,151,1,136,0,0,0,0,1,0,2,1,0,0,434,0,0,434,0
181,181,4,72,189,2,74,0,0,0,1,0,0,0,0,0,1,343,0,1,344,0
182,182,33,185,377,1,216,0,0,0,0,0,0,0,3,1,1,817,0,5,822,0
183,183,13,154,209,2,117,0,0,1,0,1,1,0,1,4,3,506,0,3,509,0
184,184,20,125,280,3,148,1,0,9,1,0,0,2,3,1,1,594,0,2,596,0
185,185,13,170,458,1,125,0,0,1,0,0,1,0,5,3,1,778,0,1,779,0
186,186,11,211,202,0,67,0,0,0,0,0,0,0,2,1,2,496,0,0,496,0
187,187,21,142,233,0,115,0,0,1,0,0,0,1,1,0,0,514,0,4,518,0
188,188,22,299,369,3,174,2,0,0,0,0,1,1,1,1,3,876,0,5,881,0
189,189,17,182,201,2,187,0,0,2,0,1,0,0,0,1,0,593,0,2,595,0
190,190,10,178,244,0,109,1,0,2,0,0,0,0,1,0,0,545,0,1,546,0
191,191,14,127,97,2,78,0,0,1,0,1,0,0,1,1,2,324,0,0,324,0
192,192,14,138,233,2,112,0,0,0,0,0,1,1,0,1,0,502,0,2,504,0
193,193,19,192,222,1,166,2,1,3,0,0,0,0,0,1,0,607,0,3,610,0
194,194,8,121,215,4,92,1,0,0,1,1,0,0,1,1,1,446,0,1,447,0
195,195,15,163,255,1,121,6,0,1,0,0,0,1,1,5,2,571,0,3,574,0
196,196,35,295,322,2,246,0,1,0,3,0,0,2,2,2,0,910,0,1,911,0
197,197,42,169,284,0,192,1,2,0,0,1,1,0,2,1,1,696,0,2,698,0
198,198,21,130,177,3,151,0,0,0,0,0,0,0,1,0,2,485,0,1,486,0
199,199,36,191,270,2,317,0,1,3,0,0,0,0,2,1,2,825,0,4,829,0
200,200,26,165,279,1,278,0,0,0,0,0,0,2,2,2,1,756,0,1,757,0
201,201,22,146,467,7,143,0,0,2,0,1,1,0,2,2,2,795,0,4,799,0
202,202,47,243,215,1,330,1,0,1,0,0,1,1,2,3,1,846,0,3,849,0
203,203,15,150,179,1,150,0,0,0,1,0,0,1,1,2,1,501,0,3,504,0
204,204,6,59,83,0,71,0,0,0,1,0,0,0,2,0,0,222,0,1,223,0
205,205,45,270,317,3,153,0,1,0,2,1,0,1,0,4,1,798,0,0,798,0
206,206,24,188,244,1,84,1,0,4,0,0,0,1,0,0,3,550,0,3,553,0
207,207,18,230,188,3,110,1,0,0,0,0,1,1,2,0,0,554,0,7,561,0
208,208,24,163,153,2,80,0,0,3,0,0,0,0,0,0,0,425,0,1,426,0
209,209,24,270,272,1,95,0,0,0,2,0,0,0,1,0,3,668,0,2,670,0
210,210,20,181,186,1,148,0,1,0,0,0,0,0,0,0,4,541,0,1,542,0
211,211,23,236,266,1,159,0,0,1,4,0,0,2,0,6,5,703,0,4,707,0
212,212,13,166,294,2,131,0,0,0,1,0,0,1,1,1,0,610,0,1,611,0
213,213,15,175,306,1,114,7,1,0,0,0,2,5,3,1,0,630,0,4,634,0
214,214,10,69,125,1,68,0,0,0,0,0,0,0,0,0,0,273,0,1,274,0
215,215,17,222,220,2,267,1,1,2,6,0,0,3,1,0,1,743,0,4,747,0
216,216,14,262,312,2,215,1,0,0,0,0,0,0,0,1,2,809,0,2,811,0
217,217,16,206,252,1,128,0,0,0,1,0,0,2,0,0,0,606,0,0,606,0
218,218,26,155,179,0,137,0,1,0,0,0,1,0,0,2,0,501,0,3,504,0
219,219,16,166,191,0,158,0,0,0,0,0,0,0,1,0,2,534,0,1,535,0
220,220,18,230,125,0,153,1,0,1,2,0,2,2,2,1,0,537,0,1,538,0
221,221,29,251,420,2,162,0,0,0,1,0,0,0,0,3,0,868,0,6,874,0
222,222,8,137,208,2,86,1,1,0,0,0,0,0,0,0,1,444,0,0,444,0
223,223,11,187,209,0,141,0,0,0,0,1,0,1,1,2,1,554,0,1,555,0
224,224,9,133,129,0,106,0,1,0,0,0,0,0,0,0,2,380,0,2,382,0
225,225,27,214,267,2,289,0,0,1,0,2,0,1,1,1,2,807,0,1,808,0
226,226,31,257,291,0,90,0,0,0,0,1,0,0,0,0,0,670,0,0,670,0
227,227,27,241,213,0,146,0,0,2,1,1,0,0,2,1,0,634,0,1,635,0
228,228,24,185,299,1,150,0,1,2,1,2,0,1,1,2,1,670,0,4,674,0
229,229,27,221,236,2,154,1,0,1,0,0,0,0,3,1,2,648,0,1,649,0
230,230,14,130,143,1,77,0,0,0,0,0,0,0,1,1,2,369,0,1,370,0
231,231,36,207,207,1,146,1,0,1,0,0,0,1,1,1,0,602,0,0,602,0
232,232,16,136,267,2,90,0,1,1,0,0,0,0,1,1,0,515,0,2,517,0
233,233,13,117,259,1,106,1,0,0,0,1,0,0,1,1,1,501,0,1,502,0
234,234,16,94,150,0,79,0,0,2,0,1,0,0,1,0,0,343,0,3,346,0
235,235,28,194,230,1,161,1,0,1,0,0,2,1,2,3,1,625,0,1,626,0
236,236,31,140,384,5,192,0,1,2,0,1,0,3,1,3,0,763,0,2,765,0
237,237,21,138,312,2,200,0,0,0,0,1,0,1,1,1,0,677,0,3,680,0
238,238,39,195,449,4,228,1,0,0,2,1,0,0,0,1,0,920,0,1,921,0
239,239,19,320,255,3,200,2,1,0,1,0,1,1,0,0,1,804,0,2,806,0
240,240,26,227,233,1,202,0,0,1,0,0,0,0,0,2,1,693,0,3,696,0
241,241,19,153,88,0,141,1,0,0,0,0,0,0,0,0,1,403,0,2,405,0
242,242,19,248,195,2,240,0,0,0,0,0,0,0,0,1,1,706,0,2,708,0
243,243,21,114,324,1,160,0,0,1,1,0,0,2,1,2,0,627,0,3,630,0
244,244,8,137,153,1,83,1,0,0,0,0,0,0,0,0,1,384,0,0,384,0
245,245,32,229,203,2,307,0,1,0,0,0,1,1,1,3,2,782,0,3,785,0
246,246,20,238,307,1,227,0,0,0,2,2,1,0,0,1,1,800,0,2,802,0
247,247,26,220,148,2,265,1,0,0,1,0,0,1,1,0,0,665,0,1,666,0
248,248,33,227,224,0,309,3,0,0,0,2,0,2,1,3,1,805,0,3,808,0
249,249,26,164,273,3,233,3,1,0,0,0,0,0,4,2,1,710,0,1,711,0
250,250,38,251,240,3,277,1,0,0,1,0,0,1,4,0,2,818,0,2,820,0
251,251,2,59,49,1,80,0,0,0,0,0,0,0,0,0,0,191,0,0,191,0
252,252,7,140,215,1,95,1,0,0,2,0,1,0,0,3,0,465,0,0,465,0
253,253,7,199,243,0,125,0,0,0,1,0,0,1,1,2,2,581,0,2,583,0
254,254,22,123,352,2,100,0,0,0,0,0,0,0,0,1,1,601,0,0,601,0
255,255,12,93,262,2,110,0,0,0,0,0,1,1,1,0,0,482,0,3,485,0
256,256,25,124,289,2,131,1,0,0,0,1,0,1,2,3,1,580,0,5,585,0
257,257,22,98,230,1,157,0,0,0,1,0,0,2,2,3,0,516,0,2,518,0
258,258,19,144,410,4,206,5,0,0,2,0,3,0,2,1,0,796,0,9,805,0
259,259,26,117,193,1,106,0,0,1,0,1,1,0,0,0,0,446,0,2,448,0
260,260,13,100,190,0,75,0,0,0,0,0,0,0,1,0,0,379,0,2,381,0
261,261,14,211,248,3,184,0,0,1,0,0,0,0,1,0,1,663,0,1,664,0
262,262,21,145,202,1,222,1,0,1,0,0,1,0,0,1,1,596,0,3,599,0
263,263,15,115,216,4,125,2,0,1,0,0,0,0,0,0,0,478,0,3,481,0
264,264,15,132,270,0,152,0,1,1,2,0,0,0,2,0,3,578,0,1,579,0
265,265,21,171,225,0,250,0,0,1,1,1,0,1,2,0,2,675,0,1,676,0
266,266,21,181,219,1,188,0,0,0,2,0,1,0,2,0,2,617,0,0,617,0
267,267,9,191,291,2,164,1,0,0,1,0,0,0,0,1,0,660,0,1,661,0
268,268,20,153,302,4,171,0,0,0,0,1,0,0,0,1,0,652,0,1,653,0
269,269,21,207,202,2,274,1,0,0,0,0,1,0,2,1,0,711,0,2,713,0
270,270,39,204,252,3,345,0,1,1,0,1,0,0,1,1,0,848,0,3,851,0
271,271,10,107,114,3,144,0,0,0,0,0,0,0,2,1,0,381,0,1,382,0
272,272,20,246,98,2,193,0,0,0,1,0,0,0,0,1,1,562,0,3,565,0
273,273,37,269,226,1,298,0,0,1,0,0,0,1,2,0,3,838,0,3,841,0
274,274,41,223,304,2,155,1,0,0,0,0,2,2,2,2,1,735,0,3,738,0
275,275,18,142,154,1,259,1,0,1,1,0,0,1,0,1,2,581,0,2,583,0
276,276,14,173,179,1,173,0,0,0,0,0,0,0,1,2,1,544,0,1,545,0
277,277,21,252,214,4,248,1,1,1,1,0,0,0,0,0,9,752,0,2,754,0
278,278,16,192,118,2,251,0,0,0,0,0,0,1,2,0,1,583,0,3,586,0
279,279,22,165,150,4,230,0,0,0,0,0,0,1,0,0,3,575,0,6,581,0
280,280,23,192,204,3,307,0,1,1,2,0,0,0,1,3,0,737,0,3,740,0
281,281,16,169,139,0,281,0,1,1,1,2,0,2,2,1,1,616,0,3,619,0
282,282,19,160,143,1,231,0,0,1,0,0,0,2,1,0,2,560,0,3,563,0
283,283,33,243,257,1,268,2,0,0,0,0,1,1,1,1,3,811,0,4,815,0
284,284,13,350,85,1,317,0,0,1,1,0,1,1,1,3,6,780,0,3,783,0
285,285,21,204,168,0,209,1,0,0,0,0,0,0,1,1,0,605,0,2,607,0
286,286,21,229,176,1,283,0,1,0,0,1,0,2,2,1,2,719,0,3,722,0
287,287,24,212,198,4,259,1,1,3,2,1,0,1,4,0,1,711,0,0,711,0
288,288,47,228,184,2,328,2,0,1,0,0,0,0,1,1,0,794,0,2,796,0
289,289,30,207,184,1,336,0,0,1,0,0,0,2,0,1,0,762,0,6,768,0
290,290,15,75,110,1,89,0,0,0,0,0,0,0,2,0,0,292,0,3,295,0
291,291,9,53,72,0,64,0,0,0,0,0,0,0,0,0,1,199,0,0,199,0
292,292,20,248,266,0,282,1,0,0,0,1,0,1,0,1,2,822,0,3,825,0
293,293,19,294,185,2,296,0,0,1,0,0,0,1,2,0,0,800,0,4,804,0
294,294,20,199,169,1,258,1,1,0,0,1,0,0,0,0,1,651,0,3,654,0
295,295,22,133,191,1,201,0,0,0,0,1,0,2,0,1,1,553,0,1,554,0
296,296,27,241,244,2,342,1,0,2,1,0,0,0,0,0,1,861,0,3,864,0
297,297,12,161,138,0,136,1,0,1,0,0,0,0,0,0,1,450,0,0,450,0
298,298,15,262,227,2,288,0,0,0,0,0,0,0,1,2,0,797,0,5,802,0
299,299,20,270,157,0,245,1,1,1,1,0,1,0,0,1,2,700,0,3,703,0
300,300,36,219,209,2,331,1,1,0,0,0,1,1,1,2,0,804,0,1,805,0
301,301,23,316,192,1,311,0,0,0,2,2,0,1,0,0,0,848,0,1,849,0
302,302,18,325,191,3,356,0,0,0,0,1,0,1,1,0,0,896,0,0,896,0
303,303,24,217,223,2,197,0,0,0,1,0,0,0,0,1,2,667,0,2,669,0
304,304,27,245,132,1,212,0,1,4,0,1,0,2,2,1,2,630,0,2,632,0
305,305,23,156,135,0,208,1,0,3,2,0,0,1,0,0,2,531,0,2,533,0
306,306,12,315,135,0,142,0,0,1,0,0,0,0,2,1,0,608,0,0,608,0
307,307,33,277,366,2,261,0,0,0,0,0,0,1,1,0,0,941,0,3,944,0
308,308,13,161,272,1,108,2,0,0,0,0,0,0,1,0,1,559,0,0,559,0
