Polling Station No,DURAI. CHANDRASEKARAN,DURAI. SENTHILNATHAN,VELU. KARTHIKEYAN,MATHI. MANIKANDAN,S. VIJAYAKUMAR,VIJAYA BABU,V. VENU,ABIMAN,ER.S. ARJUN,R. SATHIYANARAYANAN,RAJASEKARAN. S,R. RAJKUMAR,JAYAINDHRAESWARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
129,263,57,78,221,1,2,0,2,0,1,1,0,0,626,0,2,628,0
130,254,20,133,216,1,2,2,2,0,0,0,0,2,632,0,0,632,0
131,227,42,155,239,1,0,0,0,1,0,1,1,0,667,0,2,669,0
132,286,45,183,241,2,3,1,0,0,0,3,0,0,764,0,4,768,0
133,231,37,308,138,2,1,2,1,0,0,3,1,1,725,0,4,729,0
134,193,32,160,194,2,17,3,0,0,0,2,1,0,604,0,2,606,0
135,3 232,15,139,212,0,2,1,0,0,0,1,2,0,604,0,1,605,0
136,196,42,261,197,1,4,2,1,0,0,1,3,2,710,0,4,714,0
137,193,23,160,162,0,2,0,0,0,0,0,0,1,541,0,6,547,0
138,200,19,124,128,1,6,2,0,0,0,1,0,0,481,0,2,483,0
139,283,51,109,194,0,16,2,0,0,0,1,0,1,657,0,4,661,0
140,217,12,56,109,0,1,0,0,0,0,0,0,0,395,0,1,396,0
141,107,11,94,75,0,0,1,0,0,0,0,0,0,288,0,2,290,0
142,218,26,124,173,1,1,0,1,0,0,2,2,2,550,0,2,552,0
143,213,29,59,105,0,16,2,1,0,0,1,0,1,427,0,1,428,0
144,317,25,240,203,1,1,0,2,0,0,2,1,1,793,0,4,797,0
145,232,62,266,147,1,1,1,0,0,1,1,0,2,714,0,2,716,0
146,231,22,87,122,0,0,0,0,0,0,0,1,0,463,0,2,465,0
147,112,17,112,65,0,1,2,0,0,0,0,0,1,310,0,1,311,0
148,160,13,98,137,1,0,1,1,0,1,0,0,0,412,0,1,413,0
149,209,16,214,189,1,1,1,0,0,0,2,0,0,633,0,2,635,0
150,144,15,43,99,0,0,1,0,0,0,0,1,0,303,0,1,304,0
151,364,46,236,307,2,15,1,0,2,0,1,1,1,976,0,4,980,0
152,347,55,188,161,2,1,0,0,1,0,0,0,2,757,0,2,759,0
153,194,27,196,99,0,2,0,0,0,1,0,0,0,519,0,1,520,0
154,189,37,70,209,0,8,2,0,0,0,0,1,1,517,0,4,521,0
155,174,14,208,117,0,4,1,0,0,1,1,2,1,523,0,1,524,0
156,313,12,296,189,0,1,0,1,0,0,0,0,0,812,0,2,814,0
157,183,16,156,128,1,0,1,0,0,1,0,1,0,487,0,1,488,0
158,277,28,197,222,1,21,0,0,2,0,2,0,0,750,0,2,752,0
159,241,15,287,85,1,1,1,1,0,0,0,1,0,633,0,1,634,0
160,159,42,124,167,1,30,4,0,2,0,0,1,0,530,0,3,533,0
161,222,24,253,200,1,3,2,0,2,2,1,1,1,712,0,3,715,0
162,185,49,166,192,2,1,1,0,1,1,0,3,0,601,0,1,602,0
163,349,32,287,253,3,38,0,1,2,1,0,1,1,968,0,9,977,0
164,276,25,160,216,0,8,2,1,0,0,2,0,0,690,0,0,690,0
165,223,50,54,231,2,4,1,0,0,0,0,0,0,565,0,2,567,0
166,295,15,73,192,0,1,0,0,0,0,0,0,1,577,0,2,579,0
167,248,18,77,189,0,0,1,0,0,0,1,0,0,534,0,1,535,0
168,337,17,53,140,0,0,0,0,0,0,0,0,1,548,0,3,551,0
169,229,10,119,254,0,1,0,0,0,3,2,0,0,618,0,1,619,0
170,310,24,62,147,1,0,0,1,0,2,0,0,0,547,0,2,549,0
171,229,24,168,331,2,13,4,1,1,1,4,4,1,783,0,2,785,0
172,223,17,218,356,2,68,1,1,1,2,2,1,5,897,0,3,900,0
173,270,28,68,236,0,23,2,0,0,1,0,0,0,628,0,2,630,0
