Polling Station No,SHAN. RAMANATHAN,N. KRISHNAKUMAR,KARUPPU MURUGANANTHAM,H. MOHAMED ABDUL KHADIR,S. MUTHUVEL,R. VIJAYSARAVANAN,S. KARIKALA CHOLAN,D. KUMARAN,M. SANTHOSH,R. SABTHAGIRI,R. MURALIDHARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
298,179,27,49,0,1,190,1,0,0,0,1,448,0,6,454,0
299,164,39,42,0,1,248,3,1,1,1,0,500,0,0,500,0
300,387,52,61,0,3,275,1,0,0,0,1,780,0,3,783,0
301,293,53,105,0,2,344,2,0,1,2,4,806,0,8,814,1
302,211,38,57,0,0,178,2,0,1,0,1,488,0,6,494,0
303,200,18,26,0,0,233,3,0,0,0,2,482,0,2,484,0
304,191,36,61,0,0,186,2,1,1,0,2,480,0,2,482,0
305,333,52,101,1,1,299,0,1,1,0,1,790,0,7,797,0
306,293,54,84,0,0,265,2,0,1,1,3,703,0,7,710,0
307,234,36,60,0,0,222,0,0,1,0,2,555,0,4,559,0
308,292,36,108,0,1,277,1,0,0,0,1,716,0,4,720,0
309,315,39,65,1,2,241,2,1,0,0,0,666,0,2,668,0
310,199,18,76,0,0,169,1,0,1,0,6,470,0,11,481,0
311,227,32,40,0,2,209,4,0,0,0,3,517,0,4,521,0
