Polling Station No,Polling Station No.,NAVLESIAGIHTRAK,NITSUJ NOMIS .A .RD,YMASAIREP .I,NAHTANAWSIV .A,IVLESIALAK .N,RAKNAS .D,NARDNEGAN .K.M,NAGURUM ALAB .S,HSAKARPAYAJ .K,NASERIHTAK .K,JARAGAN .D,YMASAYIREP .M,LEVINAM .P,NAHTANAVSIV .K,NAGURUMLEV .K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
48,48,0,12,276,47,232,0,1,0,2,3,2,2,1,2,0,580,0,0,580,0
49,49,1,48,294,72,256,0,1,0,0,1,0,1,1,0,0,675,0,2,677,0
50,50,0,60,273,76,457,0,0,0,0,1,0,0,0,1,1,869,0,4,873,0
51,51,1,30,314,136,406,4,3,0,1,0,1,0,0,0,0,896,0,4,900,0
52,52,1,22,236,49,237,3,2,1,0,0,2,0,1,0,0,554,0,2,556,0
53,53,1,13,244,47,151,0,4,2,0,0,0,1,1,1,0,465,0,0,465,0
54,54,1,38,388,95,355,2,0,0,2,1,1,1,4,1,0,889,0,5,894,0
55,55,2,35,223,59,197,2,5,0,1,0,0,0,1,1,0,526,0,2,528,0
56,56,6,34,238,79,208,2,3,2,1,0,0,0,4,5,0,582,0,1,583,0
57,57,1,33,398,69,373,5,2,0,1,1,0,0,4,7,1,895,0,7,902,0
58,58,0,27,254,48,230,1,0,1,0,0,0,0,0,3,1,565,0,0,565,0
59,59,2,46,227,35,185,1,2,0,2,0,0,1,6,4,1,512,0,4,516,0
60,60,0,38,501,59,380,3,1,6,0,0,1,3,0,7,0,999,0,3,1002,0
61,61,1,37,330,44,376,2,4,0,1,0,1,1,0,3,0,800,0,2,802,0
62,62,3,36,338,133,322,3,3,1,0,1,1,1,2,2,0,846,0,2,848,0
63,63,2,33,237,123,235,5,2,1,0,2,1,1,0,3,1,646,0,1,647,0
64,64,1,39,295,156,280,1,3,0,0,1,1,5,6,4,0,792,0,1,793,0
65,65,0,20,312,116,346,10,3,2,0,1,0,1,1,0,1,813,0,2,815,0
66,66,4,37,473,122,249,4,1,1,1,0,0,0,2,3,0,897,0,1,898,0
67,67,0,38,536,76,355,6,5,0,0,0,0,1,0,1,1,1019,0,2,1021,0
68,68,1,19,224,67,170,1,1,0,0,0,0,1,1,1,0,486,0,6,492,0
69,69,1,18,260,75,220,0,2,1,0,0,1,0,0,0,0,578,0,3,581,0
70,70,1,41,249,218,401,5,2,1,2,0,2,2,1,0,0,925,0,2,927,0
71,71,5,53,458,123,247,4,0,0,6,0,0,1,0,4,2,903,0,7,910,0
72,72,4,26,244,97,133,0,0,1,2,0,0,1,2,2,1,513,0,2,515,0
73,73,0,23,292,189,373,2,2,2,1,1,0,1,9,3,1,899,0,4,903,0
74,74,4,20,273,112,297,2,0,0,1,1,0,1,1,0,0,712,0,0,712,0
75,75,6,22,281,257,294,5,4,2,1,2,4,5,7,10,1,901,0,3,904,0
76,76,1,24,342,130,245,2,2,0,1,1,1,0,1,8,2,760,0,0,760,0
77,77,0,19,256,45,143,0,1,0,0,2,0,1,1,0,1,469,0,1,470,0
78,78,0,15,307,187,205,7,1,1,0,1,0,1,2,2,1,730,0,1,731,0
79,79,1,10,100,57,189,1,1,1,0,0,3,0,0,2,0,365,0,0,365,0
80,80,1,26,303,85,211,1,0,0,0,0,0,1,1,3,0,632,0,0,632,0
81,81,4,16,534,164,233,9,2,0,2,4,1,0,1,0,0,970,0,1,971,0
82,82,1,16,366,113,164,0,0,1,0,0,1,3,0,2,0,667,0,3,670,0
83,83,1,35,407,141,279,1,2,0,1,2,2,0,2,5,0,878,0,3,881,0
84,84,4,37,397,174,236,3,3,2,1,0,1,0,2,4,0,864,0,5,869,0
85,85,6,13,328,144,239,2,4,0,1,0,0,1,0,2,1,741,0,4,745,0
86,86,2,14,369,95,234,2,4,0,0,0,1,0,1,1,0,723,0,4,727,0
87,87,1,27,341,208,328,1,4,1,0,0,1,1,0,3,0,916,0,1,917,0
88,88,0,12,339,61,134,3,1,0,0,0,0,2,3,1,0,556,0,2,558,0
89,89,1,12,337,82,134,1,0,1,1,0,0,0,0,0,0,569,0,1,570,0
90,90,0,10,221,124,174,2,2,0,0,0,0,1,0,1,0,535,0,3,538,0
91,91,4,52,343,146,220,1,2,0,0,1,0,0,1,0,0,770,0,5,775,0
92,92,1,20,335,152,157,1,0,0,0,1,2,0,0,4,0,673,0,0,673,0
93,93,2,18,319,86,136,5,1,0,0,0,1,0,0,0,0,568,0,1,569,0
94,94,0,27,185,98,142,4,1,0,1,0,1,1,1,0,0,461,0,0,461,0
95,95,1,19,224,82,121,0,0,0,0,0,0,1,0,0,0,448,0,0,448,0
96,96,0,38,351,141,266,4,2,0,1,1,0,0,1,5,1,811,0,2,813,0
97,97,1,20,230,98,166,2,0,0,0,0,0,0,0,1,0,518,0,2,520,0
98,98,2,14,333,97,152,3,2,2,0,1,0,0,1,4,2,613,0,0,613,0
99,99,1,31,358,151,170,3,1,0,0,0,0,1,1,2,0,719,0,1,720,0
100,100,1,14,92,97,85,0,1,0,0,3,2,0,1,0,0,296,0,0,296,0
101,101,18,33,462,144,204,3,0,0,0,0,2,2,3,1,0,872,0,2,874,0
102,102,1,4,190,34,91,1,1,0,0,0,0,0,1,1,0,324,0,1,325,0
103,103,4,17,413,161,128,2,1,0,0,1,0,1,0,2,0,730,0,4,734,0
104,104,3,22,240,74,212,0,0,0,0,0,0,1,1,1,0,554,0,4,558,0
105,105,2,17,215,66,152,2,0,0,0,1,1,1,1,2,0,460,0,0,460,0
106,106,4,42,287,169,395,6,4,0,1,0,2,1,2,3,0,916,0,5,921,0
107,107,1,5,153,31,114,1,0,0,0,0,0,1,0,0,0,306,0,1,307,0
108,108,24,26,311,249,253,5,0,1,2,1,0,2,1,3,0,878,0,7,885,0
109,109,2,6,158,115,78,1,0,0,1,0,1,0,0,0,0,362,0,2,364,0
110,110,2,23,442,94,254,1,1,0,1,0,0,0,0,3,0,821,0,2,823,0
111,111,1,24,292,77,262,1,0,0,0,0,0,0,0,0,0,657,0,2,659,0
112,112,5,27,337,175,196,6,5,0,1,1,1,2,2,2,0,760,0,1,761,0
113,113,2,30,403,135,202,1,2,0,0,0,0,1,0,1,0,777,0,0,777,0
114,114,0,13,387,227,153,3,0,0,0,0,0,0,0,1,0,784,0,1,785,0
115,115,0,26,359,129,234,2,5,0,1,0,0,0,2,2,0,760,0,2,762,0
116,116,1,19,312,162,109,2,1,0,0,0,0,0,0,2,1,609,0,0,609,0
117,117,1,31,394,202,298,2,7,0,0,0,1,4,1,4,1,946,0,1,947,0
118,118,4,30,377,175,373,4,3,0,1,0,0,3,2,7,0,979,0,1,980,0
119,119,1,43,438,57,251,2,1,0,0,0,0,0,0,1,0,794,0,1,795,0
120,120,1,45,279,75,250,3,0,0,2,0,0,0,1,1,0,657,0,2,659,0
121,121,0,17,234,32,180,2,1,0,0,1,1,0,0,1,1,470,0,2,472,0
122,122,0,87,639,38,301,1,1,0,0,0,0,1,0,3,0,1071,0,1,1072,0
123,123,0,34,384,57,208,2,0,1,0,0,1,0,3,1,0,691,0,1,692,0
124,124,0,34,412,35,189,1,2,1,0,0,0,0,1,1,1,677,0,0,677,0
125,125,1,21,340,42,117,1,1,0,0,0,0,0,0,2,0,525,0,1,526,0
126,126,0,10,219,68,129,0,0,0,0,0,0,0,0,1,0,427,0,2,429,0
127,127,0,12,338,68,120,0,1,0,0,0,1,0,0,0,0,540,0,0,540,0
128,128,2,50,268,79,229,2,2,1,0,1,0,0,0,2,1,637,0,4,641,0
129,129,0,31,341,97,301,3,1,0,0,4,1,1,1,4,0,785,0,1,786,0
130,130,2,68,587,57,284,2,2,0,3,0,0,1,0,4,0,1010,0,2,1012,0
131,131,0,35,310,76,402,4,1,1,0,2,1,2,0,2,1,837,0,1,838,0
132,132,0,57,304,93,422,2,8,2,2,0,0,1,0,1,0,892,0,3,895,0
133,133,2,44,319,88,385,0,4,2,0,0,1,1,1,3,0,850,0,2,852,0
134,134,2,55,437,91,413,9,3,1,1,1,0,0,0,3,0,1016,0,4,1020,0
135,135,0,56,199,43,220,0,2,1,0,2,0,0,0,2,0,525,0,0,525,0
136,136,1,22,266,88,189,5,2,0,1,0,0,0,0,0,0,574,0,0,574,0
137,137,4,68,291,66,317,2,3,1,1,1,1,2,0,1,0,758,0,5,763,0
138,138,2,64,371,75,388,3,5,1,3,1,1,0,0,2,0,916,0,3,919,0
139,139,4,54,338,58,307,4,5,0,1,2,1,3,1,1,0,779,0,9,788,0
140,140,3,60,413,77,406,5,1,0,3,0,0,3,3,1,2,977,0,2,979,0
141,141,0,31,394,135,222,2,0,0,17,0,0,1,29,4,0,835,0,3,838,0
142,142,1,25,301,120,320,1,1,0,1,1,0,0,1,3,0,775,0,2,777,0
143,143,0,6,180,62,103,3,1,0,0,0,0,0,0,2,0,357,0,1,358,0
144,144,0,6,193,38,142,0,1,2,0,0,0,0,1,0,0,383,0,1,384,0
145,145,3,46,295,136,198,4,0,0,0,1,0,1,2,2,1,689,0,0,689,0
146,146,1,22,323,65,222,3,3,0,0,0,0,1,2,6,0,648,0,2,650,0
147,147,1,19,248,99,314,5,2,0,1,1,1,5,1,4,1,702,0,1,703,0
148,148,0,9,128,50,103,3,0,0,0,0,2,1,0,1,0,297,0,0,297,0
149,149,3,30,280,201,326,2,4,1,0,0,1,2,4,3,2,859,0,1,860,0
150,150,0,46,338,123,176,3,0,0,0,0,0,0,0,3,0,689,0,1,690,0
151,151,3,24,280,87,175,2,0,0,0,0,0,0,1,2,1,575,0,4,579,0
152,152,2,28,379,121,196,5,2,1,0,0,1,1,0,1,0,737,0,3,740,0
153,153,0,67,350,109,321,1,0,0,0,3,2,1,1,0,0,855,0,1,856,0
154,154,2,44,315,72,331,4,7,0,0,0,2,1,3,4,0,785,0,3,788,0
155,155,6,34,390,87,304,2,3,1,2,0,0,3,2,2,0,836,0,5,841,0
156,156,4,25,206,36,223,0,0,0,0,0,0,0,0,1,0,495,0,1,496,0
157,157,1,37,334,109,192,0,4,1,0,0,0,1,1,4,0,684,0,0,684,0
158,158,2,36,281,99,190,3,0,0,1,0,0,0,1,2,0,615,0,1,616,0
159,159,1,38,257,99,236,10,3,1,0,2,0,0,0,0,1,648,0,3,651,0
160,160,14,38,396,85,296,6,2,1,0,0,0,0,0,1,0,839,0,2,841,0
161,161,1,33,301,123,201,3,2,0,1,0,0,1,0,0,0,666,0,2,668,0
162,162,2,42,299,144,242,3,1,0,2,1,1,1,1,3,0,742,0,2,744,0
163,163,0,29,388,144,216,5,1,0,0,1,3,2,1,3,0,793,0,4,797,0
164,164,2,36,281,106,274,3,1,3,2,13,2,2,1,0,0,726,0,1,727,0
165,165,1,17,229,90,198,1,0,1,0,9,0,1,1,1,2,551,0,1,552,0
166,166,3,19,345,153,217,3,2,0,0,0,0,1,2,2,1,748,0,0,748,0
167,167,2,18,271,120,223,6,2,0,1,1,2,4,2,4,0,656,0,2,658,0
168,168,0,16,201,113,226,1,2,0,0,1,0,1,3,0,1,565,0,4,569,0
169,169,2,10,192,161,230,2,3,0,0,0,0,1,2,0,0,603,0,1,604,0
170,170,2,3,155,156,159,1,2,0,2,0,0,0,1,1,0,482,0,2,484,0
171,171,1,9,253,50,195,2,0,0,0,1,0,0,0,0,0,511,0,2,513,0
172,172,1,41,319,110,230,4,1,1,1,0,1,1,1,1,0,712,0,0,712,0
173,173,1,24,279,75,146,3,3,0,0,0,0,0,2,5,0,538,0,1,539,0
174,174,1,22,275,101,215,1,0,0,0,2,0,1,2,3,0,623,0,3,626,0
175,175,1,30,280,91,222,3,0,1,0,0,1,0,0,1,1,631,0,1,632,0
176,176,0,20,199,61,209,0,3,0,0,0,1,0,0,0,0,493,0,0,493,0
177,177,2,9,212,84,182,2,1,0,0,0,0,0,0,0,1,493,0,4,497,0
178,178,3,33,314,155,219,3,0,0,0,0,0,0,1,2,0,730,0,7,737,0
179,179,2,30,170,75,207,1,0,0,0,0,1,0,1,1,0,488,0,3,491,0
180,180,1,20,182,118,190,4,2,0,0,2,0,0,0,3,0,522,0,0,522,0
181,181,2,20,310,82,219,3,4,2,1,0,1,1,0,0,0,645,0,2,647,0
182,182,3,30,318,81,220,0,1,1,4,1,0,0,1,2,0,662,0,2,664,0
183,183,0,22,186,51,123,1,1,0,0,1,0,0,0,0,0,385,0,1,386,0
184,184,1,34,317,89,223,1,3,0,0,0,0,0,3,2,0,673,0,2,675,0
185,185,0,42,222,130,364,4,6,1,1,2,0,2,2,2,2,780,0,1,781,0
186,186,1,28,289,95,314,2,7,0,2,2,0,1,2,3,0,746,0,2,748,0
187,187,2,11,228,55,136,3,1,1,0,0,1,0,0,4,2,444,0,0,444,0
188,188,2,25,406,176,272,1,0,0,0,2,1,3,3,0,1,892,0,7,899,0
189,189,2,24,199,89,145,2,0,0,0,0,0,0,0,0,1,462,0,4,466,0
190,190,0,24,246,119,202,3,0,0,0,0,0,0,0,1,1,596,0,3,599,0
191,191,1,26,289,74,318,1,0,1,0,0,1,0,0,1,1,713,0,4,717,0
192,192,1,11,183,53,237,1,1,0,0,0,0,0,2,0,0,489,0,0,489,0
193,193,1,37,199,68,191,1,1,0,0,0,0,1,0,1,0,500,0,5,505,0
194,194,3,34,306,59,283,2,1,0,0,0,1,1,0,2,0,692,0,1,693,0
195,195,0,43,327,55,306,4,3,0,6,0,1,1,1,0,0,747,0,6,753,0
196,196,1,8,168,25,101,0,0,0,2,0,0,0,0,0,0,305,0,0,305,0
197,197,4,58,451,43,256,2,3,0,6,2,0,0,1,1,0,827,0,1,828,0
198,198,0,36,278,89,139,0,0,0,0,0,0,0,0,4,1,547,0,5,552,0
199,199,3,18,299,118,255,2,2,1,0,1,0,2,0,1,0,702,0,7,709,0
200,200,3,27,405,66,238,0,2,0,0,1,0,0,0,0,0,742,0,2,744,0
201,201,1,24,265,145,190,1,0,0,0,0,1,1,0,1,0,629,0,1,630,0
202,202,1,19,425,65,132,1,1,0,0,0,1,0,3,2,0,650,0,5,655,0
203,203,0,11,272,61,79,2,0,0,0,0,0,0,0,0,0,425,0,1,426,0
204,204,1,21,461,66,173,1,0,1,1,0,1,0,1,0,0,727,0,2,729,0
205,205,0,19,336,96,197,2,1,0,2,0,0,0,0,0,2,655,0,4,659,0
206,206,0,16,248,92,252,3,1,0,0,0,0,0,0,1,0,613,0,4,617,0
207,207,3,14,325,162,311,0,1,1,0,8,0,1,1,1,1,829,0,3,832,0
208,208,0,29,380,80,295,2,4,0,1,2,1,0,0,1,0,795,0,0,795,0
209,209,1,6,167,43,133,2,3,0,0,0,0,0,1,1,1,358,0,0,358,0
210,210,4,57,384,105,286,3,4,0,2,1,0,0,3,1,0,850,0,4,854,0
211,211,2,45,414,85,256,2,1,2,1,2,1,2,1,1,0,815,0,4,819,0
212,212,0,42,314,115,285,1,3,2,0,1,0,1,1,3,0,768,0,0,768,0
213,213,0,8,439,85,155,0,1,0,2,0,0,0,1,3,0,694,0,2,696,0
214,214,1,51,556,125,240,3,2,0,5,0,0,0,0,2,0,985,0,4,989,0
215,215,0,18,366,83,281,3,1,0,1,1,0,0,0,2,0,756,0,1,757,0
216,216,2,72,346,92,308,12,0,0,11,0,0,0,1,1,0,845,0,1,846,0
217,217,2,6,240,117,136,0,0,0,0,1,0,0,1,3,1,507,0,0,507,0
218,218,2,27,283,53,212,2,0,1,0,0,1,0,2,2,0,585,0,2,587,0
219,219,1,22,347,123,237,0,2,0,0,0,0,0,0,1,0,733,0,2,735,0
220,220,2,67,540,43,304,2,2,0,5,0,2,1,0,0,0,968,0,2,970,0
221,221,2,28,315,34,242,0,0,0,3,1,0,2,1,1,0,629,0,0,629,0
222,222,0,29,514,17,58,0,0,0,0,0,0,0,0,2,0,620,0,2,622,0
223,223,1,20,595,16,75,1,0,1,0,0,0,0,1,0,0,710,0,0,710,0
224,224,0,12,505,26,86,1,1,2,0,0,0,0,0,1,0,634,0,0,634,0
225,225,2,29,482,47,279,1,1,0,0,0,0,0,1,3,0,845,0,3,848,0
226,226,0,23,397,61,196,1,1,1,0,1,1,1,0,1,0,684,0,6,690,0
227,227,0,29,347,49,207,1,2,0,0,0,0,0,0,0,1,636,0,2,638,0
228,228,1,46,408,110,238,5,0,0,0,0,1,0,0,0,0,809,0,3,812,0
229,229,1,26,226,103,165,0,0,0,0,0,1,2,2,3,1,530,0,3,533,0
230,230,0,53,422,68,298,2,3,1,0,1,2,1,3,3,0,857,0,4,861,0
231,231,0,17,207,80,185,1,0,1,0,1,0,0,4,0,0,496,0,3,499,0
232,232,4,46,294,50,194,3,3,0,1,0,0,0,3,0,0,598,0,2,600,0
233,233,0,43,472,21,261,0,3,1,4,0,1,0,0,0,0,806,0,0,806,0
234,234,0,69,302,69,183,2,2,0,0,1,0,2,2,3,0,635,0,2,637,0
235,235,4,40,350,106,321,3,3,0,1,6,0,1,0,0,3,838,0,2,840,0
236,236,0,18,423,68,215,0,4,0,2,1,0,1,1,2,0,735,0,4,739,0
237,237,3,19,482,44,389,2,0,2,1,0,2,0,2,0,0,946,0,2,948,0
238,238,1,19,520,27,116,0,0,1,0,1,0,0,0,0,0,685,0,0,685,0
239,239,3,10,333,50,157,2,1,0,0,0,0,0,0,3,0,559,0,2,561,0
240,240,2,23,413,51,193,1,1,0,0,1,1,0,1,1,0,688,0,3,691,0
241,241,0,28,315,94,196,2,1,0,1,0,0,0,2,2,0,641,0,1,642,0
242,242,0,9,346,88,192,6,0,0,1,1,0,0,0,1,0,644,0,3,647,0
243,243,1,27,331,59,243,0,0,0,0,0,2,0,1,1,0,665,0,1,666,0
244,244,1,20,290,68,208,2,2,0,0,0,0,1,1,0,1,594,0,4,598,0
245,245,0,26,317,46,288,1,2,0,0,1,1,1,0,5,1,689,0,2,691,0
246,246,0,50,259,137,197,0,2,0,0,1,0,0,0,1,0,647,0,1,648,0
247,247,4,19,367,160,266,6,3,1,0,1,0,1,0,1,0,829,0,6,835,0
248,248,1,20,274,61,229,1,0,1,3,0,0,1,0,2,0,593,0,4,597,0
249,249,0,24,473,109,263,2,2,0,0,0,0,0,2,0,0,875,0,5,880,0
250,250,0,36,466,129,341,3,0,1,1,0,1,1,2,1,1,983,0,2,985,0
251,251,1,40,416,101,270,1,0,0,1,1,0,0,0,0,0,831,0,2,833,0
252,252,0,14,218,53,196,0,4,0,5,1,0,0,1,1,0,493,0,3,496,0
253,253,0,16,247,44,165,1,1,0,0,0,0,0,2,1,0,477,0,1,478,0
254,254,0,17,227,46,118,2,1,0,0,0,0,0,2,0,0,413,0,0,413,0
255,255,0,53,403,79,384,2,2,1,0,0,1,4,1,2,0,932,0,1,933,0
256,256,1,34,217,72,446,0,2,3,0,2,0,0,0,0,1,778,0,1,779,0
257,257,3,25,242,124,348,1,1,0,1,1,2,1,1,0,0,750,0,4,754,0
258,258,1,14,283,55,152,1,0,1,0,2,2,0,1,5,1,518,0,2,520,0
259,259,2,5,260,37,165,2,1,0,1,0,0,0,1,4,0,478,0,0,478,0
260,260,2,36,353,159,420,0,11,2,0,1,2,1,0,1,0,988,0,2,990,0
261,261,1,13,258,130,341,0,12,0,1,0,2,1,0,1,1,761,0,4,765,0
262,262,0,16,281,62,190,0,1,0,0,0,0,0,1,0,0,551,0,2,553,0
263,263,1,20,255,88,243,0,17,0,0,0,0,0,3,0,0,627,0,3,630,0
264,264,1,62,396,68,213,1,4,1,0,0,0,1,1,2,1,751,0,1,752,0
265,265,1,29,347,139,302,4,11,0,0,0,1,0,1,2,0,837,0,2,839,0
266,266,0,12,200,43,240,0,0,0,0,0,0,1,0,1,0,497,0,0,497,0
267,267,3,34,307,151,303,3,1,1,1,0,0,1,0,2,0,807,0,1,808,0
268,268,2,46,324,89,287,5,1,0,0,0,0,0,0,1,1,756,0,0,756,0
269,269,7,36,310,105,226,1,6,1,0,2,0,0,1,2,0,697,0,1,698,0
270,270,4,27,240,116,268,1,1,1,0,0,0,1,1,0,0,660,0,1,661,0
271,271,1,39,250,141,313,4,4,1,1,0,0,1,0,1,0,756,0,4,760,0
272,272,3,15,148,81,169,1,1,0,0,0,0,1,0,0,0,419,0,4,423,0
273,273,0,18,303,154,287,2,1,1,0,0,0,0,1,0,0,767,0,2,769,0
274,274,0,16,189,46,153,1,0,1,0,0,0,0,1,0,0,407,0,2,409,0
275,275,0,26,222,32,178,0,1,1,0,0,0,0,0,1,0,461,0,2,463,0
276,276,2,13,286,88,201,0,1,1,0,1,0,1,0,1,0,595,0,3,598,0
277,277,0,37,256,87,322,1,1,0,0,0,0,0,1,3,1,709,0,4,713,0
278,278,0,29,234,37,187,1,1,0,0,0,1,1,0,1,0,492,0,4,496,0
279,279,2,24,297,66,236,0,3,0,0,1,0,0,1,0,0,630,0,2,632,0
280,280,0,39,306,66,282,0,0,0,0,2,0,1,0,1,0,697,0,5,702,0
281,281,0,62,350,77,339,3,2,0,0,0,0,1,0,0,0,834,0,1,835,0
282,282,11,39,318,25,165,1,0,0,0,0,0,0,0,0,0,559,0,4,563,0
283,283,0,39,293,51,264,0,0,0,0,0,0,0,0,0,2,649,0,2,651,0
284,284,2,52,340,93,368,0,3,0,1,0,1,0,1,3,0,864,0,2,866,0
285,285,0,82,410,97,351,3,0,0,0,3,0,1,0,3,1,951,0,2,953,0
286,286,1,66,301,59,260,2,3,1,0,0,1,0,1,2,1,698,0,6,704,0
287,287,1,59,246,50,234,0,1,2,0,0,0,2,0,0,3,598,0,1,599,0
288,288,1,23,272,67,250,2,0,0,1,0,2,0,1,1,0,620,0,3,623,0
289,289,2,16,308,48,225,1,1,1,1,2,0,0,0,0,0,605,0,1,606,0
290,290,1,40,246,91,301,3,1,0,2,0,0,0,0,0,0,685,0,4,689,0
291,291,1,26,205,105,304,0,0,2,1,0,0,1,2,0,0,647,0,2,649,0
292,292,0,15,254,54,324,2,1,2,1,0,0,2,0,3,0,658,0,0,658,0
293,293,1,47,381,52,292,0,0,0,0,0,0,0,0,4,0,777,0,2,779,0
294,294,0,73,395,89,301,4,0,1,0,0,1,0,1,4,2,871,0,4,875,0
295,295,1,31,183,91,150,3,3,2,0,1,0,0,0,0,0,465,0,3,468,0
296,296,6,17,338,80,358,4,2,1,0,0,2,0,1,7,0,816,0,3,819,0
297,297,5,36,307,81,324,1,2,0,0,0,0,0,0,1,0,757,0,2,759,0
298,298,0,18,168,38,162,0,1,0,0,0,0,1,0,0,0,388,0,0,388,0
299,299,1,25,203,51,257,0,1,1,0,0,0,1,0,0,0,540,0,6,546,0
300,300,0,36,257,82,334,0,0,0,0,0,0,0,1,0,0,710,0,3,713,0
301,301,2,32,252,99,392,0,3,1,0,1,0,0,0,0,0,782,0,7,789,0
302,302,0,26,238,76,367,1,0,1,1,1,2,0,0,0,2,715,0,1,716,0
303,303,1,23,298,92,279,2,4,1,0,0,0,0,1,0,0,701,0,2,703,0
304,304,0,9,178,44,246,1,0,1,0,0,1,0,1,0,0,481,0,3,484,0
305,305,2,24,369,106,382,2,7,1,0,2,1,1,1,1,0,899,0,6,905,0
306,306,2,33,243,65,323,1,0,2,0,0,0,1,0,1,1,672,0,3,675,0
307,307,0,27,204,70,270,1,2,2,0,0,0,0,0,0,1,577,0,3,580,0
