Polling Station No,ESWARAN. P,INGUR. C. LOGANATHAN,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,JAYAKUMAR. S,ARUNACHALAM. V. P,SHANTHOSH KRISHNAN. S,VALARMATHI. P,SANTHOSH. S,SELVARAJU. M,PALANISAMY. M,VENKATACHALAM. C,GEORGE STEPHEN. A,JAYAPRAKASH. K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
127,1,52,213,160,194,0,0,0,1,0,4,3,3,631,0,4,635,0
128,0,25,332,286,271,1,0,1,0,0,2,1,1,920,0,1,921,0
129,2,28,280,167,324,1,0,0,0,1,1,0,1,805,0,4,809,0
130,1,26,153,200,150,0,1,3,1,0,3,0,1,539,0,3,542,0
131,2,18,128,237,148,3,0,0,0,0,3,1,1,541,0,1,542,0
132,21,15,190,220,187,2,1,0,0,0,3,1,1,641,0,2,643,0
133,1,13,116,310,70,0,0,1,0,2,2,3,0,518,0,2,520,0
134,1,27,186,223,127,1,0,0,0,0,1,1,0,567,0,3,570,0
135,4,27,218,351,258,4,1,0,0,1,4,3,0,871,0,2,873,0
136,1,33,181,294,228,0,0,1,0,0,1,0,1,740,0,0,740,0
137,0,23,90,163,65,0,1,1,0,0,0,0,0,343,0,1,344,0
138,1,13,303,131,120,1,0,0,0,0,1,2,1,573,0,1,574,0
139,0,14,193,259,160,1,0,0,0,1,4,1,0,633,0,1,634,0
140,4,16,220,320,259,0,0,1,0,0,2,0,0,822,0,2,824,0
141,1,25,286,292,231,1,0,1,0,1,4,1,0,843,0,1,844,0
142,5,10,171,178,187,0,0,0,0,0,0,2,2,555,0,2,557,0
143,1,21,138,126,293,0,0,0,1,1,2,0,1,584,0,1,585,0
144,1,20,149,289,355,1,1,1,0,0,3,1,1,822,0,3,825,0
145,4,27,154,177,232,1,0,1,0,1,1,1,0,599,0,2,601,0
146,1,16,208,172,219,0,0,1,0,0,6,1,0,624,0,5,629,0
147,1,17,89,197,140,1,0,0,0,0,2,0,2,449,0,1,450,0
148,2,17,218,232,205,0,0,1,0,0,0,0,0,675,0,1,676,0
149,2,27,145,165,209,1,0,1,0,0,0,0,0,550,0,1,551,0
150,2,32,235,348,282,0,1,3,0,0,3,0,0,906,0,4,910,0
151,1,20,210,327,299,0,0,4,0,0,3,1,1,866,0,5,871,0
152,0,20,240,357,249,0,0,3,0,4,2,6,0,881,0,4,885,0
153,2,15,164,212,275,2,0,1,0,1,7,0,0,679,0,3,682,0
154,1,40,205,322,385,0,0,1,0,1,6,0,1,962,0,4,966,0
155,1,10,100,190,82,0,2,0,0,1,1,0,1,388,0,0,388,0
156,2,6,180,267,167,0,0,0,0,2,2,0,0,626,0,3,629,0
157,1,16,140,246,171,0,0,1,0,0,3,0,1,579,0,3,582,0
158,1,22,207,437,221,1,1,1,0,0,5,0,0,896,0,1,897,0
159,1,36,215,317,300,2,0,2,2,3,8,1,1,888,0,4,892,0
160,1,27,183,232,231,0,0,1,0,0,0,0,0,675,0,3,678,0
161,1,8,130,214,158,0,0,3,1,1,6,1,3,526,0,3,529,0
162,2,25,231,270,300,1,1,2,0,1,4,1,0,838,0,3,841,0
163,1,28,250,375,213,0,1,2,0,2,3,1,1,877,0,2,879,0
164,0,21,200,302,143,0,0,1,1,0,2,1,1,672,0,3,675,0
165,1,38,243,353,287,1,0,1,1,0,4,2,4,935,0,9,944,0
166,10,30,264,246,297,0,0,2,2,1,3,0,0,855,0,6,861,0
167,0,40,337,211,325,0,0,1,0,0,2,1,1,918,0,5,923,0
168,0,21,179,218,192,3,1,3,0,1,3,0,2,623,0,5,628,0
169,0,25,167,260,215,0,0,1,0,1,1,0,0,670,0,2,672,0
170,0,21,139,127,175,1,1,1,0,0,2,0,1,468,0,3,471,0
171,0,19,118,113,179,0,0,0,0,1,1,0,0,431,0,4,435,0
172,1,30,201,218,208,0,0,2,2,1,5,0,0,668,0,4,672,0
173,2,15,172,242,227,1,1,2,0,0,8,0,0,670,0,2,672,0
174,1,20,185,296,256,0,1,3,2,3,6,1,0,774,0,5,779,0
175,0,29,469,48,264,2,1,0,0,0,3,0,0,816,0,2,818,0
176,1,12,192,68,192,0,0,0,0,0,2,4,1,472,0,1,473,0
177,0,30,289,384,249,0,0,3,0,0,3,3,1,962,0,2,964,0
178,4,33,206,367,203,1,0,3,0,1,5,3,0,826,0,6,832,0
179,1,21,150,436,168,0,0,1,0,2,1,1,1,782,0,1,783,0
180,8,31,294,182,337,1,1,0,0,1,11,4,2,872,0,5,877,0
181,0,13,141,153,157,1,0,1,0,1,5,1,0,473,0,0,473,0
182,2,28,184,223,275,0,0,0,0,0,4,1,0,717,0,4,721,0
183,0,24,250,205,357,1,0,1,1,0,5,0,0,844,0,3,847,0
184,1,15,212,139,274,0,1,2,1,1,4,0,0,650,0,0,650,0
185,2,24,189,144,205,0,0,1,1,0,5,0,0,571,0,1,572,0
186,4,23,176,201,345,0,1,0,1,0,6,0,1,758,0,4,762,1
187,1,23,262,303,250,0,0,2,1,0,7,2,2,853,0,1,854,0
188,3,17,158,186,248,1,0,1,1,1,3,1,1,621,0,3,624,0
189,0,12,58,82,102,0,0,0,0,0,1,0,0,255,0,1,256,0
190,2,27,281,178,254,1,1,8,0,0,1,0,0,753,0,5,758,0
191,0,38,197,185,259,3,0,4,0,0,6,1,1,694,0,2,696,0
192,0,20,209,154,226,0,0,1,1,0,1,0,1,613,0,4,617,0
193,0,19,450,55,197,0,0,2,0,0,2,0,2,727,0,3,730,0
194,3,30,365,129,330,1,0,4,0,0,2,0,1,865,0,4,869,0
195,4,45,207,384,284,0,0,0,0,0,3,0,2,929,0,6,935,0
196,2,7,185,217,267,0,0,0,0,2,1,0,1,682,0,4,686,0
197,0,28,143,248,190,1,0,1,0,1,0,0,0,612,0,3,615,0
198,2,28,190,187,230,1,1,0,0,0,2,0,0,641,0,4,645,0
199,1,20,151,339,188,1,0,2,0,0,3,0,1,706,0,0,706,0
200,1,29,231,253,222,1,0,1,0,0,0,0,0,738,0,2,740,0
201,2,17,164,115,160,0,0,0,0,0,1,0,0,459,0,1,460,0
202,2,15,158,176,189,1,1,1,0,0,3,0,0,546,0,5,551,0
203,1,17,166,159,145,1,1,0,0,0,3,0,0,493,0,1,494,0
204,0,8,135,134,132,0,0,0,1,0,2,0,0,412,0,4,416,0
205,0,11,130,137,134,0,0,0,0,0,0,0,0,412,0,2,414,0
206,4,17,218,212,289,1,0,1,1,0,5,1,0,749,0,4,753,0
207,0,27,120,160,237,2,0,1,0,0,0,1,1,549,0,2,551,0
208,1,16,182,142,188,0,0,1,1,1,1,0,1,534,0,3,537,0
209,2,8,178,128,201,0,0,1,0,0,6,0,1,525,0,2,527,0
210,2,10,69,220,111,0,0,3,3,0,2,1,0,421,0,1,422,0
211,3,30,152,407,168,3,1,1,0,1,3,0,0,769,0,4,773,0
212,3,29,151,403,148,0,2,0,2,1,2,0,3,744,0,0,744,0
213,3,25,192,403,186,1,0,0,0,1,3,2,2,818,0,1,819,0
214,1,27,243,323,222,1,1,1,0,0,4,0,1,824,0,2,826,0
215,2,26,103,195,174,1,0,1,1,0,4,1,1,509,0,1,510,0
216,3,63,224,322,219,3,0,1,0,1,1,4,0,841,0,2,843,1
217,1,21,161,236,129,2,0,1,0,0,1,1,1,554,0,1,555,0
218,2,11,141,187,117,1,0,0,1,0,5,1,1,467,0,2,469,0
219,1,27,263,399,255,1,0,1,0,1,3,4,0,955,0,2,957,0
220,4,26,261,454,237,3,0,0,0,0,4,4,0,993,0,3,996,0
221,1,14,199,209,145,0,0,1,0,0,1,1,0,571,0,1,572,0
222,0,18,250,214,181,0,0,1,1,1,3,0,1,670,0,5,675,0
223,2,26,222,274,235,2,0,0,1,0,6,4,0,772,0,3,775,0
224,0,16,163,172,263,2,0,0,0,0,4,0,0,620,0,1,621,0
225,0,8,108,129,84,0,0,0,0,0,1,0,1,331,0,0,331,0
226,3,28,121,289,160,0,1,2,1,0,4,0,0,609,0,4,613,0
227,1,29,196,193,197,2,0,1,0,1,2,0,3,625,0,1,626,0
228,1,26,197,262,147,1,2,0,0,0,1,1,0,638,0,0,638,0
229,1,16,126,192,156,0,0,0,4,0,2,0,1,498,0,2,500,0
230,1,34,197,175,205,0,1,0,0,0,2,0,0,615,0,1,616,0
231,2,8,179,165,199,2,0,0,0,4,5,3,0,567,0,2,569,0
232,2,23,161,364,176,1,0,1,1,0,4,4,1,738,0,2,740,0
233,1,25,161,272,128,1,0,0,0,0,3,0,2,593,0,1,594,0
234,2,7,175,219,195,1,0,2,2,1,2,1,1,608,0,0,608,0
235,1,20,259,398,169,0,0,0,0,1,3,3,2,856,0,2,858,0
236,1,15,243,208,270,1,0,0,1,0,0,0,1,740,0,1,741,0
237,1,10,138,207,72,0,0,1,0,0,0,0,0,429,0,1,430,0
238,2,48,283,278,293,1,0,0,0,1,6,0,0,912,0,1,913,0
239,0,15,170,287,175,0,0,0,0,0,2,2,1,652,0,3,655,0
240,3,14,94,228,90,1,0,0,0,0,0,1,0,431,0,0,431,0
241,1,32,236,336,222,0,0,1,1,2,1,2,1,835,0,2,837,0
242,2,14,245,244,137,1,0,1,0,0,2,3,0,649,0,0,649,0
243,2,18,152,247,192,0,0,0,1,0,1,0,0,613,0,1,614,0
244,0,23,318,399,210,0,0,2,0,1,0,2,0,955,0,2,957,0
245,0,54,281,293,364,1,0,2,0,1,4,0,0,1000,0,2,1002,0
246,1,37,151,211,202,1,0,0,0,0,1,0,0,604,0,4,608,0
247,1,14,204,350,205,1,0,0,0,0,1,1,2,779,0,1,780,0
248,2,16,170,212,207,0,0,0,0,0,1,1,1,610,0,4,614,0
249,0,28,127,155,205,0,0,1,0,0,2,0,0,518,0,0,518,0
250,1,30,299,241,307,0,1,0,0,1,1,0,1,882,0,2,884,0
251,1,14,216,261,195,0,0,0,0,0,3,2,0,692,0,1,693,0
252,0,8,104,171,72,0,0,0,0,0,1,0,0,356,0,0,356,0
253,5,20,253,396,298,1,0,0,1,0,5,1,1,981,0,2,983,0
254,1,4,146,271,113,1,0,0,0,0,4,1,0,541,0,2,543,0
255,1,19,133,192,144,0,0,1,0,0,4,1,0,495,0,3,498,0
256,1,7,196,79,205,1,0,1,0,0,1,1,1,493,0,1,494,0
257,4,26,169,375,155,1,0,1,0,1,2,2,2,738,0,3,741,0
258,1,22,217,205,407,2,0,2,0,0,3,2,0,861,0,1,862,0
259,2,7,79,115,174,0,0,1,0,0,1,0,0,379,0,0,379,0
260,4,26,277,243,307,6,0,0,1,2,7,2,0,875,0,4,879,0
261,0,34,290,304,299,1,0,1,0,0,0,1,0,930,0,7,937,0
262,0,17,403,120,215,0,0,0,0,0,2,0,0,757,0,1,758,0
263,0,14,264,226,274,1,1,1,0,0,3,0,3,787,0,1,788,0
264,0,21,135,311,137,0,0,0,0,0,7,1,1,613,0,6,619,0
265,0,26,263,296,253,1,0,1,1,1,3,1,3,849,0,1,850,0
266,0,37,161,259,110,1,0,0,1,0,1,0,0,570,0,0,570,0
267,0,9,162,276,157,0,0,0,1,1,1,1,0,608,0,0,608,0
268,3,22,146,354,104,0,0,2,1,0,0,3,2,637,0,2,639,0
269,3,11,190,293,132,3,0,0,0,1,0,0,1,634,0,5,639,0
270,0,17,207,246,239,6,0,1,0,0,5,1,0,722,0,3,725,0
271,4,15,177,235,134,1,1,0,0,2,0,1,0,570,0,2,572,0
272,2,27,280,341,141,0,1,1,0,0,6,1,1,801,0,5,806,0
273,0,15,160,222,140,1,1,0,1,0,0,0,0,540,0,1,541,0
274,2,17,123,208,135,0,0,0,0,0,0,0,1,486,0,2,488,0
275,2,16,214,350,217,1,1,0,0,0,4,2,0,807,0,5,812,0
276,0,43,230,431,323,2,1,1,0,0,2,1,1,1035,0,2,1037,0
277,8,24,241,454,195,1,0,1,1,0,6,2,1,934,0,3,937,0
278,0,24,237,286,330,3,1,0,1,0,3,1,2,888,0,7,895,0
279,1,18,287,383,251,1,3,2,1,1,2,1,1,952,0,9,961,0
280,1,22,235,213,313,1,1,1,1,2,6,4,1,801,0,2,803,0
281,0,22,200,176,247,0,0,1,2,0,2,1,0,651,0,1,652,0
282,0,16,199,173,167,0,1,0,1,0,1,1,0,559,0,0,559,0
283,0,6,323,340,246,2,0,0,0,2,5,3,1,928,0,4,932,0
284,2,15,130,182,296,2,0,0,0,1,2,1,1,632,0,1,633,0
285,1,3,178,100,170,0,0,0,0,0,1,2,2,457,0,0,457,0
286,3,19,236,161,308,2,0,0,3,0,4,0,1,737,0,4,741,0
287,3,15,205,266,285,0,0,3,0,0,6,1,1,785,0,6,791,0
288,0,32,279,168,245,1,0,1,0,0,2,0,1,729,0,2,731,0
289,1,49,253,168,298,2,0,2,0,2,4,2,0,781,0,1,782,0
290,2,39,212,157,430,0,1,0,0,0,3,1,0,845,0,2,847,0
291,0,10,268,209,187,1,1,1,0,0,6,3,1,687,0,3,690,0
292,1,14,281,217,127,1,0,0,0,0,2,0,0,643,0,5,648,0
