Polling Station No,KARIKALAPANDIYAN.A,CHANDRAPRABHA.M,MAHALINGAM.P,KARTHIK.A,CHANDRA.M,VARATHARAJAN.A,DR. SHYAM KRISHNASAMY,ALAGURAJA T,SUDANDIRADOSS.M,SURYAPRAKASH.R,DEVIALAKSHMI SARANYA.K,PANDIYAMMAL.M,MUTHURAJ.U,MURUGESAN.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
37,32,107,256,223,3,0,11,2,5,1,3,1,2,1,647,0,1,648,0
38,59,200,212,271,4,0,19,8,0,1,3,1,1,2,781,0,2,783,0
39,35,186,321,197,1,0,10,7,2,2,1,3,2,0,767,0,5,772,0
40,38,173,252,313,3,1,0,2,0,2,0,1,1,2,788,0,3,791,0
41,54,135,162,100,11,0,12,1,0,0,2,1,1,1,480,0,2,482,0
42,39,140,204,74,7,0,14,6,1,3,7,1,5,4,505,0,7,512,0
43,28,95,190,152,5,0,1,1,1,0,4,3,3,3,486,0,2,488,0
44,55,119,167,135,0,0,79,1,1,2,1,1,1,3,565,0,2,567,0
45,34,210,338,145,6,0,3,1,0,1,0,1,5,4,748,0,2,750,0
46,36,126,176,121,1,0,4,0,0,1,0,0,1,0,466,0,1,467,0
47,41,219,231,196,7,1,0,1,0,1,4,3,1,1,706,0,3,709,0
48,19,88,116,86,3,0,3,3,0,0,2,2,2,3,327,0,2,329,0
49,8,138,118,129,3,0,2,0,0,1,0,0,1,1,401,0,1,402,0
50,51,169,268,199,1,3,8,6,1,1,3,2,7,1,720,0,3,723,0
51,30,241,313,208,45,0,4,0,0,1,3,1,1,0,847,0,1,848,0
52,14,187,311,180,0,0,1,1,0,0,0,0,0,2,696,0,1,697,0
53,36,108,142,85,0,1,23,2,0,0,0,1,0,0,398,0,0,398,0
54,55,145,175,90,0,0,41,0,0,0,2,1,0,1,510,0,1,511,0
55,33,195,284,78,1,2,14,9,2,1,3,0,2,0,624,0,4,628,0
56,37,219,174,150,3,0,0,0,0,2,5,0,3,2,595,0,0,595,0
57,11,103,241,172,0,0,0,4,0,1,2,1,2,3,540,0,3,543,0
58,64,156,130,173,8,0,0,0,0,1,0,0,1,0,533,0,5,538,0
59,66,179,329,197,9,1,1,1,0,1,2,2,2,3,793,0,9,802,0
60,57,159,228,214,8,2,0,2,1,1,3,2,2,1,680,0,5,685,0
61,66,248,300,203,16,0,1,0,0,2,3,0,5,1,845,0,6,851,0
62,37,108,86,101,33,0,1,0,1,1,0,0,1,0,369,0,2,371,0
63,91,111,141,182,0,0,4,2,0,0,2,1,0,1,535,0,1,536,0
64,33,149,130,113,0,0,74,0,0,0,0,1,0,0,500,0,1,501,0
65,88,94,213,155,0,0,80,13,0,2,0,0,0,1,646,0,2,648,0
66,143,79,167,92,4,0,72,2,2,1,0,0,0,0,562,0,0,562,0
67,98,64,113,137,2,0,0,0,0,0,0,0,0,0,414,0,1,415,0
68,78,147,247,190,5,1,0,1,0,0,0,1,4,1,675,0,0,675,0
69,46,139,210,244,6,0,2,0,0,1,3,1,1,2,655,0,2,657,0
70,44,135,215,222,2,0,0,0,0,0,2,0,2,1,623,0,2,625,0
71,40,96,202,208,0,0,0,1,0,1,1,1,0,1,551,0,3,554,0
72,44,132,154,183,2,0,0,0,0,0,1,1,3,0,520,0,1,521,0
73,24,126,209,159,17,0,1,0,0,0,0,1,2,1,540,0,4,544,0
74,20,79,195,221,0,0,2,1,0,0,0,2,1,3,524,0,1,525,0
75,33,177,223,285,1,1,1,5,0,0,5,0,2,1,734,0,1,735,0
76,27,67,561,205,8,1,9,3,0,0,1,0,0,0,882,0,1,883,0
77,18,167,208,133,2,0,3,2,0,0,0,0,0,0,533,0,0,533,0
78,17,30,128,120,1,1,355,1,2,0,1,2,0,2,660,0,2,662,0
79,38,165,88,129,6,0,247,0,2,2,1,1,2,2,683,0,1,684,0
80,50,252,172,191,9,0,26,2,0,0,5,0,1,0,708,0,1,709,0
81,20,84,95,143,1,0,29,0,1,1,1,1,1,0,377,0,0,377,0
82,14,96,325,329,0,0,1,0,1,0,3,3,1,2,775,0,0,775,0
83,13,119,113,70,1,0,0,0,0,0,1,1,0,0,318,0,1,319,0
84,19,155,164,120,5,0,0,2,1,0,3,0,1,0,470,0,0,470,0
85,40,136,159,190,33,0,0,4,0,0,2,0,1,4,569,0,2,571,0
86,16,169,112,196,2,2,2,0,1,1,4,0,2,0,507,0,3,510,0
87,25,215,146,175,5,0,3,1,0,1,3,0,3,1,578,0,1,579,0
88,28,189,142,170,12,1,1,0,1,1,3,0,0,1,549,0,2,551,0
89,29,224,178,230,7,0,1,0,0,1,2,0,2,1,675,0,7,682,0
90,21,159,134,144,0,0,1,0,0,0,1,0,1,2,463,0,0,463,0
91,40,128,130,100,2,0,66,0,2,0,2,1,2,2,475,0,4,479,0
92,53,163,142,147,1,1,97,4,1,2,3,0,1,6,621,0,4,625,0
93,19,60,254,193,0,0,2,0,2,0,1,5,3,2,541,0,2,543,0
94,68,141,142,100,0,0,61,2,1,1,1,1,0,4,522,0,1,523,0
95,81,124,211,92,2,1,64,2,0,1,4,2,4,1,589,0,2,591,0
96,87,205,300,347,18,0,1,2,0,0,6,0,0,2,968,0,6,974,0
97,38,172,146,147,1,0,56,0,0,0,2,0,2,0,564,0,3,567,0
98,36,197,228,221,0,0,46,2,0,0,2,0,1,0,733,0,2,735,0
99,18,98,121,101,0,0,1,0,0,0,0,0,0,0,339,0,4,343,0
100,26,178,182,163,3,0,3,1,0,0,1,0,1,2,560,0,3,563,0
101,29,93,69,157,0,0,7,0,0,0,0,1,0,0,356,0,0,356,0
102,19,166,393,344,0,0,0,0,1,0,4,0,1,0,928,0,5,933,0
103,37,149,278,252,1,0,0,2,0,0,1,0,1,0,721,0,4,725,0
104,36,241,255,190,0,1,6,1,1,2,4,3,1,0,741,0,2,743,0
105,45,88,206,179,0,0,5,0,0,0,1,0,0,3,527,0,2,529,0
106,33,140,238,191,1,0,16,1,0,2,0,2,0,1,625,0,0,625,0
107,50,163,300,184,0,0,15,2,0,0,1,0,2,1,718,0,2,720,0
108,82,262,290,230,1,1,13,2,1,0,2,3,4,2,893,0,4,897,0
109,91,109,221,229,3,0,64,2,1,1,4,0,5,0,730,0,0,730,0
110,34,86,257,139,0,0,24,2,0,1,1,3,2,0,549,0,0,549,0
111,20,65,99,94,18,0,29,0,0,3,1,3,2,0,334,0,3,337,0
112,37,101,221,275,5,0,5,2,1,1,0,1,2,1,652,0,1,653,0
113,30,267,264,260,4,0,1,1,0,0,2,0,1,3,833,0,1,834,0
114,37,146,229,231,23,0,34,3,0,0,1,1,1,2,708,0,3,711,0
115,48,139,254,216,19,0,3,2,0,1,1,2,0,1,686,0,3,689,0
116,17,65,209,212,1,0,46,0,1,0,0,0,1,1,553,0,3,556,0
117,38,155,239,205,7,3,128,1,3,3,0,3,7,2,794,0,1,795,0
118,50,158,224,187,6,0,89,2,1,3,1,2,1,0,724,0,3,727,0
119,61,196,358,269,5,2,5,1,0,2,2,4,3,2,910,0,3,913,0
120,15,88,124,148,1,1,31,2,0,0,1,0,1,2,414,0,2,416,0
121,55,102,209,227,6,1,18,2,1,0,2,0,0,0,623,0,5,628,0
122,43,161,327,330,8,0,23,4,1,2,2,0,2,2,905,0,3,908,0
123,23,123,135,129,0,0,29,1,0,0,0,0,0,2,442,0,5,447,0
124,20,160,113,100,0,1,8,0,0,0,3,0,0,0,405,0,4,409,0
125,32,115,173,152,9,1,111,1,1,3,3,1,3,2,607,0,8,615,0
126,13,122,127,94,11,0,5,0,0,1,6,5,3,1,388,0,3,391,0
127,31,111,208,279,1,0,1,1,0,0,1,0,1,0,634,0,1,635,0
128,37,69,52,135,0,1,198,3,1,3,1,1,2,0,503,0,3,506,0
129,37,67,42,73,0,1,0,0,0,1,0,0,0,1,222,0,0,222,0
130,140,161,133,299,1,0,0,1,0,1,3,1,2,1,743,0,0,743,0
131,87,127,127,186,1,0,1,1,0,1,2,2,0,0,535,0,6,541,0
132,28,40,15,26,0,0,135,1,3,1,0,1,1,0,251,0,0,251,0
133,151,250,170,301,2,0,1,1,0,4,0,0,2,1,883,0,4,887,0
134,95,212,167,288,25,0,0,2,0,0,3,2,5,1,800,0,3,803,0
135,31,201,159,213,17,0,0,0,0,1,1,0,2,2,627,0,6,633,0
136,35,97,169,246,2,2,1,0,2,0,3,1,2,1,561,0,5,566,0
137,58,176,184,416,6,2,0,0,1,1,3,1,2,3,853,0,3,856,0
138,37,122,116,234,6,0,11,1,1,1,1,1,2,0,533,0,3,536,0
139,30,75,149,298,3,1,43,0,0,2,0,2,4,0,607,0,1,608,0
140,37,156,131,415,15,0,57,4,2,2,3,3,2,1,828,0,4,832,0
141,2,6,15,29,2,0,0,1,0,0,0,0,1,0,56,0,1,57,0
142,44,187,167,232,17,1,1,1,1,0,2,1,1,0,655,0,1,656,0
143,54,111,132,250,11,0,1,0,1,1,1,0,0,2,564,0,3,567,0
144,41,142,118,233,22,1,1,0,0,0,2,1,2,0,563,0,3,566,0
145,72,165,124,216,16,1,0,1,0,0,1,0,5,2,603,0,4,607,0
146,62,118,140,244,12,0,0,0,0,0,1,0,0,0,577,0,2,579,0
147,99,149,152,181,5,0,0,0,0,2,0,3,2,3,596,0,4,600,0
148,55,115,106,209,4,0,0,0,1,0,1,0,1,0,492,0,1,493,0
149,109,87,182,166,0,1,95,1,0,1,1,3,1,1,648,0,5,653,0
150,48,68,244,165,2,0,142,1,2,1,2,1,2,2,680,0,4,684,0
151,39,128,81,231,5,0,1,1,1,0,4,0,0,0,491,0,8,499,0
152,32,154,154,221,21,0,22,2,0,0,2,2,2,0,612,0,0,612,0
153,124,203,151,510,4,0,0,0,1,0,2,1,2,0,998,0,5,1003,0
154,64,95,188,392,2,0,10,1,0,0,1,2,1,2,758,0,7,765,0
155,30,47,104,308,1,0,10,0,1,1,2,2,1,1,508,0,4,512,0
156,41,91,194,205,2,0,312,3,1,2,2,1,1,1,856,0,2,858,0
157,86,150,156,302,0,0,135,0,2,2,0,3,2,3,841,0,4,845,0
158,31,88,138,201,2,0,23,0,0,1,2,1,1,1,489,0,0,489,0
159,32,80,97,200,2,0,84,0,1,2,1,1,1,1,502,0,2,504,0
160,60,194,156,266,4,1,9,0,0,0,2,1,0,0,693,0,4,697,0
161,8,349,244,200,5,0,13,0,0,3,1,1,3,3,830,0,1,831,0
162,10,202,217,97,1,2,3,0,0,0,0,1,1,2,536,0,1,537,0
163,34,150,198,153,3,1,43,0,0,0,3,1,1,0,587,0,1,588,0
164,12,271,309,127,4,0,0,0,0,0,3,1,0,3,730,0,2,732,0
165,15,140,104,166,2,0,7,1,0,1,2,2,0,1,441,0,0,441,0
166,14,187,173,161,9,1,140,4,2,2,3,1,1,1,699,0,1,700,0
167,70,250,142,160,1,1,191,1,4,1,6,5,3,4,839,0,7,846,0
168,57,136,353,191,14,0,130,4,2,2,3,5,5,1,903,0,3,906,0
169,30,165,213,127,2,0,1,3,1,1,3,1,1,2,550,0,6,556,0
170,30,51,202,143,9,1,309,2,0,2,1,1,2,3,756,0,2,758,0
171,38,42,165,144,5,0,111,4,1,0,0,0,1,0,511,0,5,516,0
172,18,101,87,82,10,0,17,0,0,1,1,0,0,1,318,0,0,318,0
173,40,135,183,214,42,0,15,1,0,1,0,0,0,1,632,0,6,638,0
174,59,188,255,147,14,1,38,2,0,1,2,0,3,1,711,0,5,716,0
175,31,63,105,90,1,0,117,2,0,1,0,0,0,0,410,0,0,410,0
176,59,67,158,158,1,1,260,2,2,6,4,3,3,0,724,0,2,726,0
177,26,52,66,65,1,1,82,0,0,0,2,0,1,2,298,0,1,299,0
178,60,45,123,52,1,0,67,2,3,2,1,0,0,2,358,0,0,358,0
179,56,139,280,154,20,0,4,0,0,1,1,1,1,0,657,0,2,659,0
180,43,199,305,220,86,1,56,3,1,0,7,0,1,0,922,0,1,923,0
181,47,184,263,322,13,1,6,1,0,1,1,1,2,0,842,0,0,842,0
182,50,41,164,120,1,0,53,1,0,0,0,0,1,1,432,0,0,432,0
183,54,164,202,329,16,0,40,2,0,0,1,0,0,0,808,0,4,812,0
184,54,89,248,228,13,1,106,2,0,2,1,0,1,0,745,0,3,748,0
185,37,221,237,99,14,0,11,0,0,1,4,0,2,0,626,0,2,628,0
186,25,101,126,138,0,1,21,0,0,1,0,0,1,0,414,0,2,416,0
187,32,197,185,157,32,0,40,1,0,0,6,1,1,0,652,0,5,657,0
188,62,49,184,105,4,1,201,0,0,1,0,2,2,1,612,0,2,614,0
189,43,121,190,141,19,0,1,2,0,0,1,0,4,0,522,0,3,525,0
190,17,52,116,69,26,0,82,1,2,1,0,0,1,0,367,0,2,369,0
191,40,70,162,177,5,0,220,0,1,2,0,1,1,1,680,0,3,683,0
192,36,60,187,123,1,1,177,2,0,2,0,0,3,0,592,0,1,593,0
193,50,114,143,324,1,0,30,1,0,0,0,0,0,0,663,0,0,663,0
194,52,170,152,227,1,1,4,2,0,1,0,0,2,0,612,0,3,615,0
195,66,99,143,250,7,1,51,2,0,0,3,3,2,3,630,0,2,632,0
196,83,164,94,278,4,0,0,0,0,2,0,1,3,1,630,0,5,635,0
197,69,164,83,300,0,0,1,1,0,0,0,0,3,2,623,0,2,625,0
198,133,179,91,346,5,2,2,0,1,2,4,4,0,2,771,0,8,779,0
199,113,221,122,442,2,1,2,3,1,1,1,3,1,2,915,0,3,918,0
200,27,97,86,170,2,0,0,0,0,1,2,0,0,0,385,0,5,390,0
201,35,120,125,253,3,0,0,0,0,1,0,1,0,0,538,0,2,540,0
202,59,149,246,375,14,1,0,1,0,0,1,0,0,0,846,0,3,849,0
203,63,94,105,274,2,2,1,1,0,0,1,1,0,0,544,0,5,549,0
204,60,87,149,259,1,1,0,1,0,0,1,0,2,1,562,0,1,563,0
205,28,128,73,217,0,0,0,0,0,2,2,1,1,0,452,0,0,452,0
206,49,152,63,240,1,1,0,0,0,1,0,0,0,0,507,0,2,509,0
207,47,58,165,437,3,1,3,0,1,3,1,5,0,3,727,0,3,730,0
208,29,84,216,330,1,0,0,0,0,1,4,5,1,2,673,0,3,676,0
209,32,78,179,215,0,0,1,0,0,0,2,2,4,2,515,0,1,516,0
210,20,101,174,167,2,0,0,1,0,1,0,1,4,0,471,0,3,474,0
211,67,162,151,265,0,1,0,1,0,0,1,3,3,3,657,0,6,663,0
212,44,185,157,308,5,0,0,0,0,0,0,1,0,1,701,0,2,703,0
213,41,149,148,361,2,0,3,0,0,0,1,1,1,0,707,0,4,711,0
214,21,134,109,252,1,0,0,0,1,0,2,1,0,0,521,0,8,529,0
215,38,172,162,346,2,2,3,0,0,0,0,0,0,0,725,0,3,728,0
216,73,134,137,351,1,1,2,0,0,0,1,0,1,0,701,0,4,705,0
217,21,86,312,246,0,1,2,0,0,0,0,0,1,0,669,0,2,671,0
218,51,71,290,418,3,0,2,0,0,0,2,4,2,0,843,0,6,849,0
219,32,72,170,265,2,0,1,0,0,0,4,7,0,0,553,0,1,554,0
220,60,78,193,420,1,0,2,0,1,1,0,3,0,2,761,0,7,768,0
221,16,112,238,322,0,1,2,1,2,1,5,0,2,1,703,0,1,704,0
222,34,72,143,209,1,0,0,1,0,1,1,0,1,1,464,0,3,467,0
223,29,89,215,136,0,0,1,0,0,0,1,0,3,0,474,0,6,480,0
224,22,114,223,308,2,0,0,1,0,0,1,1,2,1,675,0,4,679,0
225,43,111,188,363,1,0,4,3,0,1,1,2,0,1,718,0,3,721,0
226,17,30,410,240,0,0,0,0,0,0,0,1,0,0,698,0,0,698,0
227,30,94,157,257,1,1,0,0,0,0,4,1,1,0,546,0,1,547,0
228,28,89,134,194,1,0,2,0,1,0,2,0,0,0,451,0,2,453,0
229,43,238,113,311,0,0,1,0,0,0,1,1,3,0,711,0,1,712,0
230,34,195,133,305,1,0,4,1,0,2,3,1,2,1,682,0,4,686,0
231,51,124,132,312,1,0,69,1,1,2,1,0,1,2,697,0,6,703,0
232,55,161,203,410,4,1,2,2,0,0,3,2,2,0,845,0,2,847,0
233,18,140,115,290,0,0,0,0,0,0,1,1,0,1,566,0,2,568,0
234,41,218,141,256,1,0,0,2,0,1,1,2,0,0,663,0,5,668,0
235,16,61,32,132,1,0,1,0,0,2,1,0,0,1,247,0,3,250,0
236,16,135,124,211,2,2,0,1,0,1,1,0,2,0,495,0,6,501,0
237,23,115,158,264,0,0,0,0,0,1,1,0,1,0,563,0,2,565,0
238,50,132,158,327,1,2,3,2,0,0,5,2,0,1,683,0,2,685,0
239,26,119,214,217,3,0,0,0,0,1,1,1,1,0,583,0,2,585,0
240,33,168,147,336,1,1,1,1,1,0,0,0,0,0,689,0,5,694,0
241,29,104,123,250,1,0,1,0,1,1,2,1,0,0,513,0,4,517,0
242,24,63,264,208,1,1,1,3,0,1,2,1,2,1,572,0,1,573,0
243,21,125,106,293,2,1,1,1,0,0,3,0,1,2,556,0,2,558,0
244,36,205,221,335,1,1,1,1,0,0,1,1,0,0,803,0,1,804,0
245,24,185,139,256,2,1,0,0,0,0,0,1,1,1,610,0,4,614,0
246,31,137,193,247,2,0,1,0,0,0,2,1,0,0,614,0,9,623,0
247,43,186,166,370,3,0,3,0,1,0,2,2,0,0,776,0,7,783,0
248,35,124,246,441,3,0,1,0,0,1,3,1,1,2,858,0,3,861,0
249,30,111,192,285,1,0,0,0,1,0,1,0,0,0,621,0,3,624,0
250,40,77,189,299,21,0,0,0,0,0,1,0,1,0,628,0,6,634,0
251,44,116,241,377,31,3,1,1,0,1,2,0,2,0,819,0,3,822,0
252,20,61,280,303,0,0,0,0,0,0,1,1,1,1,668,0,1,669,0
253,14,54,153,195,1,0,1,0,0,0,1,0,1,1,421,0,0,421,0
254,54,125,137,236,1,0,0,1,0,0,5,0,0,2,561,0,3,564,0
255,22,95,107,207,2,0,2,0,0,0,2,1,1,1,440,0,3,443,0
256,40,155,102,283,1,0,1,0,0,0,1,0,0,0,583,0,3,586,0
257,68,210,143,330,3,1,2,0,0,0,2,1,1,2,763,0,1,764,0
258,52,112,109,235,5,0,0,0,0,0,1,2,2,2,520,0,7,527,0
259,34,129,210,287,33,1,2,0,0,0,1,1,5,0,703,0,9,712,0
260,38,161,170,286,12,0,1,0,0,2,0,0,0,0,670,0,1,671,0
261,18,230,115,239,6,1,3,0,0,0,0,1,1,0,614,0,8,622,0
262,21,78,86,136,0,0,0,1,0,0,0,1,0,0,323,0,2,325,0
263,28,123,81,185,2,0,0,0,0,0,0,0,0,0,419,0,6,425,0
264,15,116,105,164,0,1,3,0,1,0,0,1,0,1,407,0,1,408,0
265,40,95,115,273,2,0,2,0,0,0,1,0,0,0,528,0,1,529,0
266,47,118,136,271,3,0,1,1,0,1,0,1,0,0,579,0,4,583,0
267,29,129,204,323,0,0,6,0,0,0,1,0,1,0,693,0,4,697,0
268,41,122,220,326,3,0,3,0,0,1,1,0,2,0,719,0,4,723,0
269,15,80,229,191,4,0,0,1,0,1,0,1,3,0,525,0,4,529,0
270,17,82,189,177,14,0,0,2,2,0,1,2,2,1,489,0,3,492,0
271,51,105,238,273,6,0,28,4,1,1,1,0,0,1,709,0,10,719,0
272,38,48,147,167,1,0,69,0,1,0,2,0,0,2,475,0,4,479,0
273,47,55,135,252,2,0,77,1,0,0,1,4,1,2,577,0,2,579,0
274,62,73,202,332,0,0,60,2,2,1,0,1,1,0,736,0,4,740,0
275,26,90,98,174,0,1,62,1,0,2,0,0,0,3,457,0,3,460,0
276,67,104,196,294,8,0,3,0,0,3,0,2,1,1,679,0,7,686,0
277,88,226,235,394,0,1,0,0,1,1,4,4,4,4,962,0,3,965,0
278,83,172,184,262,1,0,0,0,0,0,2,2,0,3,709,0,1,710,0
279,69,201,201,473,4,0,1,0,0,3,4,4,1,2,963,0,4,967,0
280,56,186,153,205,0,0,1,0,0,0,0,0,0,1,602,0,1,603,0
281,26,88,100,67,0,0,167,0,1,3,0,0,2,2,456,0,0,456,0
282,45,100,148,201,0,0,203,1,2,3,3,2,2,1,711,0,2,713,0
283,77,101,205,337,4,0,50,0,0,0,0,0,0,1,775,0,4,779,0
284,29,102,155,170,2,0,8,1,1,0,0,0,0,0,468,0,0,468,0
285,69,136,279,326,3,0,55,2,2,0,1,1,1,0,875,0,7,882,0
286,76,202,180,296,7,0,6,0,0,0,4,1,1,0,773,0,2,775,0
287,43,167,242,266,0,0,98,1,1,0,1,1,8,0,828,0,1,829,0
288,11,171,141,229,0,0,0,0,0,0,1,0,0,1,554,0,1,555,0
289,14,227,146,253,3,0,65,0,0,2,3,0,2,1,716,0,2,718,0
290,30,151,178,251,12,0,11,2,1,1,1,4,2,1,645,0,2,647,0
291,66,211,178,175,11,0,1,1,2,1,4,3,3,3,659,0,8,667,0
292,67,153,106,174,21,0,5,1,0,0,7,2,2,4,542,0,6,548,0
293,90,142,136,209,5,0,78,2,2,1,6,2,1,0,674,0,4,678,0
294,33,202,256,328,4,1,3,4,1,2,5,5,2,0,846,0,3,849,0
295,28,33,58,105,1,1,90,1,2,2,0,1,2,2,326,0,1,327,0
296,49,233,191,305,3,1,23,3,0,1,3,0,3,2,817,0,6,823,0
297,26,297,116,178,1,0,2,1,1,1,1,0,0,4,628,0,3,631,0
298,132,214,248,340,3,2,2,0,0,0,0,1,0,0,942,0,6,948,0
299,28,149,201,253,6,4,79,1,2,1,4,1,1,2,732,0,2,734,0
300,38,144,162,185,0,0,150,3,2,1,2,0,4,4,695,0,1,696,0
301,18,126,188,132,18,0,150,2,3,2,0,4,5,4,652,0,0,652,0
302,39,58,103,82,2,2,86,1,0,1,0,0,0,1,375,0,1,376,0
303,42,148,147,181,62,1,0,3,0,0,4,4,1,0,593,0,1,594,0
304,20,77,141,104,9,0,3,0,0,0,1,0,2,2,359,0,0,359,0
305,26,244,187,304,13,0,0,0,0,3,4,0,2,2,785,0,5,790,0
306,4,97,27,49,4,0,0,0,0,0,0,0,0,0,181,0,0,181,0
307,31,117,155,159,20,1,7,0,0,0,1,3,1,2,497,0,0,497,0
308,13,237,170,263,0,0,1,0,0,0,0,3,0,0,687,0,5,692,0
