Polling Station No,ANANDHARAJA. D.,KADARKARAIRAJ. A,KAMALA VEL SELVAN. P,NAINAR NAGENTHRAN,AJITH. M,ESAKKIRAJA. K,THANGA DURAI. P,MUTHUKANNU. C,VELMURUGAN. S,AJITHKUMAR. S,KALIRAJ. M,SARAVANAN. P,THANGA MARIAPPAN. J,NARMADA NANDHAKUMAR,MAHENDRAN. M,MAHESHKUMAR. M,MANIVASAGAM.S,MAYAKKANNAN. V,MUTHARASAN. M,RAMESH KUMAR. B,VIJENDRAN. G,VENKATESAN. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
209,24,169,1,154,131,33,1,0,0,1,1,1,0,0,1,1,2,1,1,0,2,0,524,0,1,525,0
210,22,199,0,195,170,18,2,0,81,1,0,0,0,1,1,1,4,1,0,1,1,0,698,0,1,699,0
211,22,165,1,201,129,89,1,3,38,0,1,0,1,0,0,2,2,3,0,1,0,1,660,0,2,662,0
212,20,228,1,168,154,46,0,0,1,0,0,0,0,0,2,4,2,1,0,2,0,0,629,0,3,632,0
213,16,220,0,181,247,66,0,0,0,0,1,2,0,0,0,1,4,4,0,0,1,2,745,0,2,747,0
214,13,168,1,149,188,18,0,0,1,0,0,1,1,1,1,1,2,1,1,1,1,0,549,0,2,551,0
215,14,190,2,143,73,126,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,553,0,1,554,0
216,6,195,1,124,95,105,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,2,534,0,1,535,0
217,70,210,1,198,177,25,0,0,0,0,0,0,0,0,0,1,2,2,0,5,2,0,693,0,0,693,0
218,9,253,1,180,189,43,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,682,0,2,684,0
219,31,247,2,156,137,17,0,0,1,0,0,2,0,0,2,0,1,1,1,0,1,1,600,0,2,602,0
220,13,202,2,137,160,14,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,532,0,1,533,0
221,19,241,0,166,225,18,0,0,0,0,0,0,1,1,1,1,2,2,1,1,0,1,680,0,3,683,0
222,39,239,4,196,293,22,0,0,0,0,0,2,0,2,0,4,3,1,0,3,0,1,809,0,1,810,0
223,28,146,2,140,182,21,0,0,1,0,0,0,0,0,2,2,2,1,0,2,0,0,529,0,1,530,0
224,22,207,2,213,163,29,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,641,0,1,642,0
225,14,143,0,40,81,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,1,286,0
226,22,219,4,219,172,9,1,0,1,0,0,0,2,0,1,1,1,3,0,2,3,0,660,0,2,662,0
227,10,67,2,181,42,153,1,2,1,1,1,0,1,2,0,1,1,2,1,2,0,0,471,0,1,472,0
228,12,174,1,206,209,2,0,0,0,0,0,0,0,0,1,0,1,1,0,4,1,0,612,0,2,614,0
229,28,167,1,146,215,2,0,0,7,0,0,0,1,0,0,1,1,3,0,0,0,1,573,0,4,577,0
230,83,232,2,76,215,1,0,2,65,0,0,1,0,0,0,0,0,0,1,1,0,0,679,0,0,679,0
