Polling Station No,ANNADURAI K,KANNAN S,SEKAR C V,GURUMOORTHY M,MATHAN C,ANNADURAI C N,SURESH M R,SURESH R,MOHAMED SHARIF M,MUTHUKUMAR D,ZIAUDEEN A J,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
52,345,44,117,1,150,2,1,0,1,0,0,661,0,0,661,0
53,176,118,296,2,177,4,0,0,2,3,0,778,0,3,781,0
54,192,28,193,0,68,0,0,0,0,0,0,481,0,3,484,0
55,275,86,375,0,135,2,1,2,0,2,2,880,0,4,884,0
56,277,37,286,0,171,1,0,1,0,2,1,776,0,2,778,0
57,218,35,396,1,237,1,1,2,1,1,1,894,0,2,896,0
58,93,29,175,1,185,2,2,0,3,2,3,495,0,2,497,0
59,229,48,302,0,195,2,1,1,1,1,1,781,0,4,785,0
60,293,194,180,3,233,1,1,1,1,0,0,907,0,3,910,0
61,311,54,280,5,304,1,1,1,1,0,2,960,0,2,962,0
62,290,72,185,1,198,2,0,1,0,3,1,753,0,6,759,0
63,220,26,196,1,151,2,1,1,2,0,0,600,0,3,603,0
64,2 266,26,152,0,110,0,0,1,0,0,0,555,0,2,557,0
65,158,29,76,0,157,3,2,1,2,0,0,428,0,4,432,0
66,139,73,97,1,134,0,0,0,0,1,0,445,0,1,446,0
67,178,53,180,1,169,0,2,1,0,0,1,585,0,3,588,0
68,112,31,108,1,114,2,1,0,0,0,1,370,0,1,371,0
69,148,36,100,3,125,1,1,0,0,0,1,415,0,1,416,0
70,196,39,188,2,186,1,0,0,2,2,1,617,0,2,619,0
71,237,74,152,7,150,1,2,0,0,1,0,624,0,6,630,0
72,145,11,151,1,88,2,0,0,0,0,0,398,0,2,400,0
73,220,40,197,4,169,2,2,0,2,2,0,638,0,1,639,0
74,165,27,139,1,179,1,0,0,0,0,2,514,0,2,516,0
75,143,25,117,2,66,2,1,0,0,0,0,356,0,3,359,0
76,155,42,177,2,153,2,1,0,3,3,2,540,0,1,541,0
77,163,43,110,3,89,3,1,1,3,0,0,416,0,3,419,0
78,149,41,94,0,113,0,1,0,0,0,1,399,0,2,401,0
79,178,32,137,4,169,0,3,1,0,0,0,524,0,0,524,0
80,166,19,160,1,92,1,0,0,0,0,0,439,0,0,439,0
81,196,43,191,0,267,2,2,1,2,0,3,707,0,0,707,0
82,67,37,148,4,64,1,0,1,0,2,2,326,0,3,329,0
83,235,44,184,2,106,2,0,3,0,0,0,576,0,4,580,0
84,143,20,121,1,83,0,0,1,0,0,2,371,0,2,373,0
85,177,27,87,0,53,2,1,2,0,1,0,350,0,5,355,0
86,176,27,223,0,57,3,0,0,0,2,0,488,0,2,490,0
87,187,81,230,2,277,3,3,1,2,2,2,790,0,10,800,0
88,202,44,221,2,149,3,0,0,0,1,2,624,0,5,629,0
89,104,55,104,1,96,0,1,1,1,1,1,365,0,2,367,0
90,56,112,174,5,115,0,0,1,0,1,1,465,0,1,466,0
91,95,36,156,2,190,0,0,0,0,1,2,482,0,0,482,0
92,171,33,186,1,100,0,1,0,0,0,0,492,0,0,492,0
93,196,19,201,2,116,0,0,0,0,0,0,534,0,2,536,0
94,210,29,123,1,133,2,1,0,0,1,1,501,0,0,501,0
95,187,41,254,0,191,0,1,1,0,1,0,676,0,3,679,0
96,3 278,29,271,0,139,1,1,0,0,0,0,719,0,1,720,0
97,193,83,266,5,115,1,2,2,1,2,1,671,0,2,673,0
98,303,30,263,1,236,2,2,0,0,1,0,838,0,4,842,0
99,203,69,288,3,164,2,1,0,0,1,2,733,0,1,734,0
100,217,47,117,1,102,2,0,1,0,0,0,487,0,10,497,0
101,282,55,187,3,227,2,0,0,1,0,0,757,0,2,759,0
102,306,84,271,3,193,1,0,1,1,0,0,860,0,1,861,0
103,317,68,251,2,229,1,1,1,0,0,0,870,0,4,874,0
104,177,42,180,1,155,1,0,1,0,0,0,557,0,3,560,0
105,138,50,181,1,109,2,1,1,1,0,0,484,0,1,485,0
106,230,24,260,3,220,0,0,0,0,2,0,739,0,1,740,0
107,243,28,273,1,54,0,0,1,0,1,0,601,0,1,602,0
108,196,37,283,3,133,1,1,0,1,1,2,658,0,3,661,0
109,206,54,145,7,243,4,2,0,0,1,0,662,0,2,664,0
110,303,66,206,2,177,0,1,0,0,0,0,755,0,1,756,0
111,230,33,209,2,71,0,0,0,0,1,0,546,0,6,552,0
112,273,102,280,2,172,2,0,0,0,2,1,834,0,2,836,0
113,224,110,199,3,283,4,1,0,2,2,2,830,0,2,832,0
114,203,34,243,3,159,1,0,0,1,1,0,645,0,1,646,0
115,259,108,148,3,367,6,0,3,2,2,3,901,0,3,904,0
116,226,31,151,1,257,1,1,0,0,0,1,669,0,3,672,0
117,218,53,182,1,155,2,0,1,0,0,2,614,0,5,619,0
118,151,30,197,3,122,2,0,4,0,0,1,510,0,2,512,0
119,211,13,246,0,99,1,1,9,0,1,1,582,0,3,585,0
120,218,27,238,5,126,1,1,5,0,0,0,621,0,3,624,0
121,112,25,96,2,105,0,0,0,0,0,0,340,0,1,341,0
122,355,47,250,5,178,2,2,0,2,2,0,843,0,0,843,0
123,170,57,194,3,198,0,0,1,0,1,0,624,0,2,626,0
124,115,46,195,1,140,0,1,2,0,0,0,500,0,2,502,0
125,248,96,219,1,268,0,0,0,0,0,1,833,0,9,842,0
126,136,44,146,1,121,1,0,0,0,0,0,449,0,1,450,0
127,202,45,109,0,134,2,0,1,0,0,0,493,0,0,493,0
128,4 214,73,277,0,140,1,0,1,0,0,1,707,0,5,712,0
129,105,26,100,1,210,0,0,1,2,0,0,445,0,0,445,0
130,126,34,137,2,214,0,3,1,0,1,1,519,0,3,522,0
131,139,26,101,1,166,0,1,0,0,1,0,435,0,1,436,0
132,227,40,164,1,315,2,2,1,1,1,1,755,0,3,758,0
133,99,70,91,1,208,0,5,1,1,1,1,478,0,0,478,0
134,202,37,152,3,371,1,3,2,0,0,1,772,0,5,777,0
135,212,33,136,2,232,1,0,2,1,0,1,620,0,1,621,0
136,216,20,77,0,145,2,1,0,0,0,0,461,0,2,463,0
137,252,29,200,0,304,0,1,0,0,1,0,787,0,2,789,0
138,230,29,89,1,206,0,1,0,2,0,2,560,0,4,564,0
139,269,29,111,0,260,0,0,0,4,0,1,674,0,3,677,0
140,186,24,77,0,145,1,0,1,0,0,2,436,0,3,439,0
141,245,17,55,1,116,1,0,1,1,0,0,437,0,4,441,0
142,159,20,124,0,153,0,0,0,1,0,0,457,0,1,458,0
143,150,22,66,4,172,1,1,0,2,0,0,418,0,1,419,0
144,149,25,81,0,158,0,0,0,0,0,0,413,0,1,414,0
145,189,50,173,1,214,1,0,1,1,2,1,633,0,1,634,0
146,178,23,161,0,155,0,3,0,0,1,0,521,0,3,524,0
147,238,41,132,1,199,0,0,2,1,0,0,614,0,8,622,0
148,232,48,108,0,302,0,0,1,1,1,0,693,0,5,698,0
149,197,56,155,1,222,0,1,0,1,0,0,633,0,1,634,0
150,179,78,202,3,252,1,3,1,4,1,1,725,0,2,727,0
151,97,20,79,2,108,0,1,0,0,0,0,307,0,3,310,0
152,176,54,149,2,257,0,1,0,0,1,1,641,0,7,648,0
153,101,18,73,0,96,0,0,1,0,1,0,290,0,0,290,0
154,281,85,195,1,320,3,3,0,1,1,0,890,0,9,899,0
155,239,77,149,1,270,1,0,0,2,3,0,742,0,0,742,0
156,191,27,152,2,160,1,1,0,0,0,0,534,0,2,536,0
157,289,24,159,0,222,0,1,0,0,0,0,695,0,2,697,0
158,188,36,126,0,252,0,2,0,0,1,0,605,0,4,609,0
159,125,21,91,1,133,2,0,0,0,0,0,373,0,0,373,0
160,5 176,27,144,0,201,0,1,1,0,0,0,550,0,4,554,0
161,136,32,145,1,181,1,1,0,1,1,0,499,0,1,500,0
162,232,39,170,3,239,2,3,0,1,3,0,692,0,2,694,0
163,192,37,221,0,235,1,0,0,0,2,0,688,0,3,691,0
164,138,24,193,1,212,0,3,0,0,1,0,572,0,4,576,0
165,223,24,121,1,187,1,0,0,0,0,2,559,0,5,564,0
166,328,38,169,1,291,6,0,0,2,1,0,836,0,2,838,0
167,53,17,49,0,66,0,0,1,0,0,0,186,0,1,187,0
168,150,53,214,2,254,1,0,2,1,3,1,681,0,3,684,0
169,213,65,202,3,248,1,1,1,0,1,0,735,0,2,737,0
170,84,40,129,1,143,0,1,1,1,1,0,401,0,1,402,0
171,199,39,135,0,192,2,1,1,0,0,0,569,0,2,571,0
172,162,47,162,0,135,0,1,1,0,0,0,508,0,2,510,0
173,224,40,158,1,235,0,0,0,1,1,0,660,0,2,662,0
174,243,55,156,0,254,1,1,0,0,3,0,713,0,3,716,0
175,250,18,106,0,222,0,0,0,2,2,0,600,0,2,602,0
176,93,7,45,0,63,1,0,1,0,0,0,210,0,0,210,0
177,214,37,105,1,191,2,2,0,1,0,0,553,0,3,556,0
178,164,23,144,0,188,0,1,0,1,0,0,521,0,3,524,0
179,81,8,123,2,88,0,0,0,0,1,1,304,0,0,304,0
180,119,18,104,1,175,0,0,1,0,0,0,418,0,4,422,0
181,166,50,105,0,187,0,0,0,1,0,2,511,0,4,515,0
182,72,32,121,1,125,0,0,0,0,0,1,352,0,1,353,0
183,121,37,124,0,120,1,0,0,2,0,0,405,0,2,407,0
184,193,24,57,1,236,1,1,0,1,0,0,514,0,2,516,0
185,214,31,91,1,250,0,1,2,2,0,0,592,0,2,594,0
186,253,59,147,0,228,0,3,1,1,0,1,693,0,1,694,0
187,145,21,70,2,141,0,1,0,0,0,0,380,0,1,381,0
188,158,26,88,1,197,1,0,0,1,0,0,472,0,4,476,0
189,252,56,124,1,247,2,0,1,0,2,1,686,0,1,687,0
190,155,23,105,1,120,1,1,0,0,1,0,407,0,1,408,0
191,231,36,148,0,202,0,2,0,0,1,0,620,0,3,623,0
192,6 114,23,50,1,111,1,2,1,2,0,0,305,0,2,307,0
193,205,49,168,3,392,3,1,1,3,2,0,827,0,5,832,0
194,193,34,132,1,291,4,0,0,4,2,0,661,0,2,663,0
195,136,32,147,1,200,2,0,0,0,1,0,519,0,2,521,0
196,172,52,90,1,280,3,0,0,0,0,1,599,0,3,602,0
197,94,35,88,1,225,1,1,0,0,0,1,446,0,1,447,0
198,128,53,138,5,214,3,1,1,0,0,2,545,0,2,547,0
199,79,57,79,2,218,1,1,0,0,2,0,439,0,6,445,0
200,105,43,85,4,179,2,2,3,0,1,0,424,0,1,425,0
201,177,50,114,2,232,2,2,1,0,0,0,580,0,1,581,0
202,135,29,131,0,215,1,1,1,0,1,0,514,0,2,516,0
203,188,45,169,4,231,0,2,1,1,0,0,641,0,2,643,0
204,115,65,168,2,227,2,1,0,1,0,0,581,0,2,583,0
205,184,32,103,0,147,1,0,1,0,0,0,468,0,2,470,0
206,143,30,69,0,150,0,0,0,1,2,0,395,0,1,396,0
207,224,37,133,2,198,0,0,1,0,0,1,596,0,1,597,0
208,257,52,97,0,154,1,1,0,0,0,1,563,0,5,568,0
209,247,39,167,3,207,8,1,3,0,2,3,680,0,2,682,0
210,170,85,210,1,126,2,0,0,0,0,0,594,0,3,597,0
211,253,79,242,2,267,4,3,0,1,1,1,853,0,2,855,0
212,196,50,327,7,125,4,1,0,0,1,0,711,0,1,712,0
213,52,7,52,1,87,0,0,0,0,0,0,199,0,0,199,0
214,144,54,244,1,120,0,0,0,0,2,0,565,0,1,566,0
215,287,62,230,1,322,2,1,1,2,0,0,908,0,2,910,0
216,194,58,261,1,100,0,0,0,0,0,1,615,0,2,617,0
217,193,61,205,3,166,0,2,1,0,3,2,636,0,10,646,0
218,151,36,176,2,60,0,0,0,0,1,0,426,0,2,428,0
219,230,27,287,0,41,0,0,0,1,1,0,587,0,3,590,0
220,246,50,153,0,67,2,0,0,0,0,5,523,0,2,525,0
221,180,177,244,6,228,3,2,1,2,1,2,846,0,6,852,0
222,132,65,214,3,162,2,1,0,0,1,0,580,0,1,581,0
223,186,60,226,1,197,1,2,0,0,0,0,673,0,2,675,0
224,7 82,21,138,2,69,1,2,1,0,0,0,316,0,0,316,0
225,207,83,166,3,181,3,0,1,0,0,3,647,0,4,651,0
226,97,19,106,2,75,1,0,0,1,0,0,301,0,1,302,0
227,152,36,119,0,177,1,0,0,1,0,0,486,0,1,487,0
228,141,34,114,1,135,0,1,1,0,0,0,427,0,4,431,0
229,205,28,138,0,108,4,0,1,0,1,1,486,0,2,488,0
230,260,64,221,2,154,2,1,2,0,1,1,708,0,1,709,0
231,214,47,280,5,184,2,2,0,1,4,0,739,0,5,744,0
232,201,43,329,3,192,3,1,1,0,7,1,781,0,4,785,0
233,212,20,200,8,156,2,1,0,2,8,2,611,0,7,618,0
234,205,37,198,2,145,2,0,0,1,9,0,599,0,2,601,0
235,259,36,234,2,241,6,0,1,0,11,1,791,0,6,797,0
236,153,30,158,3,178,0,1,2,1,8,1,535,0,3,538,0
237,142,15,104,1,90,2,1,1,1,0,1,358,0,1,359,0
238,160,41,139,1,100,5,0,0,0,2,0,448,0,1,449,0
239,127,70,190,2,144,0,2,1,1,1,1,539,0,3,542,0
240,142,110,201,0,125,1,0,1,0,0,0,580,0,1,581,0
241,110,56,207,2,131,0,1,0,0,2,1,510,0,0,510,0
242,188,43,111,0,121,2,1,0,0,1,2,469,0,0,469,0
243,123,19,102,0,95,0,0,1,0,0,0,340,0,1,341,0
244,157,116,294,9,292,3,1,4,1,0,2,879,0,2,881,0
245,87,98,216,2,120,2,1,0,2,2,3,533,0,4,537,0
246,143,35,237,2,89,0,0,0,1,0,2,509,0,1,510,0
247,146,33,142,4,70,1,0,0,0,2,0,398,0,2,400,0
248,250,97,260,1,183,4,0,1,0,0,1,797,0,0,797,0
249,244,84,344,2,300,2,0,1,1,0,2,980,0,2,982,0
250,150,112,433,2,233,2,4,0,1,0,1,938,0,2,940,0
251,232,47,220,1,236,5,0,0,0,1,0,742,0,1,743,0
252,171,150,260,4,212,3,0,3,0,2,0,805,0,6,811,0
253,183,215,230,3,246,3,2,1,0,3,1,887,0,2,889,0
254,286,42,122,7,211,1,2,0,0,0,0,671,0,1,672,0
255,105,35,127,2,107,1,1,0,0,0,0,378,0,2,380,0
256,8 191,36,239,3,147,1,1,0,1,0,1,620,0,3,623,0
257,202,38,142,1,166,1,0,0,0,0,0,550,0,3,553,0
258,229,52,208,7,205,1,0,0,0,1,0,703,0,5,708,0
259,139,20,211,1,172,3,0,0,1,0,0,547,0,0,547,0
260,188,40,284,5,333,2,2,2,2,1,1,860,0,4,864,0
261,277,36,225,6,240,4,2,0,0,4,0,794,0,0,794,0
262,106,58,179,1,146,0,1,0,0,0,1,492,0,2,494,0
263,99,29,197,1,158,2,0,1,1,0,0,488,0,1,489,0
264,195,42,153,5,189,0,0,3,1,0,0,588,0,2,590,0
265,122,32,249,8,226,2,1,3,1,0,1,645,0,2,647,0
266,182,18,163,4,245,2,1,0,1,1,1,618,0,5,623,0
267,200,30,268,3,306,2,2,2,2,0,3,818,0,4,822,0
268,93,33,174,3,237,0,0,2,0,2,0,544,0,1,545,0
269,130,16,134,1,201,2,0,0,0,1,0,485,0,0,485,0
270,261,14,33,2,128,0,2,0,0,0,0,440,0,5,445,0
271,292,12,19,3,123,1,0,2,1,1,2,456,0,5,461,0
272,172,78,307,4,210,2,0,2,2,3,3,783,0,3,786,0
273,202,104,241,2,329,5,1,1,1,0,3,889,0,2,891,0
274,605,13,2,0,36,0,1,0,1,1,3,662,0,4,666,0
275,485,16,1,0,25,0,1,0,2,0,3,533,0,1,534,0
276,596,15,4,0,44,0,0,0,0,0,3,662,0,2,664,0
277,498,24,121,2,190,5,0,1,0,0,2,843,0,2,845,0
278,282,27,170,3,202,2,4,0,1,0,2,693,0,0,693,0
279,311,33,136,2,244,4,1,0,3,1,0,735,0,2,737,0
280,278,29,179,0,241,0,0,1,1,0,2,731,0,4,735,0
281,204,9,116,1,98,0,0,0,1,0,1,430,0,2,432,0
282,190,18,169,0,198,0,0,2,1,2,1,581,0,2,583,0
283,97,16,150,2,214,3,0,0,1,0,0,483,0,0,483,0
284,71,14,184,0,193,0,0,0,1,0,0,463,0,0,463,0
285,93,23,203,0,321,1,2,1,2,0,0,646,0,0,646,0
286,74,10,112,1,104,0,0,1,0,0,0,302,0,1,303,0
287,252,20,106,1,154,0,0,0,0,1,1,535,0,1,536,0
288,9 127,15,162,1,188,0,0,0,2,0,0,495,0,0,495,0
289,364,12,62,0,57,0,0,0,1,0,2,498,0,2,500,0
290,316,4,9,0,64,0,1,0,0,0,5,399,0,1,400,0
291,297,12,9,0,68,0,0,0,1,0,7,394,0,2,396,0
292,375,9,8,1,56,0,0,1,2,0,2,454,0,2,456,0
293,215,13,12,0,54,0,0,0,0,0,8,302,0,0,302,0
294,486,8,27,0,65,0,0,0,0,0,5,591,0,3,594,0
295,295,15,13,0,85,1,0,0,0,0,0,409,0,1,410,0
296,278,7,21,0,62,0,1,0,0,0,2,371,0,0,371,0
297,336,23,69,2,139,2,2,2,7,0,0,582,0,3,585,0
298,653,11,18,0,99,3,0,1,3,0,8,796,0,5,801,0
299,650,21,38,1,64,0,1,0,1,0,0,776,0,7,783,0
300,631,19,28,0,82,2,0,0,1,0,1,764,0,2,766,0
301,483,19,17,0,49,0,0,0,1,0,5,574,0,3,577,0
302,477,25,21,1,39,2,1,0,16,0,3,585,0,4,589,0
303,394,23,97,1,162,1,1,1,2,2,3,687,0,3,690,0
304,556,20,18,0,74,1,0,1,9,0,4,683,0,2,685,0
305,261,3,3,0,40,1,0,0,2,0,4,314,0,1,315,0
306,402,4,10,0,14,0,0,0,12,0,4,446,0,2,448,0
307,561,17,5,0,32,0,1,0,3,0,9,628,0,5,633,0
308,424,12,25,0,27,0,0,0,2,0,16,506,0,2,508,0
309,90,51,260,2,202,1,0,1,2,0,0,609,0,2,611,0
310,156,58,196,5,230,0,1,1,1,0,2,650,0,4,654,0
