Polling Station No,M SURESH,P K SEKARBABU,R FOUZAN SHARIFF,R MANOHAR,SINORA P S ASHOK,SIVALINGAM ASHOK,ASHOK KUMAR,S GANESH,D KABILAN,M KALAIVENTHAN,SANKAR A,J SHANMUGAPRIYAN,R DINESH,J M NIRAIMOZHI,A NEPOLIAN,BABU SINGH,K E MANOHAR,G VISU,I VINOD,P VIJAYAKUMAR,T VIJAYARAJ,S VEERABATHRAN,V JAGADEESAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
14,2,104,3,171,116,3,4,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,410,0,4,414,0
15,2,115,3,221,136,1,2,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,485,0,2,487,0
16,2,83,3,188,99,2,2,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,385,0,5,390,0
17,0,67,2,260,77,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,411,0,7,418,0
18,2,70,4,158,79,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,317,0,6,323,0
19,4,114,2,168,100,0,0,1,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0,395,0,9,404,0
20,2,68,2,111,41,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,230,0,6,236,0
21,14,285,7,64,282,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,655,0,2,657,0
22,1,94,6,128,122,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,354,0,0,354,0
23,1,257,8,72,220,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,561,0,4,565,0
24,0,154,11,146,182,1,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,499,0,5,504,0
25,3,134,6,129,192,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,470,0,8,478,0
26,0,179,5,152,153,2,1,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,498,0,7,505,0
27,1,123,4,252,127,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,515,0,4,519,0
28,2,279,2,45,220,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,553,0,1,554,0
29,0,222,11,165,167,3,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,2,576,0,2,578,0
30,0,156,7,128,200,2,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,498,0,2,500,0
31,4,309,8,58,327,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,712,0,2,714,0
32,2,403,11,78,320,9,0,0,0,0,3,1,0,0,0,1,1,1,0,0,1,0,0,831,0,1,832,0
33,1,177,7,190,149,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,527,0,4,531,0
34,1,258,16,190,254,3,0,3,0,0,4,0,0,1,0,0,2,0,0,1,1,0,0,734,0,8,742,0
35,3,197,7,124,202,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,538,0,4,542,0
36,3,83,4,202,115,2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,415,0,9,424,0
37,3,146,4,271,161,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,589,0,9,598,0
38,3,146,3,195,139,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,492,0,4,496,0
39,3,111,4,122,86,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,328,0,3,331,0
40,1,135,7,82,244,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,476,0,2,478,0
41,2,444,10,57,207,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,725,0,3,728,0
42,0,412,15,26,116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,570,0,3,573,0
43,0,274,16,112,316,4,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,728,0,1,729,0
44,0,380,15,71,259,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,731,0,5,736,0
45,2,252,18,27,211,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,514,0,1,515,0
46,2,249,13,107,288,3,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,666,0,6,672,0
47,1,280,9,63,214,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,574,0,6,580,0
48,0,160,9,109,228,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,512,0,1,513,0
49,1,289,12,120,243,2,1,1,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,675,0,3,678,0
50,1,324,17,67,229,4,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,648,0,2,650,0
51,2,324,9,39,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,3,566,0
52,0,211,12,27,103,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,355,0,1,356,0
53,1,143,3,53,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,2,324,0
54,0,275,7,78,180,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,543,0,4,547,0
55,3,337,18,95,184,1,2,3,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,648,0,5,653,0
56,3,118,6,140,122,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,395,0,2,397,0
57,1,126,12,159,140,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,441,0,7,448,0
58,1,353,12,48,185,5,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,609,0,2,611,0
59,e 01,264,3,68,136,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,476,0,1,477,0
60,1,230,13,190,145,1,1,0,0,2,4,0,0,1,0,1,0,0,0,0,1,0,1,591,0,7,598,0
61,2,217,9,80,227,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,541,0,3,544,0
62,0,222,8,132,209,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,578,0,3,581,0
63,0,293,12,50,152,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,508,0,3,511,0
64,4,84,5,227,148,1,2,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,478,0,3,481,0
65,0,223,3,121,128,1,1,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,482,0,3,485,0
66,1,381,11,32,208,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,640,0,2,642,0
67,0,379,5,74,135,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,597,0,6,603,0
68,0,372,5,28,117,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,526,0,2,528,0
69,0,308,7,6,72,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,395,0,4,399,0
70,1,196,7,88,178,2,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,477,0,3,480,0
71,1,469,10,19,91,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,592,0,1,593,0
72,1,438,9,14,92,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,556,0,3,559,0
73,0,224,8,14,95,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,343,0,1,344,0
74,1,335,15,44,216,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,614,0,2,616,0
75,1,325,17,43,198,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,586,0,1,587,0
76,1,335,14,22,223,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,599,0,1,600,0
77,3,285,20,100,290,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,704,0,3,707,0
78,0,262,11,21,174,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,472,0,1,473,0
79,0,281,15,45,185,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,532,0,3,535,0
80,1,344,17,56,199,4,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,625,0,1,626,0
81,0,159,8,55,156,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,385,0,0,385,0
82,2,386,10,44,326,2,1,0,0,0,4,0,0,0,0,1,0,0,0,2,1,0,0,779,0,1,780,0
83,1,272,9,92,275,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,653,0,5,658,0
84,0,185,8,44,135,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,378,0,1,379,0
85,0,374,8,38,204,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,628,0,5,633,0
86,0,383,11,59,296,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,754,0,1,755,0
87,1,349,13,74,315,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,757,0,0,757,0
88,1,253,13,48,193,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,515,0,1,516,0
89,2,126,5,58,267,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,465,0,0,465,0
90,4,274,15,62,281,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,641,0
91,2,402,12,31,163,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,613,0,2,615,0
92,0,262,9,72,188,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,536,0,1,537,0
93,1,314,18,44,160,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,540,0,2,542,0
94,1,372,12,65,182,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,634,0,1,635,0
95,0,209,22,46,247,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,529,0,1,530,0
96,1,203,8,60,168,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,445,0,1,446,0
97,0,169,9,63,96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,340,0,6,346,0
98,2,226,17,75,205,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,528,0,6,534,0
99,1,352,9,16,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,2,471,0
100,1,148,6,67,180,1,0,1,1,0,1,1,0,0,0,2,1,1,0,0,1,0,1,413,0,1,414,0
101,0,145,11,68,138,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,366,0,5,371,0
102,0,318,16,73,166,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,576,0,4,580,0
103,1,265,11,98,305,1,1,0,1,0,3,0,2,0,0,2,0,0,0,0,0,0,0,690,0,3,693,0
104,0,331,3,31,176,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,544,0,1,545,0
105,0,232,13,88,209,0,0,0,0,0,3,0,0,1,1,1,1,2,0,0,0,0,0,551,0,2,553,0
106,0,504,4,45,378,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,934,0,0,934,0
107,0,337,9,86,314,3,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,754,0,1,755,0
108,2,419,13,66,255,3,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,764,0,4,768,0
109,0,584,9,31,199,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,826,0,9,835,0
110,2,224,13,47,219,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,510,0,0,510,0
111,3,494,19,10,126,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,655,0,3,658,0
112,2,359,6,47,222,0,0,0,1,0,2,0,0,0,0,3,2,0,0,1,0,0,0,645,0,1,646,0
113,0,344,4,5,93,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,450,0,1,451,0
114,0,415,9,23,204,4,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,660,0,3,663,0
115,0,296,5,5,92,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,402,0,2,404,0
116,1,247,11,34,163,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,463,0,0,463,0
117,0,329,5,9,159,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,509,0,1,510,0
118,e 12,458,11,34,165,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,674,0,2,676,0
119,0,451,9,11,91,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,566,0,3,569,0
120,1,347,9,10,107,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,481,0,2,483,0
121,0,285,8,65,325,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,689,0,1,690,0
122,2,185,8,53,159,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,414,0,3,417,0
123,1,435,11,37,142,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,631,0,8,639,0
124,3,397,20,68,199,2,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,695,0,9,704,0
125,0,282,9,67,306,3,0,0,1,0,4,0,1,1,3,1,0,1,0,0,1,0,1,681,0,2,683,0
126,1,213,18,67,227,4,0,1,0,0,0,0,0,2,2,2,0,1,0,1,2,0,0,541,0,2,543,0
127,1,270,2,27,176,1,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,484,0,0,484,0
128,1,287,3,24,183,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,502,0,0,502,0
129,0,417,17,52,131,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,621,0,2,623,0
130,1,337,5,15,168,4,0,0,0,0,4,2,0,0,0,0,1,1,0,0,0,0,0,538,0,5,543,0
131,0,223,3,5,42,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,275,0,2,277,0
132,1,180,7,186,147,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,527,0,4,531,0
133,2,155,3,174,114,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,455,0,5,460,0
134,2,110,5,225,100,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,450,0,6,456,0
135,0,200,14,64,164,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,446,0,3,449,0
136,2,188,7,66,156,1,1,0,0,0,1,0,0,0,0,2,0,1,1,2,0,0,1,429,0,0,429,0
137,1,116,3,173,124,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,423,0,6,429,0
138,0,191,3,130,135,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,463,0,2,465,0
139,2,146,5,152,123,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,436,0,6,442,0
140,1,73,4,140,65,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,288,0,1,289,0
141,1,111,2,119,55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,291,0,5,296,0
142,2,186,3,157,97,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,451,0,8,459,0
143,2,64,3,155,79,1,0,1,0,0,2,1,1,0,0,1,0,0,0,0,2,0,0,312,0,4,316,0
144,1,81,1,133,63,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,282,0,4,286,0
145,4,96,6,201,118,0,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,433,0,12,445,0
146,0,132,6,40,95,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,278,0,6,284,0
147,3,182,10,12,85,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,299,0,0,299,0
148,0,198,8,40,105,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,357,0,1,358,0
149,1,162,2,214,102,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,484,0,8,492,0
150,2,363,6,34,401,5,0,1,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,818,0,0,818,0
151,0,347,13,43,421,5,0,0,0,0,2,1,1,0,1,1,1,2,1,0,0,0,0,839,0,1,840,0
152,0,497,12,58,306,2,1,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,882,0,0,882,0
153,0,284,4,23,258,2,0,1,1,0,1,0,1,0,0,2,0,1,0,0,3,0,0,581,0,1,582,0
154,3,103,2,127,63,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,304,0,3,307,0
155,2,87,4,125,98,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,318,0,3,321,0
156,0,103,0,111,52,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,270,0,1,271,0
157,1,141,5,126,115,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,393,0,8,401,0
158,0,98,4,67,63,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,235,0,1,236,0
159,1,139,0,180,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,425,0,10,435,0
160,1,120,2,180,107,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,413,0,4,417,0
161,1,136,2,134,112,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,387,0,6,393,0
162,1,174,4,153,114,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,449,0,3,452,0
163,1,165,1,202,135,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,507,0,4,511,0
164,2,175,15,50,219,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,469,0,0,469,0
165,1,168,14,40,145,1,0,0,0,0,2,0,0,0,0,0,0,2,0,1,2,0,0,376,0,0,376,0
166,1,161,7,96,97,2,0,0,0,0,0,0,1,0,0,1,1,3,0,1,2,0,0,373,0,3,376,0
167,0,153,6,26,164,2,1,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,358,0,0,358,0
168,2,219,9,115,194,3,2,1,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,551,0,4,555,0
169,3,119,2,92,124,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,344,0,5,349,0
170,2,92,4,106,83,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,292,0,2,294,0
171,0,101,7,195,162,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,471,0,4,475,0
172,2,127,9,150,147,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,437,0,2,439,0
173,2,71,1,112,90,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,279,0,2,281,0
174,1,73,0,187,59,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,323,0,8,331,0
175,3,120,3,58,72,2,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,264,0,1,265,0
176,2,91,1,97,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,239,0,4,243,0
177,e 13,277,7,44,230,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,566,0,1,567,0
178,0,211,8,158,244,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,626,0,3,629,0
179,2,123,3,146,87,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,368,0,1,369,0
180,1,127,3,17,158,2,0,1,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,315,0,0,315,0
181,1,220,5,14,224,3,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,474,0,2,476,0
182,2,223,16,35,367,3,0,0,0,0,1,2,1,0,0,1,2,3,0,0,0,2,0,658,0,0,658,0
183,1,108,8,12,124,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,0,0,262,0,0,262,0
184,0,155,5,27,153,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,346,0,0,346,0
185,1,332,18,31,320,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,706,0,3,709,0
186,1,311,10,61,351,3,1,0,0,0,3,0,1,0,1,1,0,1,0,1,0,0,0,746,0,2,748,0
187,1,461,5,32,197,5,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,706,0,5,711,0
188,2,389,16,32,230,3,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,676,0,2,678,0
189,0,434,12,40,193,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,685,0,4,689,0
190,1,413,10,31,149,1,0,1,1,0,0,0,1,1,0,2,0,0,0,0,1,2,1,615,0,2,617,0
191,1,390,18,73,286,3,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,775,0,4,779,0
192,2,453,18,46,213,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,738,0,1,739,0
