Polling Station No,AALANGATTUR ANANDHI,KAVIBHARATHI.K,SIVABALAN.M,HARIBASKAR.P,RAMASAMY.S,EASWARAMURTHI.K,GOBAL.S.C.R,VIJAY VENKATESH.M,KARTHI.M,SANKARKUMAR.K.A,SELVI.A,DHANABAL.C,VEERAN.K,SHEIK DAVOOD.A.M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
43,18,2,226,274,4,2,7,262,0,4,0,2,2,2,805,0,3,808,0
44,26,4,124,151,4,2,2,198,1,1,0,1,2,1,517,0,3,520,0
45,32,0,189,132,1,2,3,196,1,1,1,3,3,1,565,0,4,569,0
46,31,4,157,236,5,4,1,152,1,3,0,3,2,1,600,0,1,601,0
47,22,4,268,285,3,3,3,249,0,0,2,1,8,1,849,0,2,851,0
48,21,1,167,181,3,2,0,288,2,1,2,8,5,0,681,0,8,689,0
49,35,1,209,245,1,1,0,269,0,0,0,2,4,1,768,0,3,771,0
50,23,1,204,135,1,1,2,249,1,1,0,3,6,3,630,0,1,631,0
51,18,1,262,261,0,2,1,235,0,4,2,5,8,0,799,0,0,799,0
52,7,0,138,260,0,0,0,164,0,0,0,3,1,1,574,0,2,576,0
53,19,3,105,244,3,1,3,207,0,3,1,9,3,1,602,0,1,603,0
54,37,5,148,280,12,5,3,234,4,9,1,8,9,0,755,0,2,757,0
55,20,1,255,271,3,1,3,354,2,1,0,4,11,2,928,0,3,931,0
56,23,0,237,219,4,1,0,268,0,4,0,4,2,0,762,0,5,767,0
57,24,4,193,378,9,0,3,225,0,1,2,8,5,0,852,0,2,854,0
58,27,1,283,193,3,0,1,271,0,1,0,2,1,1,784,0,2,786,0
59,22,2,213,170,2,0,6,210,4,2,0,3,3,0,637,0,5,642,0
60,25,3,167,156,2,1,2,157,1,1,1,7,9,0,532,0,4,536,0
61,11,1,146,247,1,1,0,138,0,0,1,1,0,0,547,0,5,552,0
62,28,2,225,186,2,2,5,199,1,1,0,3,1,1,656,0,1,657,0
63,9,0,170,162,2,2,4,195,1,1,0,1,0,1,548,0,1,549,0
64,14,0,245,280,4,0,5,238,0,3,2,2,6,1,800,0,1,801,0
65,10,2,161,245,5,1,0,89,0,0,0,1,0,0,514,0,2,516,0
66,17,1,244,327,5,0,3,280,1,2,2,4,12,1,899,0,6,905,0
67,12,2,171,301,4,2,1,170,0,1,1,3,3,1,672,0,1,673,0
68,29,1,186,250,2,1,3,199,2,3,2,5,5,1,689,0,2,691,0
69,15,1,164,172,1,1,1,110,0,1,0,1,2,0,469,0,0,469,0
70,24,3,288,340,5,1,0,293,2,3,2,11,9,4,985,0,4,989,0
71,21,1,209,198,2,0,2,283,0,1,1,5,3,0,726,0,5,731,0
72,21,3,203,149,2,1,1,219,0,1,0,2,4,1,607,0,1,608,0
73,14,0,204,375,0,1,2,221,3,4,1,2,2,0,829,0,6,835,0
74,18,2,118,217,0,0,2,144,0,2,0,1,6,0,510,0,1,511,0
75,28,2,146,371,5,0,2,190,2,2,1,1,4,1,755,0,5,760,0
76,16,0,212,221,1,0,1,200,0,3,1,3,2,3,663,0,2,665,0
77,2,2,131,175,0,0,1,165,2,0,0,2,0,0,480,0,1,481,0
78,4,0,37,53,0,1,1,66,0,0,0,1,1,0,164,0,1,165,0
79,30,1,350,222,2,1,4,293,0,1,1,2,0,1,908,0,3,911,0
80,9,0,140,218,2,2,1,157,0,1,0,3,3,1,537,0,3,540,0
81,11,1,146,164,2,2,0,229,0,3,1,2,2,0,563,0,4,567,0
82,3,1,127,152,2,0,1,119,2,3,0,1,1,1,413,0,1,414,0
83,10,0,131,180,3,3,2,213,1,2,0,3,6,2,556,0,2,558,0
84,34,0,314,289,2,0,1,264,2,1,0,3,2,1,913,0,1,914,0
85,17,2,149,311,4,3,0,185,1,1,0,0,1,1,675,0,3,678,1
86,20,3,184,203,3,0,2,243,0,1,0,2,2,2,665,0,2,667,0
87,14,0,175,447,9,0,0,195,1,0,1,5,3,3,853,0,4,857,0
88,18,2,214,314,3,0,3,268,1,0,0,2,7,2,834,0,1,835,0
89,25,1,200,230,2,1,1,240,0,2,0,2,5,0,709,0,3,712,0
90,8,0,240,238,0,12,11,197,2,0,0,0,2,1,711,0,1,712,0
91,14,2,176,230,1,7,4,161,1,1,0,2,2,2,603,0,4,607,2
92,14,0,192,101,0,0,1,199,1,1,0,0,0,4,513,0,4,517,0
93,6,2,118,111,1,0,0,187,1,2,1,0,0,0,429,0,0,429,0
94,21,0,318,149,0,0,0,270,1,1,0,0,1,0,761,0,4,765,0
95,15,0,265,155,0,1,1,220,2,0,0,0,0,3,662,0,1,663,0
96,11,2,185,189,0,1,0,241,0,1,0,0,1,0,631,0,1,632,0
97,14,0,130,181,1,0,2,250,0,2,0,5,1,1,587,0,2,589,0
98,17,4,228,185,1,0,5,245,0,2,3,1,1,0,692,0,3,695,0
99,20,3,236,165,0,1,2,296,1,0,1,0,1,1,727,0,6,733,0
100,6,2,182,108,0,0,0,152,0,0,0,1,0,0,451,0,1,452,0
101,27,1,179,146,1,2,1,274,0,3,2,3,3,1,643,0,2,645,0
102,5,1,245,81,1,0,0,203,1,0,1,0,1,0,539,0,1,540,0
103,17,0,205,222,0,0,6,247,0,1,1,1,4,1,705,0,6,711,0
104,11,0,140,133,2,1,0,109,0,0,0,0,1,0,397,0,0,397,0
105,11,3,138,122,0,0,2,182,0,0,0,1,1,0,460,0,1,461,0
106,11,1,166,168,1,1,2,193,1,1,0,1,0,0,546,0,2,548,0
107,11,0,151,114,1,0,0,226,0,1,2,0,0,0,506,0,2,508,0
108,9,1,197,165,0,1,3,257,0,1,0,2,1,0,637,0,1,638,0
109,21,0,222,144,0,0,0,219,0,0,0,0,0,0,606,0,1,607,0
110,23,0,218,161,2,1,1,248,1,1,0,0,0,1,657,0,3,660,0
111,20,1,195,145,1,2,1,193,0,0,0,0,3,0,561,0,1,562,0
112,26,0,177,173,1,0,2,281,2,1,1,1,3,0,668,0,4,672,0
113,22,0,174,151,0,0,1,223,0,0,0,0,1,0,572,0,1,573,0
114,28,0,219,124,0,0,1,353,2,1,0,1,0,0,729,0,3,732,0
115,15,0,169,91,0,0,1,150,1,1,0,1,0,1,430,0,0,430,0
116,8,1,253,229,4,1,0,188,0,0,1,5,5,0,695,0,1,696,0
117,20,1,212,201,4,0,4,269,1,0,0,2,3,2,719,0,1,720,0
118,17,1,118,154,1,2,1,131,1,1,1,5,5,4,442,0,4,446,0
119,11,2,237,251,2,0,1,205,0,0,0,3,2,0,714,0,1,715,0
120,27,1,199,292,4,6,2,297,3,2,1,1,1,2,838,0,1,839,0
121,15,0,138,137,5,1,2,140,0,1,0,3,4,1,447,0,3,450,0
122,12,3,195,196,0,0,3,228,0,2,0,3,0,0,642,0,2,644,0
123,33,3,289,184,2,0,8,343,1,2,1,3,11,2,882,0,4,886,0
124,20,1,198,372,3,2,3,181,2,0,1,2,5,4,794,0,4,798,0
125,16,1,258,359,1,3,5,314,0,5,2,6,2,5,977,0,3,980,0
126,53,3,321,143,0,1,7,308,1,1,1,1,3,0,843,0,3,846,0
127,41,2,241,298,6,0,2,260,4,4,0,2,6,3,869,0,6,875,0
128,23,3,164,296,1,1,1,196,1,1,2,4,0,0,693,0,3,696,0
129,22,3,171,267,1,1,3,168,2,0,0,2,1,1,642,0,0,642,0
130,18,0,96,252,1,0,2,172,0,1,0,1,1,0,544,0,4,548,0
131,19,0,216,175,0,0,0,184,1,0,0,0,0,0,595,0,2,597,0
132,12,1,136,133,0,0,1,118,0,0,0,0,0,0,401,0,2,403,0
133,23,2,240,137,0,1,0,201,0,0,0,0,2,0,606,0,3,609,0
134,12,2,229,175,0,0,0,239,0,2,1,2,2,0,664,0,1,665,0
135,22,3,344,257,1,1,4,280,1,0,0,1,3,0,917,0,3,920,0
136,14,0,258,270,2,1,1,251,0,1,1,5,9,2,815,0,2,817,0
137,17,2,217,489,0,0,1,176,1,1,0,1,3,0,908,0,0,908,0
138,15,3,269,347,1,7,2,243,1,0,1,5,3,0,897,0,3,900,0
139,19,1,163,179,1,1,2,324,0,1,0,1,2,1,695,0,2,697,0
140,45,0,288,247,4,2,0,329,1,1,0,5,2,0,924,0,4,928,0
141,18,1,229,236,1,0,1,251,2,1,1,3,5,2,751,0,3,754,0
142,18,0,96,115,1,1,0,124,0,1,0,1,2,0,359,0,1,360,0
143,30,0,224,169,1,5,5,291,1,0,0,0,3,0,729,0,1,730,0
144,18,1,182,186,2,0,4,331,3,3,1,5,6,1,743,0,4,747,0
145,26,1,120,142,2,1,1,325,0,2,0,0,2,1,623,0,4,627,0
146,12,1,158,431,2,3,0,186,0,2,0,5,1,2,803,0,6,809,0
147,7,1,92,122,1,0,0,96,0,2,0,4,0,0,325,0,0,325,0
148,8,1,135,343,4,1,2,139,0,2,1,3,4,3,646,0,5,651,0
149,17,2,158,405,3,1,5,179,1,3,0,5,1,0,780,0,5,785,0
150,15,1,205,186,2,4,0,199,0,2,2,1,4,0,621,0,3,624,0
151,26,1,194,417,0,1,5,160,1,0,2,8,3,0,818,0,4,822,0
152,10,0,154,166,0,0,0,168,0,1,4,5,5,1,514,0,3,517,0
153,13,1,171,204,0,1,0,186,0,0,0,2,2,0,580,0,2,582,0
154,13,0,214,265,1,1,0,218,1,0,0,0,1,0,714,0,3,717,0
155,23,0,269,281,3,0,0,244,0,0,3,5,3,3,834,0,5,839,0
156,26,1,240,233,4,2,0,304,0,0,1,10,2,2,825,0,9,834,0
157,8,2,155,368,8,0,0,236,2,3,3,4,5,1,795,0,3,798,0
158,9,2,167,300,7,0,0,309,1,2,2,5,15,2,821,0,8,829,0
159,22,1,337,359,2,0,1,264,3,0,1,2,0,1,993,0,5,998,0
160,16,2,217,278,2,2,0,250,0,1,0,6,5,0,779,0,2,781,0
161,7,1,156,290,2,0,0,65,0,2,0,0,1,0,524,0,1,525,0
162,16,0,184,232,2,2,5,212,0,3,0,2,3,0,661,0,2,663,0
163,15,0,177,283,2,0,4,182,0,0,0,2,2,0,667,0,4,671,0
164,20,1,263,206,4,1,2,217,2,0,2,2,4,2,726,0,1,727,0
165,12,1,329,277,1,0,3,257,1,0,2,1,1,0,885,0,2,887,0
166,13,0,282,214,2,0,5,216,0,3,0,1,2,1,739,0,3,742,0
167,10,0,226,285,2,1,2,262,1,0,1,8,3,1,802,0,0,802,0
168,17,1,145,242,3,0,1,222,0,0,0,4,3,0,638,0,1,639,0
169,15,2,161,205,3,0,1,153,0,0,0,2,1,1,544,0,2,546,0
170,13,2,152,214,2,0,2,180,0,0,1,7,5,0,578,0,1,579,0
171,16,2,200,306,3,0,1,299,0,3,2,10,4,1,847,0,5,852,0
172,32,1,299,322,3,0,1,316,1,1,1,3,3,0,983,0,5,988,0
173,11,1,259,351,7,0,1,188,0,0,0,12,2,0,832,0,3,835,0
174,25,2,257,200,1,1,1,293,0,3,0,7,3,0,793,0,10,803,0
175,27,3,270,247,5,1,2,260,2,2,0,6,2,1,828,0,2,830,0
176,19,1,386,371,5,0,3,252,2,0,2,3,5,0,1049,0,3,1052,0
177,10,2,185,368,1,0,1,147,0,2,1,4,2,0,723,0,6,729,0
178,15,2,207,190,1,0,0,160,0,0,0,0,3,0,578,0,3,581,0
179,26,0,168,193,3,1,1,226,0,1,0,2,3,0,624,0,0,624,0
180,50,4,345,108,2,1,0,307,2,0,0,2,6,1,828,0,8,836,0
181,41,1,318,106,0,2,1,302,2,2,1,1,1,0,778,0,2,780,0
182,17,2,241,269,4,1,0,244,1,0,0,5,6,3,793,0,8,801,0
183,17,3,196,215,1,1,0,206,1,1,0,5,1,0,647,0,2,649,0
184,17,0,202,223,2,0,1,306,2,0,0,2,2,0,757,0,4,761,0
185,22,0,194,265,0,1,0,198,0,3,0,1,0,1,685,0,3,688,0
186,28,0,297,123,0,2,0,221,1,0,1,1,2,2,678,0,6,684,0
187,29,1,247,369,1,3,0,359,2,0,2,1,4,1,1019,0,5,1024,0
188,35,1,184,225,3,2,2,276,0,2,1,3,0,0,734,0,1,735,0
189,17,2,208,172,1,11,1,266,0,2,0,0,1,1,682,0,1,683,0
190,29,9,294,292,1,3,4,283,0,0,1,4,5,0,925,0,4,929,0
191,18,4,217,227,1,1,3,258,0,1,0,1,1,1,733,0,2,735,0
192,40,0,149,205,3,0,0,191,0,1,0,2,1,0,592,0,3,595,0
193,22,0,125,173,0,1,1,145,0,1,0,2,0,1,471,0,0,471,0
194,25,2,243,247,0,0,1,263,0,0,0,0,3,1,785,0,4,789,0
195,30,2,201,275,2,0,0,234,1,0,0,1,2,1,749,0,2,751,0
196,24,1,254,298,2,0,0,216,0,2,0,6,1,1,805,0,4,809,0
197,16,3,192,145,5,0,2,198,1,0,0,0,3,1,566,0,4,570,0
198,35,0,272,151,3,0,1,342,0,6,0,3,6,1,820,0,1,821,0
199,34,3,223,169,5,0,0,227,0,0,0,3,5,0,669,0,3,672,0
200,39,0,169,218,1,0,0,196,0,2,0,1,1,0,627,0,5,632,0
201,20,3,238,182,0,1,1,192,1,1,0,3,1,0,643,0,4,647,0
202,11,5,227,283,1,4,8,347,0,1,1,3,9,1,901,0,4,905,0
203,11,1,207,243,0,0,1,211,1,2,1,5,2,0,685,0,3,688,0
204,12,1,216,234,6,0,4,190,0,2,0,10,9,0,684,0,4,688,0
205,25,0,200,245,1,8,1,163,0,2,0,1,2,1,649,0,5,654,0
206,23,2,157,174,0,0,2,121,0,2,0,0,1,0,482,0,2,484,0
207,21,1,249,354,2,0,1,207,0,1,1,6,1,1,845,0,0,845,0
208,24,1,283,211,3,3,1,255,0,1,2,3,8,0,795,0,2,797,0
209,13,1,217,144,1,1,2,168,1,0,0,1,2,0,551,0,1,552,0
210,18,2,213,219,7,1,2,210,1,2,0,2,4,0,681,0,2,683,0
211,42,2,265,298,0,2,2,220,0,0,0,1,4,0,836,0,2,838,0
212,18,1,93,119,1,0,0,154,1,0,0,1,1,0,389,0,1,390,0
213,38,1,402,195,2,0,2,256,1,0,0,2,7,1,907,0,4,911,0
214,12,0,102,58,1,1,0,60,1,1,1,1,2,2,242,0,0,242,0
215,11,0,116,216,0,0,0,115,0,0,1,5,2,0,466,0,0,466,0
216,24,1,159,353,0,0,0,209,0,1,0,1,1,0,749,0,4,753,0
217,20,0,152,210,1,1,0,121,1,0,0,1,0,2,509,0,5,514,0
218,11,1,342,93,3,0,1,151,0,0,0,1,12,4,619,0,3,622,0
219,16,1,193,258,0,3,1,175,0,0,1,3,2,0,653,0,3,656,0
220,17,1,157,242,2,0,0,158,0,1,0,0,3,0,581,0,4,585,0
221,44,3,239,280,3,2,0,195,0,0,1,1,7,1,776,0,3,779,0
222,36,1,248,236,1,0,1,161,2,1,0,3,2,0,692,0,0,692,0
223,22,2,177,184,3,1,0,127,1,1,0,2,4,0,524,0,0,524,0
224,18,0,248,142,2,0,0,137,0,2,0,5,4,0,558,0,2,560,0
225,26,2,228,168,1,11,1,186,0,1,1,7,2,0,634,0,1,635,0
226,24,1,236,151,2,6,2,157,0,4,0,0,5,1,589,0,7,596,0
227,26,2,253,330,3,4,0,186,0,1,3,2,9,0,819,0,6,825,0
228,17,1,151,113,0,3,0,133,1,0,1,0,1,0,421,0,3,424,0
229,28,0,382,194,0,0,1,299,0,2,1,4,4,1,916,0,2,918,0
230,28,1,295,156,0,2,1,231,0,1,0,0,1,0,716,0,2,718,0
231,11,0,312,172,0,1,0,205,0,4,0,2,10,1,718,0,4,722,0
232,15,0,161,114,1,0,0,212,1,1,0,2,0,0,507,0,0,507,0
233,30,4,253,204,1,3,0,211,1,0,1,5,4,1,718,0,5,723,0
234,13,1,178,204,3,0,0,167,0,0,0,2,2,0,570,0,6,576,0
235,37,2,184,147,0,1,2,241,0,2,0,1,3,0,620,0,3,623,0
236,13,0,173,148,2,0,1,133,0,0,0,0,0,0,470,0,3,473,0
237,28,1,169,297,6,4,2,142,0,0,0,3,4,0,656,0,4,660,0
238,26,4,214,139,5,3,2,327,1,1,0,0,4,1,727,0,2,729,0
239,42,2,225,126,0,2,0,187,1,5,1,6,2,1,600,0,5,605,0
240,22,2,375,156,2,1,1,241,0,4,1,3,3,1,812,0,1,813,0
241,27,0,292,132,3,1,1,212,0,1,0,0,0,0,669,0,3,672,0
242,30,2,283,133,1,0,1,200,0,1,0,0,2,0,653,0,0,653,0
243,19,0,225,126,2,0,1,244,1,2,1,0,5,1,627,0,4,631,0
244,12,3,142,132,1,3,1,242,4,2,0,3,1,0,546,0,0,546,0
245,41,0,242,281,2,0,2,278,1,1,0,1,2,1,852,0,6,858,0
246,22,1,240,185,1,1,2,188,1,1,1,1,3,0,647,0,1,648,0
247,15,1,179,174,0,0,1,225,1,0,1,0,6,0,603,0,1,604,0
248,30,3,316,355,6,6,1,293,2,1,2,0,2,0,1017,0,1,1018,0
249,10,1,250,218,2,1,0,148,0,3,1,3,5,2,644,0,6,650,0
250,37,1,280,320,5,0,1,261,0,0,0,4,4,2,915,0,3,918,0
251,26,0,196,231,0,1,2,200,0,0,2,2,4,0,664,0,4,668,0
252,25,1,252,243,2,1,1,182,0,0,0,4,1,1,713,0,3,716,0
253,15,1,173,243,0,1,2,161,1,0,0,1,0,0,598,0,3,601,0
254,11,5,159,201,1,0,1,150,0,0,1,4,4,2,539,0,6,545,0
255,15,1,194,218,1,0,0,176,1,0,0,2,1,0,609,0,4,613,0
256,20,2,225,159,2,3,0,172,0,0,0,4,1,0,588,0,4,592,0
257,27,0,195,223,3,1,0,237,0,0,0,3,0,0,689,0,3,692,0
258,20,0,228,180,2,0,0,248,0,0,0,2,5,1,686,0,0,686,0
259,22,0,341,415,3,1,0,204,0,0,0,2,8,2,998,0,4,1002,0
260,17,0,166,278,2,0,2,128,0,1,0,0,0,0,594,0,0,594,0
261,7,1,145,176,4,0,0,146,1,1,2,3,1,1,488,0,2,490,0
262,29,1,288,303,3,1,2,262,0,2,1,2,7,2,903,0,3,906,0
263,11,0,263,135,0,4,0,55,1,0,0,2,1,0,472,0,1,473,0
264,30,1,311,381,10,1,2,228,0,2,3,5,4,1,979,0,3,982,0
265,14,0,154,232,3,0,0,173,0,1,1,0,1,1,580,0,3,583,0
266,50,2,331,348,1,0,2,196,0,2,3,4,12,1,952,0,4,956,0
267,17,0,199,257,1,0,2,80,0,1,0,1,3,1,562,0,1,563,0
268,7,2,203,286,4,0,1,163,1,2,1,3,9,3,685,0,2,687,0
269,17,0,221,217,6,1,0,131,0,1,1,7,10,0,612,0,1,613,0
270,13,1,199,142,0,2,3,168,0,1,0,2,3,1,535,0,2,537,0
271,16,2,208,145,1,7,2,169,0,0,0,0,3,0,553,0,3,556,0
