Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
27,27,0,609,45,0,0,437,0,61,0,0,0,0,0,0,0,553,0,0,553,0
28,28,0,654,60,0,32,154,0,271,0,0,0,2,0,0,0,519,0,0,519,0
29,29,0,629,44,0,31,120,0,276,0,0,0,3,0,0,0,481,0,0,481,0
30,30,0,619,107,0,16,302,0,123,0,0,0,0,0,0,2,554,0,0,554,0
31,31,0,1144,158,0,41,288,0,418,0,0,0,0,0,0,0,911,0,0,911,0
32,32,0,853,127,0,40,189,0,282,0,0,01,3,0,0,0,648,0,0,648,0
33,33,0,938,90,0,42,194,0,403,2,0,0,0,0,0,0,738,0,0,738,0
34,34,0,516,48,0,13,135,0,208,2,0,0,0,0,0,0,407,0,0,407,0
35,35,0,912,350,0,0,71,0,386,1,0,3,2,0,0,0,833,0,0,833,0
36,36,0,445,52,0,29,233,0,791,01,0,0,0,0,0,0,402,0,0,402,0
37,37,0,1072,112,0,37,547,2,131,2,0,0,0,0,0,0,840,0,0,840,0
38,38,0,976,239,0,29,360,0,184,0,0,1,2,0,0,0,823,0,0,823,0
39,39,0,588,234,0,52,114,0,131,0,0,0,0,0,0,0,538,0,0,538,0
40,40,0,640,163,0,26,269,0,106,0,0,0,1,0,1,0,568,0,0,568,0
41,41,0,1034,253,0,29,407,0,205,0,3,2,0,0,1,0,911,0,0,911,0
42,42,0,922,158,0,35,418,0,165,0,0,0,0,0,2,0,785,0,0,785,0
43,43,0,880,354,0,20,171,0,222,0,0,0,0,3,2,0,779,0,0,779,0
44,44,0,681,86,0,14,403,2,87,0,0,0,0,0,0,0,603,0,0,603,0
45,45,0,532,65,0,25,287,0,107,0,0,0,0,0,0,0,487,0,0,487,0
46,46,0,659,190,0,15,252,0,128,0,0,0,0,0,0,0,590,0,0,590,0
47,47,0,614,80,0,14,345,0,100,0,0,0,0,0,0,0,542,0,0,542,0
48,48,0,663,237,0,0,249,0,103,0,0,0,0,0,0,0,602,0,0,602,0
49,49,0,1113,378,0,42,321,0,207,0,0,0,0,0,0,0,954,0,0,954,0
50,50,0,919,175,0,29,388,0,239,0,0,0,0,0,0,0,839,0,0,839,0
51,51,0,663,211,0,13,210,0,120,0,0,0,0,0,0,0,560,0,0,560,0
52,52,0,807,139,0,26,407,0,139,0,0,0,0,0,0,0,717,0,0,717,0
53,53,0,815,156,0,32,395,0,113,0,0,2,0,0,2,0,704,0,0,704,0
54,54,0,888,119,0,261,509,0,120,0,0,0,0,0,0,0,776,0,0,776,0
55,55,0,744,357,0,0,111,0,103,0,0,0,0,0,0,0,580,0,0,580,0
56,56,0,787,165,0,0,317,0,136,0,0,0,0,0,0,0,634,0,0,634,0
57,57,0,523,207,0,11,84,0,104,0,0,0,0,0,0,0,407,0,0,407,0
58,58,0,627,252,0,12,114,0,103,0,0,0,0,3,0,0,488,0,0,488,0
59,59,0,625,261,0,14,82,0,83,0,0,0,0,0,0,0,441,0,0,441,0
60,60,0,978,328,0,20,302,0,145,0,0,0,0,0,0,0,809,0,0,809,0
61,61,0,851,373,0,17,158,0,196,0,0,0,0,0,0,0,747,0,0,747,0
62,62,0,650,87,0,18,362,0,73,0,0,0,0,0,0,0,546,0,0,546,0
63,63,0,770,351,0,10,81,0,152,0,0,0,0,0,0,0,603,0,0,603,0
64,64,0,661,399,0,0,22,0,49,0,0,0,0,0,0,0,478,0,0,478,0
65,65,0,525,350,0,0,0,0,19,0,0,0,0,0,0,0,375,0,0,375,0
66,66,0,527,359,0,0,10,0,30,0,0,0,0,0,1,0,406,0,0,406,0
67,67,0,592,340,0,0,17,0,37,0,0,0,0,0,0,0,397,0,0,397,0
68,68,0,702,425,0,4,9,1,84,0,0,0,0,0,0,0,527,0,0,527,0
69,69,0,1186,754,0,8,17,0,52,0,0,0,0,0,0,0,838,0,0,838,0
70,70,0,986,580,0,0,18,0,114,0,0,0,0,0,0,0,729,0,0,729,0
71,0,0,676,320,0,9,31,0,104,0,0,0,0,0,0,0,470,0,0,470,0
72,0,0,778,355,0,0,79,0,266,0,0,0,0,0,0,0,708,0,0,708,0
73,0,0,776,144,0,16,139,0,293,0,0,0,0,0,0,0,604,0,0,604,0
74,0,0,770,467,0,0,33,0,34,0,0,0,0,0,0,0,545,0,0,545,0
75,0,0,692,376,0,3,32,0,69,0,0,0,0,0,0,0,487,0,0,487,0
76,0,0,706,341,0,0,37,0,0,0,0,0,0,0,0,0,466,0,0,466,0
77,0,0,1050,388,0,14,166,0,312,0,0,0,0,0,0,0,890,0,0,890,0
78,78,0,715,381,0,5,68,0,116,0,0,0,0,0,0,0,573,0,0,573,0
79,79,0,679,283,0,11,121,0,112,0,0,0,0,0,0,2,530,0,0,530,0
80,80,0,728,249,0,17,146,0,167,0,0,0,0,0,0,2,584,0,0,584,0
81,81,0,920,170,0,19,319,0,236,0,0,0,0,0,0,2,749,0,0,749,0
82,82,0,809,248,0,21,201,0,159,0,0,0,0,0,0,0,635,0,0,635,0
83,83,0,517,118,0,0,176,0,105,0,0,0,0,0,0,0,409,0,0,409,0
84,84,0,592,173,0,0,124,0,157,0,0,0,0,0,0,2,466,0,0,466,0
85,85,0,829,120,0,13,368,0,168,0,0,0,0,0,0,0,676,0,0,676,0
86,86,0,903,190,0,12,243,0,351,0,0,0,0,0,0,0,802,0,0,802,0
87,87,0,809,141,0,22,252,0,238,0,0,0,0,0,0,0,661,0,0,661,0
88,88,0,802,303,0,0,123,0,290,0,0,0,0,0,0,0,726,0,0,726,0
89,89,0,938,156,0,31,362,0,197,0,0,2,0,0,0,0,755,0,0,755,0
90,90,0,1066,149,0,29,438,0,231,0,0,2,0,0,0,0,858,0,0,858,0
91,91,0,980,293,0,20,279,0,135,0,0,0,0,0,0,0,731,0,0,731,0
92,92,0,824,298,0,16,179,0,166,0,0,0,2,2,0,0,671,0,0,671,0
93,93,0,942,438,0,12,134,0,124,0,0,0,0,0,0,2,712,0,0,712,0
94,94,0,1076,112,0,25,630,0,113,0,0,0,0,0,0,0,884,0,0,884,0
95,95,0,1073,245,0,11,482,0,142,0,0,0,0,0,0,0,892,0,0,892,0
96,96,0,701,275,0,26,205,0,104,0,0,0,0,0,0,0,615,0,0,615,0
97,97,0,732,424,0,5,100,0,128,0,0,0,0,0,0,0,658,0,0,658,0
98,98,0,715,471,0,7,75,0,102,0,0,12,0,0,0,3,671,0,0,671,0
99,99,0,903,316,0,24,349,0,118,0,0,0,0,2,0,0,813,0,0,813,0
100,100,0,994,83,0,72,564,0,117,0,0,0,0,3,2,3,844,0,0,844,0
101,101,0,1046,264,0,44,411,0,181,0,0,0,0,0,0,5,912,0,0,912,0
102,102,0,887,264,0,29,345,0,104,0,0,0,0,0,0,0,746,0,0,746,0
103,103,0,762,237,0,0,324,0,111,0,0,0,0,0,2,0,683,0,0,683,0
104,104,0,582,73,0,15,335,0,101,0,0,0,0,0,0,0,527,0,0,527,0
105,105,0,500,120,0,13,194,0,135,0,0,0,0,0,0,0,465,0,0,465,0
106,106,0,1098,400,0,15,155,0,341,0,0,0,0,0,0,1,914,0,0,914,0
107,107,0,1144,236,0,34,363,0,253,0,0,0,0,0,01,3,894,0,0,894,0
108,108,0,1052,263,0,39,214,0,294,0,0,0,0,0,2,2,816,0,0,816,0
109,109,0,737,177,0,23,117,2,203,0,0,0,0,0,0,0,524,0,0,524,0
110,110,0,513,108,0,21,168,2,151,0,0,0,0,0,2,0,456,0,0,456,0
111,111,0,595,304,0,15,50,0,149,14,0,0,0,0,1,0,536,0,0,536,0
112,112,0,932,378,0,22,209,0,223,0,0,0,0,0,0,2,835,0,0,835,0
113,113,0,868,235,0,39,281,0,192,0,0,0,0,0,0,2,753,0,0,753,0
114,114,0,570,107,0,15,304,2,67,0,0,0,0,0,0,0,499,0,0,499,0
115,115,0,741,209,0,27,221,3,144,0,0,0,0,0,2,2,610,0,0,610,0
116,116,0,1110,268,0,48,392,2,273,0,0,0,0,0,0,0,991,0,0,991,0
117,117,0,1007,366,0,21,279,0,194,0,0,0,0,0,0,0,866,0,0,866,0
118,118,0,841,427,0,19,106,0,197,0,0,0,0,0,0,0,753,0,0,753,0
119,119,0,630,256,0,10,116,0,120,0,0,0,0,01,1,2,507,0,0,507,0
120,120,0,1003,253,0,36,210,3,274,0,0,0,0,0,0,0,790,0,0,790,0
121,121,0,984,248,0,0,338,2,219,0,0,0,0,2,0,2,821,0,0,821,0
122,122,0,1017,342,0,12,116,8,366,0,0,0,0,2,5,5,864,0,0,864,0
123,123,0,615,233,0,18,126,1,103,0,0,0,0,0,0,2,486,0,0,486,0
124,124,0,665,315,0,17,71,3,145,0,0,0,0,0,2,3,558,0,0,558,0
125,125,0,735,160,0,31,273,0,150,0,0,0,0,0,2,0,623,0,0,623,0
126,126,0,1089,156,0,18,390,2,298,0,0,0,0,0,0,0,869,0,0,869,0
127,127,0,608,90,0,23,156,2,212,0,0,0,0,0,0,0,488,0,0,488,0
128,128,0,577,127,0,0,148,0,186,0,0,0,0,0,0,0,473,0,0,473,0
129,129,0,1123,298,0,0,198,0,473,0,0,0,0,0,0,0,994,0,0,994,0
130,130,0,884,183,0,33,308,0,213,0,0,0,0,0,0,0,742,0,0,742,0
131,131,0,670,185,0,20,150,0,167,0,0,0,0,0,0,0,527,0,0,527,0
132,132,0,661,149,0,19,130,0,194,0,0,0,0,0,1,2,500,0,0,500,0
133,133,0,848,410,0,0,81,0,108,0,0,0,0,0,0,0,608,0,0,608,0
134,134,0,998,354,0,11,300,0,187,0,0,0,0,0,0,0,860,0,0,860,0
135,135,0,987,544,0,0,36,0,114,0,0,0,0,0,0,0,703,0,0,703,0
136,136,0,943,427,0,18,95,0,281,0,0,0,0,0,0,0,828,0,0,828,0
137,137,0,801,269,0,13,310,0,102,0,0,0,0,0,0,0,702,0,0,702,0
138,138,0,848,331,0,16,246,0,156,0,0,0,0,0,0,0,752,0,0,752,0
139,139,0,704,220,0,28,253,0,97,0,0,0,0,0,0,0,602,0,0,602,0
140,140,0,797,274,0,15,99,0,281,0,0,0,0,0,0,0,683,0,0,683,0
141,141,0,1153,371,0,26,126,0,347,0,0,0,0,0,0,0,876,0,0,876,0
142,142,0,754,317,0,11,59,0,175,0,0,0,0,0,0,0,568,0,0,568,0
143,143,0,830,457,0,0,41,0,116,0,0,0,0,0,0,0,622,0,0,622,0
144,144,0,827,374,0,0,88,0,213,0,0,0,0,0,0,0,687,0,0,687,0
145,145,0,861,308,0,20,133,0,201,0,0,0,0,0,0,0,666,0,0,666,0
146,146,0,705,249,0,10,123,0,199,0,0,0,0,0,0,2,584,0,0,584,0
147,147,0,578,206,0,27,114,0,175,0,0,0,2,0,0,0,525,0,0,525,0
148,148,0,598,241,0,20,91,0,188,0,0,0,0,0,0,0,545,0,0,545,0
149,149,0,992,226,0,26,225,0,344,0,0,0,3,0,0,5,832,0,0,832,0
150,150,0,581,178,0,14,116,0,156,0,0,0,0,0,0,0,470,0,0,470,0
151,151,0,485,97,0,15,172,2,140,0,0,0,0,0,0,0,428,0,0,428,0
152,152,0,697,211,0,21,149,3,178,0,0,0,0,0,0,3,566,0,0,566,0
153,153,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,154,0,755,161,0,31,205,0,235,0,0,0,0,0,0,0,639,0,0,639,0
155,155,0,1025,295,0,17,212,0,371,0,0,0,0,0,0,0,910,0,0,910,0
156,156,0,681,276,0,16,101,0,196,0,0,0,0,0,0,0,594,0,0,594,0
157,157,0,797,282,0,28,125,0,213,0,0,0,0,0,0,0,657,0,0,657,0
158,158,0,750,210,0,28,175,0,244,0,0,0,0,0,0,0,662,0,0,662,0
159,159,0,966,317,0,35,218,2,281,0,0,0,0,0,0,0,861,0,0,861,0
160,160,0,564,130,0,16,140,0,137,0,0,0,0,0,0,0,430,0,0,430,0
161,161,0,804,225,0,22,212,0,210,0,0,0,0,0,0,0,675,0,0,675,0
162,162,0,812,229,0,17,183,0,230,0,0,0,0,0,0,0,666,0,0,666,0
163,163,0,949,251,0,20,203,0,266,0,0,0,0,0,0,0,750,0,0,750,0
164,164,0,964,281,0,21,158,0,308,0,0,0,0,0,0,0,772,0,0,772,0
165,165,0,477,107,0,12,109,0,165,0,0,0,0,0,0,0,396,0,0,396,0
166,166,0,766,216,0,13,124,0,234,0,0,0,0,0,0,0,596,0,0,596,0
167,167,0,887,246,0,24,170,0,309,0,0,0,0,0,0,0,754,0,0,754,0
168,168,0,394,164,0,0,41,0,98,0,0,0,0,0,0,0,311,0,0,311,0
169,169,0,826,320,0,27,89,0,198,0,0,0,0,0,0,0,636,0,0,636,0
170,170,0,587,181,0,10,114,0,152,0,0,0,0,0,0,0,462,0,0,462,0
171,171,0,952,299,0,24,209,0,230,0,0,0,0,0,2,2,776,0,0,776,0
172,172,0,758,278,0,15,141,0,219,0,0,0,0,0,0,0,661,0,0,661,0
173,173,0,527,136,0,29,133,0,165,0,0,0,0,0,2,0,466,0,0,466,0
174,174,0,540,158,0,21,108,0,152,0,0,0,0,0,0,0,441,0,0,441,0
175,175,0,785,277,0,22,180,2,1661,0,0,0,0,0,5,2,658,0,0,658,0
176,176,0,957,245,0,36,203,3,270,0,0,0,0,0,0,10,769,0,0,769,0
177,177,0,976,226,0,33,325,0,262,0,0,0,0,0,0,0,857,0,0,857,0
178,178,0,893,160,0,30,308,0,191,0,0,0,0,0,2,2,697,0,0,697,0
179,179,0,552,140,0,201,110,0,180,0,0,0,0,0,0,3,455,0,0,455,0
180,180,0,528,97,0,13,130,0,215,0,0,0,0,0,0,3,461,0,0,461,0
181,181,0,995,236,0,32,231,0,313,0,0,0,0,2,2,5,823,0,0,823,0
182,182,0,873,180,0,12,225,0,290,0,0,0,0,0,0,0,715,0,0,715,0
183,183,0,934,210,0,20,214,0,273,0,0,0,0,0,0,0,730,0,0,730,0
184,184,0,444,101,0,261,92,0,109,0,0,0,0,0,01,5,335,0,0,335,0
185,185,0,412,88,0,12,128,0,120,0,0,0,0,0,0,3,355,0,0,355,0
186,186,0,734,179,0,28,170,0,226,0,0,0,0,0,0,0,608,0,0,608,0
187,187,0,891,162,0,27,168,0,398,0,0,0,0,0,0,5,773,0,0,773,0
188,188,0,874,272,0,35,165,0,252,0,0,0,0,0,0,5,733,0,0,733,0
189,189,0,437,115,0,12,77,0,148,0,0,0,0,0,0,3,357,0,0,357,0
190,190,0,489,139,0,13,111,0,145,0,0,0,0,0,0,5,415,0,0,415,0
191,191,0,891,229,0,19,215,0,270,0,0,0,0,0,0,0,743,0,0,743,0
192,192,0,706,172,0,30,186,0,197,0,0,0,0,0,0,2,588,0,0,588,0
193,193,0,561,97,0,16,205,0,120,0,0,0,0,0,0,0,448,0,0,448,0
194,194,0,698,179,0,0,161,0,200,0,0,0,0,0,0,0,554,0,0,554,0
195,195,0,554,117,0,13,164,0,159,0,0,0,0,0,0,0,463,0,0,463,0
196,196,0,407,92,0,21,71,0,131,0,0,0,0,0,0,0,318,0,0,318,0
197,197,0,441,121,0,13,86,0,170,0,0,0,3,0,0,0,394,0,0,394,0
198,198,0,512,108,0,11,120,0,214,0,0,0,0,0,0,0,456,0,0,456,0
199,199,0,720,315,0,0,81,0,255,0,0,0,0,0,0,0,665,0,0,665,0
200,200,0,674,256,0,13,79,0,228,0,0,0,0,0,0,0,583,0,0,583,0
201,201,0,961,310,0,0,202,0,253,0,0,0,0,0,0,0,780,0,0,780,0
202,202,0,725,142,0,18,282,0,120,1,0,0,0,0,0,0,565,0,0,565,0
203,203,0,452,68,0,13,194,0,74,0,0,0,0,0,0,0,358,0,0,358,0
204,204,0,442,35,0,0,205,0,83,0,0,0,0,0,3,0,346,0,0,346,0
205,205,0,536,89,0,11,190,0,132,0,0,0,0,0,0,0,430,0,0,430,0
206,206,0,708,394,0,12,44,0,104,0,0,0,0,0,0,0,559,0,0,559,0
207,207,0,934,332,0,25,151,0,284,0,0,0,0,0,0,0,797,0,0,797,0
208,208,0,1031,213,0,35,209,0,342,0,0,0,0,0,0,0,807,0,0,807,0
209,209,0,1046,228,0,33,263,0,330,0,0,0,0,0,0,0,862,0,0,862,0
210,210,0,1112,303,0,39,230,0,263,0,0,0,0,0,0,0,845,0,0,845,0
211,211,0,980,150,0,42,425,0,231,0,0,0,0,0,0,0,857,0,0,857,0
212,212,0,425,141,0,21,73,0,149,0,0,0,0,0,0,0,385,0,0,385,0
213,213,0,758,119,0,10,365,0,145,0,0,0,0,0,0,0,644,0,0,644,0
214,214,0,785,297,0,0,101,0,251,0,0,0,0,0,0,0,660,0,0,660,0
215,215,0,686,185,0,13,288,0,114,0,0,0,0,0,0,0,604,0,0,604,0
216,216,0,892,414,0,17,188,0,166,0,0,0,0,0,0,0,796,0,0,796,0
217,217,0,362,175,0,0,43,0,75,0,0,0,0,0,0,0,301,0,0,301,0
218,218,0,837,360,0,18,190,0,159,0,0,0,0,0,0,0,730,0,0,730,0
219,219,0,765,243,0,11,213,0,221,0,0,0,0,0,0,0,689,0,0,689,0
220,220,0,576,147,0,12,229,0,130,0,0,0,0,0,0,0,525,0,0,525,0
221,221,0,871,232,0,36,191,0,252,0,0,0,0,0,0,0,718,0,0,718,0
222,222,0,814,365,0,16,65,0,198,0,0,0,0,0,0,0,649,0,0,649,0
223,223,0,837,163,0,38,244,0,231,0,0,0,0,0,1,2,685,0,0,685,0
224,224,0,873,214,0,27,246,3,211,0,0,0,0,0,0,0,706,0,0,706,0
225,225,0,885,164,0,27,250,0,281,0,0,0,0,0,0,0,727,0,0,727,0
226,226,0,842,152,0,38,214,3,300,0,0,0,0,0,0,0,709,0,0,709,0
227,227,0,762,184,0,23,167,0,263,0,0,0,0,0,0,0,642,0,0,642,0
228,228,0,747,150,0,0,208,2,211,0,0,0,0,0,0,2,582,0,0,582,0
229,229,0,938,291,0,27,164,0,273,0,0,0,0,0,0,0,762,0,0,762,0
230,230,0,628,133,0,31,121,0,149,0,0,0,0,0,0,5,440,0,0,440,0
231,231,0,825,200,0,32,170,0,249,0,0,0,0,0,0,0,663,0,0,663,0
232,232,0,777,230,0,17,145,0,244,0,0,0,0,0,0,0,641,0,0,641,0
233,233,0,727,176,0,21,125,0,203,0,0,0,0,0,0,0,528,0,0,528,0
234,234,0,907,378,0,19,149,0,216,0,0,0,0,0,0,0,768,0,0,768,0
235,235,0,499,120,0,18,103,0,128,0,0,0,0,0,0,0,380,0,0,380,0
236,236,0,702,166,0,17,188,2,189,0,0,0,0,0,0,0,569,0,0,569,0
237,237,0,658,196,0,31,130,0,168,0,0,0,0,0,0,0,529,0,0,529,0
238,238,0,510,115,0,22,169,0,131,0,0,0,0,0,0,0,442,0,0,442,0
239,239,0,601,181,0,25,100,0,149,0,0,0,0,0,0,0,456,0,0,456,0
240,240,0,556,228,0,13,61,0,146,0,0,0,0,0,0,0,454,0,0,454,0
241,241,0,739,267,0,17,99,0,203,0,0,0,0,0,0,0,593,0,0,593,0
242,242,0,968,304,0,24,191,0,192,0,0,0,0,0,0,0,723,0,0,723,0
243,243,0,521,160,0,13,74,0,115,0,0,0,0,0,0,0,363,0,0,363,0
244,244,0,492,149,0,0,105,0,124,0,0,0,0,0,0,0,390,0,0,390,0
245,245,0,524,94,0,12,138,0,182,0,0,0,0,0,0,0,432,0,0,432,0
246,246,0,575,125,0,15,120,0,156,0,0,0,0,0,0,0,420,0,0,420,0
247,247,0,820,175,0,24,171,0,207,0,0,0,0,0,0,0,582,0,0,582,0
248,248,0,787,228,0,17,148,2,245,0,0,0,0,1,0,0,645,0,0,645,0
249,249,0,393,141,0,0,43,0,94,0,0,0,0,0,0,2,288,0,0,288,0
250,250,0,573,283,0,0,55,0,155,0,0,0,0,0,0,0,506,0,0,506,0
251,251,0,570,291,0,0,52,0,135,0,0,0,0,0,0,3,486,0,0,486,0
252,252,0,634,156,0,22,156,0,166,0,0,0,0,0,0,2,502,0,0,502,0
253,253,0,646,143,0,26,138,0,192,0,0,0,0,0,0,5,507,0,0,507,0
254,254,0,839,259,0,28,123,0,247,0,0,0,0,0,3,2,665,0,0,665,0
255,255,0,639,300,0,0,39,0,120,0,0,0,0,0,0,3,474,0,0,474,0
256,256,0,774,401,0,19,81,0,183,0,0,0,0,0,0,0,686,0,0,686,0
257,257,0,823,336,0,12,186,0,195,0,0,0,0,0,0,0,730,0,0,730,0
258,258,0,660,287,0,11,141,0,140,0,0,0,0,0,0,0,582,0,0,582,0
259,259,0,725,198,0,23,264,0,164,0,0,0,0,0,0,0,652,0,0,652,0
260,260,0,1090,327,0,33,399,0,226,0,0,0,0,0,0,0,991,0,0,991,0
261,261,0,941,302,0,18,281,0,221,0,0,0,1,1,0,0,832,0,0,832,0
262,262,0,1089,383,0,23,282,2,283,0,0,0,3,0,1,0,982,0,0,982,0
263,263,0,638,125,0,261,250,0,122,0,0,0,0,0,0,0,528,0,0,528,0
264,264,0,732,239,0,12,207,0,191,0,0,0,0,0,0,3,652,0,0,652,0
265,265,0,945,271,0,13,380,2,171,0,0,0,0,0,0,0,846,0,0,846,0
266,266,0,1070,350,0,24,369,0,224,0,0,0,0,0,0,0,973,0,0,973,0
267,267,0,1049,342,0,29,313,0,238,0,0,0,0,0,0,0,927,0,0,927,0
268,268,0,1146,359,0,51,433,0,178,0,0,0,0,0,2,5,1030,0,0,1030,0
269,269,0,1145,344,0,31,373,0,247,0,0,0,0,0,0,0,1002,0,0,1002,0
270,270,0,882,300,0,15,252,0,199,0,0,0,0,0,0,0,775,0,0,775,0
271,271,0,779,154,0,16,322,0,164,0,0,0,0,0,0,0,663,0,0,663,0
272,272,0,447,81,0,16,199,0,74,0,0,0,0,0,0,0,373,0,0,373,0
273,273,0,743,152,0,30,263,0,181,0,0,0,0,0,0,0,630,0,0,630,0
274,274,0,966,218,0,18,289,0,262,0,0,0,0,0,0,0,800,0,0,800,0
275,275,0,698,176,0,17,265,0,150,0,0,0,2,0,0,0,612,0,0,612,0
276,276,0,908,191,0,22,405,0,133,0,0,0,0,0,0,0,755,0,0,755,0
277,277,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,278,0,723,204,0,12,283,0,116,0,0,0,0,0,0,0,618,0,0,618,0
279,279,0,524,103,0,0,265,0,80,0,0,0,0,0,0,0,457,0,0,457,0
280,280,0,718,179,0,15,305,0,91,0,0,0,0,0,2,0,601,0,0,601,0
281,281,0,960,159,0,51,434,0,169,0,0,0,0,0,0,2,820,0,0,820,0
282,282,0,781,240,0,20,248,2,145,0,0,0,0,0,2,0,666,0,0,666,0
283,283,0,517,77,0,0,226,2,127,0,0,0,0,0,0,0,441,0,0,441,0
284,284,0,832,375,0,19,139,2,216,0,0,2,0,0,0,0,761,0,0,761,0
285,285,0,711,260,0,20,173,0,162,0,0,0,0,0,0,0,623,0,0,623,0
286,286,0,684,150,0,17,313,0,127,0,0,0,0,0,0,0,616,0,0,616,0
287,287,0,621,143,0,25,287,0,77,0,0,0,0,2,0,0,538,0,0,538,0
288,288,0,802,316,0,13,208,0,180,0,0,2,1,0,0,3,725,0,0,725,0
289,289,0,817,148,0,27,340,0,179,0,0,2,0,0,0,5,705,0,0,705,0
290,290,0,762,391,0,0,148,0,128,0,0,2,0,0,0,0,681,0,0,681,0
291,291,0,623,324,0,0,95,0,134,0,0,0,0,0,0,2,565,0,0,565,0
292,292,0,670,335,0,24,87,0,132,0,0,0,0,0,0,3,584,0,0,584,0
293,293,0,775,93,0,11,407,0,146,0,0,2,0,0,0,3,668,0,0,668,0
294,294,0,604,203,0,0,199,0,127,0,0,0,0,0,0,0,543,0,0,543,0
295,295,0,638,75,0,0,386,0,102,0,0,0,0,0,0,0,572,0,0,572,0
296,296,0,611,184,0,201,209,0,123,0,0,0,0,0,0,0,539,0,0,539,0
297,297,0,981,288,0,35,235,0,248,0,0,0,0,0,0,2,810,0,0,810,0
298,298,0,836,163,0,11,363,0,193,0,0,0,0,0,0,0,736,0,0,736,0
