Polling Station No,KATHARBATCHA MUTHURAMALINGAM,GBS K.NAGENDRAN,S.M. MUTHU KESAVAN,DR.J. ABUBAKKAR SITHICK,SHAHUL HAMEED,C. PARIRAJAN,S. MURUGABOOPATHY,KAN ILANGO,KARTHIGAI PANDI,A. CHINNA RAJA,BALAKRISHNAN,PULLANI,K. MALESWARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
205,192,150,23,0,211,2,0,0,1,1,0,4,2,586,0,4,590,0
206,388,85,17,0,204,0,0,0,0,1,0,0,0,695,0,1,696,0
207,381,3,7,1,83,0,0,0,0,0,0,0,0,475,0,0,475,0
208,360,4,10,0,35,0,0,1,0,0,0,0,0,410,0,0,410,0
209,533,19,1,0,93,0,0,0,0,0,0,1,0,647,0,2,649,0
210,606,28,11,0,138,0,0,0,0,0,1,0,0,784,0,4,788,0
211,438,192,24,0,204,1,1,1,1,1,0,0,3,866,0,5,871,0
212,403,16,4,0,98,0,3,1,1,0,0,0,1,527,0,3,530,0
213,445,5,3,0,107,0,1,0,0,0,0,0,0,561,0,4,565,0
214,248,246,60,1,294,0,1,1,0,0,0,1,0,852,0,6,858,0
215,213,50,67,0,147,0,0,1,1,2,0,0,0,481,0,3,484,0
216,345,77,19,0,329,0,1,1,0,0,0,0,2,774,0,1,775,0
217,210,298,66,1,296,0,2,7,0,4,1,2,3,890,0,2,892,0
218,223,97,16,0,170,0,0,0,1,0,0,0,1,508,0,2,510,0
219,214,423,36,1,255,0,0,0,0,2,0,1,3,935,0,6,941,0
220,140,303,26,1,156,0,0,0,0,0,0,0,1,627,0,2,629,0
221,102,257,31,2,137,2,0,0,0,3,1,1,0,536,0,6,542,0
222,236,185,120,3,205,1,3,0,1,3,2,1,3,763,0,5,768,0
223,348,217,32,0,190,2,0,0,0,0,0,0,0,789,0,2,791,0
224,127,360,43,3,169,1,0,0,0,1,2,2,1,709,0,5,714,0
225,332,63,8,1,89,0,0,0,0,1,0,0,0,494,0,1,495,0
226,146,121,14,0,57,0,0,0,0,0,0,0,1,339,0,2,341,0
227,219,232,25,0,238,0,0,3,0,1,0,0,3,721,0,3,724,0
228,95,138,15,1,110,1,0,0,0,2,0,0,2,364,0,2,366,0
229,234,233,27,1,273,0,1,0,0,2,1,2,0,774,0,3,777,0
230,119,191,19,5,161,1,2,2,0,0,1,0,4,505,0,3,508,0
231,120,308,36,0,258,1,0,0,1,2,0,2,4,732,0,0,732,0
232,76,273,34,1,144,0,3,0,1,0,0,1,5,538,0,2,540,0
233,164,187,58,1,348,0,1,0,0,3,0,0,0,762,0,3,765,0
