Polling Station No,AADIRAJARAM,AYSHA,UDHAYANIDHI STALIN,MOHAMMED YASSER,IRFAN BASHA,SELVAM. D,AGNI AALVAR,ATHIMULAM,AYISHA,ARUMUGAM. C,KUMAR. M,SAAMY. S.K. DR,SEENIVASAN. L,SELVAM. K,SELVAM. K,SYEED LAYAK BHASHA,BHARATHKUMAR. G,MILANY. P,MIRZA SAFDER ALI,MOHAMED DHARIK. I,MOHAMED MEERA. A,RAJASEKAR. S,RAJESHKUMAR. K,VIJAYA KUMAR. B,SELVAM ( ALIAS ) VENKATESH,SELVAM ( ALIAS ) HARINARAYANAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
25,55,20,222,1,0,306,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,1,1,0,0,614,0,4,618,0
26,82,9,207,0,1,310,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,615,0,6,621,0
27,73,9,181,1,1,279,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,545,0,5,550,0
28,41,19,352,2,0,281,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,697,0,3,700,0
29,66,6,170,0,2,251,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,500,0,2,502,0
30,98,22,236,1,0,282,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,645,0,3,648,0
31,83,14,159,0,2,219,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,480,0,9,489,0
32,49,15,261,1,2,211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,541,0,2,543,0
33,50,9,272,2,0,431,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,766,0,2,768,0
34,73,14,280,1,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,565,0,2,567,0
35,48,10,352,0,0,211,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,625,0,1,626,0
36,32,7,417,0,0,126,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,585,0,3,588,0
37,44,17,330,3,0,260,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,658,0,6,664,0
38,69,13,248,2,0,254,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,592,0,0,592,0
39,66,11,285,0,0,221,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,590,0,3,593,0
40,70,9,348,0,2,222,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,657,0,1,658,0
41,74,14,354,1,0,253,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,706,0,4,710,0
42,49,2,270,2,1,248,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,576,0,2,578,0
