Polling Station No,KRISHNASWAMY.A,MEKALA.J,RAJASEKARAN.K,ELUMALAI.T.A,PRAKASAM.R,SIVAKUMAR.S,DHASARATHAN.R,PURUSHOTHAMAN.B,RAVIKUMAR.M,VELU.S,DR.JAYANTHI.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
327,284,33,2,84,384,0,1,0,0,0,1,789,0,10,799,0
328,263,20,0,71,377,1,0,1,0,0,0,733,0,3,736,0
329,165,30,2,128,504,1,0,1,1,1,1,834,0,4,838,0
330,260,43,0,133,342,1,0,0,1,0,0,780,0,7,787,0
331,194,46,2,52,424,2,0,1,0,1,0,722,0,2,724,0
332,181,24,0,137,249,0,0,0,0,0,0,591,0,4,595,0
333,227,33,0,142,395,0,0,0,0,1,2,800,0,5,805,0
334,206,9,0,58,219,0,0,0,1,1,0,494,0,1,495,0
335,277,37,1,129,359,0,0,0,0,1,1,805,0,3,808,0
336,428,31,1,104,464,1,0,1,0,0,0,1030,0,9,1039,0
337,250,42,3,104,425,0,0,0,0,0,0,824,0,6,830,0
338,192,46,2,106,473,0,0,1,1,0,0,821,0,5,826,0
339,246,34,0,94,372,0,0,1,2,0,1,750,0,2,752,0
340,250,25,0,124,470,0,0,2,0,1,0,872,0,5,877,0
341,266,53,0,130,434,2,0,0,0,1,1,887,0,5,892,0
342,54,10,1,21,116,0,0,0,0,0,0,202,0,0,202,0
343,195,48,0,97,370,0,0,0,0,1,5,716,0,5,721,0
344,124,24,3,155,349,0,0,1,1,0,0,657,0,1,658,0
345,139,27,0,81,289,1,0,1,0,0,2,540,0,4,544,0
346,188,28,1,104,408,0,0,3,1,1,0,734,0,4,738,0
347,187,30,2,134,389,0,0,1,1,0,0,744,0,1,745,0
348,121,21,1,55,244,0,0,0,2,0,0,444,0,3,447,0
349,219,34,4,130,414,1,0,1,2,2,1,808,0,7,815,0
350,199,24,1,96,320,0,0,0,1,1,0,642,0,3,645,0
351,136,15,3,72,233,0,0,0,2,0,0,461,0,1,462,0
352,246,21,2,84,365,0,0,0,0,0,1,719,0,1,720,0
353,316,28,2,77,395,1,0,0,0,0,4,823,0,8,831,0
354,201,16,1,151,310,1,0,0,2,1,0,683,0,4,687,0
355,207,27,2,85,327,0,0,0,0,1,0,649,0,11,660,0
356,145,11,1,75,239,1,0,0,0,0,0,472,0,1,473,0
357,262,54,3,151,348,1,1,0,0,0,4,824,0,11,835,0
358,395,34,1,57,372,1,0,0,0,0,0,860,0,6,866,0
359,369,44,2,63,407,0,0,1,1,0,3,890,0,6,896,0
360,322,39,0,95,363,1,0,0,0,1,1,822,0,7,829,0
361,282,15,1,37,273,0,0,0,0,1,2,611,0,3,614,0
362,183,31,0,37,288,0,0,1,0,0,1,541,0,2,543,0
363,272,31,1,102,383,0,0,0,0,1,0,790,0,5,795,0
364,155,10,0,41,213,1,0,0,0,1,0,421,0,2,423,0
365,163,13,1,13,185,0,0,1,0,0,0,376,0,3,379,0
366,335,62,1,125,454,2,0,0,0,1,2,982,0,11,993,0
367,394,40,1,56,350,0,0,0,2,0,0,843,0,5,848,0
368,175,20,2,53,237,0,0,1,0,1,0,489,0,4,493,0
369,139,34,0,100,333,0,0,1,0,0,1,608,0,6,614,0
370,139,13,0,51,152,0,0,0,0,0,0,355,0,4,359,0
371,160,27,1,58,344,0,0,1,2,0,3,596,0,1,597,0
372,215,46,1,85,348,0,0,0,1,0,1,697,0,7,704,0
373,256,35,1,95,289,0,0,0,0,0,3,679,0,3,682,0
374,243,30,1,120,378,0,1,0,0,2,0,775,0,5,780,0
375,212,28,0,108,303,1,0,1,0,0,0,653,0,4,657,0
376,281,29,6,97,418,0,0,0,2,0,1,834,0,2,836,0
377,197,32,0,46,300,0,0,0,1,1,0,577,0,2,579,0
378,193,11,0,41,279,0,0,0,0,0,0,524,0,0,524,0
379,316,19,2,48,203,1,1,0,2,0,0,592,0,1,593,0
380,279,11,1,30,255,0,0,0,1,0,0,577,0,2,579,0
381,252,11,1,39,347,0,0,0,0,0,2,652,0,1,653,0
382,157,17,1,74,273,1,0,0,0,1,0,524,0,1,525,0
383,311,30,1,81,391,2,0,1,0,2,0,819,0,4,823,0
384,384,18,0,37,332,0,0,0,0,0,0,771,0,2,773,0
385,298,20,0,77,326,3,0,0,1,0,0,725,0,5,730,0
386,274,38,0,66,429,1,0,2,1,0,1,812,0,3,815,0
387,384,30,2,61,312,0,0,0,2,1,2,794,0,3,797,0
388,213,19,0,84,295,0,0,0,1,1,1,614,0,6,620,0
389,294,16,1,55,357,0,0,1,1,2,1,728,0,3,731,0
390,263,19,0,48,211,0,0,1,1,0,0,543,0,1,544,0
391,210,8,0,51,168,0,0,0,0,0,2,439,0,6,445,0
392,241,15,1,21,227,2,2,1,0,0,0,510,0,1,511,0
393,240,12,0,33,255,2,0,0,1,0,2,545,0,3,548,0
394,180,16,0,130,278,0,1,0,0,0,1,606,0,2,608,0
395,122,23,2,133,207,0,1,1,0,0,0,489,0,6,495,0
396,224,11,1,73,221,0,0,0,1,0,1,532,0,2,534,0
397,180,13,3,71,279,0,1,0,0,0,1,548,0,3,551,0
398,225,29,1,114,301,0,0,0,0,1,2,673,0,4,677,0
399,204,33,4,140,331,1,0,0,0,0,0,713,0,4,717,0
400,137,28,1,137,270,0,0,2,1,1,0,577,0,9,586,0
401,105,30,3,109,285,2,0,0,0,1,0,535,0,3,538,0
402,126,15,0,77,216,0,0,0,1,1,0,436,0,1,437,0
403,184,35,5,72,324,0,0,0,1,0,0,621,0,5,626,0
404,272,22,0,104,331,1,0,0,0,0,0,730,0,1,731,0
405,164,19,1,129,569,2,0,0,2,0,1,887,0,4,891,0
406,203,29,0,106,428,1,0,1,1,1,2,772,0,6,778,0
407,95,13,1,63,284,0,0,0,2,0,0,458,0,1,459,0
408,129,15,0,65,286,0,1,0,0,1,0,497,0,2,499,0
409,137,39,1,97,302,2,0,0,0,0,1,579,0,3,582,0
410,161,36,0,98,469,2,0,0,0,1,3,770,0,2,772,0
411,158,34,0,93,345,0,0,0,0,2,2,634,0,1,635,0
412,148,31,1,78,305,0,0,0,0,2,1,566,0,1,567,0
413,163,24,1,100,298,0,0,0,3,0,1,590,0,3,593,0
414,138,18,6,114,341,1,0,1,1,0,0,620,0,2,622,0
415,325,40,6,116,551,1,0,2,1,2,2,1046,0,2,1048,0
416,283,22,5,174,388,1,0,0,2,1,0,876,0,1,877,0
417,188,27,0,121,318,2,0,1,0,0,0,657,0,4,661,0
418,175,25,1,93,433,0,1,1,0,0,1,730,0,4,734,0
419,116,21,1,98,406,2,2,1,1,1,2,651,0,2,653,0
420,171,44,0,118,432,0,0,1,0,0,0,766,0,6,772,0
421,198,36,1,76,391,2,0,0,0,0,0,704,0,2,706,0
422,132,17,0,90,271,0,0,1,0,1,0,512,0,2,514,0
423,153,21,2,45,328,1,0,1,1,0,2,554,0,4,558,0
424,148,19,2,92,399,1,0,1,0,0,0,662,0,4,666,0
425,128,19,0,82,279,1,0,1,3,0,1,514,0,4,518,0
426,188,18,0,122,453,1,0,0,0,0,0,782,0,3,785,0
427,180,13,2,98,366,0,0,0,0,0,0,659,0,2,661,0
428,193,33,0,155,383,0,1,0,1,1,1,768,0,5,773,0
429,212,17,1,191,458,1,0,0,2,0,0,882,0,5,887,0
430,231,56,6,190,507,0,0,3,0,2,5,1000,0,6,1006,0
431,204,34,1,219,366,0,0,0,1,2,0,827,0,5,832,0
432,140,38,0,129,287,2,1,2,3,2,1,605,0,5,610,0
433,105,31,0,179,247,0,1,1,2,1,1,568,0,2,570,0
434,165,45,1,249,470,0,1,0,3,2,1,937,0,2,939,0
435,113,31,2,154,278,0,1,0,2,0,1,582,0,0,582,0
436,131,26,0,132,200,1,0,1,1,0,0,492,0,4,496,0
437,228,10,1,106,375,0,1,0,1,0,0,722,0,0,722,0
438,198,37,1,87,319,0,0,0,2,1,3,648,0,8,656,0
439,235,52,0,87,382,2,1,0,0,0,0,759,0,7,766,0
440,321,28,0,158,366,0,1,1,1,1,0,877,0,2,879,0
441,269,28,0,108,269,0,0,0,1,0,0,675,0,1,676,0
442,125,33,1,96,241,1,1,1,0,0,0,499,0,1,500,0
443,101,17,0,74,214,0,0,0,1,0,0,407,0,2,409,0
444,178,48,1,167,437,2,0,0,0,3,1,837,0,6,843,0
445,203,31,0,112,260,0,0,0,3,0,0,609,0,2,611,0
446,207,43,2,152,407,2,1,0,0,0,0,814,0,5,819,0
447,239,34,3,137,398,1,0,0,0,0,1,813,0,2,815,0
448,236,56,2,158,578,0,0,1,1,2,1,1035,0,2,1037,0
449,217,35,0,187,400,0,0,0,0,0,0,839,0,5,844,0
450,255,39,2,91,498,0,0,0,0,0,0,885,0,2,887,0
451,191,41,0,98,430,1,0,0,1,0,1,763,0,2,765,0
452,203,39,0,125,496,1,1,0,0,1,1,867,0,8,875,0
