Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
158,37,300,5,250,148,2,4,746,746,0,4,750,0
159,43,212,0,331,177,5,2,770,770,0,6,776,0
160,37,313,2,298,95,2,2,749,749,0,3,752,0
161,26,182,2,176,93,2,1,482,482,0,2,484,0
162,19,228,5,230,156,2,3,643,643,0,2,645,0
163,83,354,18,214,72,9,5,755,755,0,0,755,0
164,74,287,2,358,138,5,2,866,866,0,4,870,0
165,23,165,2,231,136,1,2,560,560,0,1,561,0
166,42,247,2,208,173,2,1,675,675,0,5,680,0
167,47,273,4,202,167,1,2,696,696,0,0,696,0
168,43,248,1,191,197,4,0,684,684,0,4,688,0
169,46,266,2,223,195,2,0,734,734,0,2,736,0
170,36,118,4,133,114,2,1,408,408,0,4,412,0
171,38,235,1,241,217,4,4,740,740,0,2,742,0
172,72,231,4,322,198,2,3,832,832,0,20,852,0
173,25,246,3,174,63,0,2,513,513,0,4,517,0
174,36,310,3,262,165,4,7,787,787,0,3,790,0
175,35,196,1,126,126,0,1,485,485,0,2,487,0
176,55,376,1,360,180,3,4,979,979,0,5,984,0
177,25,182,1,119,77,3,0,407,407,0,1,408,0
178,33,290,1,204,147,1,2,678,678,0,2,680,0
179,26,234,1,162,148,0,0,571,571,0,2,573,0
180,43,342,0,257,119,2,1,764,764,0,4,768,0
181,30,394,2,182,110,0,6,724,724,0,1,725,0
182,16,252,0,224,120,1,0,613,613,0,1,614,0
183,28,195,2,277,150,2,1,655,655,0,1,656,0
184,20,163,5,161,158,1,1,509,509,0,2,511,0
185,33,334,3,234,166,1,4,775,775,0,1,776,0
186,37,304,4,359,254,2,3,963,963,0,3,966,0
187,46,166,2,138,147,0,1,500,500,0,1,501,0
188,95,304,6,274,148,4,2,833,833,0,3,836,0
189,104,276,3,301,140,2,2,828,828,0,4,832,0
190,18,149,4,183,153,0,0,507,507,0,1,508,0
191,31,212,1,152,137,4,1,538,538,0,5,543,0
192,65,105,5,357,125,1,2,660,660,0,2,662,0
193,13,155,0,174,228,4,2,576,576,0,3,579,0
194,29,205,2,247,215,2,0,700,700,0,0,700,0
195,18,146,2,212,224,1,1,604,604,0,8,612,0
196,51,199,1,201,202,3,1,658,658,0,3,661,0
197,38,216,3,286,430,5,7,985,985,0,1,986,0
198,48,317,2,332,238,2,1,940,940,0,2,942,0
199,43,181,1,254,231,1,1,712,712,0,0,712,0
200,56,153,3,233,199,2,2,648,648,0,1,649,0
201,34,175,5,132,144,0,0,490,490,0,1,491,0
202,52,224,3,207,160,3,4,653,653,0,7,660,0
203,54,308,4,303,157,0,1,827,827,0,3,830,0
204,59,280,4,314,234,3,6,900,900,0,1,901,0
205,46,233,6,161,243,7,1,697,697,0,7,704,0
206,26,116,2,121,129,1,2,397,397,0,0,397,0
207,23,301,4,184,103,1,2,618,618,0,3,621,0
208,54,465,8,249,211,2,5,994,994,0,4,998,0
209,38,238,0,179,222,1,0,678,678,0,4,682,0
210,46,270,3,221,169,3,0,712,712,0,5,717,0
211,41,215,4,138,189,3,2,592,592,0,2,594,0
212,40,195,4,220,303,1,0,763,763,0,0,763,0
213,9,170,3,116,199,6,2,505,505,0,1,506,0
214,45,172,1,175,150,1,1,545,545,0,2,547,0
215,43,246,3,239,148,5,0,684,684,0,1,685,0
216,30,406,5,258,86,1,2,788,788,0,1,789,0
217,51,256,6,248,125,3,3,692,692,0,3,695,0
218,20,127,3,228,84,3,2,467,467,0,3,470,0
219,17,247,4,185,169,3,2,627,627,0,0,627,0
220,18,219,0,140,118,2,1,498,498,0,5,503,0
221,29,440,5,293,114,5,1,887,887,0,5,892,0
222,0,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,0,0,0
