Polling Station No,SUNDAR.K,MARAM MASILAMANI.B.S,SIVAKUMAR.A,MAGESHKUMAR.P,MUNIRATHINAM.J,JAKIRUSAN.D,ANBU.V,KAMALAKANNAN.K,GUNASEKAR.V,CITTIBABU.R,DEVARAJAN.C,DEVENTHIRAMOORTHY.S,MAGESH KUMAR.T,MAHESWARI.J,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
191,240,13,2,136,294,0,1,0,0,1,1,1,1,1,691,0,3,694,0
192,203,17,0,178,229,0,2,0,0,1,1,2,0,1,634,0,5,639,0
193,182,10,1,351,120,0,0,0,0,1,0,1,1,0,667,0,0,667,0
194,158,12,2,161,280,1,0,0,0,0,1,0,1,1,617,0,3,620,0
195,223,29,0,65,161,4,0,0,0,0,0,0,0,0,482,0,2,484,0
196,231,16,0,196,144,1,0,0,0,0,0,0,0,0,588,0,3,591,0
197,181,25,2,85,339,3,0,0,0,0,1,0,0,1,637,0,1,638,0
198,229,9,0,80,313,1,1,0,0,0,0,2,3,1,639,0,8,647,0
199,276,33,1,150,251,2,0,0,0,0,3,4,0,0,720,0,8,728,0
200,270,27,1,267,279,2,3,1,2,1,11,5,1,1,871,0,12,883,0
201,273,22,0,126,314,2,0,0,0,0,0,3,1,1,742,0,4,746,0
202,373,19,1,203,323,1,0,0,0,1,3,1,0,1,926,0,7,933,0
203,212,9,0,387,242,0,1,1,0,0,6,2,0,0,860,0,0,860,0
204,295,11,1,289,218,0,0,0,0,0,0,3,0,0,817,0,3,820,0
205,132,8,0,437,94,0,0,0,0,0,1,1,0,0,673,0,0,673,0
206,87,6,1,135,87,0,0,0,0,0,1,2,0,0,319,0,5,324,0
207,260,6,3,554,72,0,0,0,0,0,2,4,1,0,902,0,6,908,0
208,112,19,2,364,142,0,0,1,0,0,3,1,3,0,647,0,5,652,0
209,154,7,1,428,120,1,1,0,0,0,2,1,0,1,716,0,3,719,0
210,217,15,2,198,269,0,0,1,0,0,3,4,1,2,712,0,10,722,0
211,211,7,0,240,183,0,0,0,0,1,0,2,1,1,646,0,1,647,0
212,239,30,1,171,383,1,2,0,4,0,2,3,2,1,839,0,5,844,0
213,310,32,0,303,264,1,2,1,1,0,2,0,1,1,918,0,3,921,0
214,225,14,1,68,292,0,1,0,0,0,0,0,0,1,602,0,5,607,0
215,252,24,1,197,253,0,1,0,0,1,3,0,1,2,735,0,9,744,0
216,259,25,0,166,252,3,0,0,0,1,2,2,3,0,713,0,3,716,0
217,90,8,1,75,179,1,0,0,0,0,2,1,0,0,357,0,2,359,0
218,227,9,1,202,349,1,0,0,0,0,5,4,0,2,800,0,3,803,0
219,89,7,0,62,113,0,0,0,0,0,0,0,0,0,271,0,2,273,0
220,198,25,1,356,117,1,1,0,0,0,1,2,1,1,704,0,1,705,0
221,133,9,2,66,167,0,0,0,0,0,0,0,0,0,377,0,3,380,0
222,368,21,2,182,334,2,1,0,0,0,1,1,1,1,914,0,8,922,0
223,239,17,2,85,286,2,1,1,0,1,0,2,1,0,637,0,6,643,0
224,270,14,2,140,301,2,0,1,0,1,2,3,0,2,738,0,7,745,0
225,286,16,0,217,299,2,2,0,0,1,2,0,1,3,829,0,1,830,0
226,214,22,2,469,145,1,1,1,1,2,3,1,1,1,864,0,4,868,0
227,242,13,2,149,181,0,0,1,0,0,0,0,0,0,588,0,1,589,0
228,285,20,1,103,287,2,1,0,0,0,2,0,1,0,702,0,7,709,0
229,210,7,0,319,176,0,1,0,0,0,0,0,0,0,713,0,2,715,0
230,230,27,0,173,407,0,3,0,0,1,11,3,0,1,856,0,0,856,0
231,268,13,1,217,230,4,1,0,1,0,0,0,0,0,735,0,3,738,0
232,244,9,0,142,183,1,0,0,0,0,1,0,1,0,581,0,5,586,0
233,205,10,1,92,175,0,0,0,0,0,1,0,0,0,484,0,0,484,0
234,175,7,1,90,219,11,0,0,1,0,1,1,0,1,507,0,5,512,0
235,232,16,0,242,259,1,2,0,0,0,4,0,1,0,757,0,6,763,0
236,162,5,2,494,202,0,3,0,1,0,3,4,1,4,881,0,6,887,0
237,179,8,0,433,176,0,1,0,0,0,2,2,1,0,802,0,3,805,0
238,91,7,1,133,138,1,0,0,0,0,4,1,0,0,376,0,1,377,0
239,275,15,0,40,234,1,1,0,1,0,5,0,1,0,573,0,3,576,0
240,192,8,0,270,216,0,1,0,0,0,4,1,0,0,692,0,7,699,0
241,85,3,0,115,135,2,0,0,0,0,0,1,0,0,341,0,2,343,0
242,261,8,1,240,246,7,0,0,0,1,0,1,0,0,765,0,5,770,0
243,191,11,1,342,257,3,0,1,0,1,4,0,0,0,811,0,0,811,0
244,171,12,0,171,195,0,0,0,0,0,0,0,3,1,553,0,2,555,0
245,194,13,2,201,197,0,0,0,0,0,0,0,2,0,609,0,5,614,0
246,274,17,0,97,298,2,0,0,2,0,1,0,1,0,692,0,8,700,0
247,147,13,1,273,147,0,0,0,0,0,0,0,0,1,582,0,0,582,0
248,132,16,1,251,238,1,1,0,0,0,0,1,0,0,641,0,2,643,0
249,197,15,0,191,233,0,1,1,1,0,4,2,1,1,647,0,3,650,0
250,216,15,0,324,251,0,1,2,0,1,6,3,1,1,821,0,10,831,0
251,272,14,0,199,259,1,1,0,0,1,2,0,2,0,751,0,5,756,0
252,214,13,1,155,106,0,0,0,0,0,1,0,1,0,491,0,5,496,0
253,209,20,1,229,172,1,0,0,0,0,2,0,0,0,634,0,3,637,0
254,213,13,4,209,205,1,0,0,1,0,4,1,1,0,652,0,5,657,0
255,243,22,2,251,228,3,0,1,0,1,4,0,0,1,756,0,4,760,0
256,222,15,0,391,141,0,0,0,0,0,5,1,1,2,778,0,5,783,0
257,301,14,2,130,259,0,0,0,0,0,0,0,2,0,708,0,2,710,0
258,259,9,0,466,188,0,2,1,0,0,3,1,0,6,935,0,8,943,0
259,290,32,0,178,444,2,1,1,0,1,3,0,2,2,956,0,5,961,0
260,286,30,0,150,285,1,1,0,0,0,2,2,1,0,758,0,1,759,0
261,372,11,1,119,303,1,0,0,0,1,2,1,0,0,811,0,7,818,0
262,288,27,0,294,309,2,1,1,0,0,5,2,0,1,930,0,5,935,0
263,216,15,0,105,279,0,2,0,0,0,0,0,0,0,617,0,2,619,0
264,156,10,0,224,94,0,0,0,0,0,3,0,0,1,488,0,5,493,0
265,301,16,1,155,240,0,0,0,0,0,2,2,0,0,717,0,2,719,0
266,176,15,1,138,266,0,0,0,0,0,0,0,2,0,598,0,4,602,0
267,164,59,3,141,379,1,3,3,1,1,2,2,1,1,761,0,2,763,0
268,200,8,2,399,267,1,0,0,0,1,4,1,0,2,885,0,1,886,0
269,205,18,1,157,202,3,0,0,0,1,1,0,0,2,590,0,2,592,0
270,148,12,0,186,185,0,0,0,0,0,24,1,1,6,563,0,3,566,0
271,320,23,2,244,222,0,0,0,0,0,5,1,2,3,822,0,3,825,0
272,273,18,1,275,310,2,0,1,0,0,4,4,0,2,890,0,3,893,0
273,305,10,1,118,358,5,5,1,0,0,3,1,0,0,807,0,5,812,0
274,223,15,1,395,173,1,0,0,0,0,1,1,0,2,812,0,3,815,0
275,147,5,3,289,122,0,0,0,1,0,2,1,3,0,573,0,1,574,0
276,193,5,0,145,172,0,4,0,0,1,1,0,0,0,521,0,7,528,0
277,158,3,0,53,156,0,0,0,0,0,0,2,0,0,372,0,6,378,0
278,273,11,3,402,231,0,1,0,0,1,2,1,0,1,926,0,1,927,0
279,213,12,0,139,160,0,1,0,0,0,2,0,0,1,528,0,1,529,0
280,160,10,1,106,261,2,0,1,0,0,0,0,1,0,542,0,3,545,0
281,286,14,3,112,419,1,0,1,1,1,2,1,1,1,843,0,5,848,0
282,281,6,2,179,326,2,0,0,1,0,0,1,1,2,801,0,3,804,0
283,308,22,1,167,434,0,2,0,1,0,4,0,3,1,943,0,7,950,0
284,223,10,1,109,183,0,0,0,0,0,1,0,0,0,527,0,0,527,0
285,299,9,1,201,225,0,1,0,0,0,1,1,0,0,738,0,0,738,0
286,225,15,2,105,270,0,0,0,0,0,1,0,1,0,619,0,6,625,0
287,394,22,0,100,336,1,0,0,0,1,3,2,0,1,860,0,5,865,0
288,190,28,0,126,247,0,2,0,0,1,3,5,1,1,604,0,5,609,0
289,188,17,1,160,282,1,0,0,2,1,3,1,0,1,657,0,3,660,0
290,181,12,0,144,153,0,3,0,1,0,0,0,0,0,494,0,3,497,0
291,193,18,2,363,290,0,0,0,1,0,4,0,0,0,871,0,3,874,0
292,154,5,2,177,261,0,0,0,0,0,2,2,1,0,604,0,6,610,0
293,256,15,0,44,262,2,0,0,0,0,0,1,0,0,580,0,0,580,0
294,316,28,3,299,194,0,0,0,2,0,2,1,0,0,845,0,1,846,0
295,248,15,4,138,126,0,1,0,0,0,0,0,0,0,532,0,0,532,0
296,251,23,2,147,283,0,1,0,1,0,0,1,1,1,711,0,5,716,0
297,261,20,0,143,215,0,1,0,0,0,0,2,2,0,644,0,4,648,0
298,192,18,1,221,197,0,0,0,0,0,3,2,0,0,634,0,1,635,0
299,130,14,1,343,95,1,1,0,0,0,2,1,0,1,589,0,6,595,0
300,224,17,1,150,163,0,1,0,0,0,0,0,0,0,556,0,0,556,0
301,178,24,1,166,159,0,1,0,0,1,0,3,0,1,534,0,3,537,0
302,158,8,1,151,237,0,1,0,1,0,4,2,0,1,564,0,4,568,0
303,143,12,1,109,164,1,4,0,0,0,0,0,0,0,434,0,4,438,0
304,260,18,0,113,305,2,3,0,0,0,0,0,1,0,702,0,7,709,0
305,233,28,2,118,387,2,1,0,0,0,1,2,1,0,775,0,3,778,0
306,180,24,0,69,261,0,0,0,0,0,1,2,0,0,537,0,2,539,0
307,196,27,1,84,270,0,0,0,0,3,2,1,1,1,586,0,5,591,0
308,320,43,0,90,442,0,2,0,1,1,1,1,3,1,905,0,9,914,0
309,314,14,0,359,237,2,0,0,1,0,2,1,0,1,931,0,3,934,0
310,140,10,1,301,226,0,0,0,0,0,2,1,0,0,681,0,0,681,0
311,344,23,1,197,254,1,0,0,0,1,0,1,0,0,822,0,4,826,0
312,297,16,1,187,249,0,0,0,0,1,0,0,0,0,751,0,3,754,0
313,409,22,1,217,332,1,0,0,0,0,3,1,1,3,990,0,7,997,0
314,425,19,1,60,270,1,0,0,0,0,0,0,0,1,777,0,8,785,0
315,248,21,0,87,358,1,0,1,0,0,3,0,1,2,722,0,1,723,0
316,228,58,2,127,238,0,0,0,0,0,2,2,1,1,659,0,3,662,0
317,290,20,2,366,216,0,1,0,1,0,1,3,0,1,901,0,5,906,0
318,287,4,2,282,195,0,0,1,0,0,5,3,1,0,780,0,8,788,0
319,297,26,1,182,366,1,0,1,0,1,1,2,0,0,878,0,5,883,0
320,184,13,1,165,114,0,0,0,0,0,1,0,1,0,479,0,1,480,0
321,296,11,1,238,151,0,0,0,0,1,3,1,0,0,702,0,3,705,0
