Polling Station No,SILAMBARASAN,DR. J.SAILAS,DR A.P. POORNIMA,A.KALYANASUNDARAM,K.N. SEKAR,BALAMURUGAN.G,V. RAMKUMAR,RAJKUMAR,D. JEYAGANESH,M.S. ARUMUGAM,P. ARUMUGAM,G. SAMPATH,K. SEKAR,G.P. SEKAR,PALANI,R.BALAMURUGAN,DR. S.PRAVEEN,D. PUSHPA,S. MADHAVAN,D.K.MESHACK KIRUBAKARAN,VINAYAGAMOORTHY.R,S. JANARTHANAN,JOTHI.M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
37,36,2,159,1,108,399,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,709,0,3,712,0
38,42,1,271,0,105,522,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,949,0,3,952,0
39,32,1,187,2,140,483,0,0,0,0,1,0,1,0,0,3,3,0,0,0,1,0,0,854,0,5,859,0
40,34,2,164,0,100,421,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,723,0,4,727,0
41,35,3,163,1,148,488,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,2,0,845,0,2,847,0
42,31,0,78,0,80,266,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,462,0,0,462,0
43,74,1,209,3,148,507,1,0,0,0,0,0,1,1,0,2,2,0,0,0,2,1,0,952,0,9,961,0
44,22,2,222,0,102,327,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,678,0,6,684,0
45,44,0,268,1,134,365,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,814,0,4,818,0
46,21,0,190,1,96,220,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,530,0,6,536,0
47,34,0,236,0,151,315,0,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,742,0,4,746,0
48,28,1,252,0,121,260,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,665,0,9,674,0
49,35,0,315,0,103,343,2,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,804,0,7,811,0
50,23,0,193,2,106,237,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,564,0,2,566,0
51,21,0,153,0,77,323,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,580,0,7,587,0
52,23,2,121,3,130,410,2,1,0,0,1,2,2,0,1,3,0,0,0,0,1,1,0,703,0,2,705,0
53,17,1,206,1,40,294,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,564,0,2,566,0
54,31,2,241,4,106,332,0,1,1,0,0,0,1,0,0,0,0,0,2,1,1,0,1,724,0,6,730,0
55,56,2,193,0,182,479,4,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,920,0,4,924,0
56,33,1,196,3,119,428,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,787,0,1,788,0
57,30,0,186,2,146,390,1,2,0,0,0,0,1,0,0,2,0,0,3,0,0,2,0,765,0,10,775,0
58,30,1,326,5,111,416,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,894,0,8,902,0
59,33,3,272,4,68,509,1,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,896,0,5,901,0
60,41,0,278,5,85,528,2,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,945,0,6,951,0
61,28,0,185,1,109,407,2,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,737,0,3,740,0
62,32,0,237,1,132,482,3,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,893,0,6,899,0
63,36,1,291,4,141,468,1,0,0,2,0,0,0,1,1,2,3,0,1,0,0,1,0,953,0,7,960,0
64,33,1,198,0,122,451,1,1,0,2,0,0,1,0,0,3,1,0,0,0,0,1,0,815,0,1,816,0
65,30,0,194,0,147,349,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,724,0,2,726,0
66,29,1,254,3,117,386,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1,0,796,0,3,799,0
67,28,0,175,0,194,341,1,0,0,1,0,1,0,2,0,1,0,2,2,0,0,0,1,749,0,7,756,0
68,17,1,213,3,87,303,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,628,0,3,631,0
69,23,2,179,0,88,257,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,553,0,1,554,0
70,21,2,152,4,85,229,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,497,0,5,502,0
71,36,1,211,0,193,405,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,849,0,3,852,0
72,56,0,231,3,169,432,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,896,0,8,904,0
73,22,1,215,1,132,386,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,765,0,10,775,0
74,25,1,144,0,118,367,1,2,0,0,1,1,1,0,0,1,0,1,0,1,0,2,1,667,0,6,673,0
75,57,1,217,2,133,406,0,0,1,0,0,0,0,0,0,2,1,0,1,0,1,0,0,822,0,7,829,0
76,35,1,210,2,111,377,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,740,0,8,748,0
77,53,0,205,5,136,442,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,845,0,5,850,0
78,39,3,198,1,133,433,0,2,0,2,0,0,0,0,0,2,0,0,0,1,1,0,1,816,0,4,820,0
79,28,2,148,2,88,349,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,620,0,2,622,0
80,32,2,177,1,104,375,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,697,0,3,700,0
81,45,1,183,1,128,452,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,815,0,1,816,0
82,31,1,186,1,133,385,3,0,1,0,0,0,0,0,1,3,2,0,0,0,0,0,0,747,0,5,752,0
83,29,0,178,3,61,408,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,683,0,2,685,0
84,44,3,175,4,109,417,0,1,0,0,1,0,1,0,0,6,1,0,1,0,0,1,0,764,0,3,767,0
85,41,1,178,0,150,363,0,2,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,742,0,6,748,0
86,32,3,186,4,163,441,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,0,836,0,7,843,0
87,30,0,198,2,109,365,1,2,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,716,0,3,719,0
88,41,0,258,1,125,563,2,1,0,0,0,1,1,0,0,5,3,1,2,0,0,0,1,1005,0,4,1009,0
89,33,2,172,4,151,465,3,1,0,1,0,0,1,1,1,3,0,0,0,1,0,3,0,842,0,2,844,0
90,36,0,128,2,107,392,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,670,0,4,674,0
91,51,0,158,1,110,347,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,673,0,7,680,0
92,35,0,209,0,127,439,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1,1,818,0,3,821,0
93,27,1,198,2,151,454,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0,1,0,841,0,3,844,0
94,58,2,244,2,168,582,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1061,0,8,1069,0
95,41,0,223,3,138,380,1,0,0,0,1,0,1,0,1,4,1,0,0,0,0,0,1,795,0,6,801,0
96,52,0,212,2,103,473,1,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,848,0,7,855,0
97,58,1,211,1,96,448,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,820,0,8,828,0
98,19,1,155,1,68,313,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,561,0,2,563,0
99,34,1,152,5,134,425,0,2,0,1,0,0,0,2,1,4,1,0,0,0,0,0,1,763,0,5,768,0
100,19,0,147,0,100,387,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,658,0,3,661,0
101,36,2,197,4,148,369,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,758,0,1,759,0
102,47,2,262,1,124,347,1,1,0,0,0,0,0,0,0,4,0,0,1,4,0,0,0,794,0,8,802,0
103,38,0,208,2,140,365,0,1,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,760,0,8,768,0
104,22,0,177,3,125,269,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,601,0,2,603,0
105,42,0,162,1,180,310,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,700,0,5,705,0
106,34,2,181,1,96,320,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,641,0,3,644,0
107,18,4,162,2,81,272,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,541,0,4,545,0
108,34,4,227,2,150,428,1,2,0,1,1,0,0,0,1,4,1,0,1,0,0,0,1,858,0,13,871,0
109,29,0,185,3,127,321,1,0,0,1,0,0,2,0,0,2,1,0,0,1,0,0,0,673,0,3,676,0
110,22,0,152,0,96,263,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,536,0,1,537,0
111,49,0,209,0,157,378,2,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,800,0,4,804,0
112,19,2,149,0,93,290,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,558,0,12,570,0
113,41,1,169,0,56,432,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,704,0,2,706,0
114,26,1,228,3,83,352,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,699,0,3,702,0
115,26,2,204,1,102,460,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,799,0,2,801,0
116,21,6,225,2,93,519,1,1,2,1,0,0,1,1,1,6,1,0,1,0,1,2,0,885,0,2,887,0
117,23,0,266,3,82,498,0,1,0,1,0,1,0,0,0,3,0,0,1,0,0,0,1,880,0,8,888,0
118,40,1,222,4,177,374,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,822,0,0,822,0
119,22,2,175,2,156,292,0,0,0,1,0,2,0,1,0,3,0,1,0,0,0,0,0,657,0,10,667,0
120,30,3,216,1,117,302,0,2,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,678,0,5,683,0
121,28,0,148,3,135,336,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,656,0,7,663,0
122,28,2,214,3,103,377,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,731,0,3,734,0
123,34,0,233,1,111,367,2,0,0,1,0,0,0,0,0,4,1,0,1,0,0,0,0,755,0,1,756,0
124,54,1,241,3,81,465,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,852,0,5,857,0
125,29,1,166,2,66,398,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,667,0,4,671,0
126,31,0,188,1,88,423,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,738,0,4,742,0
127,28,1,176,3,80,450,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,744,0,0,744,0
128,55,1,221,5,137,505,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,930,0,4,934,0
129,23,2,155,3,67,359,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,614,0,3,617,0
130,29,0,168,0,93,307,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,598,0,4,602,0
131,30,1,205,0,96,350,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,688,0,3,691,0
132,27,0,160,2,105,248,1,0,0,0,1,1,1,0,1,0,2,0,1,0,0,0,1,551,0,7,558,0
133,34,3,215,1,117,308,2,1,1,1,1,0,0,0,0,4,0,0,0,0,0,1,1,690,0,10,700,0
134,31,3,133,3,115,195,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,2,1,489,0,6,495,0
135,30,1,126,2,91,225,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,482,0,11,493,0
136,39,1,210,2,151,391,0,1,2,0,0,1,0,0,1,1,2,0,0,1,0,0,0,803,0,8,811,0
137,27,2,265,6,141,426,0,0,0,0,0,1,0,1,0,4,1,0,1,2,0,0,0,877,0,8,885,0
138,37,1,181,1,144,334,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,704,0,9,713,0
139,25,1,164,2,189,372,0,0,1,0,2,0,0,0,2,2,1,0,0,0,0,0,0,761,0,2,763,0
140,39,0,172,0,167,353,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,734,0,3,737,0
141,32,0,188,0,109,333,0,0,0,0,1,2,1,0,0,2,0,0,1,0,0,0,0,669,0,9,678,0
142,28,0,156,5,180,273,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,647,0,10,657,0
143,43,0,210,3,181,309,2,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,753,0,2,755,0
144,24,3,157,2,186,344,1,1,0,0,0,1,2,0,1,0,1,1,0,0,0,0,1,725,0,8,733,0
145,24,1,156,3,161,262,1,0,1,1,0,0,0,1,0,2,2,0,0,1,0,0,0,616,0,3,619,0
146,37,2,212,6,107,398,1,0,0,1,0,0,0,0,3,4,2,0,0,1,0,0,0,774,0,4,778,0
147,33,1,165,3,46,439,0,0,0,1,0,0,2,0,0,1,2,0,2,1,1,2,0,699,0,4,703,0
148,38,1,274,2,86,467,0,0,0,1,2,1,0,0,0,0,2,1,2,0,0,0,0,877,0,1,878,0
149,20,0,168,2,70,481,1,0,0,0,0,0,2,0,0,3,0,1,1,1,1,3,0,754,0,3,757,0
150,23,2,240,2,95,556,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,923,0,2,925,0
151,36,0,218,2,95,296,1,0,1,0,0,2,0,0,0,3,2,0,1,0,1,1,0,659,0,5,664,0
152,25,1,184,3,141,283,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,639,0,11,650,0
153,20,2,177,1,152,306,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,664,0,5,669,0
154,46,0,181,3,87,442,3,1,0,2,0,0,1,0,0,3,1,1,0,0,0,0,1,772,0,1,773,0
155,32,1,193,5,128,408,0,3,0,3,0,1,1,1,1,2,1,0,1,2,0,0,0,783,0,4,787,0
156,28,0,161,3,85,381,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,664,0,2,666,0
157,29,1,135,0,144,389,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,702,0,2,704,0
158,40,3,188,2,133,250,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,618,0,3,621,0
159,31,3,198,0,163,306,0,0,0,3,0,0,0,1,1,0,2,0,0,0,0,0,2,710,0,6,716,0
160,43,2,303,1,78,540,1,0,0,0,0,1,1,0,0,7,2,0,0,0,0,1,0,980,0,3,983,0
161,33,1,315,2,80,452,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,890,0,2,892,0
162,29,0,247,1,64,533,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,879,0,3,882,0
163,42,0,238,1,136,590,0,0,1,0,1,0,0,0,0,2,1,0,1,0,3,0,0,1016,0,4,1020,0
164,24,0,159,2,60,580,2,1,0,0,0,0,0,1,0,2,2,0,0,2,0,0,0,835,0,2,837,0
165,40,0,237,2,105,300,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,688,0,6,694,0
166,22,0,167,4,79,424,1,0,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,704,0,2,706,0
167,31,0,180,1,94,405,1,0,1,2,0,0,0,0,1,2,1,0,0,0,1,1,0,721,0,6,727,0
168,14,1,126,3,84,288,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,519,0,3,522,0
169,27,1,196,0,82,363,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,674,0,5,679,0
170,32,2,259,0,44,338,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,678,0,10,688,0
171,23,2,124,2,59,320,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,535,0,4,539,0
172,23,0,188,1,73,268,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,558,0,1,559,0
173,17,0,162,1,102,311,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,598,0,4,602,0
174,19,0,151,0,92,255,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,520,0,1,521,0
175,31,1,187,5,89,320,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,639,0,9,648,0
176,26,0,271,1,71,398,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,772,0,1,773,0
177,26,0,204,3,119,418,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,774,0,4,778,0
178,29,3,212,5,114,478,1,1,0,2,0,0,0,0,1,1,1,0,1,0,0,1,0,850,0,1,851,0
179,20,0,314,3,99,523,0,0,0,0,0,0,1,0,2,2,0,0,1,0,0,2,0,967,0,1,968,0
180,7,0,155,4,34,201,0,1,2,1,1,0,1,0,0,1,0,0,4,0,2,1,1,416,0,0,416,0
181,37,0,153,2,84,401,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,683,0,4,687,0
182,38,1,165,0,94,278,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,582,0,3,585,0
183,27,1,195,1,89,320,2,1,0,0,0,0,2,0,0,2,3,0,1,0,1,0,0,645,0,5,650,0
184,27,2,197,4,87,289,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,608,0,2,610,0
185,13,0,129,3,87,238,1,0,0,2,2,1,0,0,1,0,0,0,4,0,0,0,0,481,0,0,481,0
186,28,2,234,0,159,280,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,1,0,709,0,9,718,0
187,38,3,173,2,125,304,2,0,1,0,0,0,0,1,0,2,3,0,0,0,0,0,0,654,0,6,660,0
188,31,1,184,0,114,326,2,2,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,666,0,7,673,0
189,27,0,162,1,145,342,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,681,0,7,688,0
190,20,0,144,1,134,268,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,573,0,5,578,0
191,19,0,171,2,101,331,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,630,0,1,631,0
192,21,2,162,0,160,195,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,543,0,3,546,0
193,23,2,198,0,110,289,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,626,0,3,629,0
194,31,0,191,2,152,257,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,635,0,8,643,0
195,18,1,142,2,109,201,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,478,0,2,480,0
196,34,2,188,1,160,320,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,1,713,0,6,719,0
197,32,2,166,0,134,320,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,658,0,2,660,0
198,41,0,250,2,119,381,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,799,0,3,802,0
199,24,2,151,2,100,354,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,636,0,1,637,0
200,22,0,145,1,73,211,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,458,0,2,460,0
201,22,1,158,0,98,372,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,659,0,6,665,0
202,35,2,110,2,113,303,2,0,0,0,0,0,1,0,1,0,2,0,1,2,0,1,0,575,0,1,576,0
203,20,1,180,1,137,380,0,0,0,2,1,0,1,2,0,4,2,0,0,0,0,0,0,731,0,2,733,0
204,14,0,193,2,67,306,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,586,0,1,587,0
205,33,0,141,2,88,291,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,559,0,1,560,0
206,15,0,120,0,37,186,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,360,0,0,360,0
207,29,0,181,0,76,452,1,0,0,0,0,0,1,1,1,3,2,0,1,1,1,0,0,750,0,3,753,0
208,13,2,201,2,87,476,1,1,0,2,0,0,1,2,0,0,6,0,0,0,0,1,0,795,0,4,799,0
209,42,3,293,1,76,515,0,0,1,0,0,1,1,1,2,3,0,0,0,0,1,1,1,942,0,1,943,0
210,39,1,204,3,91,364,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,706,0,4,710,0
211,15,1,207,1,51,240,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,518,0,2,520,0
212,26,2,320,3,68,439,1,0,0,1,0,1,0,2,0,2,1,0,2,0,1,1,0,870,0,3,873,0
213,18,1,224,1,35,243,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,526,0,2,528,0
214,32,1,346,2,92,319,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0,0,1,799,0,1,800,0
215,25,2,230,1,51,203,0,0,0,0,1,0,1,1,0,1,0,0,3,0,0,0,0,519,0,3,522,0
216,14,1,379,1,42,251,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,692,0,4,696,0
217,33,2,285,1,64,364,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,751,0,2,753,0
218,12,1,299,6,41,381,0,1,0,0,0,0,1,0,0,1,1,1,2,0,1,1,0,749,0,2,751,0
219,23,0,161,0,39,194,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,423,0,3,426,0
220,26,2,242,2,71,299,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,647,0,1,648,0
221,25,1,185,1,44,240,0,2,1,1,0,0,1,0,0,2,1,0,0,0,0,2,1,507,0,0,507,0
222,15,1,213,0,32,241,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,506,0,0,506,0
223,37,0,244,0,25,308,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,617,0,1,618,0
224,15,2,315,0,31,288,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,2,655,0
225,19,1,556,3,37,249,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,871,0,1,872,0
226,24,3,264,2,84,323,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,706,0,1,707,0
227,23,2,315,0,47,385,1,0,0,0,0,0,0,1,0,2,0,1,6,0,0,1,0,784,0,2,786,0
228,23,5,288,2,58,363,1,0,0,1,0,0,2,0,1,2,0,3,1,1,0,2,0,753,0,3,756,0
229,14,0,121,2,83,210,0,0,0,1,0,1,1,3,1,0,0,0,2,0,0,0,2,441,0,2,443,0
230,19,3,241,0,78,422,1,0,0,0,0,0,1,2,0,2,0,1,1,1,2,0,0,774,0,3,777,0
231,12,8,186,3,72,382,1,1,0,1,1,0,0,0,1,1,1,0,2,0,1,0,0,673,0,2,675,0
