Polling Station No,S.GOKULA INDIRA,S.SHANKAR,N.CHITRARASU,B.ANAND,S.DHAYALAN,V.K.RAMKUMAR,E.V.S.RAJAKUMAR NAIDU,N.P.RAJHA,T S HABEEB MOHAMMAD,S ANSAR ALI,G OMPRAKASH,L KASINATHAN,S SATHISH KUMAR,G.SIVA KUMAR,M SELVAMUTHUKUMAR,L NARENDRAN,J NAGARAJ,M MANOHARAN,MOHAMMED BILAL FATHICK,RAMAMOORTHY E,RAJENDIRAN NAIDU,S VINESH KUMAR,JANARTHANAN P,M HARISHANKAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
114,385,10,126,0,0,197,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,723,0,15,738,0
115,208,13,140,0,0,161,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,529,0,12,541,0
116,227,5,107,1,1,100,0,1,0,0,0,1,3,0,0,0,1,0,1,1,0,1,0,1,451,0,7,458,0
117,173,5,104,0,0,86,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,373,0,7,380,0
118,465,10,109,1,1,140,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,731,0,11,742,1
119,138,7,180,0,0,169,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,498,0,2,500,0
120,122,4,109,0,0,142,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,380,0,5,385,0
121,139,24,152,0,0,255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,571,0,2,573,0
122,137,13,107,0,0,120,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,384,0,2,386,0
123,152,12,137,0,0,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,434,0,15,449,0
124,146,12,213,0,1,202,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,581,0,14,595,0
125,63,19,264,1,0,268,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,617,0,6,623,0
126,304,11,161,1,0,173,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,657,0,12,669,0
127,202,0,107,0,0,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,427,0,8,435,0
128,182,12,141,0,2,115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,454,0,5,459,0
129,154,7,216,2,0,339,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,3,0,0,726,0,5,731,0
130,140,14,158,0,1,283,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,601,0,3,604,0
131,102,10,109,1,2,252,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,478,0,0,478,1
132,123,14,107,0,3,322,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,573,0,2,575,0
133,129,21,166,0,0,236,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0,1,554,0
134,85,19,134,0,0,282,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,527,0,3,530,0
135,108,17,127,0,2,329,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,592,0,1,593,0
136,134,15,190,0,3,329,0,0,0,1,1,0,0,0,0,0,2,0,3,0,2,7,2,1,690,0,3,693,0
137,112,10,206,0,2,422,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,4,0,1,762,0,1,763,0
138,84,10,209,0,1,345,1,0,1,0,0,0,0,0,0,2,1,0,1,1,0,5,1,0,662,0,1,663,1
139,91,14,190,1,1,382,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,6,0,1,692,0,1,693,0
140,86,7,179,1,1,315,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,598,0,0,598,0
141,59,25,198,0,0,259,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,546,0,0,546,0
142,106,9,217,0,1,276,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,1,616,0,1,617,0
143,122,16,239,1,2,432,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,821,0,2,823,0
144,120,20,254,1,1,317,0,0,1,1,0,0,0,0,1,4,3,1,0,0,0,1,0,0,725,0,2,727,0
145,145,21,198,0,3,381,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,755,0,2,757,0
146,75,13,166,1,1,320,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,581,0,0,581,0
147,80,11,245,0,0,323,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,665,0,1,666,0
148,80,28,194,0,2,402,2,0,0,0,0,0,1,0,0,2,0,1,1,0,1,0,2,0,716,0,2,718,0
149,76,14,235,1,1,326,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,656,0,4,660,0
150,89,18,248,1,0,387,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,749,0,4,753,1
151,91,17,239,0,0,309,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,667,0,2,669,0
152,146,15,164,1,0,259,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,1,592,0,0,592,0
153,92,10,109,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,407,0,1,408,0
154,97,6,68,1,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,332,0,1,333,0
155,159,24,184,1,1,427,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,799,0,2,801,0
156,159,21,174,0,1,269,0,0,0,0,1,0,0,1,0,1,0,0,2,1,1,2,0,0,633,0,7,640,0
157,136,2,91,1,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,467,0,1,468,0
