Polling Station No,P.L.SUNDARAM,S.SOUNDARYA,A.BANNARI,B.PALANISWAMY,V.P.TAMILSELVI,RAKKI,A.AMRISH,GOPALAN.M,C.PALANICHAMY,S.PALANISWAMY,RAMAKRISHNAN,DR.HANUMAIAH.C,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
57,103,9,287,7,128,2,0,0,0,2,1,2,541,0,7,548,0
58,40,3,205,4,82,1,0,0,1,1,3,4,344,0,6,350,0
59,143,10,220,1,153,1,1,0,2,8,3,1,543,0,8,551,0
60,91,5,82,1,27,0,0,0,1,0,5,2,214,0,3,217,0
61,281,8,220,3,153,3,2,0,1,1,4,1,677,0,4,681,0
62,104,2,116,0,141,1,0,0,2,0,1,1,368,0,1,369,0
63,94,6,271,2,111,2,0,1,0,3,5,1,496,0,5,501,0
64,49,3,83,1,19,0,0,0,0,1,2,0,158,0,0,158,0
65,77,4,111,2,60,0,0,0,0,0,1,0,255,0,5,260,0
66,199,16,204,5,183,0,1,2,3,1,2,5,621,0,10,631,0
67,93,7,142,1,60,1,0,0,0,0,2,3,309,0,5,314,0
68,210,11,497,12,237,1,3,1,4,0,6,4,986,0,6,992,0
69,112,8,282,6,145,2,0,0,2,0,2,2,561,0,0,561,0
70,156,5,97,2,126,1,0,1,0,2,3,0,393,0,4,397,0
71,235,9,113,0,153,1,0,1,3,0,3,0,518,0,11,529,0
72,70,1,54,0,37,0,0,0,0,0,2,0,164,0,1,165,0
73,285,6,69,1,183,1,0,0,0,1,5,2,553,0,3,556,0
74,277,29,291,7,371,2,1,1,3,4,2,2,990,0,6,996,0
75,214,31,151,8,433,1,0,2,2,4,2,2,850,0,7,857,0
76,224,36,191,3,293,0,0,0,0,1,3,4,755,0,10,765,0
77,194,23,217,0,232,1,0,0,1,0,1,1,670,0,6,676,0
78,264,22,282,0,296,2,1,1,3,3,1,3,878,0,12,890,0
79,136,8,102,1,134,2,0,0,1,0,0,0,384,0,4,388,0
80,214,37,301,4,292,2,0,2,3,1,4,1,861,0,12,873,0
81,335,24,213,1,403,2,0,1,2,3,6,1,991,0,10,1001,0
82,318,34,310,5,397,4,0,2,2,4,1,1,1078,0,9,1087,0
83,156,17,141,1,221,1,0,0,1,0,0,0,538,0,1,539,0
84,148,12,132,0,143,2,0,0,3,0,1,1,442,0,1,443,1
85,277,21,183,4,270,1,1,0,1,0,1,0,759,0,7,766,0
86,294,25,215,3,297,1,1,0,4,1,7,1,849,0,4,853,0
87,204,18,151,2,215,1,1,0,2,1,1,2,598,0,6,604,0
88,212,21,186,4,312,1,2,0,0,0,0,3,741,0,8,749,0
89,118,12,145,2,184,0,2,0,2,0,2,1,468,0,5,473,0
90,278,15,246,2,292,2,3,0,2,2,3,5,850,0,8,858,0
91,272,19,179,2,264,0,0,0,0,0,0,2,738,0,5,743,0
92,131,16,149,0,205,3,1,0,0,0,0,0,505,0,1,506,0
93,133,6,123,2,96,1,0,2,0,1,2,1,367,0,4,371,0
94,198,34,190,0,331,0,0,0,2,2,0,1,758,0,2,760,0
95,176,15,168,2,242,0,1,0,1,2,3,0,610,0,3,613,0
96,89,10,182,0,152,0,0,0,2,0,0,0,435,0,2,437,0
97,109,14,163,1,260,1,1,0,1,1,2,0,553,0,7,560,0
98,155,20,223,1,252,0,0,1,0,1,0,0,653,0,1,654,0
99,188,14,212,2,318,0,1,0,1,1,0,0,737,0,7,744,0
100,342,9,79,1,221,0,0,0,0,0,0,1,653,0,2,655,0
101,261,21,148,1,318,0,0,0,1,0,1,0,751,0,1,752,0
102,149,11,147,5,286,0,0,1,1,0,3,1,604,0,4,608,0
103,180,26,167,2,213,1,0,0,0,0,1,2,592,0,8,600,0
104,204,53,359,4,297,0,0,1,3,4,3,3,931,0,12,943,0
105,140,18,96,0,130,1,0,0,3,0,0,0,388,0,5,393,0
106,228,11,44,0,103,0,0,0,0,0,0,0,386,0,1,387,0
107,213,12,75,0,174,2,0,1,0,1,1,0,479,0,4,483,0
108,164,8,81,1,210,0,0,0,2,0,1,0,467,0,1,468,0
109,293,16,199,1,284,1,1,0,1,1,1,1,799,0,7,806,0
110,217,17,168,2,274,1,0,0,1,1,1,0,682,0,4,686,0
111,215,17,160,2,230,1,0,1,2,2,0,1,631,0,5,636,0
112,279,31,220,1,374,1,2,1,1,1,0,4,915,0,5,920,0
113,138,17,153,2,198,0,0,0,0,0,1,2,511,0,7,518,0
114,86,12,216,1,156,1,0,0,0,1,0,0,473,0,2,475,0
115,257,47,240,3,211,1,0,1,0,2,2,1,765,0,5,770,0
116,184,31,125,0,185,1,0,0,3,3,3,0,535,0,5,540,0
117,168,29,116,2,242,0,0,0,0,0,0,3,560,0,1,561,0
118,183,21,176,1,225,0,1,0,0,0,0,1,608,0,9,617,0
119,176,36,280,3,333,0,0,1,1,2,1,0,833,0,8,841,0
120,121,27,89,2,171,0,1,1,0,0,0,0,412,0,5,417,0
121,206,20,98,0,256,1,0,0,0,0,0,0,581,0,2,583,0
122,206,17,276,5,443,1,1,2,1,0,1,0,953,0,1,954,0
123,119,8,153,1,218,1,0,0,0,1,0,0,501,0,2,503,0
124,140,11,128,0,215,1,0,0,0,0,1,0,496,0,5,501,0
125,121,13,205,6,198,0,1,0,0,0,0,4,548,0,6,554,0
126,169,18,180,1,202,0,0,0,0,0,2,0,572,0,5,577,0
127,282,7,179,4,335,1,0,0,1,0,3,0,812,0,1,813,0
128,81,21,238,3,135,0,0,0,1,1,1,1,482,0,3,485,0
129,125,31,197,3,135,1,0,0,1,1,2,0,496,0,2,498,0
130,196,28,146,1,283,0,1,0,1,0,0,1,657,0,5,662,0
131,180,13,125,0,229,2,0,0,2,0,1,0,552,0,2,554,0
132,117,7,218,1,207,1,0,0,1,2,0,0,554,0,2,556,0
133,101,9,101,0,157,0,0,0,0,0,0,0,368,0,3,371,0
134,156,18,198,1,353,1,0,1,0,2,2,0,732,0,3,735,0
135,179,32,259,0,376,0,0,0,2,2,2,3,855,0,3,858,0
136,226,17,303,5,294,0,0,0,0,2,1,1,849,0,6,855,0
137,241,19,169,2,139,0,0,0,1,1,2,0,574,0,5,579,0
138,219,20,254,4,322,2,0,3,3,1,4,2,834,0,8,842,0
139,212,17,152,1,404,1,0,1,2,0,1,0,791,0,6,797,0
140,177,23,167,1,316,0,1,0,0,0,1,0,686,0,5,691,0
141,226,25,150,2,283,1,1,0,0,1,0,0,689,0,1,690,0
142,138,25,264,2,323,1,2,1,1,0,2,1,760,0,4,764,0
143,221,17,243,2,257,1,0,1,0,2,4,0,748,0,6,754,0
144,198,21,269,10,339,2,1,1,1,1,2,1,846,0,6,852,0
145,151,14,100,0,170,1,0,0,0,0,1,2,439,0,4,443,0
146,160,13,232,2,172,2,2,1,2,0,1,2,589,0,6,595,0
147,203,10,282,4,276,0,0,0,1,0,5,2,783,0,3,786,0
148,144,22,185,0,179,0,2,1,0,1,3,1,538,0,1,539,0
149,241,17,144,2,239,0,0,0,2,0,0,0,645,0,4,649,0
150,151,33,145,1,264,0,0,0,1,1,0,1,597,0,4,601,0
151,299,23,222,5,232,1,0,1,1,0,1,2,787,0,11,798,0
152,300,19,163,2,220,0,1,0,4,0,1,2,712,0,13,725,0
153,226,25,191,1,292,5,0,0,1,2,0,1,744,0,8,752,0
154,224,8,144,4,226,1,1,2,3,1,0,1,615,0,7,622,0
155,235,11,161,2,245,2,1,2,5,0,3,3,670,0,11,681,0
156,329,21,265,7,286,2,2,1,6,4,7,5,935,0,19,954,0
157,240,17,278,6,206,4,0,1,4,6,3,4,769,0,7,776,0
158,168,17,226,9,270,5,1,1,4,2,4,3,710,0,7,717,0
159,173,5,79,1,52,0,1,0,0,3,2,1,317,0,8,325,0
160,353,11,237,7,218,0,1,4,2,0,2,5,840,0,6,846,0
161,120,7,96,1,72,1,0,0,0,0,1,2,300,0,5,305,0
162,223,7,147,3,218,0,0,1,2,1,2,3,607,0,3,610,0
163,248,6,299,6,240,1,0,0,2,1,9,2,814,0,12,826,0
164,141,22,175,5,145,0,0,0,1,1,3,2,495,0,10,505,0
165,271,16,352,6,289,2,0,0,3,4,8,5,956,0,8,964,0
166,297,15,170,4,161,1,2,0,4,1,4,4,663,0,11,674,0
167,98,4,44,0,44,0,0,0,1,0,1,1,193,0,2,195,0
168,205,12,99,5,208,1,0,0,4,2,3,2,541,0,5,546,0
169,122,2,86,2,86,1,0,0,0,1,1,2,303,0,2,305,0
170,204,11,296,4,130,2,0,0,1,2,2,0,652,0,5,657,0
171,215,22,395,4,189,3,0,0,1,2,7,4,842,0,11,853,0
172,171,15,150,5,284,0,0,2,1,1,2,0,631,0,5,636,0
173,234,11,283,4,171,1,0,0,4,3,4,3,718,0,6,724,0
174,139,11,215,4,117,1,1,1,1,3,2,1,496,0,3,499,0
175,242,13,144,4,154,1,2,1,1,1,1,0,564,0,6,570,0
176,193,12,208,3,135,2,2,0,1,3,0,2,561,0,3,564,0
177,192,11,203,8,135,1,1,1,4,2,2,2,562,0,7,569,0
178,228,15,145,0,148,1,1,1,1,1,1,1,543,0,6,549,0
179,142,6,181,7,294,2,1,0,3,0,3,2,641,0,3,644,0
180,203,11,199,4,230,2,0,0,2,2,5,2,660,0,5,665,0
181,115,9,212,4,129,1,1,1,4,2,0,0,478,0,10,488,0
182,105,14,244,1,155,0,1,0,0,1,0,1,522,0,2,524,0
183,114,22,271,1,264,0,0,0,2,1,2,0,677,0,1,678,0
184,119,20,143,5,130,0,1,0,1,0,0,0,419,0,3,422,0
185,328,15,212,5,308,2,1,3,3,0,1,3,881,0,9,890,0
186,180,15,90,1,129,0,1,0,1,0,3,0,420,0,2,422,0
187,308,24,164,2,291,2,1,1,2,1,2,1,799,0,6,805,0
188,345,28,229,6,295,0,1,1,1,1,0,2,909,0,8,917,0
189,229,19,187,1,145,1,0,0,1,0,0,0,583,0,6,589,0
190,255,27,249,1,184,0,1,0,1,0,3,0,721,0,6,727,0
191,245,23,435,3,225,1,2,1,0,1,1,1,938,0,2,940,0
192,222,11,187,4,224,0,1,0,1,1,2,1,654,0,7,661,0
193,93,14,233,4,101,0,0,0,2,1,0,0,448,0,0,448,0
194,263,29,215,1,368,1,0,0,1,0,0,2,880,0,6,886,0
195,110,16,72,0,151,0,0,0,0,0,0,0,349,0,1,350,0
196,208,18,159,2,289,1,2,1,0,1,3,3,687,0,7,694,0
197,275,42,193,2,375,0,1,2,1,0,0,0,891,0,11,902,0
198,468,40,159,5,311,3,1,0,2,1,1,2,993,0,7,1000,0
199,312,28,204,4,312,0,1,0,2,1,0,0,864,0,6,870,0
200,134,35,225,0,229,1,0,1,1,0,0,0,626,0,2,628,0
201,133,17,236,2,232,0,1,0,2,2,3,2,630,0,3,633,0
202,304,31,274,5,341,3,1,0,3,2,1,1,966,0,6,972,0
203,198,39,279,3,369,2,1,2,0,3,1,1,898,0,6,904,0
204,150,39,187,1,185,1,0,2,1,1,1,3,571,0,2,573,0
205,147,18,141,3,213,1,1,0,1,1,1,1,528,0,4,532,0
206,187,20,247,4,347,3,0,2,3,0,1,5,819,0,6,825,0
207,134,17,100,3,128,0,0,1,5,0,1,2,391,0,8,399,0
208,251,20,140,4,319,1,0,1,3,0,2,4,745,0,10,755,1
209,135,21,244,1,237,0,3,1,1,0,0,0,643,0,6,649,0
210,187,19,228,2,190,0,0,2,0,2,5,1,636,0,7,643,0
211,159,35,239,2,235,0,1,1,2,1,2,5,682,0,10,692,0
212,156,21,146,3,219,2,0,2,1,0,0,0,550,0,2,552,0
213,182,23,134,1,311,0,1,0,2,1,3,1,659,0,6,665,0
214,184,49,273,0,275,1,0,0,1,0,1,1,785,0,3,788,0
215,208,21,199,3,310,0,1,0,0,1,4,3,750,0,15,765,0
216,135,4,130,2,123,1,1,0,0,0,2,0,398,0,9,407,0
217,188,28,210,10,393,3,1,0,5,3,4,5,850,0,15,865,0
218,232,14,141,2,176,0,1,1,1,0,0,2,570,0,7,577,0
219,180,13,152,1,211,1,1,2,1,1,1,1,565,0,6,571,0
220,163,19,169,1,248,0,0,0,0,1,1,0,602,0,3,605,0
221,256,26,188,0,299,1,0,0,0,0,0,0,770,0,4,774,0
222,263,28,192,4,349,0,0,0,1,0,0,0,837,0,4,841,0
223,234,26,188,5,299,0,1,1,0,0,0,1,755,0,5,760,0
224,114,7,104,0,107,0,0,0,0,0,0,0,332,0,0,332,0
225,282,14,165,1,324,0,2,2,2,0,1,0,793,0,4,797,0
226,356,21,184,2,405,1,0,1,0,1,1,0,972,0,7,979,0
227,266,20,171,1,249,0,0,0,3,1,0,0,711,0,2,713,0
228,285,10,228,2,214,2,0,0,2,0,1,1,745,0,5,750,0
229,214,32,172,9,211,1,0,3,0,3,1,1,647,0,5,652,0
230,167,21,242,7,250,2,0,1,3,2,2,5,702,0,11,713,0
231,137,18,178,2,193,3,1,0,5,1,1,5,544,0,3,547,0
232,153,19,201,5,243,1,3,0,3,1,0,2,631,0,5,636,0
233,282,47,311,4,237,1,0,0,2,2,1,1,888,0,5,893,0
234,250,37,280,0,285,2,1,3,0,1,1,2,862,0,8,870,0
235,149,23,95,2,151,0,2,1,1,1,2,1,428,0,6,434,0
236,202,21,300,6,271,1,1,1,0,2,5,0,810,0,4,814,0
237,197,13,403,8,207,0,0,1,3,6,7,2,847,0,11,858,0
238,263,29,171,0,208,1,0,0,0,0,1,1,674,0,4,678,0
239,186,10,216,0,191,0,1,0,2,0,3,0,609,0,4,613,0
240,244,29,245,0,288,1,0,0,0,0,0,1,808,0,9,817,0
241,224,17,151,3,267,2,3,0,0,0,2,3,672,0,3,675,0
242,171,13,150,5,215,0,0,0,1,1,0,2,558,0,12,570,0
243,218,18,289,6,204,2,0,1,0,4,0,1,743,0,4,747,0
244,195,21,256,3,188,0,1,0,1,0,0,0,665,0,6,671,0
245,145,19,162,1,183,1,0,1,0,1,0,0,513,0,4,517,0
246,227,15,196,4,112,2,0,1,0,0,3,2,562,0,4,566,0
247,111,17,112,6,271,1,0,1,2,2,0,0,523,0,1,524,0
248,177,31,265,3,261,3,0,0,0,0,0,0,740,0,4,744,0
249,179,29,283,1,239,1,1,2,0,2,0,3,740,0,8,748,0
250,198,15,255,2,267,2,0,0,2,0,2,1,744,0,9,753,0
251,222,31,322,2,191,1,0,0,0,0,0,1,770,0,7,777,0
252,233,25,320,1,274,0,1,1,4,0,0,0,859,0,4,863,0
253,231,32,250,1,252,0,0,1,1,3,2,1,774,0,6,780,0
254,149,20,220,1,190,0,2,1,1,1,1,1,587,0,6,593,0
255,297,30,262,6,207,0,0,0,5,1,0,0,808,0,14,822,0
256,170,44,174,2,167,0,0,0,1,0,0,3,561,0,4,565,0
257,220,18,152,1,205,2,0,0,1,1,3,0,603,0,3,606,0
258,94,30,124,2,137,2,0,0,1,0,0,3,393,0,1,394,0
259,242,35,150,4,327,1,0,0,1,0,1,3,764,0,9,773,0
260,231,31,242,1,317,4,3,1,0,0,1,1,832,0,10,842,0
261,97,25,93,2,158,0,0,0,1,0,0,1,377,0,3,380,0
262,209,38,206,1,404,2,0,0,1,2,0,1,864,0,4,868,0
263,200,21,148,3,257,1,0,0,0,1,0,0,631,0,3,634,0
264,347,7,213,2,339,1,2,1,2,0,1,1,916,0,1,917,0
265,307,17,142,0,369,3,0,1,0,0,0,0,839,0,4,843,0
266,175,20,185,0,222,0,0,0,0,0,0,0,602,0,5,607,0
267,164,8,161,1,165,0,0,0,1,0,0,1,501,0,6,507,0
268,211,34,204,4,345,1,1,0,0,0,0,1,801,0,4,805,0
269,234,26,163,0,324,2,0,1,1,0,0,1,752,0,2,754,0
270,335,24,180,0,275,0,0,0,0,0,1,0,815,0,2,817,0
271,252,19,214,1,296,1,1,0,0,0,0,1,785,0,6,791,0
272,217,14,85,0,188,0,0,0,1,0,0,0,505,0,0,505,0
273,249,30,208,2,268,0,0,0,2,0,1,0,760,0,3,763,0
274,146,8,81,1,161,0,0,0,0,0,0,0,397,0,8,405,0
275,226,23,149,1,260,1,0,0,2,0,0,0,662,0,1,663,0
276,193,13,121,3,265,1,0,0,0,0,0,0,596,0,5,601,0
277,213,22,120,1,234,0,0,0,0,0,0,0,590,0,4,594,0
278,79,13,80,0,73,1,1,0,1,0,0,0,248,0,2,250,0
279,193,15,111,1,231,1,0,0,1,0,0,1,554,0,4,558,0
280,197,22,101,0,181,0,0,0,0,0,0,0,501,0,1,502,0
281,204,19,185,1,238,1,1,0,0,0,0,1,650,0,4,654,0
282,168,23,220,2,195,0,0,0,0,0,0,0,608,0,0,608,0
283,134,21,246,2,242,1,0,3,0,1,2,0,652,0,5,657,0
284,137,12,218,3,252,1,0,1,1,2,8,3,638,0,6,644,0
285,213,33,392,2,416,0,1,0,1,1,0,0,1059,0,7,1066,0
286,246,53,275,4,395,1,3,0,1,0,3,1,982,0,4,986,0
287,45,9,125,1,131,1,0,1,1,0,1,0,315,0,0,315,0
288,205,24,366,3,362,0,0,1,1,0,1,0,963,0,3,966,0
289,112,31,248,4,202,0,2,0,1,0,2,0,602,0,1,603,0
290,270,22,271,7,356,0,0,1,0,2,0,1,930,0,5,935,0
291,210,25,246,1,316,1,1,0,0,2,0,1,803,0,17,820,0
292,243,26,258,3,193,0,0,0,0,1,0,1,725,0,9,734,0
293,223,11,176,4,211,1,0,0,6,0,3,3,638,0,12,650,0
294,301,18,334,3,288,3,1,0,2,2,5,2,959,0,8,967,0
295,165,13,153,4,289,0,0,2,1,2,2,1,632,0,7,639,0
296,182,8,211,1,251,3,2,2,1,2,1,2,666,0,5,671,0
297,151,16,120,1,428,1,1,1,10,2,0,1,732,0,7,739,0
298,97,18,141,5,381,5,0,0,7,1,6,2,663,0,6,669,0
299,275,41,198,3,417,2,0,0,4,1,2,3,946,0,7,953,0
300,170,21,148,3,258,1,0,0,0,0,0,1,602,0,4,606,0
301,211,32,227,3,446,1,0,2,0,1,1,0,924,0,2,926,0
302,202,19,213,0,266,2,0,0,2,1,0,1,706,0,3,709,0
303,121,27,241,2,222,0,1,0,3,3,1,1,622,0,5,627,0
304,163,7,269,5,335,0,0,1,3,0,1,1,785,0,5,790,0
305,184,8,210,5,252,3,0,0,2,2,3,4,673,0,4,677,0
306,208,12,280,2,256,2,1,1,0,6,4,2,774,0,8,782,0
307,195,5,169,6,291,2,0,0,3,2,8,2,683,0,11,694,0
308,172,6,179,3,204,0,0,0,3,0,5,2,574,0,9,583,0
309,222,30,96,2,167,0,1,1,0,0,0,1,520,0,8,528,0
310,360,25,124,2,195,0,0,0,4,0,3,2,715,0,13,728,0
311,180,34,241,4,175,2,2,3,6,0,0,2,649,0,9,658,0
312,114,9,242,3,123,2,0,0,2,2,1,3,501,0,9,510,0
313,272,40,289,4,319,0,1,0,2,0,4,0,931,0,14,945,0
314,231,19,258,2,180,2,1,2,1,0,2,3,701,0,11,712,0
315,259,25,202,2,279,1,1,0,1,1,4,0,775,0,12,787,1
316,136,25,105,2,127,0,0,0,0,0,0,0,395,0,3,398,0
317,141,15,158,1,102,0,0,0,0,3,0,1,421,0,3,424,0
318,297,42,271,8,313,0,0,1,4,0,1,2,939,0,7,946,0
319,266,20,280,5,235,1,0,1,1,5,3,0,817,0,9,826,0
320,213,22,242,11,290,1,0,0,2,1,0,1,783,0,6,789,0
321,136,9,117,1,200,0,0,0,0,1,0,0,464,0,2,466,0
322,102,13,196,4,186,2,0,0,0,1,1,0,505,0,5,510,0
323,241,19,125,1,235,0,1,0,1,0,0,2,625,0,6,631,0
324,231,17,195,6,256,1,0,1,2,0,1,0,710,0,8,718,0
325,228,11,253,2,263,2,1,0,1,1,1,0,763,0,6,769,0
326,184,23,195,0,258,0,0,0,2,1,2,0,665,0,3,668,0
327,115,8,147,1,145,0,0,0,1,0,0,0,417,0,1,418,0
