Polling Station No,DURAI CHANDRASEKAR,SANTHOSHKUMAR.J,BALARAMAN.P,RAJATHI.M,ASHOK PRIYADARSHAN,RAJA.S,KOTTEESWARAN. K,MALATHI.S,DR.RAVI.M.S,NAGAIYAN.G,BARATHIRAJA.K,RAJASEKAR.J,VENKATESAN.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
110,132,0,110,18,0,0,0,1,296,0,0,0,1,558,0,1,559,0
111,268,1,183,24,0,1,1,2,458,0,1,1,0,940,0,4,944,0
112,135,0,138,20,0,2,0,0,198,0,1,0,0,494,0,6,500,0
113,170,2,103,16,0,0,0,0,240,1,0,0,0,532,0,2,534,0
114,89,0,57,8,1,0,0,0,102,0,0,0,0,257,0,1,258,0
115,244,3,169,32,1,0,0,0,378,1,0,1,0,829,0,3,832,0
116,268,0,147,23,2,2,2,0,381,0,1,0,1,827,0,3,830,0
117,250,1,140,43,1,3,0,1,422,1,1,2,0,865,0,4,869,0
118,163,3,187,21,1,1,1,1,415,1,2,1,1,798,0,1,799,0
119,210,5,130,21,0,1,0,1,282,0,0,0,0,650,0,4,654,0
120,141,1,90,24,1,0,0,4,212,0,0,1,0,474,0,0,474,0
121,226,2,139,18,1,0,0,2,271,2,0,1,1,663,0,3,666,0
122,254,2,236,31,1,1,0,0,391,2,0,0,0,918,0,4,922,0
123,148,1,137,30,2,0,1,2,367,1,0,1,0,690,0,4,694,0
124,91,0,55,11,0,1,1,0,144,0,0,0,0,303,0,2,305,0
125,171,5,189,16,3,3,3,1,396,1,0,0,1,789,0,2,791,0
126,144,0,116,15,2,1,2,6,406,1,0,2,0,695,0,2,697,0
127,150,1,209,32,0,1,0,2,457,0,2,1,0,855,0,4,859,0
128,148,0,122,10,1,1,1,0,271,1,0,0,0,555,0,0,555,0
129,144,1,161,35,0,0,0,0,321,0,0,0,0,662,0,3,665,0
130,111,0,155,16,1,0,0,0,189,0,0,0,0,472,0,0,472,0
131,131,3,114,24,0,1,0,0,253,1,0,4,1,532,0,3,535,0
132,147,0,120,28,0,0,0,0,285,1,1,1,0,583,0,2,585,0
133,215,1,151,39,0,1,1,0,429,0,0,2,1,840,0,10,850,0
134,153,0,147,15,1,0,0,1,226,0,1,0,1,545,0,3,548,0
135,140,0,119,15,1,1,1,1,224,0,0,0,0,502,0,2,504,0
136,120,2,147,27,0,0,1,1,226,0,0,0,0,524,0,2,526,0
137,231,0,207,28,1,2,0,1,438,0,1,3,0,912,0,5,917,0
138,215,1,268,27,0,1,1,1,390,0,1,1,0,906,0,3,909,0
139,138,1,218,18,0,2,0,0,365,0,0,1,2,745,0,2,747,0
140,214,1,161,40,0,0,1,2,417,0,0,1,0,837,0,1,838,0
141,239,2,153,44,0,0,0,0,470,2,0,1,2,913,0,4,917,0
142,82,0,44,20,0,2,0,0,215,0,1,0,0,364,0,3,367,0
143,77,0,214,10,0,0,1,0,317,3,0,1,3,626,0,3,629,0
144,212,1,173,39,2,2,0,4,552,1,1,1,2,990,0,5,995,0
145,172,1,130,35,1,1,2,2,457,2,1,1,0,805,0,3,808,0
146,178,2,168,14,2,1,1,1,210,2,0,0,0,579,0,2,581,0
147,146,2,118,12,0,0,1,0,299,0,0,1,1,580,0,2,582,0
148,101,1,190,21,0,1,2,0,285,1,0,0,1,603,0,3,606,0
149,90,0,102,14,2,1,1,3,317,1,0,0,0,531,0,3,534,0
150,165,2,309,24,0,1,1,2,490,1,2,0,0,997,0,6,1003,0
151,61,2,190,20,1,1,0,2,239,1,0,0,1,518,0,2,520,0
152,89,1,155,18,0,0,0,0,269,0,0,2,0,534,0,1,535,0
153,173,4,158,31,1,1,0,2,358,0,4,3,0,735,0,2,737,0
154,139,2,314,34,2,1,1,5,347,1,0,3,1,850,0,5,855,0
155,187,3,254,26,1,2,2,2,290,2,0,0,0,769,0,4,773,0
156,151,1,146,40,0,0,0,1,427,0,1,0,0,767,0,3,770,0
157,101,0,87,23,1,0,1,1,258,0,0,1,0,473,0,1,474,0
158,49,0,59,1,0,0,0,1,131,1,0,1,0,243,0,0,243,0
159,177,3,110,14,0,0,0,2,439,0,0,0,5,750,0,2,752,0
160,172,0,78,14,0,1,0,0,237,0,2,0,2,506,0,1,507,0
161,280,5,80,27,1,2,0,4,308,0,0,1,0,708,0,1,709,0
162,143,3,121,24,1,2,1,5,349,1,2,1,1,654,0,4,658,0
163,114,1,162,16,1,1,0,1,354,3,0,1,0,654,0,3,657,0
164,205,0,277,58,1,0,1,0,475,3,2,2,1,1025,0,3,1028,0
165,215,1,191,27,1,0,0,1,496,0,1,1,1,935,0,6,941,0
166,158,1,93,17,1,1,3,2,359,0,0,0,0,635,0,4,639,0
167,255,1,153,30,0,2,0,2,379,0,0,0,1,823,0,0,823,0
168,112,1,97,11,1,0,0,0,317,1,0,2,6,548,0,2,550,0
169,130,0,133,25,0,0,1,1,430,1,0,0,0,721,0,2,723,0
170,408,2,64,27,1,0,0,0,382,0,0,0,0,884,0,2,886,0
171,188,2,227,29,1,0,0,2,344,0,0,0,0,793,0,2,795,0
172,98,3,60,19,0,0,0,0,171,1,0,0,0,352,0,2,354,0
173,141,2,151,11,0,0,0,0,318,0,0,0,0,623,0,2,625,0
174,130,1,115,15,0,0,0,0,264,1,0,0,0,526,0,6,532,0
175,126,2,139,34,2,0,0,0,507,0,1,0,0,811,0,2,813,0
176,118,1,134,30,1,1,0,0,336,0,0,1,0,622,0,1,623,0
177,127,0,133,22,1,0,0,0,430,0,1,0,1,715,0,5,720,0
