Polling Station No,Candidate_1,IHCTAK M DNIVARA RALIMAT MAAN,YTRAP V JAMAS NAMAR NAJUHAB,ARTENNUM ADIVARD MAGAHZAK S RAKES ANNA AIDNI LLA,MAGAHZAK S K ARTENNUM YIHTROOM ADIVARD,ADIVARD AMMA MAGAHZAK S RAVIALAHT USARAVLES ARTENNUM IHCTARUP ANNA,IHCTAK IAMIRUVHZAAV V AJALIAHS AGAHZIMAT,MAGAHZAK A RAMUKADNAN IRTTEV AGALIMAT,LAKKAM ADIVARD IHCTAK P MAIKKAB ANNA LAYES AYIHTNIHTIANA,LAKKAM R K RAVIALAHTIHCTARUP MAGAHZAK IJAALAHBAYRUS ARTTENNUM YAJIV AIDNI LLA,N TNEDNEPEDNI YMASAMAR,S TNEDNEPEDNI YMASADNAK,TNEDNEPEDNI R KIHTRAK,TNEDNEPEDNI G NALAPOG,K TNEDNEPEDNI NASRAHDUS,TNEDNEPEDNI R HSERUS,TNEDNEPEDNI C RAKES,TNEDNEPEDNI V RAKES,M TNEDNEPEDNI USARAGNAHT,S IRAWHSEMARAP TNEDNEPEDNI,S TNEDNEPEDNI YMASINALAP,TNEDNEPEDNI R IJALAB,TNEDNEPEDNI K PAHTARP,M RAMUK TNEDNEPEDNI JONAM,TNEDNEPEDNI M IHTRUM,TNEDNEPEDNI M IHTROOM,TNEDNEPEDNI K HTIJNAR,TNEDNEPEDNI P HSEMAR,TNEDNEPEDNI R HSEMAR,TNEDNEPEDNI R AJAR,TNEDNEPEDNI A AHTAL,A RAMUKAYAJIV TNEDNEPEDNI,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
44,44,33,2,251,311,1,15,320,1,4,0,2,1,2,0,1,2,0,0,0,1,0,0,2,0,0,1,0,0,0,1,1,952,0,1,953,0
45,45,16,1,174,143,2,11,105,0,0,0,1,0,0,1,0,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,463,0,2,465,0
46,46,18,2,221,230,0,1,83,1,0,0,0,0,1,0,1,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,564,0,1,565,0
47,47,26,1,176,316,3,0,165,0,0,0,3,0,2,1,0,0,2,0,2,1,0,5,2,0,0,0,0,0,1,1,0,707,0,1,708,0
48,48,5,2,84,123,0,2,73,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,291,0
49,49,12,4,239,348,3,4,258,0,0,0,1,2,3,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,880,0,2,882,0
50,50,62,0,161,158,1,0,131,0,0,1,0,0,2,1,0,2,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,526,0,0,526,0
51,51,21,0,206,196,1,0,128,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,554,0,0,554,0
52,52,17,0,163,238,2,1,146,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,574,0,1,575,0
53,53,14,0,210,201,1,1,115,0,0,1,1,1,2,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,3,2,558,0,0,558,0
