Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
61,62,0,878,57,0,283,0,0,0,0,0,133,261,0,0,0,0,0,0,0,0,0,768,0,768
62,63,0,709,20,0,75,0,0,0,0,0,249,214,0,0,0,0,0,0,0,0,0,578,0,578
63,64,0,294,0,0,121,0,0,0,0,0,15,112,0,0,0,0,0,0,0,0,0,264,0,264
64,65,0,614,11,0,286,0,0,0,0,0,57,182,0,0,0,0,0,0,0,0,0,560,0,560
65,66,0,664,23,0,214,0,0,0,0,0,67,234,0,0,0,0,0,0,0,0,0,562,0,562
66,67,0,626,0,0,214,0,0,0,0,0,65,196,0,0,0,0,0,0,0,0,0,521,0,521
67,68,0,918,0,0,304,0,0,0,0,0,151,303,0,0,0,0,0,0,0,0,0,830,0,830
68,69,0,630,0,0,322,0,0,0,0,0,52,155,0,0,0,0,0,0,0,0,0,569,0,569
69,70,0,774,32,0,181,0,0,0,0,0,227,179,0,0,0,0,0,0,0,0,0,649,0,649
70,0,0,973,13,0,386,0,0,0,0,0,192,225,0,0,0,0,0,0,0,0,0,830,0,830
71,0,0,1170,40,0,595,0,0,0,0,0,126,264,0,0,0,0,0,0,0,0,0,1059,0,1059
72,74,0,618,15,0,213,0,0,0,0,0,145,172,0,0,0,0,0,0,0,0,0,563,0,563
73,75,0,719,0,0,431,0,0,0,0,0,17,198,0,0,0,0,0,0,0,0,0,660,0,660
74,0,0,652,10,0,353,0,0,0,0,0,27,181,0,0,0,7,0,0,0,0,0,588,0,588
75,0,0,625,0,0,170,0,0,0,0,0,195,137,0,0,0,0,0,0,0,0,0,533,0,533
76,0,0,1100,22,0,228,0,0,0,0,0,483,202,0,0,0,0,0,0,0,0,0,949,0,949
77,79,0,681,0,0,139,0,0,0,0,0,297,123,0,0,0,0,0,0,0,0,0,586,0,586
78,80,0,764,0,0,248,2,0,0,0,0,217,167,0,0,0,0,0,0,0,0,1,651,0,651
79,81,0,883,26,0,171,0,0,0,0,0,222,292,0,0,0,0,0,0,0,0,0,746,0,746
80,82,0,866,19,2,284,0,0,0,0,0,154,293,0,0,0,0,0,0,0,0,0,787,0,787
81,83,0,859,29,0,211,2,0,0,0,0,186,264,0,0,0,0,0,0,0,0,0,722,0,722
82,84,0,865,10,0,432,0,0,0,0,0,102,219,0,0,0,0,0,0,0,0,0,791,0,791
83,85,0,812,18,0,170,0,5,0,0,0,265,203,0,0,0,0,0,0,0,0,0,682,0,682
84,86,0,940,17,19,584,0,0,0,0,0,54,157,0,0,0,0,0,0,0,0,0,853,0,853
85,87,0,728,0,4,218,4,4,0,0,0,213,172,0,0,0,0,0,0,0,0,0,638,0,638
86,88,0,799,23,0,409,2,0,0,0,0,46,207,0,0,0,12,0,0,0,0,0,721,0,721
87,89,0,820,37,0,249,0,0,0,0,0,129,261,0,0,0,0,0,0,0,0,0,691,0,691
88,90,0,803,40,0,263,0,0,0,0,0,44,294,0,0,0,2,0,0,0,0,0,669,0,669
89,91,0,697,24,0,213,0,0,0,0,0,187,131,0,0,0,0,0,0,0,0,0,570,0,570
90,92,0,770,24,0,369,0,0,0,0,0,62,210,0,0,0,0,0,0,0,0,0,673,0,673
91,93,0,866,11,0,157,15,12,0,0,22,391,145,0,0,0,0,0,0,0,0,0,759,0,759
92,94,0,558,7,0,117,1,0,0,0,0,208,147,0,0,0,0,0,0,0,0,0,492,0,492
93,95,0,761,0,0,87,19,0,0,0,15,315,192,0,0,0,0,0,0,0,0,0,660,0,660
94,96,0,791,0,0,80,2,0,0,0,0,414,143,0,0,0,0,0,0,0,0,0,678,0,678
95,97,0,932,18,0,390,2,0,0,0,0,115,310,0,0,0,0,0,0,0,0,0,855,0,855
96,98,0,789,0,0,153,0,0,0,0,0,367,123,0,0,0,0,0,0,0,0,0,669,0,669
97,99,0,853,10,0,169,0,0,0,0,0,409,130,0,0,0,0,0,0,0,0,0,737,0,737
98,100,0,337,0,0,88,0,0,0,0,0,97,86,0,0,0,0,0,0,0,0,0,281,0,281
99,101,0,612,11,0,124,0,0,0,0,0,236,150,0,0,0,0,0,0,0,0,0,531,0,531
100,102,0,716,20,0,115,0,0,0,0,0,296,135,0,0,0,0,0,0,0,0,0,583,0,583
101,103,0,745,10,0,256,0,0,0,0,0,133,240,0,0,0,0,0,0,0,0,0,655,0,655
102,104,0,842,29,0,235,0,0,0,0,0,203,232,0,0,0,0,0,0,0,0,0,723,0,723
103,105,0,1115,54,0,413,0,0,0,0,0,93,414,0,0,0,0,0,0,0,0,0,999,0,999
104,106,0,996,25,0,169,0,0,0,0,0,416,218,0,0,0,0,0,0,0,0,0,858,0,858
105,107,0,792,14,0,180,0,0,0,0,0,285,188,0,0,0,0,0,0,0,0,0,684,0,684
106,108,0,1023,20,0,341,0,0,0,0,0,189,279,0,0,0,0,0,0,0,0,10,852,0,852
107,109,0,729,12,0,250,0,0,0,0,0,253,107,0,0,0,0,0,0,0,0,0,638,0,638
108,110,0,698,10,0,228,13,0,0,0,0,261,93,0,0,0,0,0,0,0,0,0,613,0,613
109,111,0,573,0,0,297,0,0,0,0,0,53,141,0,0,0,0,0,0,0,0,0,504,0,504
110,112,0,842,20,0,238,0,0,0,0,0,109,231,0,0,0,0,0,0,0,0,0,631,0,631
111,113,0,1195,12,0,130,0,0,0,0,0,580,178,0,0,0,0,0,0,0,0,0,915,0,915
112,114,0,844,19,0,219,0,0,0,0,0,83,312,0,0,0,0,0,0,0,0,0,661,0,661
113,115,0,812,21,0,191,0,0,0,0,0,165,199,0,0,0,0,0,0,0,0,0,596,0,596
114,116,0,744,0,0,214,0,4,0,0,0,103,190,0,0,0,0,0,0,0,0,0,578,0,578
115,117,0,929,67,0,241,0,4,0,0,0,58,361,0,0,0,0,0,0,0,0,0,765,0,765
116,118,0,985,0,0,508,0,0,0,0,0,32,168,0,0,0,0,0,0,0,0,0,728,0,728
117,119,0,628,14,0,164,0,0,0,0,0,69,256,0,0,0,0,0,0,0,0,0,523,0,523
118,120,0,672,26,0,173,0,0,0,0,0,130,185,0,0,0,0,0,0,0,0,0,533,0,533
119,121,0,962,23,0,352,0,0,0,0,0,132,272,0,0,0,7,0,0,0,0,0,820,0,820
120,122,0,1124,32,0,240,0,0,0,0,0,155,453,0,0,0,0,0,0,0,0,0,904,0,904
121,123,0,1077,33,0,289,0,0,0,0,0,68,487,0,0,0,0,0,0,0,0,0,906,0,906
122,124,0,945,10,0,245,0,0,0,0,0,288,203,0,0,0,0,0,0,0,0,0,758,0,758
123,125,0,1116,28,0,247,0,0,0,0,0,162,444,0,0,0,0,0,0,0,0,0,916,0,916
124,126,0,748,19,0,392,0,0,0,0,0,23,150,0,0,0,0,0,0,0,0,0,591,0,591
125,127,0,438,0,0,251,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,345,0,345
126,128,0,998,10,0,518,0,0,0,0,0,24,181,0,0,0,0,0,0,0,0,0,743,0,743
127,129,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,130,0,511,12,0,149,0,0,0,0,0,110,150,0,0,0,0,0,0,0,0,0,434,0,434
129,131,0,1053,17,0,208,0,0,0,0,0,263,382,0,0,0,0,0,0,0,0,0,899,0,899
130,132,0,749,18,0,198,0,0,0,0,0,140,264,0,0,0,0,0,0,0,0,5,635,0,635
131,133,0,825,25,0,268,0,0,0,0,0,120,286,0,0,0,0,0,0,0,0,3,721,0,721
132,134,0,669,14,0,198,0,0,0,0,0,74,230,0,0,0,0,0,0,0,0,0,529,0,529
133,135,0,715,11,0,434,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,568,0,568
134,136,0,786,14,0,295,0,0,0,0,0,25,294,0,0,0,0,0,0,0,0,0,643,0,643
135,137,0,903,15,0,374,0,0,0,0,0,42,236,0,0,0,0,0,0,0,0,5,688,0,688
136,138,0,760,17,0,286,0,0,0,0,0,110,210,0,0,0,0,0,0,0,0,0,638,0,638
137,139,0,962,23,0,110,10,0,0,0,0,413,242,0,0,0,0,0,0,0,0,0,820,0,820
138,140,0,896,11,0,190,0,0,0,0,0,214,295,0,0,0,0,0,0,0,0,0,720,0,720
139,141,0,1154,28,0,411,0,0,0,0,0,90,415,0,0,0,0,0,0,0,0,0,970,0,970
140,142,0,914,17,0,162,25,0,0,0,0,431,125,0,0,0,0,0,0,0,0,0,792,0,792
141,143,0,583,19,0,107,11,0,0,0,0,252,100,0,0,0,0,0,0,0,0,0,503,0,503
142,144,0,653,13,0,87,11,0,0,0,0,313,103,0,0,0,0,0,0,0,0,0,540,0,540
143,145,0,846,20,0,90,5,0,0,0,0,519,110,0,0,0,0,0,0,0,0,0,755,0,755
144,146,0,910,17,0,244,0,0,0,0,0,366,181,0,0,0,0,0,0,0,0,0,830,0,830
145,147,0,637,14,0,166,0,0,0,0,0,177,164,0,0,0,0,0,0,0,0,0,532,0,532
146,148,0,681,10,0,255,0,0,0,0,0,99,220,0,0,0,0,0,0,0,0,0,598,0,598
147,149,0,907,13,0,161,0,0,0,0,0,408,183,0,0,0,0,0,0,0,0,0,788,0,788
148,150,0,857,10,0,138,0,0,0,0,0,527,69,0,0,0,0,0,0,0,0,0,767,0,767
149,151,0,896,13,0,363,0,0,0,0,0,40,389,0,0,0,0,0,0,0,0,0,816,0,816
150,152,0,654,10,0,99,0,0,0,0,0,175,290,0,0,0,0,0,0,0,0,0,583,0,583
151,153,0,764,0,0,102,0,0,0,0,0,240,296,0,0,0,0,0,0,0,0,0,662,0,662
152,154,0,758,10,0,120,0,0,0,0,0,344,178,0,0,0,0,0,0,0,0,0,668,0,668
153,155,0,750,25,0,314,0,0,0,0,0,43,283,0,0,0,0,0,0,0,0,0,681,0,681
154,156,0,1197,21,0,179,0,0,0,0,0,482,222,0,0,0,0,0,0,0,0,0,932,0,932
155,157,0,546,0,0,76,0,2,0,0,0,340,61,0,0,0,0,0,0,0,0,0,490,0,490
156,158,0,882,24,0,228,5,0,0,0,0,270,208,0,0,0,0,0,0,0,0,0,751,0,751
157,159,0,1057,31,0,434,2,0,0,0,0,81,326,0,0,0,0,0,0,0,0,0,891,0,891
158,160,0,880,25,0,422,0,0,0,0,0,52,270,0,0,0,0,0,0,0,0,0,789,0,789
159,161,0,868,0,0,250,11,0,0,0,0,231,210,0,0,0,0,0,0,0,0,0,730,0,730
160,162,0,510,0,0,87,0,0,0,0,0,300,72,0,0,0,0,0,0,0,0,0,470,0,470
161,163,0,735,35,0,220,0,0,0,0,0,210,174,0,0,0,0,0,0,0,0,0,664,0,664
162,164,0,760,23,0,95,0,0,0,0,0,457,92,0,0,0,0,0,0,0,0,0,682,0,682
163,165,0,519,11,0,86,0,0,0,0,0,306,68,0,0,0,0,0,0,0,0,0,479,0,479
164,166,0,706,11,0,150,0,0,0,0,0,286,123,0,0,0,0,0,0,0,0,0,591,0,591
165,167,0,1191,40,0,291,0,10,0,0,0,333,284,0,0,0,0,0,0,0,0,0,976,0,976
166,168,0,829,18,0,250,0,0,0,0,0,296,142,0,0,0,0,0,0,0,0,5,730,0,730
167,169,0,614,25,0,201,0,0,0,0,0,82,194,0,0,0,0,0,0,0,0,4,524,0,524
168,170,0,650,21,0,245,0,0,0,0,0,70,217,0,0,0,0,0,0,0,0,0,579,0,579
169,171,0,690,19,0,121,0,0,0,0,0,358,72,0,0,0,0,0,0,0,0,0,588,0,588
170,172,0,725,28,0,185,0,0,0,0,12,222,181,0,0,0,0,0,0,0,0,0,647,0,647
171,173,0,588,10,0,239,0,0,0,0,0,45,185,0,0,0,0,0,0,0,0,0,502,0,502
172,174,0,587,16,0,259,0,0,0,0,0,69,147,0,0,0,0,0,0,0,0,0,502,0,502
173,175,0,523,12,0,143,10,0,0,0,0,147,140,0,0,0,0,0,0,0,0,0,463,0,463
174,176,0,568,0,0,198,0,0,0,0,0,114,139,0,0,0,0,0,0,0,0,0,485,0,485
175,177,0,949,17,0,203,5,0,0,0,0,468,168,0,0,0,0,0,0,0,0,0,877,0,877
176,178,0,820,19,0,145,5,0,0,0,0,372,205,0,0,0,0,0,0,0,0,0,765,0,765
177,179,0,929,27,0,240,5,0,0,0,0,318,240,0,0,0,4,0,0,0,0,0,865,0,865
178,180,0,1142,32,0,360,18,0,0,0,0,386,250,0,0,0,0,2,0,0,0,0,1068,0,1068
179,181,0,672,0,0,126,0,0,0,0,0,356,113,0,0,0,0,0,0,0,0,0,615,0,615
180,182,0,657,14,0,295,0,0,0,0,0,59,204,0,0,0,5,0,0,0,0,0,603,0,603
181,183,0,575,14,0,103,0,0,0,0,0,332,62,0,0,0,0,0,0,0,0,0,520,0,520
182,184,0,1062,31,0,360,0,0,0,0,0,281,282,0,0,0,0,0,0,0,0,0,964,0,964
183,185,0,833,20,0,234,0,0,0,0,0,291,176,0,0,0,0,0,0,0,0,0,739,0,739
184,186,0,948,33,0,411,0,0,0,0,0,79,257,0,0,0,0,0,0,0,0,0,804,0,804
185,187,0,568,5,0,132,45,0,0,0,0,248,76,0,0,0,0,0,0,0,0,0,522,0,522
186,188,0,1023,25,0,259,0,0,0,0,0,364,240,0,0,0,0,0,0,0,0,0,915,0,915
187,189,0,800,26,0,294,0,0,0,0,0,167,219,0,0,0,0,0,0,0,0,0,714,0,714
188,190,0,802,15,0,220,0,0,0,0,0,324,111,0,0,0,0,0,0,0,0,0,694,0,694
189,191,0,944,20,0,300,0,0,0,0,0,268,245,0,0,0,0,0,0,0,0,0,857,0,857
190,192,0,689,18,0,158,27,0,0,0,0,323,102,0,0,0,0,0,0,0,0,0,635,0,635
191,193,0,902,19,0,243,19,0,0,0,0,315,234,0,0,0,0,0,0,0,0,0,841,0,841
192,194,0,863,23,0,109,29,0,0,0,0,427,189,0,0,0,0,0,0,0,0,0,790,0,790
193,195,0,653,16,0,105,0,0,0,0,0,282,165,0,0,0,0,0,0,0,0,0,583,0,583
194,196,0,878,24,0,145,17,0,0,0,0,404,173,0,0,0,0,0,0,0,0,0,774,0,774
195,197,0,891,19,0,216,11,0,0,0,0,397,137,0,0,0,0,0,0,0,0,7,798,0,798
196,198,0,864,13,0,195,19,0,0,0,0,395,154,0,0,0,0,0,0,0,0,0,795,0,795
197,199,0,684,0,0,60,5,0,0,0,0,413,110,0,0,0,0,0,0,0,0,0,605,0,605
198,200,0,839,12,0,99,16,0,0,0,0,466,145,0,0,0,0,0,0,0,0,0,753,0,753
199,201,0,652,40,0,155,0,0,0,0,0,215,164,0,0,0,0,0,0,0,0,0,591,0,591
200,202,0,761,13,0,205,18,0,0,0,0,263,166,0,0,0,0,0,0,0,0,0,690,0,690
201,203,0,799,27,0,141,15,0,0,0,0,331,189,0,0,0,0,0,0,0,0,0,709,0,709
202,204,0,650,0,0,367,0,0,0,0,0,60,141,0,0,0,0,0,0,0,0,0,601,0,601
203,205,0,1069,16,0,147,0,0,0,0,0,546,226,0,0,0,0,0,0,0,0,0,976,0,976
204,206,0,908,23,0,63,0,0,0,0,0,582,116,0,0,0,0,0,0,0,0,0,822,0,822
205,207,0,891,14,0,339,0,0,0,0,0,235,192,0,0,0,0,0,0,0,0,0,808,0,808
206,208,0,992,28,0,229,41,0,0,0,0,371,227,0,0,0,0,0,0,0,0,0,906,0,906
207,209,0,920,15,0,334,44,0,0,0,0,191,212,0,0,0,0,0,0,0,0,0,805,0,805
208,210,0,906,13,0,106,0,0,0,0,0,424,184,0,0,0,0,0,0,0,0,0,753,0,753
209,211,0,1089,21,0,135,45,0,0,0,0,490,260,0,0,0,0,0,0,0,0,0,987,0,987
210,212,0,1077,30,0,254,58,0,0,0,0,454,147,0,0,0,0,0,0,0,0,0,968,0,968
211,213,0,790,19,0,102,102,0,0,0,0,361,106,0,0,0,0,0,0,0,0,0,696,0,696
212,214,0,780,38,0,178,64,0,0,0,0,282,114,0,0,0,0,0,0,0,0,0,693,0,693
213,215,0,515,11,0,63,51,0,0,0,0,212,114,0,0,0,0,0,0,0,0,0,461,0,461
214,216,0,777,24,0,261,47,0,0,0,0,53,303,0,0,0,0,0,0,0,0,0,698,0,698
215,217,0,634,0,0,90,87,0,0,0,0,288,92,0,0,0,0,0,0,0,0,0,577,0,577
216,218,0,586,0,0,119,16,0,0,0,0,229,118,0,0,0,0,0,0,0,0,0,503,0,503
217,219,0,703,12,0,85,35,0,0,0,0,361,114,0,0,0,0,0,0,0,0,0,618,0,618
218,220,0,544,0,0,56,0,0,0,0,0,299,100,0,0,0,0,0,0,0,0,0,478,0,478
219,221,0,779,20,0,180,5,0,0,0,0,325,137,0,0,0,0,0,0,0,0,0,682,0,682
220,222,0,717,0,0,221,0,4,0,0,0,199,159,0,0,0,0,0,0,0,0,0,624,0,624
221,223,0,799,0,0,341,0,0,0,0,0,85,266,0,0,0,0,0,0,0,0,0,725,0,725
222,224,0,691,0,0,72,0,0,0,0,0,426,101,0,0,0,0,0,0,0,0,0,623,0,623
223,225,0,1092,15,0,198,33,0,0,0,0,594,170,0,0,0,0,0,0,0,0,0,1027,0,1027
224,226,0,964,12,0,101,12,0,0,0,0,586,162,0,0,0,0,0,0,0,0,0,886,0,886
225,227,0,977,31,0,261,14,0,0,0,0,341,231,0,0,0,0,0,0,0,0,0,895,0,895
226,228,0,924,19,0,265,0,0,0,0,0,200,289,0,0,0,0,0,0,0,0,0,782,0,782
227,229,0,607,0,0,271,0,0,0,0,0,73,205,0,0,0,0,0,0,0,0,0,570,0,570
228,230,0,621,10,0,137,0,0,0,0,0,205,181,0,0,0,0,0,0,0,0,0,544,0,544
229,231,0,897,16,0,268,0,0,0,0,0,162,301,0,0,0,0,0,0,0,0,0,766,0,766
230,232,0,251,0,0,69,0,0,0,0,0,67,82,0,0,0,0,0,0,0,0,0,231,0,231
231,233,0,1035,21,0,229,0,0,0,0,18,499,168,0,0,0,0,0,0,0,0,0,954,0,954
232,234,0,693,13,0,90,0,0,0,0,0,289,212,0,0,0,0,0,0,0,0,0,618,0,618
233,235,0,1036,28,0,271,0,0,0,0,0,223,363,0,0,0,0,0,0,0,0,0,906,0,906
234,236,0,765,24,0,187,0,0,0,0,0,110,282,0,0,0,0,0,0,0,0,0,611,0,611
235,237,0,738,13,0,161,0,0,0,0,0,130,309,0,0,0,0,0,0,0,0,0,634,0,634
236,238,0,887,10,0,244,0,0,0,0,0,143,328,0,0,0,0,0,0,0,0,0,738,0,738
237,239,0,759,20,0,221,0,0,0,0,0,136,243,0,0,0,0,0,0,0,0,0,635,0,635
238,240,0,609,27,0,220,0,0,0,0,0,81,162,0,0,0,0,0,0,0,0,0,495,0,495
239,241,0,734,18,0,203,0,0,0,0,0,105,245,0,0,0,0,0,0,0,0,0,582,0,582
240,242,0,790,12,0,247,0,0,0,0,0,106,276,0,0,0,0,0,0,0,0,0,656,0,656
241,243,0,886,23,0,262,0,0,0,0,0,146,303,0,0,0,0,0,0,0,0,0,740,0,740
242,244,0,368,0,0,102,0,0,0,0,0,66,127,0,0,0,0,0,0,0,0,0,306,0,306
243,245,0,520,12,0,174,0,0,0,0,0,89,162,0,0,0,0,0,0,0,0,0,448,0,448
244,246,0,513,19,0,138,0,0,0,0,0,83,160,0,0,0,0,0,0,0,0,0,405,0,405
245,247,0,1014,34,0,263,0,0,0,0,0,161,363,0,0,0,0,0,0,0,0,0,841,0,841
246,248,0,693,0,0,200,0,0,0,0,0,104,219,0,0,0,0,0,0,0,0,0,555,0,555
247,249,0,721,23,0,235,0,0,0,0,0,90,242,0,0,0,0,0,0,0,0,0,593,0,593
248,250,0,662,22,0,252,0,0,0,0,0,50,214,0,0,0,0,0,0,0,0,0,548,0,548
249,251,0,650,0,0,187,0,0,0,0,0,119,226,0,0,0,0,0,0,0,0,0,555,0,555
250,252,0,554,0,0,211,0,0,0,0,0,66,158,0,0,0,0,0,0,0,0,0,453,0,453
251,253,0,556,0,0,209,0,0,0,0,0,59,201,0,0,0,0,0,0,0,0,0,489,0,489
252,254,0,495,0,0,174,0,0,0,0,0,66,156,0,0,0,0,0,0,0,0,0,419,0,419
253,255,0,578,14,0,230,0,0,0,0,0,51,173,0,0,0,0,0,0,0,0,0,473,0,473
254,256,0,729,11,0,266,0,0,0,0,0,129,170,0,0,0,0,0,0,0,0,0,587,0,587
255,257,0,630,10,0,164,0,0,0,0,0,91,261,0,0,0,0,0,0,0,0,0,533,0,533
256,258,0,357,0,0,113,0,0,0,0,0,44,129,0,0,0,0,0,0,0,0,0,297,0,297
257,259,0,691,15,0,197,0,0,0,0,0,95,246,0,0,0,0,0,0,0,0,0,562,0,562
258,260,0,883,20,0,334,0,0,0,0,0,74,326,0,0,0,0,0,0,0,0,0,779,0,779
259,261,0,593,17,0,172,0,0,0,0,0,98,166,0,0,0,0,0,0,0,0,0,459,0,459
260,262,0,573,10,0,125,0,0,0,0,0,133,186,0,0,0,0,0,0,0,0,0,473,0,473
261,263,0,651,14,0,133,0,0,0,0,0,203,214,0,0,0,0,0,0,0,0,0,586,0,586
