Polling Station No,ANITHA R. RADHAKRISHNAN,OPHILIYA,K R M RADHAKRISHNAN,GOPALAKRISHNAN,PACKIA SAM. T,MAHARAJAN. M,J. MURUGAN,RASIK MUSSAMMIL. K,SHAIK ABDUL KADER. P.S.J,MEERA SAHIB,RAJALINGAM. M,VEERAPPA. T,VENKATESH PERUMAL. S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
87,162,31,124,1,0,0,90,0,1,0,0,0,0,409,0,0,409,0
88,272,39,62,1,1,3,334,1,0,1,1,0,1,716,0,2,718,0
89,212,16,43,5,0,1,184,0,2,0,0,0,1,464,0,1,465,0
90,143,66,184,0,1,5,334,2,2,2,2,2,1,744,0,0,744,0
91,186,49,208,0,2,3,355,4,2,1,0,2,0,812,0,4,816,0
92,196,37,209,0,0,1,313,1,0,0,0,0,1,758,0,2,760,0
93,131,30,147,0,0,4,243,1,0,0,1,0,0,557,0,0,557,0
94,154,40,279,5,0,5,308,2,0,2,0,1,0,796,0,5,801,0
95,136,13,97,1,0,1,192,0,0,1,0,1,0,442,0,2,444,0
96,144,51,230,5,3,4,295,1,1,1,0,1,0,736,0,6,742,0
97,155,30,328,4,0,1,203,0,0,0,0,0,1,722,0,0,722,0
98,50,11,72,0,0,1,86,1,0,0,0,0,0,221,0,0,221,0
99,138,28,221,0,1,2,263,1,0,0,1,2,0,657,0,0,657,0
100,153,20,279,0,1,1,171,0,0,0,0,0,0,625,0,3,628,0
101,185,41,285,2,0,1,262,0,0,0,1,1,0,778,0,4,782,0
102,229,37,298,0,0,0,240,2,1,0,1,1,0,809,0,2,811,0
103,150,19,214,1,1,1,154,0,0,0,1,0,1,542,0,1,543,0
104,135,35,121,1,2,1,205,2,1,0,0,0,1,504,0,4,508,0
105,93,30,123,1,0,0,202,0,1,0,0,1,0,451,0,3,454,0
106,269,32,214,2,0,0,274,0,0,0,0,0,1,792,0,3,795,0
107,246,64,231,0,1,1,321,2,3,0,0,0,2,871,0,1,872,0
108,158,46,132,0,0,0,257,0,0,0,0,2,1,596,0,2,598,0
109,154,33,149,2,0,3,344,4,0,1,1,1,1,693,0,2,695,0
110,151,29,144,1,0,0,184,1,0,0,0,0,0,510,0,1,511,0
111,125,57,118,1,0,1,240,1,0,0,0,2,2,547,0,1,548,0
112,97,25,82,1,0,2,106,0,0,0,0,0,0,313,0,0,313,0
113,173,42,220,1,1,1,267,0,1,0,0,1,1,708,0,2,710,0
114,302,106,92,1,1,0,231,1,1,0,0,0,0,735,0,3,738,0
115,185,66,80,0,0,0,122,0,0,0,0,0,0,453,0,1,454,0
116,146,40,157,7,0,0,158,0,1,0,0,0,0,509,0,1,510,0
117,200,29,125,3,2,5,282,4,1,0,0,1,1,653,0,2,655,0
118,262,16,146,0,0,0,210,0,1,0,0,0,0,635,0,4,639,0
119,274,49,187,4,0,5,273,3,4,1,0,2,1,803,0,4,807,0
120,427,25,74,0,0,1,241,2,1,0,0,1,0,772,0,5,777,0
121,464,28,7,0,1,1,158,4,0,6,0,0,0,669,0,3,672,0
122,507,26,42,4,0,1,121,1,0,5,0,0,0,707,0,4,711,0
123,130,10,11,0,0,0,110,0,0,2,1,0,0,264,0,1,265,0
124,88,32,149,0,0,0,131,0,1,0,0,1,0,402,0,0,402,0
125,203,19,73,5,0,3,135,0,1,1,0,0,1,441,0,0,441,0
126,160,26,152,2,0,0,258,6,1,0,0,0,0,605,0,2,607,0
127,187,30,155,2,0,2,218,11,1,1,1,0,0,608,0,0,608,0
128,544,22,27,0,0,0,310,0,0,0,0,0,0,903,0,10,913,0
129,329,53,134,2,1,5,281,0,1,0,0,0,0,806,0,3,809,0
130,289,37,43,0,1,0,278,0,0,2,0,0,0,650,0,2,652,0
131,122,29,11,1,0,1,301,1,0,0,0,1,0,467,0,1,468,0
132,700,19,5,1,0,0,128,0,0,3,0,0,0,856,0,3,859,0
133,533,7,1,0,0,0,37,0,0,2,0,0,0,580,0,1,581,0
134,222,27,13,0,1,1,494,0,1,1,0,0,1,761,0,1,762,0
135,247,21,11,0,0,2,277,1,0,4,0,0,1,564,0,2,566,0
136,520,29,0,0,0,0,46,0,0,1,0,0,0,596,0,1,597,0
137,263,4,3,0,0,0,46,0,0,6,1,0,0,323,0,0,323,0
138,536,23,9,0,1,2,144,1,0,1,0,0,0,717,0,0,717,0
139,241,27,84,1,0,1,187,0,0,0,1,0,0,542,0,3,545,0
140,574,9,1,1,0,0,34,0,1,0,0,0,0,620,0,0,620,0
141,539,11,4,0,0,0,39,3,1,0,0,0,0,597,0,4,601,0
142,405,20,1,0,0,0,58,1,0,12,0,0,0,497,0,1,498,0
143,506,9,1,0,0,0,43,0,0,0,0,0,0,559,0,3,562,0
144,526,4,6,0,0,0,19,0,4,1,0,0,0,560,0,2,562,0
145,370,3,0,0,0,0,35,1,3,2,0,0,1,415,0,1,416,0
146,539,12,0,1,0,0,34,1,0,4,0,0,0,591,0,1,592,0
147,488,3,7,1,0,0,114,0,1,6,0,0,0,620,0,2,622,0
148,661,12,2,0,0,0,44,0,0,1,0,0,0,720,0,2,722,0
149,456,24,9,0,0,0,59,0,0,1,0,0,0,549,0,5,554,0
150,277,9,3,0,0,0,28,0,0,2,0,0,0,319,0,1,320,0
151,438,11,2,1,0,0,45,2,1,1,0,0,1,502,0,2,504,0
152,567,10,3,1,0,0,93,1,1,8,0,0,0,684,0,2,686,0
153,452,4,1,0,1,0,39,1,0,3,0,0,0,501,0,2,503,0
154,500,14,7,1,0,2,119,0,1,3,0,0,0,647,0,3,650,0
155,545,7,4,0,1,0,70,0,1,2,0,0,0,630,0,5,635,0
156,155,21,56,0,0,0,242,4,1,0,0,0,0,479,0,4,483,0
157,157,29,98,1,0,1,265,2,0,0,0,0,1,554,0,4,558,0
158,609,13,6,0,0,0,95,0,1,2,0,0,0,726,0,2,728,0
159,588,25,10,0,1,2,188,3,1,8,0,0,1,827,0,2,829,0
160,181,34,69,3,0,0,133,2,0,0,0,0,1,423,0,0,423,0
161,359,11,5,0,0,0,46,1,0,2,0,0,0,424,0,4,428,0
162,379,10,1,0,0,0,53,1,0,1,0,0,0,445,0,11,456,0
163,278,14,45,1,1,1,236,0,0,0,1,0,0,577,0,1,578,0
164,168,23,124,2,0,0,186,1,1,1,1,1,1,509,0,0,509,0
165,146,19,195,1,0,1,224,1,0,0,1,0,0,588,0,0,588,0
166,148,30,165,0,0,0,115,1,1,0,0,1,0,461,0,2,463,0
167,371,25,46,4,0,0,286,1,1,0,0,0,1,735,0,2,737,0
168,207,27,30,1,0,0,283,0,0,0,1,1,2,552,0,4,556,0
169,161,33,71,1,1,0,178,1,0,0,0,0,0,446,0,3,449,0
170,280,19,17,0,0,2,189,0,1,0,0,0,0,508,0,2,510,0
171,269,19,68,2,0,0,242,0,0,0,0,0,1,601,0,0,601,0
172,235,23,59,1,2,0,293,2,0,0,1,0,0,616,0,2,618,0
173,279,18,25,1,0,0,502,0,1,0,0,1,0,827,0,1,828,0
174,178,40,114,0,0,4,419,3,0,0,0,1,2,761,0,3,764,0
175,150,28,93,1,0,3,292,0,2,0,0,1,0,570,0,2,572,0
176,147,41,25,2,0,1,99,1,0,0,1,1,1,319,0,8,327,0
177,175,50,59,0,1,2,228,0,0,1,0,0,0,516,0,1,517,0
178,271,56,106,3,0,2,267,0,1,0,0,0,0,706,0,4,710,0
179,184,20,120,0,0,1,137,0,0,0,0,0,2,464,0,1,465,0
180,253,37,172,1,1,3,346,1,0,0,0,1,0,815,0,3,818,0
181,146,19,96,0,0,0,163,1,0,1,0,0,0,426,0,1,427,0
182,215,51,99,6,2,1,287,2,0,1,0,2,0,666,0,2,668,0
183,244,44,112,0,0,1,301,0,3,0,0,0,3,708,0,4,712,0
184,158,47,290,1,0,1,144,1,0,2,0,0,0,644,0,2,646,0
185,172,43,175,1,0,2,304,1,2,0,0,0,0,700,0,0,700,0
186,161,30,129,0,1,0,198,0,1,1,0,0,1,522,0,2,524,0
187,151,27,170,1,0,0,159,0,0,1,0,1,1,511,0,1,512,0
188,259,16,49,0,0,0,113,2,0,3,0,0,0,442,0,2,444,0
189,149,40,191,0,0,0,237,0,0,0,0,0,0,617,0,7,624,0
190,195,58,189,1,1,0,315,0,1,0,1,0,2,763,0,5,768,0
191,462,18,17,2,0,3,213,2,0,1,0,0,0,718,0,7,725,0
192,430,33,41,0,0,1,230,0,1,0,0,0,1,737,0,13,750,0
193,470,19,27,0,2,1,162,0,0,0,0,2,1,684,0,5,689,0
194,228,50,134,2,0,0,210,0,0,0,0,0,0,624,0,0,624,0
195,199,51,133,1,0,1,160,0,0,0,0,0,0,545,0,2,547,0
196,399,20,27,0,0,1,154,2,0,0,1,0,1,605,0,13,618,0
197,404,15,30,0,0,1,166,0,0,0,0,0,1,617,0,10,627,0
198,171,52,143,0,0,3,219,0,0,0,0,0,1,589,0,0,589,0
199,183,51,183,0,0,1,267,0,1,0,0,1,0,687,0,4,691,0
200,139,18,69,1,0,1,282,0,0,0,0,1,0,511,0,1,512,0
201,154,34,97,0,0,2,271,0,1,0,0,0,0,559,0,5,564,0
202,180,33,154,1,1,1,230,0,0,0,0,0,1,601,0,2,603,0
203,219,18,45,0,0,0,265,0,0,0,0,0,0,547,0,3,550,0
204,154,27,193,2,0,3,216,0,0,0,0,2,0,597,0,3,600,1
205,116,40,101,2,1,0,191,1,0,0,0,0,1,453,0,3,456,0
206,146,28,111,2,1,2,229,1,0,0,0,0,1,521,0,5,526,0
207,57,13,302,1,0,2,133,1,0,0,0,0,0,509,0,3,512,0
208,128,40,172,0,2,1,192,3,3,0,0,0,6,547,0,0,547,0
209,112,29,97,0,2,3,189,0,1,1,0,3,0,437,0,1,438,0
210,190,27,280,2,0,0,278,1,0,0,1,1,0,780,0,6,786,0
211,162,39,161,0,0,0,229,1,0,1,0,0,2,595,0,8,603,0
212,45,22,103,0,0,0,141,2,0,2,0,0,0,315,0,5,320,0
213,259,33,136,1,0,2,263,0,0,0,0,0,0,694,0,5,699,0
214,276,29,218,3,0,2,374,1,0,0,1,0,1,905,0,4,909,0
215,106,13,58,1,0,0,149,0,0,0,0,1,0,328,0,0,328,0
216,117,21,125,1,1,0,206,1,1,1,0,0,1,475,0,2,477,0
217,198,42,167,1,0,0,314,1,0,0,0,0,0,723,0,2,725,0
218,223,63,208,2,0,1,381,4,0,0,1,0,6,889,0,8,897,0
219,102,20,110,0,0,1,106,0,2,0,0,0,0,341,0,1,342,0
220,82,18,330,2,0,1,125,1,0,0,0,0,3,562,0,3,565,0
221,119,20,221,2,1,2,140,0,0,0,0,0,2,507,0,3,510,0
222,155,63,118,0,0,1,235,1,0,0,0,0,1,574,0,3,577,0
223,159,59,176,1,1,0,255,1,2,0,0,1,0,655,0,5,660,0
224,262,27,70,0,1,1,327,0,0,1,0,0,0,689,0,5,694,0
225,431,26,40,1,0,2,294,2,2,1,0,1,0,800,0,7,807,0
226,165,36,20,0,0,2,482,1,1,0,0,0,0,707,0,0,707,0
227,162,21,20,1,2,2,326,0,0,0,0,0,0,534,0,0,534,0
228,180,16,29,0,0,1,549,0,0,2,1,1,0,779,0,1,780,0
229,198,37,130,1,0,2,375,1,1,1,0,0,0,746,0,4,750,0
230,380,12,8,0,0,0,509,0,1,0,0,0,0,910,0,0,910,0
231,243,12,10,0,0,1,464,1,0,0,0,1,0,732,0,1,733,0
232,121,20,14,2,1,5,332,3,0,2,0,0,2,502,0,0,502,0
233,275,32,192,2,1,0,208,0,0,1,0,0,4,715,0,0,715,0
234,157,26,165,1,0,2,138,0,0,1,1,0,0,491,0,4,495,0
235,242,17,181,1,0,2,228,0,0,0,0,0,0,671,0,1,672,0
236,253,49,214,0,0,0,202,1,0,0,0,0,0,719,0,3,722,0
237,119,50,181,3,1,1,146,0,0,0,0,0,1,502,0,2,504,0
238,390,28,106,0,2,4,361,0,1,0,1,1,2,896,0,4,900,0
239,262,48,33,1,0,0,195,1,0,0,0,1,0,541,0,1,542,0
240,159,50,172,1,0,0,173,0,1,1,0,0,2,559,0,0,559,0
241,122,26,76,1,0,0,159,0,0,0,0,0,0,384,0,1,385,0
242,285,46,152,27,0,0,219,0,0,0,2,2,1,734,0,2,736,0
243,195,48,173,1,0,1,320,1,1,1,0,0,2,743,0,5,748,0
244,165,46,185,2,1,0,207,0,0,1,0,0,0,607,0,5,612,0
245,246,45,190,15,0,0,217,0,2,1,0,0,0,716,0,11,727,0
246,182,51,62,0,1,1,139,1,0,0,0,0,0,437,0,1,438,0
247,177,35,152,5,0,0,252,1,0,0,0,0,0,622,0,5,627,0
248,103,12,143,0,0,0,132,0,1,0,0,0,0,391,0,1,392,0
249,169,24,181,1,0,2,153,2,0,0,1,1,0,534,0,1,535,0
250,177,34,69,0,0,0,130,0,0,0,0,0,0,410,0,0,410,0
251,403,68,78,1,0,2,238,4,0,0,1,0,0,795,0,7,802,0
252,391,93,89,0,0,1,203,1,0,0,0,0,0,778,0,3,781,0
253,345,71,177,2,1,9,274,1,0,0,0,0,1,881,0,3,884,0
254,129,6,9,1,0,2,101,1,0,0,0,0,0,249,0,2,251,0
255,268,33,67,0,0,0,270,0,0,0,0,2,0,640,0,1,641,0
256,287,59,56,0,1,0,123,0,0,0,0,0,0,526,0,2,528,0
257,262,29,162,2,1,1,157,0,1,0,0,0,0,615,0,3,618,0
258,163,37,217,8,0,0,233,2,2,1,0,0,2,665,0,1,666,0
259,162,26,260,0,0,0,155,0,1,0,1,0,0,605,0,1,606,0
260,118,38,210,2,1,3,231,0,1,0,0,0,2,606,0,3,609,0
261,51,10,177,1,0,2,109,0,0,0,1,0,0,351,0,1,352,0
262,156,48,359,1,0,2,257,1,0,0,0,0,1,825,0,1,826,0
263,569,31,97,1,1,1,243,1,1,0,1,0,0,946,0,1,947,0
264,267,30,147,0,0,0,180,1,0,2,0,0,0,627,0,1,628,0
265,231,13,52,2,0,1,105,0,0,1,0,0,0,405,0,0,405,0
266,353,37,97,0,0,1,296,1,0,0,0,0,2,787,0,5,792,0
267,133,17,109,0,0,0,192,1,0,0,0,0,0,452,0,1,453,0
268,234,20,65,1,1,0,117,0,0,0,0,0,0,438,0,0,438,0
269,190,28,107,1,0,0,187,0,0,0,0,0,0,513,0,5,518,1
270,129,18,113,1,0,0,182,0,0,0,0,0,3,446,0,1,447,0
271,116,25,153,0,1,4,182,1,0,0,0,0,0,482,0,1,483,0
272,92,23,380,1,0,0,182,0,0,0,0,0,2,680,0,4,684,0
273,179,32,363,2,1,1,227,2,0,2,0,0,1,810,0,3,813,0
274,156,40,312,2,0,0,226,0,0,0,0,0,0,736,0,0,736,0
275,258,28,34,1,0,0,111,1,0,0,0,0,1,434,0,4,438,0
276,125,43,201,0,0,0,205,0,1,0,0,0,0,575,0,3,578,0
277,329,43,71,1,0,2,171,0,0,0,0,0,1,618,0,3,621,0
278,187,31,346,2,0,3,337,0,0,0,0,2,43,951,0,4,955,0
279,209,41,278,6,0,2,229,0,0,2,0,0,0,767,0,2,769,0
280,688,23,23,1,0,0,154,0,0,0,0,0,0,889,0,4,893,0
281,127,11,217,0,1,2,167,1,0,1,1,0,1,529,0,1,530,0
282,88,16,154,1,1,0,128,0,1,0,0,0,1,390,0,2,392,0
283,140,39,311,0,0,2,320,1,0,0,0,0,4,817,0,5,822,0
284,105,24,167,0,0,0,225,0,0,0,0,0,0,521,0,3,524,0
285,114,24,187,1,0,0,177,1,0,1,0,0,0,505,0,1,506,0
286,219,26,220,1,0,0,158,0,2,0,0,0,0,626,0,0,626,0
287,35,23,155,0,0,1,85,1,0,0,1,0,0,301,0,2,303,0
288,152,29,283,1,0,0,197,0,0,1,0,1,1,665,0,2,667,0
289,58,7,140,0,0,1,95,0,0,0,0,0,1,302,0,0,302,0
290,180,28,317,1,0,1,232,1,1,0,0,3,1,765,0,2,767,0
291,195,36,237,4,0,0,245,0,1,0,2,1,6,727,0,2,729,0
292,145,40,244,2,0,5,211,0,1,0,0,0,10,658,0,4,662,0
293,136,23,188,17,0,0,150,2,2,0,0,0,3,521,0,2,523,0
294,155,12,32,2,1,0,124,0,0,0,0,0,0,326,0,2,328,0
295,134,20,75,1,0,1,253,0,1,0,0,0,1,486,0,1,487,0
296,403,15,54,2,0,0,192,0,1,0,0,0,1,668,0,2,670,0
297,123,21,77,20,0,1,277,0,0,0,0,0,0,519,0,2,521,0
298,474,22,29,1,0,0,223,0,0,3,0,0,0,752,0,6,758,0
299,248,35,41,3,2,4,222,0,0,0,0,0,1,556,0,3,559,0
300,131,12,22,0,1,2,247,1,0,0,0,0,0,416,0,0,416,0
301,209,23,54,0,0,3,354,1,0,0,0,0,0,644,0,2,646,0
302,315,44,47,1,0,0,488,1,0,0,0,0,0,896,0,0,896,0
303,139,25,20,1,0,1,387,0,1,0,0,0,1,575,0,0,575,0
304,170,8,42,1,0,2,303,1,0,0,0,0,0,527,0,0,527,0
305,275,53,79,1,0,1,386,0,1,0,0,0,1,797,0,4,801,0
306,113,15,200,0,0,0,158,0,0,0,0,0,0,486,0,2,488,0
307,182,14,194,0,0,1,138,1,0,0,1,2,2,535,0,1,536,0
308,150,17,129,0,0,1,110,0,2,0,0,1,5,415,0,1,416,0
