Polling Station No,Candidate_1,R .OGNALE,S .AYNAGUS,K .RAMUKAVLES,S .NERAN,MUGEB AYISA,P .NAYEKIHTRAK,R .LEVIHTKAS,GA .IVAR,G .INAMUSARA,M .NAGALAVIRA,M .NASERIHTAK,T .USARAYIVAK,S .HTNANABURIK,P .NASARABMALIS,T .MAGNILAVIS,R .AYIMWOS,M .NASARALIMAT,P .NAJARATAN,RAMUKARDNERAN G .,V .UHTUMIHCTAN,S .NEEVARP,S .YHTAPOOB,T .NADNAKINAM,P .NAGALAYIHTAM,R .NASEGURUM,K .RAMUKNAHOM,S .IHTAPUGAR,V .MAGNILAMAR,N .NARAKESAJAR,N .NARADNEJAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
222,222,650,0,10,10,2,64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,740,0,0,740,0
223,223,457,1,3,4,0,50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,517,0
224,224,602,0,11,8,4,53,0,1,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,686,0,1,687,0
225,225,623,0,20,13,1,68,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,731,0,1,732,0
226,226,437,0,10,7,0,37,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,494,0,2,496,0
227,227,597,0,9,7,2,61,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,679,0,1,680,0
228,228,364,0,6,5,0,45,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,424,0,0,424,0
229,229,488,0,7,5,2,43,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,548,0
230,230,848,1,11,15,1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,0,4,972,0
231,231,765,0,12,7,0,69,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,857,0,0,857,0
232,232,638,0,11,10,2,73,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,5,741,0
233,233,589,0,5,7,0,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,652,0,2,654,0
234,234,759,2,17,14,4,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,848,0,8,856,0
235,235,765,0,14,12,6,77,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,877,0,4,881,0
236,236,194,0,256,21,0,248,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,3,1,0,0,2,0,1,0,0,733,0,1,734,0
237,237,523,1,9,3,1,65,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,2,606,0
238,238,365,0,4,2,2,40,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,417,0,1,418,0
239,239,806,0,19,19,3,96,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,947,0,3,950,0
240,240,754,0,4,15,1,100,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,880,0,1,881,0
241,241,605,2,16,8,3,96,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,735,0,0,735,0
242,242,706,0,15,11,6,85,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,0,1,0,0,831,0,6,837,0
243,243,675,0,47,11,1,112,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,851,0,2,853,0
244,244,217,2,258,15,2,233,0,0,0,1,0,0,1,0,3,0,3,0,1,0,0,1,1,0,1,0,0,1,0,0,740,0,2,742,0
245,245,140,1,278,5,2,154,1,1,0,0,0,0,0,0,0,2,2,3,3,1,0,4,0,3,0,1,1,0,0,1,603,0,3,606,0
