Polling Station No,Candidate_1,ENILORAC LIHZE,RAKAHDUS .P,IVAR .S,RAMUKJAR .K,JARIHDNAG .V,YHTAPIMHSKAL .N,M .LEVIRTEV,JARADNIVOG .P,MANAHTNAS .M,RAMUKNEEVARP .N,NADNAKINAM .M,NARAHDILARUM .T,NAHOM .G,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
38,102,0,166,18,267,2,0,0,2,1,0,0,0,558,558,0,3,561,0
39,86,1,313,14,133,1,2,0,0,1,2,0,0,553,553,0,2,555,0
40,272,4,54,5,176,1,1,0,0,0,1,0,2,516,516,0,7,523,0
41,200,4,245,10,287,2,1,0,0,3,0,0,1,753,753,0,7,760,0
42,252,1,119,20,342,0,1,0,0,1,1,1,0,738,738,0,4,742,0
43,165,0,160,23,265,1,0,0,0,0,0,0,0,614,614,0,4,618,0
44,173,0,159,46,370,2,0,0,1,0,1,0,2,754,754,0,5,759,0
45,205,2,226,49,400,0,1,0,0,2,0,3,0,888,888,0,6,894,0
46,100,1,563,25,169,4,1,0,1,1,0,1,1,867,867,0,7,874,0
47,87,0,431,16,112,1,2,1,0,0,0,1,0,651,651,0,4,655,0
48,72,0,258,18,124,1,0,0,0,0,0,0,1,474,474,0,8,482,0
49,277,0,67,6,215,3,0,1,1,1,0,0,1,572,572,0,2,574,0
50,102,1,375,13,233,0,0,0,0,0,0,2,1,727,727,0,2,729,0
51,191,0,181,10,301,1,0,1,3,0,1,0,3,692,692,0,4,696,0
52,266,0,157,8,300,0,0,0,0,4,0,0,2,737,737,0,7,744,0
53,135,2,304,13,224,0,0,1,0,2,0,0,1,682,682,0,1,683,0
54,155,0,209,19,183,0,1,0,0,0,0,1,0,568,568,0,3,571,0
55,201,1,236,13,328,1,0,0,0,1,1,1,0,783,783,0,8,791,0
56,363,2,74,8,413,1,0,0,2,4,1,0,0,868,868,0,4,872,0
57,234,2,134,19,324,0,0,0,0,2,0,1,0,716,716,0,4,720,0
58,266,1,75,16,290,4,0,0,0,2,0,1,0,655,655,0,3,658,0
59,165,3,147,23,348,2,0,0,1,1,0,0,0,690,690,0,7,697,0
60,135,1,79,7,149,0,0,0,0,0,0,1,0,372,372,0,2,374,0
61,116,0,262,14,243,2,7,0,0,0,0,1,0,645,645,0,3,648,0
62,100,1,235,25,273,1,17,1,0,0,0,0,0,653,653,0,2,655,0
63,154,4,217,25,513,1,1,0,0,1,1,0,0,917,917,0,7,924,0
64,259,3,71,16,339,0,0,1,1,6,0,1,0,697,697,0,5,702,0
65,289,0,154,26,394,0,2,1,0,1,0,0,0,867,867,0,7,874,0
66,207,1,174,28,352,1,0,0,1,0,0,1,0,765,765,0,4,769,0
67,79,1,169,11,276,1,2,0,0,1,1,1,0,542,542,0,4,546,0
68,189,1,171,32,392,0,1,1,2,1,1,0,0,791,791,0,2,793,0
69,139,1,274,25,370,0,1,0,0,1,0,1,1,813,813,0,8,821,0
70,172,3,54,13,265,1,0,1,0,2,0,1,0,512,512,0,2,514,0
71,129,6,131,22,270,1,0,0,0,2,0,0,0,561,561,0,2,563,0
72,166,3,138,23,348,3,0,2,0,1,0,0,0,684,684,0,5,689,0
73,283,1,183,18,423,0,1,0,2,0,0,1,1,913,913,0,2,915,0
74,110,1,259,14,318,2,0,0,0,4,0,0,0,708,708,0,5,713,0
75,79,0,300,15,153,0,0,0,0,1,0,1,1,550,550,0,4,554,0
76,55,4,301,11,128,1,0,0,0,3,2,0,0,505,505,0,1,506,0
77,94,1,405,22,273,1,5,0,1,0,0,2,0,804,804,0,2,806,0
78,196,0,117,11,249,3,0,0,0,0,0,1,0,577,577,0,1,578,0
79,168,0,88,17,232,0,1,0,1,0,0,2,0,509,509,0,0,509,0
80,132,1,479,18,258,1,0,0,0,3,0,1,1,894,894,0,1,895,0
81,151,0,403,25,158,0,0,0,1,1,2,0,0,741,741,0,3,744,0
82,77,1,422,16,259,0,1,0,2,2,0,2,0,782,782,0,3,785,0
83,153,1,175,7,184,0,0,0,0,0,0,2,0,522,522,0,5,527,0
84,216,19,193,22,338,0,0,0,3,2,0,0,0,793,793,0,4,797,0
85,233,0,158,19,398,0,0,0,0,1,0,0,0,809,809,0,3,812,0
86,266,1,146,21,461,2,0,0,0,1,2,2,0,902,902,0,1,903,0
87,203,1,117,5,280,1,3,0,0,0,0,0,0,610,610,0,3,613,0
88,177,1,72,9,256,0,0,0,0,2,0,0,0,517,517,0,2,519,0
89,142,0,92,12,226,1,0,0,0,0,0,2,0,475,475,0,2,477,0
90,130,0,157,15,218,0,0,2,2,1,1,4,1,531,531,0,1,532,0
91,163,0,168,24,330,0,0,0,0,2,0,0,0,687,687,0,4,691,0
92,249,4,113,17,273,1,1,0,1,0,1,1,0,661,661,0,1,662,0
93,210,1,83,15,346,4,0,0,0,0,0,1,1,661,661,0,2,663,0
94,148,1,82,15,261,0,1,0,1,0,0,1,0,510,510,0,0,510,0
95,222,2,76,18,312,0,0,0,1,0,0,0,0,631,631,0,3,634,0
96,178,1,76,16,318,0,0,0,0,1,0,0,0,590,590,0,3,593,0
97,335,7,98,16,311,1,0,0,0,0,0,3,0,771,771,0,2,773,0
98,110,1,73,17,160,0,0,0,0,0,0,0,0,361,361,0,3,364,0
99,138,1,83,11,236,1,0,0,1,2,0,0,0,473,473,0,2,475,0
100,166,0,151,13,331,2,0,1,0,1,0,1,0,666,666,0,3,669,0
101,189,0,75,20,306,1,1,2,1,3,0,0,2,600,600,0,3,603,0
102,151,1,98,13,237,0,0,0,0,0,0,0,0,500,500,0,3,503,0
103,218,3,116,22,349,2,0,1,1,1,0,0,1,714,714,0,5,719,0
104,108,1,88,19,181,0,1,0,0,0,0,1,0,399,399,0,2,401,0
105,168,0,121,19,237,1,1,0,0,0,0,1,0,548,548,0,3,551,0
106,215,2,108,21,316,0,0,0,1,0,0,0,1,664,664,0,1,665,0
107,176,1,104,16,235,1,0,0,0,0,0,0,0,533,533,0,3,536,0
108,117,3,99,15,266,1,0,1,0,0,0,0,0,502,502,0,3,505,0
109,160,0,137,27,269,1,0,1,1,1,1,1,0,599,599,0,8,607,0
110,105,1,80,10,181,1,0,0,0,0,0,0,1,379,379,0,10,389,0
111,199,1,126,19,279,4,0,0,0,0,0,0,0,628,628,0,4,632,0
112,130,0,161,24,294,1,0,1,1,0,1,0,0,613,613,0,4,617,0
113,105,1,152,21,217,0,2,0,0,1,0,0,0,499,499,0,2,501,0
114,109,0,131,21,145,1,1,0,0,0,0,0,0,408,408,0,2,410,0
115,187,3,178,16,286,1,1,0,0,0,0,0,1,673,673,0,7,680,0
116,173,0,96,18,276,3,1,2,0,0,1,0,0,570,570,0,2,572,0
117,120,3,173,11,207,0,0,0,0,0,0,1,0,515,515,0,2,517,0
118,215,0,125,21,226,0,1,0,1,1,1,0,0,591,591,0,7,598,0
119,184,1,119,8,189,0,0,0,0,2,2,0,0,505,505,0,1,506,0
120,191,1,112,11,198,0,1,0,1,0,0,0,0,515,515,0,2,517,0
121,114,1,120,14,169,0,0,0,0,0,1,0,0,419,419,0,2,421,0
122,132,3,82,12,195,0,0,0,1,2,0,0,1,428,428,0,3,431,0
123,199,4,71,17,279,1,0,1,0,0,0,0,0,572,572,0,2,574,0
124,229,0,37,18,296,1,0,0,0,1,1,0,0,583,583,0,1,584,0
125,345,2,35,18,234,0,0,0,0,1,0,0,0,635,635,0,5,640,0
126,227,2,153,20,242,1,1,1,0,1,0,0,0,648,648,0,3,651,0
127,115,0,22,7,98,1,0,0,0,0,0,0,0,243,243,0,0,243,0
128,401,3,107,5,352,1,1,0,1,0,0,0,0,871,871,0,2,873,0
129,115,2,127,14,140,0,1,0,1,0,0,0,0,400,400,0,3,403,0
130,171,1,188,10,294,1,0,0,1,1,0,1,0,668,668,0,2,670,0
131,300,13,61,8,202,0,0,0,0,0,0,0,0,584,584,0,2,586,0
132,230,1,144,6,252,1,0,0,1,0,0,1,1,637,637,0,2,639,0
133,178,3,138,11,378,0,9,1,1,0,0,0,0,719,719,0,5,724,0
134,128,4,111,11,215,0,0,0,0,0,1,1,0,471,471,0,2,473,0
135,179,3,172,18,279,0,0,0,0,0,2,1,1,655,655,0,2,657,0
136,59,0,93,2,98,1,0,0,0,0,0,0,0,253,253,0,6,259,0
137,228,2,117,16,230,0,0,0,1,0,0,1,0,595,595,0,7,602,0
138,170,0,214,12,256,0,0,0,0,0,0,2,0,654,654,0,10,664,0
139,206,0,143,16,250,0,0,1,0,2,0,1,1,620,620,0,5,625,0
140,221,1,131,20,355,3,0,0,1,2,1,0,1,736,736,0,3,739,0
141,207,2,153,19,256,1,0,0,0,0,0,0,0,638,638,0,7,645,0
142,163,4,139,12,302,2,0,0,1,1,0,0,1,625,625,0,4,629,0
143,103,1,134,17,217,0,1,0,0,1,1,1,1,477,477,0,6,483,0
144,76,1,104,14,183,0,1,0,1,0,0,0,0,380,380,0,3,383,0
145,422,1,20,11,185,0,0,0,1,0,0,1,1,642,642,0,4,646,0
146,218,0,39,11,148,1,0,0,0,0,0,1,0,418,418,0,2,420,0
147,173,1,90,13,236,0,0,1,1,0,1,0,0,516,516,0,2,518,0
148,199,2,107,16,304,0,0,0,0,1,0,0,0,629,629,0,1,630,0
149,196,0,79,26,206,1,1,0,0,2,0,0,0,511,511,0,0,511,0
150,292,3,59,23,262,0,0,0,0,0,0,1,0,640,640,0,2,642,0
151,327,0,84,10,362,0,0,0,0,0,1,1,0,785,785,0,5,790,0
152,240,2,70,23,178,2,0,0,2,0,0,1,0,518,518,0,0,518,0
153,253,1,138,8,345,2,1,1,0,1,0,0,0,750,750,0,0,750,0
154,221,0,161,8,439,1,1,0,1,0,0,0,1,833,833,0,2,835,s
155,144,1,108,19,291,1,0,0,0,0,0,0,1,565,565,0,4,569,0
156,187,2,84,19,263,0,2,0,0,1,0,0,0,558,558,0,5,563,0
157,145,1,90,5,224,2,0,0,0,0,0,0,0,467,467,0,0,467,0
158,178,1,99,25,257,2,0,0,0,2,0,1,0,565,565,0,4,569,0
159,95,0,70,15,154,0,0,0,0,0,0,0,0,334,334,0,2,336,0
160,150,0,96,9,190,0,1,0,0,0,0,0,0,446,446,0,5,451,0
161,245,9,154,13,404,1,0,0,0,2,0,1,1,830,830,0,2,832,0
162,194,4,141,11,205,0,1,0,1,0,0,2,0,559,559,0,7,566,0
163,162,0,64,8,153,0,0,1,0,1,0,0,1,390,390,0,2,392,0
164,217,0,83,6,257,0,0,0,0,0,1,1,0,565,565,0,4,569,0
165,153,4,78,12,160,0,0,0,0,1,0,0,0,408,408,0,1,409,0
166,158,1,75,17,236,1,0,0,0,0,0,0,1,489,489,0,1,490,0
167,444,1,63,11,238,0,0,0,0,0,0,0,0,757,757,0,1,758,0
168,298,0,47,15,274,2,0,0,0,0,2,0,0,638,638,0,1,639,0
169,220,2,45,16,245,0,0,0,0,0,0,4,0,532,532,0,1,533,0
170,277,1,66,21,307,1,1,0,1,1,0,11,0,687,687,0,1,688,0
171,209,0,70,12,278,0,0,0,0,2,0,1,0,572,572,0,0,572,0
172,225,1,98,14,306,1,1,1,1,0,0,0,0,648,648,0,4,652,0
173,193,1,72,11,233,1,0,1,0,0,0,1,0,513,513,0,5,518,0
174,247,0,45,5,126,0,0,0,0,0,0,0,0,423,423,0,2,425,0
175,115,1,51,2,146,1,0,0,0,0,0,0,0,316,316,0,0,316,0
176,303,4,61,13,288,0,1,0,4,0,0,0,0,674,674,0,1,675,0
177,278,7,35,7,303,3,0,1,0,0,0,0,0,634,634,0,0,634,0
178,232,0,24,7,178,1,0,0,0,0,0,0,1,443,443,0,0,443,0
179,19,0,376,6,149,0,5,0,0,0,0,0,0,555,555,0,3,558,0
180,22,0,359,17,184,0,7,0,0,0,0,1,1,591,591,0,0,591,0
181,164,1,111,14,296,0,0,1,1,0,0,0,1,589,589,0,3,592,0
182,130,1,125,12,202,0,1,1,0,0,1,1,0,474,474,0,1,475,0
183,121,2,101,22,260,0,1,0,1,0,0,1,0,509,509,0,1,510,0
184,220,1,34,18,245,1,0,0,0,0,0,0,0,519,519,0,0,519,0
185,73,0,127,10,179,0,2,0,0,0,0,0,0,391,391,0,2,393,0
186,216,0,99,12,116,0,0,0,0,1,0,1,0,445,445,0,1,446,0
187,156,2,215,16,390,3,3,1,1,1,0,0,1,789,789,0,7,796,0
188,108,1,341,23,425,2,4,1,1,1,0,3,0,910,910,0,1,911,0
189,260,5,178,39,368,1,1,1,5,2,1,0,1,862,862,0,8,870,0
190,48,0,228,13,194,1,7,0,0,1,0,1,0,493,493,0,0,493,0
191,177,2,242,11,245,0,0,2,3,1,1,1,0,685,685,0,4,689,0
192,92,0,141,9,148,0,1,0,0,0,0,0,0,391,391,0,1,392,0
193,423,7,129,9,326,1,0,0,1,1,0,1,0,898,898,0,1,899,0
194,288,1,83,13,254,0,0,0,1,0,0,0,0,640,640,0,1,641,0
195,83,1,131,10,216,0,0,0,1,1,0,0,1,444,444,0,1,445,0
196,286,3,63,28,352,1,0,0,0,0,0,0,0,733,733,0,2,735,0
197,320,0,108,31,281,0,0,0,0,0,0,0,0,740,740,0,3,743,0
198,162,1,196,32,247,1,0,0,0,0,0,0,0,639,639,0,0,639,0
199,104,0,142,15,188,1,1,0,1,1,0,0,0,453,453,0,0,453,0
200,55,1,142,15,217,0,0,0,0,1,0,2,0,433,433,0,1,434,0
201,158,2,67,27,352,4,2,0,3,0,0,0,0,615,615,0,2,617,0
202,201,2,75,18,301,0,1,0,1,2,2,3,1,607,607,0,1,608,0
203,161,0,68,20,309,0,0,0,0,1,0,0,0,559,559,0,4,563,0
204,105,1,95,4,176,0,0,1,0,0,0,0,0,382,382,0,1,383,0
205,352,2,150,57,419,1,0,0,1,2,0,0,1,985,985,0,1,986,0
206,196,3,203,22,277,1,0,0,2,0,1,2,0,707,707,0,2,709,0
207,116,3,80,19,283,2,0,1,1,1,0,0,1,507,507,0,1,508,0
208,85,1,166,25,188,0,0,0,0,0,0,0,0,465,465,0,2,467,0
209,153,4,171,36,328,1,0,1,1,2,0,2,0,699,699,0,1,700,0
210,241,2,121,18,188,0,1,0,1,2,1,0,1,576,576,0,4,580,0
211,49,1,375,38,138,0,0,1,1,2,0,0,1,606,606,0,1,607,0
212,341,3,146,52,410,0,1,0,1,4,0,5,0,963,963,0,5,968,0
213,227,5,136,33,372,0,0,0,1,3,1,4,1,783,783,0,7,790,0
214,155,0,146,16,264,1,0,0,0,1,0,1,0,584,584,0,1,585,0
215,180,0,158,19,278,0,1,0,2,3,0,2,0,643,643,0,1,644,0
216,103,2,398,20,134,2,4,0,0,0,0,2,1,666,666,0,3,669,0
217,184,2,77,25,207,2,0,0,0,0,2,1,1,501,501,0,7,508,0
218,210,2,125,17,307,1,1,1,0,2,2,2,0,670,670,0,4,674,0
219,136,1,375,19,194,0,7,0,0,0,0,1,2,735,735,0,3,738,0
220,216,1,346,37,191,0,1,0,1,0,0,2,0,795,795,0,2,797,0
221,184,1,482,38,225,0,0,0,1,1,0,1,1,934,934,0,3,937,0
222,99,1,168,34,246,0,1,0,0,0,0,0,0,549,549,0,1,550,0
223,198,0,185,45,365,1,1,0,1,2,0,3,0,801,801,0,8,809,0
224,42,0,54,4,105,0,0,0,0,0,0,0,0,205,205,0,1,206,0
225,286,1,127,16,330,1,0,0,1,1,0,0,1,764,764,0,1,765,0
226,149,1,267,23,369,1,0,1,2,1,1,1,2,818,818,0,1,819,0
227,172,2,222,12,221,0,1,0,0,0,0,0,1,631,631,0,6,637,0
228,129,0,457,4,187,0,0,0,0,0,0,1,1,779,779,0,2,781,0
229,230,3,289,18,380,0,0,1,0,0,0,0,1,922,922,0,3,925,0
230,75,2,251,15,284,1,0,0,0,1,1,1,2,633,633,0,4,637,0
231,60,0,100,12,140,1,0,0,0,0,0,0,0,313,313,0,1,314,0
232,152,1,330,25,281,2,0,1,0,0,1,1,0,794,794,0,2,796,0
233,139,0,381,20,267,1,2,2,0,3,0,2,0,817,817,0,3,820,0
234,108,1,180,36,169,0,0,0,0,2,0,2,0,498,498,0,3,501,0
235,235,2,174,28,479,1,0,0,2,1,0,0,0,922,922,0,7,929,0
236,101,0,109,17,189,0,0,0,2,0,0,0,0,418,418,0,0,418,0
237,115,3,154,20,306,1,0,0,0,1,0,0,0,600,600,0,0,600,0
238,132,3,184,19,174,2,0,0,0,0,0,0,0,514,514,0,3,517,0
239,283,0,97,7,230,0,0,0,0,1,0,1,0,619,619,0,4,623,0
240,86,0,65,22,223,2,0,2,1,4,0,0,0,405,405,0,3,408,0
241,294,1,137,32,309,1,1,0,2,0,1,1,0,779,779,0,2,781,0
242,164,1,573,26,232,0,2,0,1,0,1,0,2,1002,1002,0,8,1010,0
243,148,1,426,18,206,0,1,0,0,1,0,2,1,804,804,0,4,808,0
244,103,1,116,7,175,2,0,0,1,0,0,0,0,405,405,0,2,407,0
245,249,2,450,26,212,1,4,0,0,1,2,0,0,947,947,0,6,953,0
246,56,1,108,11,165,0,0,0,0,0,0,2,0,343,343,0,1,344,0
247,110,2,517,11,188,0,0,1,0,0,1,1,1,832,832,0,1,833,0
248,11,0,206,6,38,0,3,0,0,0,0,0,0,264,264,0,1,265,0
249,201,1,41,6,152,0,0,0,0,1,0,0,0,402,402,0,4,406,0
250,105,6,452,30,153,1,2,0,0,0,1,2,0,752,752,0,3,755,0
251,122,1,516,27,273,1,2,0,1,2,0,0,1,946,946,0,1,947,0
252,171,3,233,23,302,2,2,0,1,3,0,0,0,740,740,0,7,747,0
253,95,2,189,21,425,3,1,0,1,3,0,1,1,742,742,0,2,744,0
254,199,4,116,8,292,0,1,0,0,2,0,0,0,622,622,0,2,624,0
255,163,2,129,24,338,0,2,0,0,1,0,1,1,661,661,0,4,665,0
256,189,4,151,24,415,1,2,0,1,1,0,2,0,790,790,0,4,794,0
257,232,0,266,44,388,1,0,0,1,1,0,2,1,936,936,0,6,942,0
258,129,2,384,19,202,2,4,0,1,0,1,1,0,745,745,0,4,749,0
259,177,1,92,13,334,0,2,1,2,3,0,1,1,627,627,0,4,631,0
260,133,1,243,20,221,0,4,0,1,0,0,0,0,623,623,0,5,628,0
261,151,0,141,7,197,1,0,0,1,2,0,0,2,502,502,0,1,503,0
262,266,1,95,14,233,1,0,1,0,1,1,1,0,614,614,0,3,617,0
263,234,0,218,24,274,0,1,0,0,1,0,0,1,753,753,0,1,754,0
264,181,0,281,21,240,0,1,0,0,0,0,0,2,726,726,0,4,730,0
265,181,0,148,18,219,1,8,0,0,0,0,0,0,575,575,0,10,585,0
266,242,0,152,27,254,1,0,0,1,0,1,0,1,679,679,0,5,684,0
267,80,0,178,10,98,2,0,0,1,2,0,0,0,371,371,0,0,371,0
268,227,1,260,7,169,0,7,0,0,1,1,2,2,677,677,0,2,679,0
269,110,3,136,8,130,0,2,0,1,2,0,1,0,393,393,0,2,395,0
270,106,2,281,14,179,0,3,2,1,1,0,0,0,589,589,0,1,590,0
271,198,1,193,14,219,0,3,0,1,0,0,1,1,631,631,0,9,640,0
272,126,1,241,20,178,0,5,1,0,0,0,0,1,573,573,0,2,575,0
273,98,0,262,14,166,0,2,0,0,1,0,0,0,543,543,0,2,545,0
274,202,2,111,8,258,1,1,0,1,0,0,1,1,586,586,0,1,587,0
275,174,0,72,10,236,0,0,0,0,1,0,0,0,493,493,0,1,494,0
276,138,5,220,11,249,0,2,0,1,2,1,1,0,630,630,0,3,633,0
277,225,3,152,37,249,0,2,0,1,0,1,0,0,670,670,0,5,675,0
278,213,0,51,7,182,0,0,0,0,0,0,0,0,453,453,0,2,455,0
279,159,5,338,16,285,3,2,0,0,1,0,0,0,809,809,0,6,815,0
280,270,2,194,34,288,0,0,0,0,0,1,1,1,791,791,0,2,793,0
281,159,3,371,15,329,1,0,0,0,3,0,5,0,886,886,0,4,890,0
282,273,1,176,8,179,0,1,1,0,1,0,0,1,641,641,0,4,645,0
283,60,2,259,14,199,0,2,0,0,1,0,0,0,537,537,0,1,538,0
284,49,0,289,16,160,1,2,0,1,0,0,1,1,520,520,0,2,522,0
