Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
26,26,2,32,148,0,0,1,0,42,0,0,0,0,0,1,1,1,0,0,2,230,0,0,230,0
27,27,4,51,200,0,0,0,1,70,0,0,0,0,1,2,1,2,0,0,3,335,0,2,337,0
28,28,14,191,104,0,0,0,0,118,2,0,0,0,1,0,2,2,0,1,1,436,0,0,436,0
29,29,18,117,315,0,0,0,3,182,0,1,1,1,0,1,0,0,0,0,0,639,0,2,641,0
30,30,28,251,158,0,0,0,2,172,0,0,0,1,1,1,0,0,1,0,3,618,0,0,618,0
31,31,3,223,190,3,1,0,1,171,1,1,0,1,1,2,0,1,1,0,0,600,0,1,601,0
32,32,26,233,200,1,1,0,2,186,1,0,0,1,0,2,2,1,0,0,1,657,0,0,657,0
33,33,14,121,158,1,0,0,2,116,0,0,0,0,0,1,3,1,0,0,2,419,0,1,420,0
34,34,14,108,153,0,1,0,0,68,0,1,0,0,0,1,1,0,0,0,0,347,0,1,348,0
35,35,13,181,328,1,0,1,0,155,0,0,0,1,2,0,2,1,1,0,0,686,0,2,688,0
36,36,13,134,354,0,1,0,0,157,1,0,0,0,0,1,1,0,0,1,2,665,0,0,665,0
37,37,18,130,237,3,3,0,0,159,1,0,1,2,0,3,4,0,0,0,1,562,0,0,562,0
38,38,24,297,208,3,1,0,3,225,0,0,1,0,2,2,1,0,0,1,0,768,0,3,771,0
39,39,29,252,313,0,0,2,1,267,1,0,0,0,1,2,1,0,0,0,1,870,0,1,871,0
40,40,7,111,89,1,0,0,0,75,1,0,1,0,0,2,0,0,0,0,0,287,0,1,288,0
41,41,10,168,239,0,0,1,0,139,2,0,1,0,0,2,1,1,1,0,1,566,0,3,569,0
42,42,27,73,220,2,0,0,1,128,3,0,0,0,0,6,4,1,0,1,4,470,0,1,471,0
43,43,10,162,241,1,0,1,1,161,0,0,0,0,1,1,0,1,2,2,2,586,0,0,586,0
44,44,8,247,205,1,1,0,1,128,0,0,0,0,0,2,0,2,0,0,1,596,0,1,597,0
45,45,19,323,156,2,4,0,0,194,3,0,0,1,0,5,1,3,0,1,2,714,0,0,714,0
46,46,14,163,332,0,0,0,0,118,0,0,0,0,0,4,1,1,0,1,2,636,0,2,638,0
47,47,15,233,147,2,1,0,2,109,0,0,0,1,0,1,3,2,1,0,1,518,0,1,519,0
48,48,18,282,116,1,0,1,1,97,0,0,0,1,1,1,1,1,0,1,0,522,0,0,522,0
49,49,24,349,133,0,0,0,2,131,1,0,0,0,1,1,1,0,0,1,2,646,0,1,647,0
50,50,7,129,435,0,1,0,0,219,1,0,0,0,1,1,1,0,0,0,2,797,0,1,798,0
51,51,0,30,148,1,0,0,2,54,0,0,0,0,0,1,1,0,0,0,1,238,0,0,238,0
52,52,4,156,182,0,0,0,0,84,0,0,0,0,0,1,0,0,1,2,0,430,0,0,430,0
53,53,7,108,394,1,0,0,3,177,4,0,0,0,1,3,2,3,0,1,0,704,0,0,704,0
54,54,30,160,217,0,0,0,2,234,1,0,0,0,1,2,2,2,1,2,1,655,0,0,655,0
55,55,9,30,329,3,0,0,2,163,1,0,1,0,0,2,2,1,1,1,3,548,0,0,548,0
56,56,7,31,284,2,0,0,1,126,1,0,0,0,0,1,0,0,1,0,1,455,0,0,455,0
57,57,5,157,259,0,0,0,1,83,0,0,0,1,0,4,0,0,0,0,1,511,0,0,511,0
58,58,12,130,169,2,0,0,1,93,0,0,0,1,0,0,1,0,0,0,0,409,0,5,414,0
59,59,16,132,370,4,0,0,1,208,1,0,0,1,1,4,1,2,1,1,0,743,0,0,743,0
60,60,34,360,201,2,0,1,2,296,0,0,1,0,1,2,1,2,0,4,3,910,0,0,910,0
61,61,9,149,251,1,1,0,1,164,1,1,0,0,0,3,1,0,0,0,0,582,0,1,583,0
62,62,15,184,112,1,0,0,2,188,1,0,1,0,0,2,3,1,0,3,1,514,0,0,514,0
63,63,10,110,139,1,0,0,1,248,1,0,0,2,2,6,1,1,1,0,0,523,0,1,524,0
64,64,6,331,227,0,3,0,1,125,0,0,0,0,0,2,2,0,0,0,1,698,0,1,699,0
65,65,14,107,273,2,0,0,0,166,1,0,0,1,1,1,1,0,0,1,1,569,0,1,570,0
66,66,15,75,336,3,0,0,0,173,0,0,2,0,0,1,2,3,1,1,0,612,0,0,612,0
67,67,18,240,183,2,2,0,2,166,0,0,0,1,1,5,0,1,0,1,4,626,0,1,627,0
68,68,24,308,226,2,0,0,0,197,0,0,0,3,0,0,2,1,0,1,2,766,0,1,767,0
69,69,14,205,111,2,0,0,1,138,0,0,0,0,1,0,3,1,1,3,1,481,0,3,484,0
70,70,23,179,177,2,0,0,0,144,0,1,0,0,1,0,2,1,0,0,1,531,0,1,532,0
71,71,34,132,318,1,1,0,2,142,0,0,0,0,2,2,1,1,0,0,2,638,0,2,640,0
72,72,17,86,127,0,1,0,0,58,0,0,0,0,0,0,1,0,0,0,0,290,0,0,290,0
73,73,31,252,132,2,0,0,1,153,0,0,0,0,0,0,1,0,2,1,2,577,0,0,577,0
74,74,42,193,333,3,0,0,3,281,1,0,0,0,2,1,9,3,1,1,0,873,0,1,874,0
75,75,20,176,420,2,0,0,1,305,0,0,0,0,0,4,1,1,0,0,2,932,0,2,934,0
76,76,7,223,188,1,0,0,3,177,1,0,0,0,1,2,3,0,1,1,1,609,0,0,609,0
77,77,15,143,175,1,0,0,0,102,0,0,0,0,0,1,1,0,0,0,0,438,0,0,438,0
78,78,28,157,170,1,1,0,0,230,0,0,1,2,1,0,8,1,1,2,0,603,0,0,603,0
79,79,30,151,368,1,0,1,1,261,0,1,0,0,0,3,5,1,1,1,1,826,0,2,828,0
80,80,40,227,169,0,0,0,5,211,3,0,0,1,0,1,4,1,0,1,1,664,0,1,665,0
81,81,54,250,361,2,2,1,3,235,0,0,0,0,1,6,2,0,0,1,1,919,0,2,921,0
82,82,116,333,271,0,0,1,0,161,0,0,0,0,0,2,0,1,2,2,0,889,0,3,892,0
83,83,19,125,166,2,1,0,2,172,0,0,0,0,0,0,1,0,0,0,1,489,0,0,489,0
84,84,44,103,98,1,1,0,0,121,2,0,0,0,0,2,0,0,3,0,2,377,0,4,381,0
85,85,27,83,110,0,0,0,2,114,0,1,0,0,0,3,1,0,0,0,1,342,0,2,344,0
86,86,29,209,352,2,1,1,2,336,0,1,0,1,2,1,2,1,0,1,0,941,0,1,942,0
87,87,17,126,229,1,1,0,0,171,2,0,0,0,0,0,0,0,0,0,0,547,0,1,548,0
88,88,34,202,257,2,2,1,1,267,5,0,0,0,0,5,2,1,1,1,1,782,0,2,784,0
89,89,26,150,166,0,1,1,1,184,0,0,1,0,0,2,0,2,1,1,1,537,0,1,538,0
90,90,24,163,199,1,1,0,3,216,0,0,0,0,1,0,3,0,0,1,2,614,0,1,615,0
91,91,30,120,317,2,0,0,2,152,0,0,0,0,0,2,0,2,1,0,5,633,0,2,635,0
92,92,22,164,173,1,0,0,1,98,0,0,0,1,0,0,3,0,0,1,2,466,0,1,467,0
93,93,44,371,253,1,0,0,5,195,0,0,0,0,0,1,2,2,0,2,0,876,0,4,880,0
94,94,25,179,314,2,0,1,1,265,0,0,1,0,1,5,0,0,0,0,1,795,0,1,796,0
95,95,25,176,174,2,0,0,3,248,2,1,3,1,0,4,3,0,0,2,1,645,0,2,647,0
96,96,25,188,164,0,0,0,2,101,0,0,0,0,0,0,1,1,0,5,4,491,0,2,493,0
97,97,33,338,283,1,0,1,2,255,1,1,0,2,2,4,6,2,2,4,0,937,0,3,940,0
98,98,29,136,481,3,0,1,3,261,0,0,0,0,1,1,2,0,0,4,4,926,0,0,926,0
99,99,33,176,286,1,0,1,0,185,0,0,0,0,0,0,0,2,0,0,0,684,0,2,686,0
100,100,11,167,215,4,0,0,1,85,0,0,0,0,0,1,0,1,0,1,3,489,0,0,489,0
101,101,14,276,276,2,1,1,1,239,1,0,0,3,2,1,3,1,1,2,2,826,0,0,826,0
102,102,14,117,152,0,0,0,1,125,1,0,0,0,1,2,3,0,0,0,1,417,0,0,417,0
103,103,41,146,337,2,0,0,0,153,0,0,0,0,0,5,0,1,1,2,5,693,0,0,693,0
104,104,16,299,199,2,3,0,3,234,0,1,1,0,1,5,1,2,0,5,0,772,0,3,775,0
105,105,29,284,224,1,0,2,1,254,0,0,2,0,1,4,5,1,1,1,5,815,0,1,816,0
106,106,18,123,253,1,0,1,1,193,2,0,0,0,2,2,1,3,0,2,1,603,0,1,604,0
107,107,23,154,300,2,0,0,1,184,2,0,0,0,0,2,0,0,1,1,3,673,0,2,675,0
108,108,37,270,232,1,0,0,2,282,0,1,1,0,0,0,1,1,1,3,2,834,0,2,836,0
109,109,23,59,504,2,3,0,1,213,0,3,0,0,1,1,1,0,0,0,5,816,0,4,820,0
110,110,26,196,267,0,0,0,1,186,0,0,0,0,0,4,1,1,1,0,2,685,0,1,686,0
111,111,24,156,262,1,0,0,0,130,0,0,0,0,1,2,4,0,0,3,5,588,0,0,588,0
112,112,10,193,114,0,1,0,0,134,2,0,1,0,0,2,1,1,0,3,0,462,0,0,462,0
113,113,19,262,115,1,12,0,0,126,0,0,0,0,0,0,2,1,0,0,0,538,0,0,538,0
114,114,16,120,322,5,0,0,1,206,0,1,0,1,1,0,1,1,0,2,1,678,0,0,678,0
115,115,5,176,60,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,1,296,0,1,297,0
116,116,22,259,182,1,0,0,1,120,0,1,1,2,0,2,0,1,1,1,1,595,0,4,599,0
117,117,32,447,300,1,2,1,0,188,0,0,0,0,0,2,2,0,0,2,0,977,0,3,980,0
118,118,8,80,242,0,0,0,1,105,0,0,0,2,0,2,0,0,0,0,3,443,0,0,443,0
119,119,16,181,423,3,0,0,0,169,3,0,0,0,2,5,0,2,0,1,2,807,0,1,808,0
120,120,25,343,209,1,2,0,3,159,1,0,0,0,0,1,2,1,0,1,1,749,0,2,751,0
121,121,4,187,97,0,0,0,0,111,1,0,0,0,0,0,2,0,0,2,3,407,0,1,408,0
122,122,19,350,273,0,0,0,2,209,2,1,0,1,2,1,0,1,1,2,0,864,0,3,867,0
123,123,22,246,141,2,1,0,2,111,0,1,0,0,0,3,3,0,0,0,0,532,0,3,535,0
124,124,19,203,128,1,1,1,2,118,0,0,2,0,0,1,1,0,1,0,0,478,0,1,479,0
125,125,17,112,242,1,0,0,0,127,2,0,0,0,0,0,0,0,1,1,0,503,0,0,503,0
126,126,10,148,270,0,1,1,2,120,0,0,0,1,0,2,1,1,0,6,1,564,0,4,568,0
127,127,32,365,249,2,2,0,0,169,0,1,1,1,0,3,4,0,0,2,5,836,0,0,836,0
128,128,17,128,326,4,0,1,1,190,1,0,0,0,0,2,1,2,0,1,1,675,0,1,676,0
129,129,17,141,354,3,0,1,2,199,1,0,1,0,1,4,2,4,1,1,2,734,0,2,736,0
130,130,18,155,392,3,0,0,4,273,1,1,0,2,0,2,0,2,0,1,1,855,0,0,855,0
131,131,37,311,194,3,0,0,1,196,1,0,1,0,0,1,1,1,0,2,2,751,0,0,751,0
132,132,20,290,195,2,1,0,3,131,0,0,0,0,1,2,0,1,1,3,3,653,0,5,658,0
133,133,28,230,137,0,1,0,0,159,0,0,0,0,0,1,0,0,0,2,0,558,0,2,560,0
134,134,25,304,306,0,1,0,1,163,2,0,2,0,0,3,4,1,1,0,1,814,0,3,817,0
135,135,21,147,310,7,1,0,0,198,0,0,0,1,0,3,1,0,1,0,2,692,0,3,695,0
136,136,11,97,228,1,1,1,2,141,0,0,0,0,1,6,1,1,0,0,0,491,0,1,492,0
137,137,36,208,267,0,3,0,5,217,1,0,0,0,1,0,1,1,0,2,2,744,0,0,744,0
138,138,18,138,241,0,0,0,0,122,0,0,0,0,0,0,1,0,0,0,1,521,0,1,522,0
139,139,27,284,362,0,0,0,5,318,0,0,0,1,0,3,1,0,0,1,1,1003,0,0,1003,0
140,140,13,105,607,4,0,1,1,269,0,0,0,0,0,1,0,0,0,0,2,1003,0,3,1006,0
141,141,19,192,184,1,1,1,2,238,0,0,2,0,0,3,2,4,0,3,2,654,0,2,656,0
142,142,18,240,171,0,0,0,2,147,0,0,0,0,1,2,3,0,1,1,1,587,0,1,588,0
143,143,18,151,122,0,1,0,1,170,0,0,0,0,2,2,1,1,0,3,1,473,0,0,473,0
144,144,27,285,280,4,0,1,1,213,2,0,0,0,0,5,3,0,1,1,1,824,0,1,825,0
145,145,19,169,178,0,0,0,1,184,0,0,0,0,0,2,4,2,1,1,1,562,0,0,562,0
146,146,58,156,308,2,0,1,0,289,1,0,0,0,0,1,1,1,0,0,0,818,0,1,819,0
147,147,31,125,148,2,0,0,0,154,1,0,0,0,0,1,2,0,0,2,1,467,0,1,468,0
148,148,8,39,52,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,151,0,1,152,1
149,149,38,214,146,2,0,1,0,164,1,0,1,0,0,1,2,1,1,2,0,574,0,1,575,0
150,150,57,324,254,5,1,3,2,286,2,1,1,0,2,2,3,1,5,1,3,953,0,3,956,0
151,151,18,237,209,3,1,0,0,167,0,0,0,0,4,7,5,1,1,4,6,663,0,2,665,0
152,152,10,169,285,1,1,0,0,148,0,0,0,0,0,4,0,0,0,1,1,620,0,0,620,0
153,153,10,138,131,1,0,0,0,123,0,0,0,0,0,1,3,0,0,1,1,409,0,2,411,0
154,154,12,284,191,1,0,0,1,166,0,0,0,1,2,2,7,0,1,4,3,675,0,1,676,0
155,155,27,147,259,0,0,0,1,235,0,0,0,0,1,2,1,0,0,0,3,676,0,0,676,0
156,156,18,204,200,1,0,0,0,195,0,0,0,0,0,2,1,1,1,0,2,625,0,0,625,0
157,157,5,235,180,2,0,0,1,150,0,0,0,0,0,2,2,0,0,1,4,582,0,0,582,0
158,158,21,207,143,1,0,0,0,136,0,0,0,1,0,0,5,0,0,0,0,514,0,1,515,0
159,159,11,200,189,0,1,0,0,72,1,0,0,1,0,1,1,0,0,1,5,483,0,0,483,0
160,160,41,223,366,2,0,0,3,294,1,0,0,1,0,2,1,3,1,0,1,939,0,2,941,0
161,161,46,180,365,2,0,1,1,227,2,1,0,2,2,6,4,1,2,2,1,845,0,2,847,0
162,162,45,243,321,0,0,0,2,254,0,0,0,0,0,1,1,0,0,0,0,867,0,2,869,0
163,163,27,237,197,0,4,0,0,104,0,0,0,1,0,0,3,0,0,4,1,578,0,2,580,0
164,164,17,220,229,2,1,0,1,205,1,0,0,0,3,2,3,1,0,1,0,686,0,2,688,0
165,165,52,246,339,0,0,0,0,240,1,0,0,1,1,7,6,4,0,0,1,898,0,1,899,0
166,166,53,300,334,0,3,1,2,294,2,0,2,2,1,3,3,3,1,12,13,1029,0,3,1032,0
167,167,49,227,388,1,0,0,3,349,0,0,0,3,0,2,0,2,1,1,4,1030,0,1,1031,0
168,168,27,251,357,3,0,0,3,314,1,2,1,3,2,6,6,5,0,2,1,984,0,1,985,0
169,169,28,153,216,3,0,0,2,193,0,0,0,0,0,1,0,0,1,0,0,597,0,2,599,0
170,170,25,125,185,2,3,1,1,191,1,0,0,0,0,2,0,0,0,2,1,539,0,1,540,0
171,171,48,359,276,0,0,2,0,304,1,1,1,1,1,3,2,1,0,2,1,1003,0,0,1003,0
172,172,23,208,141,1,0,1,2,134,0,1,0,1,2,2,1,0,0,3,1,521,0,1,522,0
173,173,27,151,266,1,0,1,0,169,0,0,1,0,0,0,0,0,1,3,3,623,0,0,623,0
174,174,18,103,196,0,0,0,1,129,0,0,0,0,0,1,2,2,1,1,0,454,0,1,455,0
175,175,16,244,213,0,0,2,1,205,3,0,0,1,1,3,1,0,0,1,1,692,0,3,695,0
176,176,39,227,377,0,0,0,1,263,1,0,0,0,2,5,3,0,0,3,4,925,0,2,927,0
177,177,31,180,244,2,0,0,1,162,0,0,0,1,0,1,1,0,0,0,1,624,0,3,627,0
178,178,37,160,162,0,0,0,1,150,4,0,0,1,1,3,3,2,0,4,2,530,0,0,530,0
179,179,36,137,213,0,0,0,0,145,0,0,0,1,0,1,2,1,0,3,0,539,0,0,539,0
180,180,18,277,229,1,3,0,2,188,2,0,0,0,1,1,2,0,1,4,4,733,0,0,733,0
181,181,18,186,138,0,0,0,0,79,0,0,0,0,0,0,1,0,0,2,2,426,0,2,428,0
182,182,26,113,362,1,0,0,2,208,0,0,0,0,0,1,0,2,1,1,0,717,0,0,717,0
183,183,18,263,240,0,0,0,2,220,0,0,1,0,0,2,1,1,0,1,4,753,0,1,754,0
184,184,33,138,300,3,1,1,1,187,0,0,0,1,0,0,4,0,2,2,1,674,0,0,674,0
185,185,22,255,230,0,1,0,1,226,1,1,0,0,0,5,3,2,0,4,1,752,0,1,753,0
186,186,19,255,165,1,1,0,0,167,1,0,0,0,0,3,1,0,1,2,0,616,0,1,617,0
187,187,24,388,214,0,0,1,1,234,2,0,1,0,1,2,5,2,0,2,4,881,0,1,882,0
188,188,28,155,390,1,1,0,3,312,1,0,0,1,0,7,0,1,0,1,1,902,0,0,902,0
189,189,32,273,266,0,1,1,1,204,1,0,0,1,1,1,1,0,0,1,3,787,0,3,790,0
190,190,9,172,284,0,0,0,1,154,0,0,0,1,0,2,0,0,0,4,2,629,0,0,629,0
191,191,44,327,267,0,0,0,2,223,0,0,0,1,0,3,1,1,0,2,4,875,0,2,877,0
192,192,14,179,220,0,0,0,1,118,0,0,0,0,2,1,2,1,1,2,3,544,0,1,545,0
193,193,17,159,243,0,0,0,2,120,1,0,0,0,1,0,0,0,1,2,2,548,0,0,548,0
194,194,10,185,197,0,1,0,0,249,1,0,2,1,0,2,0,0,1,1,4,654,0,1,655,0
195,195,19,247,195,2,0,0,0,170,1,0,0,0,2,2,4,0,1,1,4,648,0,1,649,0
196,196,25,227,358,2,1,0,1,211,0,0,0,0,0,2,1,0,0,1,2,831,0,0,831,0
197,197,16,121,148,1,0,0,3,133,0,0,1,0,0,3,2,2,1,0,2,433,0,0,433,0
198,198,30,277,233,0,1,0,1,174,0,0,0,0,0,1,3,1,0,1,1,723,0,1,724,0
199,199,11,115,153,1,1,0,0,119,0,0,0,0,0,2,0,0,1,0,1,404,0,1,405,0
200,200,44,253,344,4,0,1,4,186,0,0,1,0,0,2,3,2,0,0,1,845,0,4,849,0
201,201,14,159,178,1,0,0,0,126,0,1,0,0,0,1,1,1,2,3,1,488,0,0,488,0
202,202,42,197,471,4,1,1,4,269,1,0,0,0,2,3,1,4,1,0,0,1001,0,3,1004,0
203,203,33,256,394,0,1,0,2,271,3,2,0,1,1,3,3,1,1,0,0,972,0,3,975,0
204,204,23,217,285,1,0,0,1,111,2,0,0,0,1,2,1,4,2,0,3,653,0,0,653,0
205,205,29,294,296,4,0,1,2,197,0,1,1,1,0,4,2,1,0,0,2,835,0,1,836,0
206,206,32,139,193,0,0,1,3,107,1,0,0,0,1,3,4,0,0,2,7,493,0,1,494,0
207,207,25,262,219,2,0,2,0,173,1,0,0,1,2,1,3,0,0,1,2,694,0,4,698,0
208,208,40,189,248,1,0,0,1,235,0,1,0,0,1,4,3,1,1,1,2,728,0,2,730,1
209,209,20,163,323,1,1,0,4,186,0,0,0,0,1,1,1,0,0,2,1,704,0,1,705,0
210,210,38,197,420,2,0,0,1,303,0,0,0,0,0,0,0,1,0,1,6,969,0,0,969,0
211,211,42,243,288,0,0,0,2,159,0,0,1,1,0,3,3,0,0,2,4,748,0,4,752,0
212,212,21,229,284,1,0,0,0,276,1,0,1,2,2,1,2,4,1,1,3,829,0,3,832,0
213,213,15,239,247,0,0,0,2,159,2,0,0,0,1,2,0,0,0,0,2,669,0,0,669,0
214,214,26,301,178,2,0,1,2,223,0,0,0,0,1,1,2,1,1,2,0,741,0,0,741,0
215,215,14,242,311,0,0,0,2,219,2,0,0,0,0,2,0,0,0,1,2,795,0,4,799,0
216,216,31,184,323,2,1,1,0,161,0,0,0,0,1,2,3,1,0,0,0,710,0,0,710,0
217,217,18,112,185,0,0,1,0,193,1,0,1,0,0,2,1,0,0,0,0,514,0,0,514,0
218,218,31,205,217,0,0,0,0,141,0,0,0,0,1,4,2,1,1,2,2,607,0,3,610,0
219,219,32,183,155,0,0,0,0,116,0,0,0,1,1,4,2,0,0,3,4,501,0,1,502,0
220,220,44,155,204,0,0,0,1,221,2,0,1,1,1,2,3,2,2,0,0,639,0,1,640,0
221,221,68,312,191,1,0,3,1,222,2,0,0,1,2,4,8,5,1,7,2,830,0,5,835,0
222,222,20,193,161,1,0,1,0,154,0,1,0,0,0,3,3,2,1,0,1,541,0,2,543,0
223,223,27,285,178,2,1,0,2,208,1,0,1,1,0,9,4,0,1,0,1,721,0,1,722,0
224,224,10,104,72,0,0,0,1,52,2,0,0,0,1,1,0,0,0,0,0,243,0,1,244,0
225,225,28,305,266,3,2,0,0,213,2,0,0,0,1,1,2,0,0,1,1,825,0,1,826,0
226,226,27,171,200,1,2,0,1,163,1,1,0,1,0,2,5,1,2,4,1,583,0,2,585,0
227,227,26,215,183,1,0,0,3,200,1,0,0,1,1,8,6,1,0,1,3,650,0,1,651,0
228,228,39,373,196,0,0,2,2,153,0,0,0,1,0,0,2,0,0,2,0,770,0,1,771,0
229,229,25,153,323,2,0,0,2,249,0,0,0,0,1,4,1,1,1,2,3,767,0,2,769,0
230,230,26,137,209,4,0,0,1,93,0,0,0,0,0,3,1,0,0,1,1,476,0,2,478,0
231,231,13,180,155,2,1,0,0,99,1,0,0,0,0,2,1,0,0,0,1,455,0,0,455,0
232,232,8,118,418,0,1,0,1,105,1,0,1,0,0,1,2,1,1,0,1,659,0,1,660,0
233,233,15,122,164,0,0,0,1,136,1,0,1,1,0,1,0,0,0,0,1,443,0,1,444,0
234,234,13,278,382,1,0,0,2,257,1,0,0,1,0,2,3,1,1,1,0,943,0,1,944,0
235,235,18,157,240,0,0,0,4,213,2,0,0,1,0,2,1,1,0,0,5,644,0,3,647,0
236,236,33,263,252,5,1,0,1,225,3,0,1,2,0,4,4,1,1,1,0,797,0,3,800,0
237,237,24,120,366,0,0,0,1,262,0,0,1,0,0,2,1,0,0,1,1,779,0,0,779,0
238,238,11,249,202,0,0,0,0,108,0,0,0,1,0,3,1,0,1,0,1,577,0,0,577,0
239,239,10,242,186,1,0,0,2,137,2,0,0,0,0,5,3,0,0,0,0,588,0,1,589,0
240,240,19,253,214,0,0,0,1,198,0,0,0,0,0,1,1,1,0,3,2,693,0,1,694,0
241,241,11,191,138,1,0,2,1,107,1,0,0,1,0,2,1,0,0,0,1,457,0,0,457,0
242,242,17,343,244,1,1,4,2,187,0,0,2,0,1,0,0,0,0,0,1,803,0,1,804,0
243,243,24,62,122,1,0,0,1,178,2,0,0,0,1,0,0,1,0,0,0,392,0,4,396,0
244,244,20,176,343,0,0,0,2,251,1,0,0,0,0,0,1,3,1,1,1,800,0,4,804,0
245,245,22,248,360,1,0,1,0,218,2,0,0,1,1,2,0,2,0,1,1,860,0,0,860,0
246,246,22,293,348,2,1,1,2,239,2,0,0,0,1,6,2,1,0,2,2,924,0,4,928,0
247,247,13,222,157,0,0,0,2,121,1,0,0,0,2,1,0,2,0,1,2,524,0,1,525,0
248,248,9,136,197,1,0,0,0,197,0,0,0,0,1,1,0,0,0,0,1,543,0,2,545,0
249,249,12,272,158,1,0,0,1,129,0,1,0,1,0,3,2,2,1,1,2,586,0,0,586,0
250,250,26,298,258,2,1,0,1,132,0,1,0,0,0,0,0,1,0,0,2,722,0,2,724,0
251,251,33,142,306,2,0,1,1,230,1,0,1,0,0,0,2,2,0,1,2,724,0,3,727,0
252,252,12,270,110,1,0,0,0,91,0,0,0,0,1,2,0,1,0,0,1,489,0,1,490,0
253,253,25,136,312,1,0,0,1,135,0,0,0,0,0,2,4,0,0,0,2,618,0,1,619,0
254,254,34,296,350,2,0,0,2,174,1,0,2,0,1,3,0,0,0,1,0,866,0,2,868,0
255,255,22,328,316,2,0,0,1,168,0,1,0,0,0,0,0,2,0,1,0,841,0,0,841,0
256,256,21,254,322,2,1,0,5,171,1,0,0,1,1,4,1,0,0,0,0,784,0,0,784,0
257,257,8,51,269,0,0,0,1,113,0,0,0,0,0,0,0,0,0,3,0,445,0,2,447,0
258,258,13,138,300,3,1,1,1,188,1,1,0,2,1,3,1,1,1,2,1,659,0,1,660,0
259,259,25,152,375,3,0,0,0,213,3,0,1,1,0,0,2,0,0,1,2,778,0,1,779,0
260,260,13,303,203,1,0,0,2,128,0,0,0,0,1,2,2,0,0,1,0,656,0,2,658,0
261,261,13,269,212,2,2,0,1,106,1,0,1,0,1,2,2,1,1,1,0,615,0,1,616,0
262,262,24,262,372,5,1,2,1,256,0,2,0,1,2,1,1,3,0,1,2,936,0,1,937,0
