Polling Station No,Candidate_1,P YMASAMAR,K RAMUKNEEVARP,S P NAHOM IVEDIRS,P INAR,A NAYIHTIDAA,T HSEMAR NAIHDNAG,P NANNAKHSERUS,R NAJARAGAYIHT,S C PILID,P M YMASINALAP,P NARDNEHAM,C NARAWSEHTAM,T RAMUKHSENIBA,S HTNIVARA,K JARAKANAK,P ARDNAHC,M NAJARATAN,V USARAIVAKIJATEN,R NADNAKINAM,S YMASUHTUM,S NAHOM,P NAHOM,M NAHOM,A HSEMAR,R RAMUKAYAJ,M NAMARAYAJ,R NILATS,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
73,73,3,18,275,100,0,0,0,2,241,0,1,4,0,0,1,0,1,0,2,1,0,2,0,0,1,0,0,652,0,2,654,0
74,74,0,13,192,151,1,1,1,4,331,1,1,0,1,0,2,4,1,0,1,1,0,0,0,0,2,0,0,708,0,1,709,0
75,75,3,13,240,253,5,0,5,4,337,1,1,6,2,3,1,2,0,0,0,0,0,0,0,0,2,2,0,880,0,1,881,0
76,76,0,24,182,212,4,1,1,1,367,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,798,0,1,799,0
77,77,0,25,222,236,1,6,0,2,335,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,833,0,3,836,0
78,78,2,20,134,167,0,3,1,1,290,2,1,1,1,0,0,1,0,1,1,2,0,0,0,0,0,0,1,o lat 629,R fo 0,5,oT 634,T fo 0
79,79,0,17,112,161,2,1,0,0,201,0,0,0,1,0,1,2,1,0,0,1,0,0,0,1,0,0,1,oT 502,.oN 0,3,505,.oN 0
80,80,0,3,101,66,0,6,0,0,85,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,267,0,0,267,0
81,81,0,12,201,179,0,10,0,2,299,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,709,0,3,712,0
82,82,1,5,166,120,0,0,1,0,105,0,0,0,2,1,1,1,0,0,1,0,0,1,0,2,0,1,0,408,0,0,408,0
83,83,1,15,263,198,0,0,3,3,446,0,0,1,2,4,2,2,1,0,0,0,0,0,0,0,2,0,0,943,0,3,946,0
84,84,1,18,183,147,0,0,0,0,234,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,587,0,2,589,0
85,85,1,7,115,129,0,1,2,3,230,1,0,1,2,0,1,3,0,0,2,0,0,0,1,0,1,0,1,501,0,1,502,0
86,86,1,32,320,245,2,0,1,0,235,1,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,2,0,845,0,2,847,0
87,87,1,14,153,117,1,1,0,2,128,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,424,0,1,425,0
88,88,1,12,241,100,2,0,0,0,131,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,490,0,2,492,0
89,89,1,8,264,209,0,6,1,2,223,1,0,1,0,2,0,0,0,0,1,2,2,1,0,0,1,1,2,728,0,5,733,0
90,90,0,10,149,107,1,1,0,1,168,0,0,2,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,445,0,0,445,0
91,91,4,27,255,151,2,1,3,0,294,0,0,2,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,746,0,1,747,0
92,92,3,22,348,174,2,1,0,1,233,1,0,1,2,1,2,0,1,1,0,4,1,1,0,1,2,2,2,806,0,4,810,0
93,93,0,18,185,180,0,3,1,4,319,1,2,0,1,0,3,1,4,0,1,0,0,0,0,0,0,3,3,729,0,5,734,0
94,94,1,17,350,188,1,3,2,2,364,0,2,0,1,3,2,5,2,0,0,0,0,0,0,1,0,1,0,945,0,1,946,0
95,95,2,29,236,181,2,1,0,1,357,0,0,1,1,0,1,2,1,0,2,1,0,0,1,0,2,0,0,821,0,3,824,0
96,96,0,38,285,236,2,0,0,0,374,2,0,0,2,0,0,2,1,0,0,2,0,0,0,1,2,2,1,950,0,2,952,0
97,97,0,19,204,198,2,1,0,0,405,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,836,0,4,840,0
98,98,1,35,181,247,0,0,0,0,345,1,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,1,0,818,0,7,825,0
99,99,2,19,198,153,0,0,1,0,304,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,678,0,4,682,0
100,100,1,22,174,127,0,0,0,1,219,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,546,0,5,551,0
101,101,0,19,163,170,2,1,1,1,238,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,600,0,2,602,0
102,102,2,27,209,207,2,0,0,0,381,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,835,0,3,838,0
103,103,0,32,255,212,2,0,0,1,348,0,1,0,1,0,1,0,0,0,1,1,1,1,0,2,0,0,1,860,0,2,862,0
104,104,3,20,188,147,1,0,1,0,219,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,583,0,4,587,0
105,105,0,27,110,92,0,0,0,0,208,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,439,0,0,439,0
106,106,0,12,179,190,1,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,597,0,0,597,0
107,107,1,17,158,116,1,1,0,1,223,0,0,0,1,0,1,0,0,2,0,1,0,1,0,0,0,1,0,525,0,1,526,0
