Polling Station No,ARUN. R.L,DR. TAMILISAI SOUNDARARAJAN,BALAJI. V,VELU. DHA,DEVENDRAN. R,NAGARAJAN. S,MOORTHY. S,MOHANRAJ. J,VENKATARAMANAN. P,SELVAMUTHU. S,PARTHIPAN. G,RADHAKRISHNAN. G,ROMANRAJ. A,VINU PRADHA. A,VIJAYALAKSHMI. P,VIJAYA KRISHNA. V,VENKATARAMAN. B,VELU. K,JAYAGOPI. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
96,15,52,2,300,1,2,1,3,262,2,1,0,1,0,0,1,0,1,1,645,0,2,647,0
97,9,45,0,209,0,2,0,0,173,0,0,0,0,1,1,0,0,0,1,441,0,0,441,0
98,8,49,2,178,0,1,4,1,440,0,2,3,4,2,4,1,0,1,2,702,0,5,707,0
99,15,76,3,146,1,0,0,3,513,1,0,1,0,0,2,1,0,0,0,762,0,2,764,0
100,15,174,1,156,0,0,0,2,201,0,0,1,0,0,0,0,2,0,1,553,0,3,556,0
101,13,44,2,224,1,1,2,3,310,0,1,0,0,0,1,2,1,0,0,605,0,1,606,0
102,13,31,3,210,3,1,3,1,423,0,0,0,0,0,2,0,0,0,0,690,0,1,691,0
103,5,47,3,227,4,1,5,5,437,1,1,1,0,0,3,4,3,0,1,748,0,4,752,0
104,12,47,0,291,2,0,0,2,229,0,0,0,0,0,0,1,0,0,1,585,0,2,587,0
105,20,77,1,207,0,0,1,0,358,2,0,0,0,0,0,1,0,0,0,667,0,3,670,0
106,12,61,0,248,3,0,0,0,328,0,3,0,0,0,0,1,1,0,1,658,0,2,660,0
107,5,62,4,294,2,0,0,5,413,0,2,0,0,0,1,2,1,0,0,791,0,1,792,0
108,15,39,1,292,0,1,0,2,323,0,1,0,1,0,1,2,0,1,0,679,0,1,680,0
109,19,110,3,179,0,0,0,0,293,0,0,1,0,0,1,1,0,0,0,607,0,3,610,0
110,10,36,3,231,1,1,1,2,352,0,1,1,0,0,0,0,0,0,0,639,0,4,643,0
111,13,53,2,291,1,0,0,4,296,1,1,0,0,0,0,1,0,0,1,664,0,5,669,0
112,18,55,2,189,0,1,0,0,291,0,0,0,0,0,0,0,0,0,0,556,0,4,560,0
113,5,28,0,61,0,1,0,3,202,0,0,0,0,0,0,1,0,0,0,301,0,1,302,0
114,e3 72,79,1,132,0,1,2,2,436,0,0,1,2,1,3,0,1,1,0,699,0,1,700,0
115,23,40,6,167,1,1,0,1,460,0,0,1,0,0,1,3,0,0,0,704,0,3,707,0
116,21,31,1,149,1,0,0,1,350,2,0,0,0,0,0,0,1,0,1,558,0,2,560,0
117,23,177,2,154,0,0,0,1,317,0,0,0,0,1,1,1,2,0,1,680,0,3,683,0
118,12,159,0,135,0,0,0,0,200,0,0,0,0,0,0,0,2,0,0,508,0,3,511,0
119,19,109,0,95,0,0,0,0,123,0,0,1,0,0,0,1,0,0,0,348,0,1,349,0
120,21,127,0,88,0,0,0,1,171,0,0,0,0,0,0,0,1,0,0,409,0,2,411,0
