Polling Station No,Candidate_1,UPPA K R S,NAYEKIHTRAK.P,AYINOS.A,DAHSRI.M.S,DASARP ARAHDIRIG.S,NAPPAYINUM.K,MAGAYAANIV.M.K,ALAMIV.K,NANNAK HTONIV.M.M,RAMUKHTONIV.M,UPPA.S,RAMUK NAHDAM.S,LAMAKJAR.S,NAHTANAGOL.M,RAMUK AYAJIV.U,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
220,158,249,26,1,0,0,0,0,265,0,0,0,0,0,0,699,699,0,6,705,0
221,208,314,23,0,0,0,0,0,381,0,1,0,0,0,0,927,927,0,7,934,0
222,151,248,16,1,1,1,0,0,332,2,0,0,0,0,1,753,753,0,2,755,0
223,172,198,17,0,0,0,0,0,254,0,0,2,0,0,0,643,643,0,5,648,0
224,82,164,10,0,0,0,1,0,145,0,0,0,0,0,0,402,402,0,2,404,0
225,128,209,8,0,1,0,0,0,300,0,1,0,0,0,1,648,648,0,1,649,0
226,137,292,24,0,0,3,0,0,322,1,2,1,1,1,0,784,784,0,1,785,0
227,217,151,18,0,0,0,1,0,224,0,0,0,0,0,0,611,611,0,6,617,0
228,193,220,32,2,0,0,0,0,316,0,1,1,0,1,1,767,767,0,2,769,0
229,267,296,20,1,0,0,1,1,306,1,0,1,1,3,0,898,898,0,6,904,0
230,228,189,23,0,1,0,0,0,252,0,1,0,0,1,0,695,695,0,1,696,0
231,367,220,23,1,0,0,0,0,339,0,1,1,0,1,0,953,953,0,5,958,0
232,138,253,11,0,1,0,0,0,232,2,0,0,0,0,1,638,638,0,1,639,0
233,221,168,16,0,0,0,0,1,323,0,0,2,0,0,1,732,732,0,3,735,0
234,94,200,13,0,0,0,1,1,205,0,0,0,0,0,0,514,514,0,4,518,0
235,125,160,13,1,0,0,0,2,192,0,0,1,0,0,0,494,494,0,4,498,0
236,98,131,12,0,0,0,1,1,114,0,0,0,0,0,1,358,358,0,10,368,0
237,96,120,10,0,0,1,1,1,249,0,1,0,0,0,2,481,481,0,3,484,0
238,130,199,20,1,1,0,0,2,346,0,1,0,0,1,2,703,703,0,1,704,0
239,166,231,29,2,2,0,0,0,196,0,1,0,0,0,0,627,627,0,1,628,0
