Polling Station No,R.D. SHEKAR,S. VETRI THAMIZHAN,VETRI VEL SELVAM,ASHLIN BELMEN .A.S,M. GEETA,DR.R. SARAVANA PERUMAL,SIVAKUMAR.V,S. SURESHKUMAR,J. SEBASTIN,M. THILAGABAMA,K.M. DEVAN,S. MALATHI,A. RAJARAM,VIJAY,D.V. VENUGOPAL,C. JOSEPH VIJAY,AGNI AALVAR,AMALA.R,AZARUTHEEN.M,P. ESAKKI MUTHU,E. UDHAYA KUMAR,M. KADHIRAVAN,P. GUNASEKAR,B. SATHISH KUMAR,SATHISH.B,P. THANGAMANI,M. TAMILSELVAM,H. DHANASEKAR,M.I. THAHIRA BANU,NIVETHA,B. BALAJI,P. PONRAJ,BOWDHARAJ,DR.D. MADAN,DR.G. MOORTHY,S. MICHAEL,S. RAMESH,V. RAJI,S. RAJESH KUMAR,REEGAN PRABHU,G. RUTHRA KUMAR,VIJAY. G,S. VISHNU VARTHAN,B. VENKATESAN,R. JAYASEELAN,S. JOSEPH,M. JOSEPH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
223,255,8,0,0,1,0,0,0,0,24,0,1,1,0,0,335,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,1,0,637,0,0,637,0
224,279,15,0,1,1,0,0,1,0,13,0,0,0,0,1,433,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,751,0,1,752,0
225,140,19,0,0,0,0,0,0,0,9,0,0,3,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,539,0,1,540,0
226,261,16,0,0,0,0,0,0,0,28,1,0,0,1,1,565,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,884,0,3,887,0
227,205,17,2,0,0,0,0,0,0,25,1,0,2,1,2,480,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,741,0,1,742,0
228,171,7,0,0,0,0,0,0,0,27,1,0,4,0,2,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,695,0,3,698,0
229,220,20,0,0,0,0,0,0,0,24,0,0,0,0,0,413,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,0,0,0,0,0,3,1,0,0,0,1,0,694,0,1,695,0
230,250,35,1,1,0,2,0,0,0,32,1,0,3,1,1,481,1,0,0,1,0,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,3,0,823,0,3,826,0
231,129,17,1,1,0,0,0,0,0,13,0,0,1,0,0,305,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,474,0,1,475,0
232,192,6,0,0,0,0,0,0,0,20,1,0,2,1,0,342,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,569,0,2,571,0
233,307,28,0,0,0,0,0,0,0,23,0,0,0,3,0,507,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,874,0,1,875,0
234,201,16,0,0,1,0,0,0,0,29,0,0,1,0,1,566,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,2,1,1,0,0,0,1,0,827,0,2,829,0
235,250,16,1,1,0,0,0,0,0,23,0,0,4,1,2,411,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,713,0,2,715,0
236,267,23,0,1,0,0,0,0,0,31,0,0,2,1,0,463,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,3,0,1,2,1,0,0,0,0,0,805,0,1,806,0
237,216,23,0,0,0,0,0,0,0,23,1,0,2,1,1,464,2,2,0,1,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2,748,0,2,750,0
238,232,14,0,0,0,0,0,1,0,19,0,0,2,1,0,388,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,668,0,1,669,0
239,195,20,0,1,0,0,1,0,0,14,0,0,1,0,0,353,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,590,0,2,592,0
240,227,9,1,0,0,0,0,0,2,24,0,0,0,1,0,342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,609,0,0,609,0
241,226,17,0,0,0,0,1,0,0,12,0,0,1,2,0,409,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,1,671,0
242,239,27,2,1,1,0,0,0,6,20,0,0,3,0,0,401,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,705,0,1,706,0
243,127,11,0,0,0,0,0,1,0,6,0,0,1,0,0,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,370,0
244,308,11,0,0,0,0,0,0,0,13,0,0,2,1,0,473,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,816,0,1,817,0
245,283,19,0,0,0,1,0,0,0,13,0,0,0,1,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,713,0,0,713,0
246,266,14,4,1,0,0,0,0,1,26,1,0,0,2,0,572,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,898,0,3,901,0
247,162,15,0,0,0,0,0,0,1,47,3,0,1,1,0,357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,588,0
248,242,12,0,0,0,0,0,0,0,17,1,0,1,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,696,0,2,698,0
249,199,9,3,0,0,0,0,0,0,43,0,0,0,1,0,288,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,551,0,4,555,0
250,120,9,0,0,0,1,0,0,1,68,1,0,1,1,0,285,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,6,496,0
251,145,16,1,0,0,0,0,0,1,40,0,0,0,3,0,295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,508,0,2,510,0
252,110,21,0,0,0,0,0,0,0,30,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,3,376,0
253,190,10,1,0,1,0,0,0,0,43,0,0,2,3,1,288,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,545,0,3,548,0
254,148,10,0,0,0,0,0,0,0,50,0,0,0,1,0,402,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,4,620,0
255,349,20,1,0,0,0,0,0,0,26,0,0,2,0,0,419,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,822,0,3,825,0
256,344,12,0,0,0,0,0,0,0,14,0,0,0,0,0,421,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,796,0,3,799,0
257,349,15,0,1,0,0,0,0,0,15,0,1,0,0,1,457,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,843,0,2,845,0
258,271,10,0,0,0,0,0,1,0,19,0,0,1,1,0,369,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,681,0,0,681,0
259,294,26,0,1,1,1,0,0,2,39,0,0,1,0,0,525,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,894,0,4,898,0
260,217,14,1,2,2,0,0,0,0,7,0,0,0,1,0,391,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,1,639,0
261,137,15,1,0,0,0,1,0,1,15,0,0,0,1,0,309,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,485,0,0,485,0
262,176,12,3,0,0,0,0,1,1,26,0,1,0,1,1,479,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,707,0,2,709,0
263,160,16,0,0,0,0,0,0,2,20,0,0,1,0,0,457,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,663,0,4,667,0
264,243,23,0,0,0,0,1,0,1,27,0,0,1,1,1,467,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,4,0,0,0,0,1,0,779,0,1,780,0
265,319,9,1,1,0,0,0,0,0,24,0,0,0,1,0,455,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,821,0,5,826,0
266,269,19,2,1,0,0,0,1,0,18,0,0,0,3,0,521,1,0,1,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,846,0,6,852,0
267,178,18,1,1,0,0,0,0,0,21,2,0,0,1,0,530,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,2,1,1,0,0,1,0,764,0,1,765,0
268,155,8,0,0,0,0,0,0,0,11,1,0,1,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,581,0,2,583,0
269,141,17,0,1,0,0,0,0,0,6,0,0,0,1,0,329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,2,498,0
270,224,15,2,0,0,0,1,0,0,26,1,0,0,0,0,596,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,1,0,875,0,0,875,0
271,243,17,1,0,0,1,0,0,0,11,1,0,0,1,1,550,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,835,0,1,836,0
272,270,18,1,0,0,0,0,0,0,21,0,0,0,1,1,595,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,913,0,1,914,0
273,299,20,1,1,0,1,0,0,0,17,1,0,0,2,0,429,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,781,0,1,782,0
274,274,24,5,0,1,1,0,1,0,25,0,0,2,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,3,1,0,1,1,0,0,0,0,0,779,0,2,781,0
275,245,13,1,0,1,1,0,0,1,9,0,1,0,3,0,497,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2,1,1,1,0,1,0,0,1,3,0,0,1,0,0,1,789,0,2,791,0
276,210,11,3,0,0,0,1,0,0,9,1,0,1,0,0,382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,622,0,2,624,0
277,215,21,0,0,0,0,0,0,0,8,0,0,2,0,0,382,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,635,0,1,636,0
278,211,10,0,0,1,0,0,0,1,12,0,0,1,1,0,282,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,527,0,0,527,0
279,306,13,2,0,0,0,0,0,0,13,0,0,2,0,1,403,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,746,0,1,747,0
280,199,25,1,1,0,0,1,0,0,43,0,0,1,0,1,477,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,754,0,2,756,0
281,179,12,1,0,0,0,0,0,0,34,0,0,2,0,0,427,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,664,0,3,667,0
282,232,15,1,0,0,0,0,1,3,23,1,2,0,1,0,449,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,735,0,1,736,0
283,124,18,0,0,0,0,0,1,2,32,1,0,0,1,0,369,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,2,552,0
284,148,9,0,0,0,0,0,1,1,49,1,1,2,0,0,336,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,559,0,1,560,0
285,123,12,0,0,0,0,0,0,0,17,1,1,2,1,0,267,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,427,0,1,428,0
286,185,20,0,0,0,0,0,0,0,25,0,0,0,1,0,429,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,669,0,5,674,0
287,204,12,0,0,0,1,0,0,0,24,0,1,0,3,0,463,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,1,0,0,721,0,3,724,0
288,216,15,2,0,0,0,0,1,0,10,0,0,0,0,0,385,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,640,0,0,640,0
289,330,7,0,1,2,0,0,0,0,17,3,0,1,0,0,430,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,0,2,0,0,1,0,1,806,0,2,808,0
290,263,25,1,1,2,0,0,0,0,17,0,1,1,0,1,497,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,813,0,0,813,0
291,197,11,1,0,0,1,0,0,0,12,0,0,1,0,2,415,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,647,0,1,648,0
292,236,5,1,0,0,0,0,0,0,6,1,0,0,1,0,400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,657,0,0,657,0
293,180,14,2,0,0,0,0,1,0,10,0,0,2,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,661,0,0,661,0
294,184,11,3,1,0,0,0,0,0,5,1,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,686,0,1,687,0
295,153,9,0,0,0,0,0,0,0,10,0,0,1,1,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,496,0,1,497,0
296,91,3,1,0,0,0,0,0,0,5,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,435,0,1,436,0
