Polling Station No,Polling Station No.,S .UHTUMIHCAN,N .IDNAP,B .IRAWSEGURUM,K .NARAHONAMIVAR,NEEVARP M .RAMUK .RD,G .IHTROOMAMAR,K .IARUDLAKKYAV,G .RAMUKKOHSA,R .USARABNA,P .NAPPAISANNAHT,B .YMASIALAMURIHT,M .NARDNAHCALAB,R .RAMUKNEEVARP,R .IRAWSEHDAM,T .RAMUKAYAJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
259,259,0,122,4,110,74,1,0,0,0,0,0,0,1,2,1,315,0,0,315,0
260,260,4,238,23,280,320,5,0,1,0,0,0,0,0,0,1,872,0,4,876,0
261,261,2,211,24,275,342,2,0,0,0,0,0,2,2,3,3,866,0,2,868,0
262,262,1,122,5,176,169,2,1,0,0,0,0,0,1,0,1,478,0,2,480,0
263,263,2,180,8,206,209,0,0,1,0,0,0,1,1,1,0,609,0,0,609,0
264,264,0,128,11,301,198,1,1,1,0,0,0,0,1,0,0,642,0,2,644,0
265,265,2,156,14,288,194,0,0,0,0,1,0,0,2,0,2,659,0,4,663,0
266,266,2,232,13,301,173,0,0,1,0,0,0,1,0,0,1,724,0,1,725,0
267,267,0,137,7,187,168,1,1,0,0,1,1,0,0,0,0,503,0,0,503,0
268,268,2,133,8,207,139,0,0,1,0,0,0,0,0,0,2,492,0,0,492,0
269,269,2,192,33,228,213,1,0,0,1,0,0,4,1,1,2,678,0,1,679,0
270,270,1,106,12,278,235,0,0,1,0,3,1,3,1,0,1,642,0,2,644,0
271,271,2,136,9,194,142,0,0,0,0,0,1,0,2,1,1,488,0,3,491,0
272,272,1,76,10,98,84,0,0,0,0,0,0,0,1,0,0,270,0,0,270,0
273,273,2,204,19,149,185,0,1,0,0,0,0,0,1,0,2,563,0,2,565,0
274,274,3,218,23,96,158,3,2,1,0,0,0,0,0,0,0,504,0,1,505,0
275,275,0,116,7,57,103,0,0,0,0,0,0,0,1,0,3,287,0,2,289,0
276,276,0,187,16,89,160,0,0,1,0,0,0,0,0,0,1,454,0,1,455,0
277,277,2,199,10,59,192,0,0,0,0,0,0,0,1,0,2,465,0,3,468,0
278,278,0,256,27,90,188,0,0,2,0,0,0,0,1,0,5,569,0,1,570,0
279,279,0,241,9,70,223,0,0,0,0,0,0,0,0,0,0,543,0,9,552,0
280,280,3,261,25,169,297,0,0,5,0,0,1,0,0,0,1,762,0,6,768,0
281,281,1,124,8,59,155,3,0,1,0,0,0,0,0,0,1,352,0,1,353,0
282,282,2,289,12,134,331,1,0,1,0,0,1,0,0,0,4,775,0,2,777,0
283,283,1,398,20,85,265,2,0,0,0,1,0,1,0,1,2,776,0,0,776,0
284,284,1,187,9,69,213,2,0,0,0,0,1,0,0,1,1,484,0,1,485,0
285,285,1,231,9,55,143,0,0,0,0,0,0,0,0,0,1,440,0,3,443,0
286,286,1,150,8,51,200,1,0,0,0,0,0,2,0,1,2,416,0,1,417,0
287,287,4,263,12,132,303,0,0,0,0,0,0,1,3,1,1,720,0,3,723,0
288,288,0,303,15,241,207,0,0,1,0,1,0,0,0,0,1,769,0,2,771,0
289,289,1,95,12,42,78,0,0,0,0,0,0,0,0,0,0,228,0,0,228,0
290,290,1,343,21,148,303,0,0,0,0,0,0,0,1,0,2,819,0,2,821,0
291,291,3,238,19,136,321,2,0,0,0,0,0,0,0,1,2,722,0,1,723,0
292,292,2,192,11,63,210,1,1,0,0,0,0,0,0,1,1,482,0,2,484,0
293,293,1,257,4,77,136,0,0,0,0,0,0,0,0,1,1,477,0,1,478,0
294,294,0,280,19,52,165,0,0,0,0,0,1,0,0,0,1,518,0,1,519,0
295,295,0,347,14,87,246,0,0,1,0,0,0,0,1,0,1,697,0,1,698,0
296,296,3,257,9,67,218,2,0,0,0,0,0,1,0,0,0,557,0,2,559,0
297,297,1,316,14,69,335,0,0,1,0,0,0,0,2,0,2,740,0,1,741,0
298,298,1,153,13,55,271,2,0,0,0,0,0,0,0,0,1,496,0,0,496,0
299,299,3,216,15,104,247,1,1,1,1,0,1,0,0,0,1,591,0,1,592,0
300,300,1,256,23,138,327,2,0,1,0,1,0,2,0,0,0,751,0,2,753,0
301,301,0,70,4,66,75,0,0,0,0,0,0,0,0,2,0,217,0,0,217,0
302,302,2,229,28,196,351,2,0,3,0,0,0,2,0,0,4,817,0,2,819,0
303,303,0,147,10,140,187,0,0,0,0,0,0,0,0,0,1,485,0,0,485,0
304,304,2,177,12,107,216,0,0,1,0,0,0,0,1,0,2,518,0,3,521,0
