Polling Station No,ASHOKKUMAR. N,GOVI.ELANGO,BHUVANA MANIYARASAN,NEIVELI SASIKUMAR,D.CHANDRAKANDEEBAN,G.CHITHIRAVELU,R.RAVI,T.ARULMURUGAN,U.UTHAYAKUMAR,PASUMAIBHOOMI NATARAJAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
162,371,337,34,0,164,1,8,1,1,5,922,0,2,924,0
163,271,381,51,2,181,1,2,1,1,5,896,0,1,897,0
164,232,206,26,1,189,0,0,0,0,0,654,0,1,655,0
165,176,261,18,0,119,1,2,0,2,2,581,0,1,582,0
166,89,206,15,0,81,1,1,0,0,2,395,0,0,395,0
167,169,352,45,1,267,0,2,0,2,2,840,0,4,844,0
168,178,159,42,1,158,0,0,1,1,3,543,0,3,546,0
169,238,428,30,1,112,0,1,1,1,2,814,0,4,818,0
170,109,214,34,1,90,0,1,0,0,0,449,0,1,450,0
171,249,149,31,0,145,0,2,0,0,0,576,0,3,579,0
172,238,265,93,2,122,1,2,0,0,1,724,0,0,724,0
173,133,272,55,1,152,1,1,1,0,1,617,0,2,619,0
174,354,149,33,3,185,0,3,3,2,2,734,0,6,740,0
175,132,349,59,1,164,1,0,3,1,2,712,0,1,713,0
176,139,66,6,0,42,1,0,0,0,0,254,0,1,255,0
177,331,248,28,6,281,4,3,0,1,0,902,0,9,911,0
178,368,238,32,3,215,0,3,1,2,2,864,0,3,867,0
179,278,343,29,0,205,0,1,0,1,1,858,0,1,859,0
180,190,262,30,0,194,1,1,2,1,2,683,0,5,688,0
181,136,66,15,0,110,0,0,1,0,0,328,0,1,329,0
182,187,118,22,1,141,2,1,1,1,1,475,0,4,479,0
183,240,146,22,0,160,2,0,1,0,2,573,0,5,578,0
184,334,153,46,5,223,0,1,1,0,0,763,0,2,765,0
185,209,204,48,0,186,0,1,0,0,2,650,0,1,651,0
186,158,216,18,0,136,1,1,1,0,1,532,0,4,536,0
187,180,226,31,2,185,0,0,1,0,1,626,0,2,628,0
188,187,390,34,0,204,1,1,0,0,1,818,0,2,820,0
189,227,128,32,1,158,1,1,0,0,5,553,0,0,553,0
190,253,90,17,0,141,2,0,0,0,2,505,0,1,506,0
191,191,212,36,0,198,0,1,0,0,4,642,0,3,645,0
192,130,115,22,0,62,1,0,0,0,0,330,0,2,332,0
193,169,306,31,1,180,0,1,0,0,3,691,0,3,694,0
194,332,149,25,0,194,0,1,0,0,0,701,0,4,705,0
195,130,60,15,0,56,0,0,0,1,2,264,0,2,266,0
196,215,206,18,0,170,1,1,0,0,0,611,0,4,615,0
197,252,308,57,0,184,1,0,1,1,4,808,0,0,808,0
198,163,95,20,0,91,1,1,0,1,0,372,0,0,372,0
199,185,229,31,2,167,2,2,1,0,3,622,0,3,625,0
200,230,233,37,2,194,1,1,0,0,1,699,0,2,701,0
201,227,263,37,1,225,0,1,0,1,5,760,0,2,762,0
202,213,252,38,2,132,0,0,3,1,1,642,0,2,644,0
203,215,162,31,1,118,0,0,0,0,0,527,0,0,527,0
204,202,345,39,1,245,0,0,0,0,1,833,0,1,834,0
205,242,279,39,0,184,1,0,1,1,4,751,0,4,755,0
206,113,109,18,2,105,1,3,0,0,0,351,0,4,355,0
207,104,231,22,0,133,0,1,0,0,0,491,0,0,491,0
208,186,262,39,2,139,0,0,1,0,0,629,0,0,629,0
209,119,194,30,1,98,0,3,1,1,0,447,0,0,447,0
210,238,239,57,1,219,0,1,0,1,1,757,0,3,760,0
211,89,96,18,1,56,0,0,0,0,1,261,0,1,262,0
212,326,263,50,5,228,0,1,1,2,1,877,0,6,883,0
213,189,227,40,2,149,1,1,2,0,2,613,0,3,616,0
214,185,292,36,1,205,2,2,0,0,0,723,0,0,723,0
215,104,156,33,0,122,0,0,1,1,2,419,0,1,420,0
216,255,98,17,1,108,0,1,1,0,1,482,0,0,482,0
217,109,135,21,2,87,0,0,2,1,2,359,0,4,363,0
218,149,298,47,4,175,1,0,3,1,2,680,0,2,682,0
219,100,89,17,1,72,0,1,1,0,1,282,0,0,282,0
220,231,305,83,5,232,2,1,3,2,3,867,0,5,872,0
221,171,410,37,0,197,2,2,2,0,3,824,0,2,826,0
222,332,159,26,0,206,0,0,4,0,4,731,0,3,734,0
223,99,316,19,1,92,0,0,1,0,3,531,0,0,531,0
224,108,203,21,0,145,0,0,2,0,1,480,0,2,482,1
225,247,113,16,4,105,0,1,8,0,2,496,0,2,498,0
226,161,235,40,0,161,2,1,1,1,0,602,0,5,607,0
227,153,410,44,0,135,1,0,1,0,2,746,0,3,749,0
228,147,92,9,1,58,2,0,0,0,0,309,0,2,311,0
229,336,130,32,2,157,0,0,3,1,2,663,0,1,664,0
230,304,85,25,0,132,1,0,3,0,1,551,0,4,555,0
231,204,90,19,1,69,0,0,5,0,0,388,0,4,392,0
232,229,286,40,4,188,0,1,2,0,1,751,0,2,753,0
233,264,265,41,2,203,2,1,0,0,0,778,0,0,778,0
234,191,189,18,1,182,1,1,1,0,1,585,0,4,589,0
235,175,126,31,0,104,2,0,1,0,0,439,0,3,442,0
236,151,298,43,2,198,1,1,4,1,2,701,0,3,704,0
237,91,114,15,3,37,1,0,0,0,1,262,0,1,263,0
238,228,306,23,1,181,1,1,0,0,1,742,0,2,744,0
239,321,187,50,4,156,1,2,1,0,1,723,0,1,724,0
240,163,285,30,4,185,1,1,1,0,3,673,0,2,675,0
241,329,179,17,0,167,0,0,1,0,0,693,0,1,694,0
242,211,198,22,1,333,2,0,2,2,1,772,0,2,774,0
243,286,145,20,1,174,0,2,0,0,0,628,0,3,631,0
244,75,133,8,0,222,2,0,0,0,0,440,0,1,441,0
245,312,290,52,1,277,1,2,1,1,2,939,0,6,945,0
246,267,214,34,3,185,1,2,1,1,1,709,0,5,714,0
247,141,153,30,1,118,1,1,1,1,4,451,0,4,455,0
248,345,138,29,0,174,1,3,0,1,1,692,0,4,696,0
249,233,152,27,1,135,0,2,1,0,2,553,0,1,554,0
250,266,99,10,1,149,1,1,0,0,0,527,0,1,528,0
251,156,237,60,0,126,0,0,1,0,1,581,0,3,584,0
252,314,206,41,0,200,2,2,1,0,2,768,0,2,770,0
253,201,231,48,7,265,6,4,1,4,7,774,0,2,776,0
254,239,80,21,0,77,1,1,1,0,0,420,0,2,422,0
255,217,72,42,0,145,0,0,1,1,0,478,0,2,480,0
256,241,23,13,0,47,1,0,1,0,0,326,0,3,329,0
257,638,134,21,2,153,1,0,1,3,2,955,0,11,966,0
258,300,204,16,1,130,1,0,0,3,0,655,0,1,656,0
259,203,248,23,1,139,1,1,0,0,1,617,0,3,620,0
260,582,75,8,0,59,0,0,1,0,0,725,0,2,727,0
261,487,108,9,0,74,0,2,1,2,0,683,0,2,685,0
262,338,250,35,0,299,1,0,2,1,3,929,0,2,931,0
263,202,196,32,0,185,0,4,0,0,0,619,0,1,620,0
264,220,190,43,2,164,2,2,0,1,0,624,0,4,628,0
265,265,197,28,5,228,1,2,1,2,2,731,0,9,740,0
266,174,142,23,2,276,0,3,2,1,1,624,0,4,628,0
267,182,169,40,6,153,2,1,2,2,1,558,0,0,558,0
268,193,159,25,1,136,1,0,0,0,2,517,0,1,518,0
269,105,128,5,0,99,0,1,0,0,1,339,0,0,339,0
270,46,116,12,0,79,0,0,1,0,0,254,0,1,255,0
271,168,245,71,0,134,0,0,1,1,2,622,0,3,625,0
272,163,138,22,0,104,0,2,1,1,3,434,0,3,437,0
273,188,134,24,2,152,1,0,1,0,2,504,0,1,505,0
274,213,159,28,1,160,0,1,2,0,0,564,0,0,564,0
275,107,328,33,3,207,1,6,3,2,1,691,0,1,692,0
276,234,139,18,2,142,1,1,1,0,3,541,0,4,545,0
277,224,171,30,2,163,1,1,0,0,1,593,0,2,595,0
278,135,211,22,0,146,0,0,3,1,2,520,0,1,521,0
279,311,100,28,0,133,0,1,2,0,1,576,0,2,578,0
280,133,118,26,0,139,3,0,1,0,1,421,0,2,423,0
281,194,193,36,1,246,0,1,1,1,4,677,0,2,679,0
282,168,299,30,1,147,2,2,2,1,2,654,0,2,656,0
283,230,386,51,2,296,2,0,3,0,2,972,0,5,977,0
284,231,97,12,1,102,1,1,3,0,1,449,0,4,453,0
